County	Per capita income	Median household income	Median family income	Population	Number of households
Montgomery	$21,301	$38,624	$50,595	10,740	4,558
Buena Vista	$21,256	$43,182	$53,382	20,260	7,522
Monroe	$21,228	$43,245	$53,052	7,970	3,213
Page	$21,204	$40,778	$52,791	15,932	6,393
Crawford	$21,181	$44,377	$53,794	17,096	6,413
Union	$20,435	$40,879	$50,546	12,534	5,271
Louisa	$20,367	$50,457	$54,923	11,387	4,346
Van Buren	$20,209	$40,073	$50,064	7,570	3,108
Appanoose	$20,084	$34,689	$41,250	12,887	5,627
Lucas	$19,967	$43,005	$56,647	8,898	3,689
Wayne	$18,795	$35,425	$44,784	6,403	2,652
Decatur	$18,195	$37,138	$48,015	8,457	3,223
