Dep.	Chief town	Arrondissement	Population (1999)	Area (Square km)	Pop density	Cantons	Communes
35	Fougères	Fougères	75,380	999	75	6	57
35	Redon	Redon	81,106	1335	61	7	53
35	Rennes	Rennes	569,932	3483	164	31	179
35	Saint-Malo	Saint-Malo	141,115	958	147	9	63
36	Le Blanc	Le Blanc	32,897	1761	19	6	56
36	Châteauroux	Châteauroux	130,115	2524	52	11	82
36	La Châtre	La Châtre	33,275	1323	25	5	58
36	Issoudun	Issoudun	34,852	1182	29	4	51
37	Chinon	Chinon	80,579	1694	48	7	87
37	Loches	Loches	48,773	1803	27	6	67
37	Tours	Tours	424,651	2629	162	24	123
38	Grenoble	Grenoble	696,326	4715	148	39	297
38	La Tour-du-Pin	La Tour-du-Pin	212,987	1479	144	11	137
38	Vienne	Vienne	184,693	1237	149	8	99
39	Dole	Dole	77,078	1180	65	10	130
39	Lons-le-Saunier	Lons-le-Saunier	122,373	2817	43	19	344
39	Saint-Claude	Saint-Claude	51,406	1003	51	5	71
40	Dax	Dax	174,367	3194	55	13	153
40	Mont-de-Marsan	Mont-de-Marsan	152,967	6048	25	17	178
41	Blois	Blois	177,282	2565	69	14	136
41	Romorantin-Lanthenay	Romorantin-Lanthenay	69,672	2059	34	7	48
41	Vendôme	Vendôme	68,014	1719	40	9	107
42	Montbrison	Montbrison	160,289	1959	82	10	138
42	Roanne	Roanne	152,659	1780	86	11	115
42	Saint-Étienne	Saint-Étienne	415,576	1041	399	19	74
43	Brioude	Brioude	41,095	1529	27	9	100
43	Le Puy-en-Velay	Le Puy-en-Velay	96,254	2288	42	17	116
43	Yssingeaux	Yssingeaux	71,764	1160	62	9	44
44	Ancenis	Ancenis	48,720	791	62	5	29
44	Châteaubriant	Châteaubriant	102,392	2148	48	10	53
44	Nantes	Nantes	715,358	2118	338	29	82
44	Saint-Nazaire	Saint-Nazaire	267,796	1758	152	15	57
45	Montargis	Montargis	158,426	2631	60	12	126
45	Orléans	Orléans	402,580	2946	137	24	122
45	Pithiviers	Pithiviers	57,120	1198	48	5	86
46	Cahors	Cahors	69,887	2179	32	13	135
46	Figeac	Figeac	50,095	1550	32	9	120
46	Gourdon	Gourdon	40,215	1487	27	9	85
47	Agen	Agen	105,380	1013	104	12	71
47	Marmande	Marmande	76,169	1388	55	10	98
47	Nérac	Nérac	36,981	1400	26	7	58
47	Villeneuve-sur-Lot	Villeneuve-sur-Lot	86,850	1560	56	11	92
48	Florac	Florac	12,524	1687	7	7	50
48	Mende	Mende	60,985	3479	18	18	135
49	Angers	Angers	367,131	2127	173	17	112
49	Cholet	Cholet	183,478	1646	111	9	78
49	Saumur	Saumur	129,222	2229	58	10	112
49	Segré	Segré	53,111	1164	46	5	61
50	Avranches	Avranches	117,431	1762	67	16	160
50	Cherbourg-Octeville	Cherbourg	190,973	1639	116	15	189
50	Coutances	Coutances	76,861	1301	59	10	130
50	Saint-Lô	Saint-Lô	96,206	1235	78	11	123
51	Châlons-en-Champagne	Châlons-en-Champagne	100,112	1778	56	8	100
51	Épernay	Épernay	91,471	2156	42	10	164
51	Reims	Reims	310,289	1702	182	17	175
51	Sainte-Menehould	Sainte-Menehould	14,313	1021	14	3	67
51	Vitry-le-François	Vitry-le-François	49,044	1504	33	6	113
52	Chaumont	Chaumont	69,223	2476	28	11	160
52	Langres	Langres	46,842	2163	22	10	158
52	Saint-Dizier	Saint-Dizier	78,808	1571	50	11	114
53	Château-Gontier	Château-Gontier	58,152	1270	46	7	71
53	Laval	Laval	140,207	1812	77	13	88
53	Mayenne	Mayenne	86,979	2094	42	12	102
54	Briey	Briey	157,050	1143	137	10	130
54	Lunéville	Lunéville	76,782	1451	53	9	164
54	Nancy	Nancy	415,106	1509	275	20	188
54	Toul	Toul	64,841	1143	57	5	112
55	Bar-le-Duc	Bar-le-Duc	64,400	1451	44	9	109
55	Commercy	Commercy	43,845	1932	23	7	136
55	Verdun	Verdun	83,953	2829	30	15	253
56	Lorient	Lorient	281,621	1489	189	15	60
56	Pontivy	Pontivy	114,237	2399	48	10	78
56	Vannes	Vannes	248,015	2935	85	17	123
57	Boulay-Moselle	Boulay-Moselle	74,628	722	103	3	96
57	Château-Salins	Château-Salins	28,480	974	29	5	128
57	Forbach	Forbach	191,169	561	314	7	73
57	Metz	Metz-Campagne	211,863	1047	202	9	142
57	Metz	Metz-Ville	123,776	42	2951	4	1
57	Sarrebourg	Sarrebourg	62,098	993	63	5	102
57	Sarreguemines	Sarreguemines	84,847	936	107	6	83
57	Thionville	Thionville-Est	127,541	686	186	6	75
57	Thionville	Thionville-Ouest	119,045	255	467	6	30
58	Château-Chinon	Château-Chinon (Ville)	28,141	1929	15	6	72
58	Clamecy	Clamecy	26,739	1464	18	6	93
58	Cosne-Cours-sur-Loire	Cosne-Cours-sur-Loire	45,074	1403	32	7	64
58	Nevers	Nevers	125,244	2020	62	13	83
59	Avesnes-sur-Helpe	Avesnes-sur-Helpe	238,466	1408	169	12	151
59	Cambrai	Cambrai	158,845	902	176	7	116
59	Douai	Douai	246,987	477	518	7	64
59	Dunkirk	Dunkerque	379,702	1443	263	16	115
59	Lille	Lille	1,182,026	879	1344	28	124
59	Valenciennes	Valenciennes	348,994	635	550	9	82
60	Beauvais	Beauvais	209,540	2100	100	14	258
60	Clermont	Clermont	120,328	1142	105	7	146
60	Compiègne	Compiègne	173,943	1275	136	10	156
60	Senlis	Senlis	262,630	1344	195	10	133
61	Alençon	Alençon	101,487	1710	59	11	133
61	Argentan	Argentan	119,446	2432	49	17	226
61	Mortagne-au-Perche	Mortagne-au-Perche	71,404	1961	36	12	146
62	Arras	Arras	300,785	2519	119	17	369
62	Béthune	Béthune	279,783	674	415	14	99
62	Boulogne-sur-Mer	Boulogne-sur-Mer	163,159	640	255	8	75
62	Calais	Calais	118,311	310	382	5	28
62	Lens	Lens	326,719	278	1174	17	43
62	Montreuil	Montreuil	99,288	1160	86	8	164
62	Saint-Omer	Saint-Omer	153,523	1090	141	8	116
63	Ambert	Ambert	28,014	1188	24	8	55
63	Clermont-Ferrand	Clermont-Ferrand	352,752	1796	196	25	119
63	Issoire	Issoire	57,549	1820	32	9	116
63	Riom	Riom	109,659	2300	48	13	137
63	Thiers	Thiers	56,292	866	65	6	43
64	Bayonne	Bayonne	248,840	2270	110	19	123
64	Oloron-Sainte-Marie	Oloron-Sainte-Marie	73,117	2885	25	12	155
64	Pau	Pau	278,061	2490	112	21	269
65	Argelès-Gazost	Argelès-Gazost	38,633	1300	30	6	89
65	Bagnères-de-Bigorre	Bagnères-de-Bigorre	44,896	1676	27	9	160
65	Tarbes	Tarbes	138,839	1488	93	19	225
66	Céret	Céret	66,624	954	70	5	40
66	Perpignan	Perpignan	287,272	1317	218	20	86
66	Prades	Prades	38,907	1845	21	6	100
67	Haguenau	Haguenau	120,445	666	181	3	56
67	Molsheim	Molsheim	89,604	745	120	5	69
67	Saverne	Saverne	88,251	1003	88	6	127
67	Sélestat	Sélestat-Erstein	134,907	981	138	7	101
67	Strasbourg	Strasbourg-Campagne	264,424	684	386	8	104
67	Strasbourg	Strasbourg-Ville	264,115	78	3375	10	1
67	Wissembourg	Wissembourg	64,374	598	108	5	68
68	Altkirch	Altkirch	61,242	655	93	4	111
68	Colmar	Colmar	139,255	666	209	6	62
68	Guebwiller	Guebwiller	76,314	584	131	4	47
68	Mulhouse	Mulhouse	304,295	634	480	9	73
68	Ribeauvillé	Ribeauvillé	49,311	462	107	4	32
68	Thann	Thann	77,608	525	148	4	52
69	Lyon	Lyon	1,406,043	1746	805	43	162
69	Villefranche-sur-Saône	Villefranche-sur-Saône	172,826	1503	115	11	131
70	Lure	Lure	106,461	1848	58	13	194
70	Vesoul	Vesoul	123,271	3512	35	19	351
71	Autun	Autun	94,988	1900	50	11	83
71	Chalon-sur-Saône	Chalon-sur-Saône	193,091	1726	112	15	151
71	Charolles	Charolles	102,205	2500	41	13	136
71	Louhans	Louhans	48,520	1248	39	8	79
71	Mâcon	Mâcon	106,089	1200	88	10	124
72	La Flèche	La Flèche	87,199	1588	55	7	71
72	Mamers	Mamers	79,407	1615	49	10	134
72	Le Mans	Le Mans	363,245	3002	121	23	170
73	Albertville	Albertville	101,394	2466	41	9	82
73	Chambéry	Chambéry	230,257	1586	145	22	161
73	Saint-Jean-de-Maurienne	Saint-Jean-de-Maurienne	41,607	1976	21	6	62
74	Annecy	Annecy	229,039	1262	182	10	93
74	Bonneville	Bonneville	161,410	1558	104	10	61
74	Saint-Julien-en-Genevois	Saint-Julien-en-Genevois	130,874	660	198	7	72
74	Thonon-les-Bains	Thonon-les-Bains	110,356	908	122	7	68
75	Paris	Paris	2,125,246	105	20164	20	1
76	Dieppe	Dieppe	227,169	3055	74	20	350
76	Le Havre	Le Havre	403,298	1330	303	20	176
76	Rouen	Rouen	608,671	1893	322	29	219
77	Fontainebleau	Fontainebleau	144,849	1227	118	6	87
77	Meaux	Meaux	258,365	1400	185	9	146
77	Melun	Melun	334,950	1336	251	11	113
77	Provins	Provins	112,020	1651	68	7	125
77	Torcy	Torcy	343,583	302	1138	10	43
78	Mantes-la-Jolie	Mantes-la-Jolie	264,269	825	320	8	117
78	Rambouillet	Rambouillet	214,219	953	225	5	81
78	Saint-Germain-en-Laye	Saint-Germain-en-Laye	528,320	341	1551	16	45
78	Versailles	Versailles	347,496	165	2103	10	19
79	Bressuire	Bressuire	91,673	1623	56	7	62
79	Niort	Niort	190,708	2792	68	18	166
79	Parthenay	Parthenay	62,011	1585	39	8	77
80	Abbeville	Abbeville	125,258	1589	79	12	169
80	Amiens	Amiens	299,776	2465	122	21	313
80	Montdidier	Montdidier	51,644	916	56	5	132
80	Péronne	Péronne	78,873	1200	66	8	169
81	Albi	Albi	164,990	2732	60	23	170
81	Castres	Castres	178,412	3026	59	23	154
82	Castelsarrasin	Castelsarrasin	68,656	1602	43	12	103
82	Montauban	Montauban	137,378	2117	65	18	92
83	Brignoles	Brignoles	107,054	2260	47	9	61
83	Draguignan	Draguignan	264,632	2417	110	12	58
83	Toulon	Toulon	526,755	1296	407	22	34
84	Apt	Apt	116,644	1377	85	6	56
84	Avignon	Avignon	269,828	924	292	10	37
84	Carpentras	Carpentras	113,213	1266	89	8	58
85	Fontenay-le-Comte	Fontenay-le-Comte	119,403	2129	56	9	107
85	La Roche-sur-Yon	La Roche-sur-Yon	230,386	2495	92	11	92
85	Les Sables-d'Olonne	Les Sables-d'Olonne	189,875	2096	91	11	83
86	Châtellerault	Châtellerault	109,202	2065	53	12	96
86	Montmorillon	Montmorillon	74,045	3000	25	11	98
86	Poitiers	Poitiers	215,777	1926	112	15	87
87	Bellac	Bellac	40,120	1780	23	8	63
87	Limoges	Limoges	278,439	2945	95	28	108
87	Rochechouart	Rochechouart	35,334	795	44	6	30
88	Épinal	Épinal	225,898	3098	73	15	251
88	Neufchâteau	Neufchâteau	61,656	1611	38	7	174
88	Saint-Dié-des-Vosges	Saint-Dié-des-Vosges	93,398	1166	80	9	90
89	Auxerre	Auxerre	178,743	3515	51	22	196
89	Avallon	Avallon	50,618	2209	23	10	149
89	Sens	Sens	103,860	1704	61	10	108
90	Belfort	Belfort	137,408	609	225	15	102
91	Étampes	Étampes	125,148	876	143	6	79
91	Évry	Évry	471,435	469	1005	17	52
91	Palaiseau	Palaiseau	537,655	459	1171	19	65
92	Antony	Antony	380,371	49	7775	12	12
92	Boulogne-Billancourt	Boulogne-Billancourt	292,409	46	6417	9	9
92	Nanterre	Nanterre	756,101	81	9321	24	15
93	Bobigny	Bobigny	529,237	66	8046	17	15
93	Le Raincy	Le Raincy	506,374	123	4116	13	16
93	Saint-Denis	Saint-Denis	347,250	47	7326	10	9
94	Créteil	Créteil	625,868	146	4272	25	23
94	L'Haÿ-les-Roses	L'Haÿ-les-Roses	236,803	35	6682	9	10
94	Nogent-sur-Marne	Nogent-sur-Marne	364,579	63	5778	15	14
95	Argenteuil	Argenteuil	209,860	53	3925	7	7
95	Pontoise	Pontoise	467,888	828	565	17	117
95	Sarcelles	Sarcelles	427,716	364	1174	15	61
971	Basse-Terre	Basse-Terre	175,691	854	206	17	18
971	Pointe-à-Pitre	Pointe-à-Pitre	210,875	774	272	23	14
972	Fort-de-France	Fort-de-France	166,139	171	972	16	4
972	Le Marin	Le Marin	106,818	409	261	13	12
972	Saint-Pierre	Saint-Pierre	23,464	210	112	5	8
972	La Trinité	La Trinité	85,006	338	252	11	10
973	Cayenne	Cayenne	119,660	42589	3	16	14
973	Saint-Laurent-du-Maroni	Saint-Laurent-du-Maroni	37,553	40945	1	3	8
974	Saint-Benoît	Saint-Benoît	101,804	736	138	9	6
974	Saint-Denis	Saint-Denis	236,599	423	560	14	5
974	Saint-Paul	Saint-Paul	138,551	467	297	10	5
