Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1938	No competition	No competition	R. W. Stevenson Jr. G. M. Crabbie	E. F. Ogilvie E. A. R. Anderson	Murdo MacLean E. A. R. Andersen
1939	No competition	No competition	James Mackay Edward Wilson	C. P. R. Montgomery E. Smart	E. W. Wilson J. Holmes
1940 1947	No competition	No competition	No competition	No competition	No competition
1948	No competition	No competition	James Mackay Edward Wilson	J. B. Shearlaw C. B. Alison	James Mackay C. B. Alison
1949	No competition	No competition	James Mackay Edward Wilson	Marion Armstrong E. W. Greenwood	James Mackay C. B. Alison
1950	Alastair McIntyre	A. M. Horner	James Mackay Edward Wilson	Marion Armstrong E. W. Greenwood	J. S. Millar J. A. S. Armstrong
1951	Alastair Russell	A. M. Horner	W. M. Williams J. Stevenson	A. M. Horner J. McGregor	James Mackay A. M. Horner
1952	Alastair Russell	M. Robertson	James Mackay J. B. Leslie	I. Vallance J. McGregor	James Mackay J. H. McGregor
1953	Alastair Russell	A. M. Horner	James Mackay Wilfred Robinson	A. M. Horner J. A. S. Armstrong	Alastair Russell Isobel Montgomerie
1954	Alastair Russell	A. M. Horner	Alastair Russell Alistair McIntyre	J. Smart J. S. Vallence	Alastair Russell Isobel Montgomerie
1955	Alastair Russell	Wilma Tyre	Alastair Russell Alistair McIntyre	Catherine Dunglison J. H. Dunglison	Alistair McIntyre Eileen McKenzie
1956	Robert Fowlis	Wilma Tyre	Donald Ross Frank Shannon	M. B. Forrester Maggie McIntosh	Donald Ross M. Greig
1957	Alastair Russell	Catherine Dunglison	Alastair Russell Alistair McIntyre	Wilma Tyre E. Tyre	Robert McCoig Wilma Tyre
1958	Robert McCoig	Catherine Dunglison	Donald Ross J. L. Young	Catherine Dunglison J. Gordon	Robert McCoig Wilma Tyre
1959	Robert McCoig	Wilma Tyre	Donald Ross A. W. Horden	Catherine Dunglison J. Gordon	Mac Henderson Maggie McIntosh
1960	Robert McCoig	Wilma Tyre	Donald Ross A. A. S. Morgan	Wilma Tyre Maggie McIntosh	Robert McCoig Wilma Tyre
1961	Robert McCoig	Wilma Tyre	Robert McCoig Frank Shannon	Wilma Tyre Maggie McIntosh	Robert Fowlis A. Barclay
1962	Robert McCoig	Muriel Ferguson	Robert McCoig Frank Shannon	Wilma Tyre D. G. Calder	Robert McCoig Wilma Tyre
1963	Robert McCoig	Muriel Ferguson	Robert McCoig Frank Shannon	Catherine Dunglison Muriel Ferguson	Mac Henderson Catherine Dunglison
1964	Robert McCoig	Muriel Ferguson	Robert McCoig Frank Shannon	E. Anderson Muriel Ferguson	Robert McCoig Wilma Reid
1965	Robert McCoig	Muriel Ferguson	Robert McCoig Frank Shannon	Catherine Dunglison Wilma Reid	Robert McCoig Wilma Reid
1966	James Sydie	Muriel Ferguson	Robert McCoig Frank Shannon	Catherine Dunglison Wilma Reid	Mac Henderson Catherine Dunglison
1967	Robert McCoig	Muriel Ferguson	Robert McCoig J. Campbell	Catherine Dunglison Muriel Ferguson	Robert McCoig M. Tait
1968	Robert McCoig	Muriel Ferguson	Robert McCoig J. Campbell	Wilma Reid Muriel Ferguson	Robert McCoig Wilma Reid
1969	Robert McCoig	Maureen Hume	Ian Hume J. K. McNeillage	Wilma Reid Muriel Woodcock	Robert McCoig Wilma Reid
1970	Robert McCoig	Maureen Hume	Robert McCoig Mac Henderson	Wilma Reid H. Gibson	Robert McCoig Wilma Reid
1971	Robert McCoig	Maureen Hume	Robert McCoig Fraser Gow	Christine Evans Maureen Hume	Robert McCoig Wilma Reid
1972	Robert McCoig	Helen Kelly	Robert McCoig Fraser Gow	Helen Kelly Joanna Flockhart	Ian Hume M. Odell
1973	Robert McCoig	Joanna Flockhart	Robert McCoig Fraser Gow	Helen Kelly Joanna Flockhart	Fraser Gow Christine Stewart
1974	Nicol McCloy	Joanna Flockhart	Robert McCoig Fraser Gow	Helen Kelly Joanna Flockhart	A. John Britton C. Weir
1975	Nicol McCloy	Anne Johnstone	J. Ansari A. John Britton	Helen McIntosh Christine Stewart	Fraser Gow Christine Stewart
1976	Nicol McCloy	Joanna Flockhart	J. Ansari A. John Britton	Helen McIntosh Christine Stewart	Billy Gilliland Joanna Flockhart
1977	Nicol McCloy	Joanna Flockhart	Billy Gilliland Fraser Gow	Joanna Flockhart Christine Stewart	Billy Gilliland Joanna Flockhart
1978	Ronnie Conway	Joanna Flockhart	Billy Gilliland Fraser Gow	Anne Johnstone Christine Stewart	Billy Gilliland Joanna Flockhart
1979	Billy Gilliland	Joanna Flockhart	Fraser Gow Gordon Hamilton	Joanna Flockhart Christine Stewart	Billy Gilliland Joanna Flockhart
1980	Charlie Galagher	Joanna Flockhart	Billy Gilliland Dan Travers	Christine Heatly Joy Reid	Billy Gilliland Joanna Flockhart
1981	Charlie Galagher	Pamela Hamilton	Billy Gilliland Dan Travers	Pamela Hamilton Alison Fulton	Billy Gilliland Joanna Flockhart
1982	Charlie Galagher	Pamela Hamilton	Billy Gilliland Dan Travers	Pamela Hamilton Alison Fulton	Billy Gilliland Christine Heatly
1983	Charlie Galagher	Alison Fulton	Billy Gilliland Dan Travers	Pamela Hamilton Alison Fulton	Billy Gilliland Christine Heatly
1984	Alex White	Alison Fulton	Billy Gilliland Dan Travers	Morag Johnson Alison Fulton	Billy Gilliland Christine Heatly
1985	Alex White	Jennifer Allen	Billy Gilliland Dan Travers	Pamela Hamilton Morag Johnson	Billy Gilliland Christine Heatly
1986	Dan Travers	Jennifer Allen	Billy Gilliland Dan Travers	Jennifer Allen Elinor Allen	Billy Gilliland Christine Heatly
1987	Ken Middlemiss	Aileen Nairn	Alex White Iain Pringle	Jennifer Allen Elinor Allen	Billy Gilliland Christine Heatly
1988	Anthony Gallagher	Gillian Martin	Alex White Iain Pringle	Jennifer Allen Elinor Allen	Gordon Hamilton Fiona Stark
1989	Anthony Gallagher	Anne Gibson	Kenny Middlemiss Dan Travers	Alison Gordon Fiona Stark	Dan Travers Aileen Nairn
1990	Anthony Gallagher	Anne Gibson	Kenny Middlemiss Dan Travers	Alison Gordon Fiona Stark	Dan Travers Aileen Nairn
1991	Kevin Scott	Anne Gibson	Kenny Middlemiss Russel Hogg	Jennifer Allen Elinor Allen	Dan Travers Aileen Nairn
1992	Kevin Scott	Anne Gibson	Kenny Middlemiss Russel Hogg	Jennifer Allen Elinor Allen	Kenny Middlemiss Elinor Allen
1993	Jim Mailer	Anne Gibson	Kenny Middlemiss Russel Hogg	Jennifer Allen Elinor Allen	Kenny Middlemiss Elinor Allen
1994	Bruce Flockhart	Elinor Allen	Kenny Middlemiss Russel Hogg	Jennifer Allen Elinor Allen	Kenny Middlemiss Elinor Allen
1995	Bruce Flockhart	Anne Gibson	Kenny Middlemiss Russel Hogg	Jennifer Allen Elinor Allen	Kenny Middlemiss Elinor Allen
1996	Jim Mailer	Anne Gibson	Alastair Gatt Craig Robertson	Jillian Haldane Elinor Middlemiss	Kenny Middlemiss Elinor Middlemiss
1997	Jim Mailer	Anne Gibson	Kenny Middlemiss Russel Hogg	Elinor Middlemiss Aileen Travers	David Gilmour Elinor Middlemiss
1998	Bruce Flockhart	Gillian Martin	Kenny Middlemiss Russel Hogg	Kirsteen McEwan Sandra Watt	Kenny Midlemiss Kirsteen McEwan
1999	Bruce Flockhart	Gillian Martin	Kenny Middlemiss Russel Hogg	Kirsteen McEwan Sandra Watt	Kenny Midlemiss Kirsteen McEwan
2000	Bruce Flockhart	Fiona Sneddon	Alastair Gatt Craig Robertson	Kirsteen McEwan Sandra Watt	Kenny Midlemiss Kirsteen McEwan
2001	Bruce Flockhart	Susan Hughes	Alastair Gatt Craig Robertson	Rita Pickering Sandra Watt	Russel Hogg Kirsteen McEwan
2002	Bruce Flockhart	Yuan Wemyss	Russel Hogg Graeme Smith	Sandra Watt Yuan Wemyss	Craig Robertson Yuan Wemyss
2003	Graham Simpson	Fiona Sneddon	Alastair Gatt Kenny Middlemiss	Kirsteen McEwan Elinor Middlemiss	Russell Hogg Kirsteen McEwan
2004	Bruce Flockhart	Yuan Wemyss	David Gilmour Craig Robertson	Kirsteen McEwan Yuan Wemyss	Craig Robertson Yuan Wemyss
2005	Craig Goddard	Yuan Wemyss	David Gilmour Craig Robertson	Sandra Watt Yuan Wemyss	Andrew Bowman Kirsteen McEwan-Miller
2006	Craig Goddard	Susan Hughes	David Gilmour Craig Robertson	Michelle Douglas Yuan Wemyss	Andrew Bowman Kirsteen McEwan-Miller
2007	Gordon Thomson	Rita Yuan Gao	Andrew Bowman Watson Briggs	Susan Hughes Rita Yuan Gao	Watson Briggs Imogen Bankier
2008	Craig Goddard	Susan Hughes	Andrew Bowman David Gilmour	Imogen Bankier Emma Mason	Watson Briggs Imogen Bankier
2009	Gordon Thomson	Susan Hughes	Thomas Bethell Watson Briggs	Imogen Bankier Jillie Cooper	Watson Briggs Imogen Bankier
2010	Calum Menzies	Susan Egelstaff	Jamie Neill Keith Turnbull	Imogen Bankier Emma Mason	Watson Briggs Imogen Bankier
2011	Kieran Merrilees	Susan Egelstaff	Jamie Neill Keith Turnbull	Jillie Cooper Emma Mason	Paul van Rietvelde Imogen Bankier
