Nat.	Name	First game	Final game	Apps	Goals
Netherlands	Freddy van der Hoorn Category:Articles with hCards	12 August 1989	19 February 1994	205	5
Scotland	Dave Walker Category:Articles with hCards	15 August 1925	12 January 1929	120	20
Scotland	Keith Watson Category:Articles with hCards	16 January 2007	24 August 2013*	110	7
Scotland	Brian Welsh Category:Articles with hCards	11 May 1987	16 May 1996	177	14
Scotland	Davie Wilson Category:Articles with hCards	12 August 1967	3 January 1972	169	27
Scotland	Mark Wilson Category:Articles with hCards	5 January 2002	7 January 2006	138	11
Scotland	Robbie Winters Category:Articles with hCards	19 November 1994	22 August 1998	149	42
Scotland	Bob Wyllie Category:Articles with hCards	19 November 1949	18 April 1953	109	0
Scotland	Ron Yeats Category:Articles with hCards	2 January 1958	1 April 1961	118	1
Sweden	Lars Zetterlund Category:Articles with hCards	2 November 1996	3 March 1999	100	8
