Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1973	Hermann Fröhlich	Elisabeth Wieltschnig	Alfred Hofer Dieter Hofer	Elisabeth Wieltschnig Ingrid Potocnik	Hermann Fröhlich Lore König
1974	Hermann Fröhlich	Brigitte Reichman	Alfred Hofer Dieter Hofer	Elisabeth Wieltschnig Ingrid Potocnik	Hermann Fröhlich Lore König
1975	Reinhold Pum	Brigitte Reichman	Johann Ratheyser Gerald Hofegger	Elisabeth Schechtner Brigitte Reichmann	Hermann Fröhlich Lore König
1976	Reinhold Pum	Ingrid Potocnik	Johann Ratheyser Gerald Hofegger	Elisabeth Wieltschnig Ingrid Potocnik	Gerald Hofegger Ingrid Potocnik
1977	Hermann Fröhlich	Renate Dietrich	Johann Ratheyser Gerald Hofegger	Hilde Kreulitsch Renate Dietrich	Ernst Stingl Hilde Kreulitsch
1978	Johann Ratheyser	Elisabeth Wieltschnig	Johann Ratheyser Gerald Hofegger	Elisabeth Wieltschnig Brigitte Reichmann	Gerald Hofegger Hilde Kreulitsch
1979	Johann Ratheyser	Renate Dietrich	Johann Ratheyser Gerald Hofegger	Herta Obritzhauser Brigitte Reichmann	Johann Ratheyser Brigitte Reichmann
1980	Gerald Hofegger	Herta Obritzhauser	Johann Ratheyser Gerald Hofegger	Herta Obritzhauser Brigitte Reichmann	Johann Ratheyser Brigitte Reichmann
1981	Peter Moritz	Herta Obritzhauser	Johann Ratheyser Gerald Hofegger	Herta Obritzhauser Brigitte Reichmann	Alexander Almer Herta Obritzhauser
1982	Klaus Fischer	Herta Obritzhauser	Klaus Fischer Heinz Fischer	Elisabeth Wieltschnig Ingrid Potocnik	Alexander Almer Herta Obritzhauser
1983	Klaus Fischer	Herta Obritzhauser	Johann Ratheyser Gerald Hofegger	Elisabeth Wieltschnig Ingrid Potocnik	Alexander Almer Herta Obritzhauser
1984	Klaus Fischer	Herta Obritzhauser	Johann Ratheyser Gerald Hofegger	Herta Obritzhauser Brigitte Wastl	Alexander Almer Herta Obritzhauser
1985	Klaus Fischer	Herta Obritzhauser	Klaus Fischer Heinz Fischer	Elisabeth Wieltschnig Hilde Kreulitsch	Alexander Almer Herta Obritzhauser
1986	Heinz Fischer	Herta Obritzhauser	Klaus Fischer Heinz Fischer	Herta Obritzhauser Brigitte Wastl	Alexander Almer Herta Obritzhauser
1987	Tariq Farooq	Sabine Ploner	Klaus Fischer Heinz Fischer	Sabine Ploner Gabriele Kumpfmüller	Heinz Fischer Elisabeth Wieltschnig
1988	Klaus Fischer	Sabine Ploner	Klaus Fischer Heinz Fischer	Sabine Ploner Gabriele Kumpfmüller	Klaus Fischer Sabine Ploner
1989	Klaus Fischer	Sabine Ploner	Klaus Fischer Heinz Fischer	Sabine Ploner Brigitte Wastl	Klaus Fischer Sabine Ploner
1990	Jürgen Koch	Sabine Ploner	Jürgen Koch Hannes Fuchs	Sabine Ploner Sigrun Ploner	Klaus Fischer Sabine Ploner
1991	Jürgen Koch	Sabine Ploner	Jürgen Koch Harald Koch	Sabine Ploner Sigrun Ploner	Heinz Fischer Sabine Ploner
1992	Hannes Fuchs	Sabine Ploner	Hannes Fuchs Heimo Götschl	Sabine Ploner Sigrun Ploner	Heinz Fischer Sabine Ploner
1993	Hannes Fuchs	Sigrun Ploner	Jürgen Koch Harald Koch	Sabine Ploner Sigrun Ploner	Heinz Fischer Sabine Ploner
1994	Hannes Fuchs	Irina Serova	Jürgen Koch Harald Koch	Sabine Ploner Sigrun Ploner	Vladimir Serov Irina Serova
1995	Jürgen Koch	Verena Fastenbauer	Heimo Götschl Kai Abraham	Sabine Ploner Sigrun Ploner	Kai Abraham Sigrun Ploner
1996	Peter Kreulitsch	Verena Fastenbauer	Heimo Götschl Harald Koch	Sabine Ploner Verena Fastenbauer	Heinz Fischer Sabine Ploner
1997	Jürgen Koch	Verena Fastenbauer	Jürgen Koch Harald Koch	Bettina Weilguni Irina Serova	Jürgen Koch Irina Serova
1998	Jürgen Koch	Irina Serova	Heimo Götschl Kai Abraham	Bettina Weilguni Irina Serova	Harald Koch Bettina Weilguni
1999	Jürgen Koch	Irina Serova	Jürgen Koch Harald Koch	Bettina Weilguni Irina Serova	Harald Koch Bettina Weilguni
2000	Jürgen Koch	Simone Prutsch	Jürgen Koch Harald Koch	Bettina Weilguni Irina Serova	Harald Koch Bettina Weilguni
2001	Jürgen Koch	Simone Prutsch	Jürgen Koch Harald Koch	Bettina Weilguni Irina Serova	Harald Koch Bettina Weilguni
2002	Jürgen Koch	Verena Fastenbauer	Jürgen Koch Harald Koch	Simone Prutsch Sabine Franz	Harald Koch Bettina Weilguni
2003	Jürgen Koch	Simone Prutsch	Heimo Götschl Martin De Jonge	Simone Prutsch Sabine Franz	Michael Lahnsteiner Verena Fastenbauer
2004	Jürgen Koch	Simone Prutsch	Heimo Götschl Martin De Jonge	Simone Prutsch Sabine Franz	Harald Koch Verena Fastenbauer
2005	Jürgen Koch	Simone Prutsch	Harald Koch Peter Zauner	Simone Prutsch Sabine Franz	Michael Lahnsteiner Tina Riedel
2006	Peter Zauner	Simone Prutsch	Harald Koch Peter Zauner	Simone Prutsch Sabine Franz	Michael Lahnsteiner Tina Riedl
2007	Jürgen Koch	Simone Prutsch	Heimo Götschl Manuel Berger	Miriam Gruber Tina Riedl	Michael Lahnsteiner Tina Riedl
2008	Jürgen Koch	Miriam Gruber	Harald Koch Peter Zauner	Iris Freimüller Karina Lengauer	Roman Zirnwald Tina Riedl
2009	Peter Zauner	Miriam Gruber	Jürgen Koch Peter Zauner	Belinda Heber Elisabeth Baldauf	Jürgen Koch Zhu Niannian
2010	Michael Lahnsteiner	Claudia Mayer	Jürgen Koch Peter Zauner	Iris Freimüller Tina Riedl	Jürgen Koch Zhu Niannian
2011	Michael Lahnsteiner	Claudia Mayer	Jürgen Koch Peter Zauner	Belinda Heber Alexandra Mathis	Roman Zirnwaldh Simone Prutsch
