Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Tim Parnell	Lotus - Climax	18	Climax FPF 1.5 L4	D	Tim Parnell	5, 7
Gerry Ashmore	Lotus - Climax	18	Climax FPF 1.5 L4	D	Gerry Ashmore	5–7
Louise Bryden-Brown	Lotus - Climax	18	Climax FPF 1.5 L4	D	Tony Maggs	5–6
Gilby Engineering	Gilby - Climax	61	Climax FPF 1.5 L4	D	Keith Greene	5
Scuderia Sant'Ambroeus FISA	Ferrari	156	Ferrari 178 1.5 V6	D	Giancarlo Baghetti	4-5, 7
J.B. Naylor	JBW - Climax	59	Climax FPF 1.5 L4	D	Brian Naylor	7
Fred Tuck Cars	Cooper - Climax	T45	Climax FPF 1.5 L4	D	Jack Fairman	7
Scuderia Settecolli	De Tomaso - OSCA	F1	OSCA 372 1.5 L4	D	Roberto Lippi	7
Isobele de Tomaso	De Tomaso - Alfa Romeo	F1	Alfa Romeo Giulietta 1.5 L4	D	Roberto Bussinello	7
Pescara Racing Team	Cooper - Maserati	T45	Maserati 6-1500 1.5 L4	D	Renato Pirocchi	7
Gaetano Starrabba	Lotus - Maserati	18	Maserati 6-1500 1.5 L4	D	Gaetano Starrabba	7
Hap Sharp	Cooper - Climax	T53	Climax FPF 1.5 L4	D	Hap Sharp	8
John M. Wyatt III	Cooper - Climax	T53	Climax FPF 1.5 L4	D	Roger Penske	8
J. Wheeler Autosport	Lotus - Climax	18/21	Climax FPF 1.5 L4	D	Peter Ryan	8
Jim Hall	Lotus - Climax	18	Climax FPF 1.5 L4	D	Jim Hall	8
J. Frank Harrison	Lotus - Climax	18	Climax FPF 1.5 L4	D	Lloyd Ruby	8
Momo Corporation	Cooper - Climax	T53	Climax FPF 1.5 L4	D	Walt Hansgen	8
