Name	Nationality	Position [A ]	Oxford United career [B ]	Appearances	Goals
Ernie Hudson Category:Articles with hCards	England	Defender	1952–1957	109	1
Billy Jeffrey Category:Articles with hCards	England	Midfielder	1973–1982	356	26
Nigel Jemson Category:Articles with hCards	England	Forward	1996–1998 2000	100	33
Mark Jones Category:Articles with hCards	England	Midfielder	1980–1986	157	7
Tony Jones Category:Articles with hCards	England	Midfielder	1959–1967	358	100
Alan Judge Category:Articles with hCards	England	Goalkeeper	1985–1991 2003–2004	102	0
Mick Kearns Category:Articles with hCards	Ireland *	Goalkeeper	1969–1972	78	0
Paul Kee Category:Articles with hCards	Northern Ireland *	Goalkeeper	1989–1993	64	0
Peter Knight Category:Articles with hCards	England	Midfielder	1960–1964	200	33
Maurice Kyle Category:Articles with hCards	England	Defender	1959–1969	448	4
David Langan Category:Articles with hCards	Ireland *	Defender	1984–1987	136	3
George Lawrence Category:Articles with hCards	England	Midfielder	1982–1984	101	27
Mickey Lewis Category:Articles with hCards	England	Defender	1988–2000	350	7
Johnny Love Category:Articles with hCards	England	Midfielder	1955–1963	316	40
Dick Lucas Category:Articles with hCards	England	Defender	1967–1975	219	4
Hugh McGrogan Category:Articles with hCards	England	Midfielder	1975–1980	141	15
Jim Magilton Category:Articles with hCards	Northern Ireland *	Midfielder	1990–1994	173	42
Stuart Massey Category:Articles with hCards	England	Midfielder	1994–1998	129	13
Owen Medlock Category:Articles with hCards	England	Goalkeeper	1959–1963	133	0
Andy Melville Category:Articles with hCards	Wales *	Defender	1990–1993	159	15
Paul Moody Category:Articles with hCards	England	Forward	1994–1997 2001–2002	197	75
Matt Murphy Category:Articles with hCards	England	Midfielder	1993–2001	290	55
Yemi Odubade Category:Articles with hCards	Nigeria	Forward	2006–2009	130	31
David Penney Category:Articles with hCards	England	Forward	1989–1994	129	16
Les Phillips Category:Articles with hCards	England	Midfielder	1984–1993	224	15
Alfie Potter Category:Articles with hCards	England	Midfielder	2009–	156	24
Paul Powell Category:Articles with hCards	England	Midfielder	1995–2003	200	23
Pat Quartermain Category:Articles with hCards	England	Defender	1955–1967	306	0
Barry Quinn Category:Articles with hCards	Ireland	Midfielder	2004–2009	199	6
Frank Ramshaw Category:Articles with hCards	England	Defender	1950–1958	358	1
Billy Rees Category:Articles with hCards	Wales	Forward	1955–1959	122	58
Peter Rhoades-Brown Category:Articles with hCards	England	Midfielder	1984–1988	142	16
Dave Roberts Category:Articles with hCards	Wales *	Defender	1971–1975	176	8
Les Robinson Category:Articles with hCards	England	Defender	1990–2000	459	6
Matthew Robinson Category:Articles with hCards	England	Defender	2002–2006	192	4
David Rush Category:Articles with hCards	England	Forward	1994–1996	110	24
Dean Saunders Category:Articles with hCards	Wales *	Forward	1987–1988	73	33
Jason Seacole Category:Articles with hCards	England	Midfielder	1976–1982	134	26
Malcolm Shotton Category:Articles with hCards	England	Defender	1980–1987	338	15
John Shuker Category:Articles with hCards	England	Forward	1962–1977	534	47
Paul Simpson Category:Articles with hCards	England	Midfielder	1988–1992	168	50
Ken Skeen Category:Articles with hCards	England	Various	1967–1974	270	40
Neil Slatter Category:Articles with hCards	Wales *	Defender	1985–1989	115	9
David Sloan Category:Articles with hCards	Northern Ireland *	Forward	1968–1973	200	34
Gary Smart Category:Articles with hCards	England	Defender	1988–1994	204	0
Dave Smith Category:Articles with hCards	England	Midfielder	1994–1999	231	4
Jim Smith Category:Articles with hCards	England	Midfielder	1949–1955	143	22
Tim Smithers Category:Articles with hCards	England	Midfielder	1980–1983	124	7
Rodney Smithson Category:Articles with hCards	England	Midfielder	1965–1974	180	6
Ronnie Steel Category:Articles with hCards	England	Midfielder	1952–1955	130	32
Paul Tait Category:Articles with hCards	England	Midfielder	1999–2002	105	3
Les Taylor Category:Articles with hCards	England	Midfielder	1975–1980	239	16
Andy Thomas Category:Articles with hCards	England	Midfielder	1981–1986	150	45
Cyril Toulouse Category:Articles with hCards	England	Midfielder	1950–1954	152	20
John Trewick Category:Articles with hCards	England	Midfielder	1984–1987	142	4
Billy Turley Category:Articles with hCards	England	Goalkeeper	2005–2010	186	0
Paul Wanless Category:Articles with hCards	England	Midfielder	1991–1995 2003–2005	109	7
Mark Watson Category:Articles with hCards	Canada *	Defender	1998–2000	69	0
Dean Windass Category:Articles with hCards	England	Forward	1998–1999	38	18
Dean Whitehead Category:Articles with hCards	England	Midfielder	1999–2004	136	9
Phil Whitehead Category:Articles with hCards	England	Goalkeeper	1993–1998	238	0
Alan Willey Category:Articles with hCards	England	Forward	1961–1966	128	48
Andy Woodman Category:Articles with hCards	England	Goalkeeper	2002–2004	112	0
Jake Wright Category:Articles with hCards	England	Defender	2010–	167	0
Harry Yates Category:Articles with hCards	England	Midfielder	1952–1955	103	54
