Year	Event	Pole position time	107% time	Driver	Team	Time	% of pole	Allowed to race?
2011	Belgian Grand Prix	2:01.813	2:10.339	Michael Schumacher	Mercedes	No time set	N/A	Yes
2011	Japanese Grand Prix	1:32.626	1:39.109	Nico Rosberg	Mercedes	No time set	N/A	Yes
2011	Japanese Grand Prix	1:32.626	1:39.109	Vitantonio Liuzzi	HRT	No time set	N/A	Yes
2011	Korean Grand Prix	1:37.525	1:44.351	Daniel Ricciardo	HRT	No time set	N/A	Yes
2011	Indian Grand Prix	1:26.189	1:32.222	Timo Glock	Virgin	1:34.046	109.116	Yes
2011	Abu Dhabi Grand Prix	1:39.782	1:46.766	Rubens Barrichello	Williams	No time set	N/A	Yes
2012	Australian Grand Prix	1:26.182	1:32.214	Pedro de la Rosa	HRT	1:33.495	108.486	No
2012	Australian Grand Prix	1:26.182	1:32.214	Narain Karthikeyan	HRT	1:33.643	108.658	No
2012	Spanish Grand Prix	1:22.583	1:28.363	Narain Karthikeyan	HRT	1:31.122	110.340	Yes
2012	Spanish Grand Prix	1:22.583	1:28.363	Lewis Hamilton	McLaren	Excluded	N/A	Yes
2012	Monaco Grand Prix	1:15.418	1:20.697	Sergio Pérez	Sauber	No time set	N/A	Yes
2012	British Grand Prix	1:46.279	1:53.718	Charles Pic	Marussia	1:54.143	107.399	Yes
2012	Italian Grand Prix	1:24.175	1:30.067	Nico Hülkenberg	Force India	No time set	N/A	Yes
2012	Korean Grand Prix	1:38.397	1:45.082	Narain Karthikeyan	HRT	No time set	N/A	Yes
2012	Abu Dhabi Grand Prix	1:41.497	1:48.601	Sebastian Vettel	Red Bull	Excluded	N/A	Yes
2013	Australian Grand Prix	1:43.380	1:50.616	Charles Pic	Caterham	1:50.626	107.009	Yes
2013	Chinese Grand Prix	1:35.793	1:42.498	Mark Webber	Red Bull	Excluded	N/A	Yes
2013	Monaco Grand Prix	1:23.452	1:29.293	Jules Bianchi	Marussia	No time set	N/A	Yes
2013	Monaco Grand Prix	1:23.452	1:29.293	Felipe Massa	Ferrari	No time set	N/A	Yes
