Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1990	March 18	Dale Earnhardt	Richard Childress Racing	Chevrolet	328	499.216 (803.41)	3:10:58	156.849	Report
1991	March 17/18*	Ken Schrader	Hendrick Motorsports	Chevrolet	328	499.216 (803.41)	3:33:14	140.47	Report
1992	March 15	Bill Elliott	Junior Johnson & Associates	Ford	328	499.216 (803.41)	3:22:44	147.746	Report
1993	March 20*	Morgan Shepherd	Wood Brothers Racing	Ford	328	499.216 (803.41)	3:17:26	150.442	Report
1994	March 13	Ernie Irvan	Robert Yates Racing	Ford	328	499.216 (803.41)	3:24:58	146.136	Report
1995	March 12	Jeff Gordon	Hendrick Motorsports	Chevrolet	328	499.216 (803.41)	3:19:32	150.115	Report
1996	March 10	Dale Earnhardt	Richard Childress Racing	Chevrolet	328	499.216 (803.41)	3:05:42	161.298	Report
1997 *	March 9	Dale Jarrett	Robert Yates Racing	Ford	328	499.216 (803.41)	3:45:40	132.731	Report
1998	March 9*	Bobby Labonte	Joe Gibbs Racing	Pontiac	325	500.5 (805.476)	3:35:16	139.501	Report
1999	March 14	Jeff Gordon	Hendrick Motorsports	Chevrolet	325	500.5 (805.476)	3:29:35	143.284	Report
2000	March 12	Dale Earnhardt	Richard Childress Racing	Chevrolet	325	500.5 (805.476)	3:47:55	131.759	Report
2001	March 11	Kevin Harvick	Richard Childress Racing	Chevrolet	325	500.5 (805.476)	3:29:36	143.273	Report
2002	March 10	Tony Stewart	Joe Gibbs Racing	Pontiac	325	500.5 (805.476)	3:22:18	148.443	Report
2003	March 9	Bobby Labonte	Joe Gibbs Racing	Chevrolet	325	500.5 (805.476)	3:25:37	146.048	Report
2004	March 14	Dale Earnhardt, Jr.	Dale Earnhardt, Inc.	Chevrolet	325	500.5 (805.476)	3:09:15	158.679	Report
2005	March 20	Carl Edwards	Roush Racing	Ford	325	500.5 (805.476)	3:29:18	143.478	Report
2006	March 20*	Kasey Kahne	Evernham Motorsports	Dodge	325	500.5 (805.476)	3:28:24	144.098	Report
2007	March 18	Jimmie Johnson	Hendrick Motorsports	Chevrolet	325	500.5 (805.476)	3:16:23	152.915	Report
2008	March 9	Kyle Busch	Joe Gibbs Racing	Toyota	325	500.5 (805.476)	3:33:01	140.975	Report
2009	March 8	Kurt Busch	Penske Racing	Dodge	330*	508.2 (817.868)	3:59:01	127.573	Report
