Year	Comedy	Drama	Variety	Lead Comedy Actor	Lead Drama Actor	Lead Comedy Actress	Lead Drama Actress
1997	Frasier (NBC)	Law & Order (NBC)	Tracey Takes On... (HBO)	John Lithgow 3rd Rock from the Sun (NBC)	Dennis Franz NYPD Blue (ABC)	Helen Hunt Mad About You (NBC)	Gillian Anderson The X-Files (Fox)
1998	Frasier (NBC)	The Practice (ABC)	Late Show with David Letterman (CBS)	Kelsey Grammer Frasier (NBC)	Andre Braugher Homicide: Life on the Street (NBC)	Helen Hunt Mad About You (NBC)	Christine Lahti Chicago Hope (CBS)
1999	Ally McBeal (Fox)	The Practice (ABC)	Late Show with David Letterman (CBS)	John Lithgow 3rd Rock from the Sun (NBC)	Dennis Franz NYPD Blue (ABC)	Helen Hunt Mad About You (NBC)	Edie Falco The Sopranos (HBO)
2000	Will & Grace (NBC)	The West Wing (NBC)	Late Show with David Letterman (CBS)	Michael J. Fox Spin City (ABC)	James Gandolfini The Sopranos (HBO)	Patricia Heaton Everybody Loves Raymond (CBS)	Sela Ward Once and Again (ABC)
2001	Sex and the City (HBO)	The West Wing (NBC)	Late Show with David Letterman (CBS)	Eric McCormack Will & Grace (NBC)	James Gandolfini The Sopranos (HBO)	Patricia Heaton Everybody Loves Raymond (CBS)	Edie Falco The Sopranos (HBO)
2002	Friends (NBC)	The West Wing (NBC)	Late Show with David Letterman (CBS)	Ray Romano Everybody Loves Raymond (CBS)	Michael Chiklis The Shield (FX)	Jennifer Aniston Friends (NBC)	Allison Janney The West Wing (NBC)
2003	Everybody Loves Raymond (CBS)	The West Wing (NBC)	The Daily Show (Comedy Central)	Tony Shalhoub Monk (USA)	James Gandolfini The Sopranos (HBO)	Debra Messing , Will & Grace (NBC)	Edie Falco , The Sopranos (HBO)
2004	Arrested Development (Fox)	The Sopranos (HBO)	The Daily Show (Comedy Central)	Kelsey Grammer Frasier (NBC)	James Spader The Practice (ABC)	Sarah Jessica Parker , Sex and the City (HBO)	Allison Janney , The West Wing (NBC)
2005	Everybody Loves Raymond (CBS)	Lost (ABC)	The Daily Show (Comedy Central)	Tony Shalhoub Monk (USA)	James Spader Boston Legal (ABC)	Felicity Huffman Desperate Housewives (ABC)	Patricia Arquette Medium (NBC)
2007	30 Rock (NBC)	The Sopranos (HBO)	The Daily Show (Comedy Central)	Ricky Gervais Extras (BBC/HBO)	James Spader Boston Legal (ABC)	America Ferrera Ugly Betty (ABC)	Sally Field Brothers & Sisters (ABC)
2008	30 Rock (NBC)	Mad Men (AMC)	The Daily Show (Comedy Central)	Alec Baldwin 30 Rock (NBC)	Bryan Cranston Breaking Bad (AMC)	Tina Fey 30 Rock (NBC)	Glenn Close Damages (FX)
2009	30 Rock (NBC)	Mad Men (AMC)	The Daily Show (Comedy Central)	Alec Baldwin 30 Rock (NBC)	Bryan Cranston Breaking Bad (AMC)	Toni Collette United States of Tara (Showtime)	Glenn Close Damages (FX)
2010	Modern Family (ABC)	Mad Men (AMC)	The Daily Show (Comedy Central)	Jim Parsons The Big Bang Theory (CBS)	Bryan Cranston Breaking Bad (AMC)	Edie Falco Nurse Jackie (Showtime)	Kyra Sedgwick The Closer (TNT)
2011	Modern Family (ABC)	Mad Men (AMC)	The Daily Show (Comedy Central)	Jim Parsons The Big Bang Theory (CBS)	Kyle Chandler Friday Night Lights (DirecTV)	Melissa McCarthy Mike and Molly (CBS)	Julianna Margulies The Good Wife (CBS)
2012	Modern Family (ABC)	Homeland (Showtime)	The Daily Show (Comedy Central)	Jon Cryer Two and a Half Men (CBS)	Damian Lewis Homeland (Showtime)	Julia Louis-Dreyfus Veep (HBO)	Claire Danes Homeland (Showtime)
