Song title	Artist	Decade	Genre	Single / Pack name	Release date	Family Friendly	Additional Rock Band 3 Features
" New "	No Doubt	2000s	Pop-Rock	Single	Mar.3,2009	Yes	None
" Love Struck Baby "	Stevie Ray Vaughan and Double Trouble	1980s	Blues	Texas Flood	Mar.3,2009	Yes	None
" Pride and Joy "	Stevie Ray Vaughan and Double Trouble	1980s	Blues	Texas Flood	Mar.3,2009	Yes	Pro Guitar/Bass
" Texas Flood "	Stevie Ray Vaughan and Double Trouble	1980s	Blues	Texas Flood	Mar.3,2009	Yes	None
"Tell Me"	Stevie Ray Vaughan and Double Trouble	1980s	Blues	Texas Flood	Mar.3,2009	Yes	None
" Testify "	Stevie Ray Vaughan and Double Trouble	1980s	Blues	Texas Flood	Mar.3,2009	Yes	None
" Rude Mood "	Stevie Ray Vaughan and Double Trouble	1980s	Blues	Texas Flood	Mar.3,2009	Yes	None
"Mary Had a Little Lamb"	Stevie Ray Vaughan and Double Trouble	1980s	Blues	Texas Flood	Mar.3,2009	Yes	None
"Dirty Pool"	Stevie Ray Vaughan and Double Trouble	1980s	Blues	Texas Flood	Mar.3,2009	Yes	None
"I'm Cryin'"	Stevie Ray Vaughan and Double Trouble	1980s	Blues	Texas Flood	Mar.3,2009	Yes	None
" Lenny "	Stevie Ray Vaughan and Double Trouble	1980s	Blues	Texas Flood	Mar.3,2009	Yes	None
" All I Want "	The Offspring	1990s	Punk	Single	Mar.10,2009	Yes	None
" The Kids Aren't Alright "	The Offspring	1990s	Punk	Single	Mar.10,2009	No	None
" Losing My Religion "	R.E.M.	1990s	Alternative	Single	Mar.10,2009	Yes	None
"The Way That It Shows"	Richard Thompson	1990s	Rock	Single	Mar.10,2009	Yes	None
" Pick Up the Pieces "	Average White Band	1970s	R&B/Soul/Funk	Get the Funk Out 01	Mar.17,2009	Yes	None
" Shining Star "	Earth, Wind & Fire	1970s	R&B/Soul/Funk	Get the Funk Out 01	Mar.17,2009	Yes	None
" Thrash Unreal "	Against Me!	2000s	Punk	Single	Mar.17,2009	No	None
"All the Things That Go to Make Heaven and Earth"	The New Pornographers	2000s	Indie Rock	Single	Mar.17,2009	No	None
"Use It"	The New Pornographers	2000s	Indie Rock	Single	Mar.17,2009	No	None
" Last Resort "	Papa Roach	2000s	Alternative	Single	Mar.17,2009	No	None
" Lifeline "	Papa Roach	2000s	Alternative	Single	Mar.17,2009	Yes	None
" Once "	Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	No	None
" Even Flow "	Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	Yes	Backing vocals & Pro Guitar/Bass
"Why Go"	Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	Yes	Backing vocals
" Black "	Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	No	Backing vocals
" Jeremy "	Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	No	Backing vocals
" Oceans "	Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	Yes	Backing vocals
" Porch "	Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	Yes	None
"Garden"	Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	Yes	Backing vocals
"Deep"	Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	No	Backing vocals
"Release"	Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	Yes	None
"Master/Slave"	Pearl Jam	1990s	Grunge	Ten	Mar.24,2009	Yes	None
" Don't Stop Believing "	Journey	1980s	Classic Rock	Single	Mar.31,2009	No	None
" Heartbreaker "	Pat Benatar	1970s	Classic Rock	Single	Mar.31,2009	Yes	None
" Geraldine "	Glasvegas	2000s	Alternative	Single	Mar.31,2009	Yes	None
"C'mon C'mon"	The Von Bondies	2000s	Alternative	Single	Mar.31,2009	No	None
"I Can't Keep My Eyes Off of You"	SpongeBob SquarePants	2000s	Other	SpongeBob SquarePants 01	Mar.31,2009	Yes	None
"The Best Day Ever"	SpongeBob SquarePants	2000s	Other	SpongeBob SquarePants 01	Mar.31,2009	Yes	None
"Where's Gary?"	SpongeBob SquarePants	2000s	Other	SpongeBob SquarePants 01	Mar.31,2009	Yes	None
" New Slang "	The Shins	2000s	Indie Rock	Single	Apr.7,2009	No	None
"Warriors of Time"	Black Tide	2000s	Metal	Single	Apr.7,2009	No	None
" Waking the Demon "	Bullet for My Valentine	2000s	Metal	Single	Apr.7,2009	No	None
" Beer for My Horses "	Toby Keith	2000s	Country	Toby Keith 01	Apr.7,2009	No	None
" I Love This Bar "	Toby Keith	2000s	Country	Toby Keith 01	Apr.7,2009	No	None
" She's a Hottie "	Toby Keith	2000s	Country	Toby Keith 01	Apr.7,2009	No	None
" Should've Been a Cowboy "	Toby Keith	1990s	Country	Toby Keith 01	Apr.7,2009	Yes	None
" Who's Your Daddy? "	Toby Keith	2000s	Country	Toby Keith 01	Apr.7,2009	Yes	None
" How Do You Like Me Now?! "	Toby Keith	1990s	Country	Toby Keith 01	Apr.7,2009	Yes	None
" Chinese Democracy "	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	No	None
" Better "	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	Yes	None
"Street of Dreams"	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	No	None
"If the World"	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	Yes	None
"There Was a Time"	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	No	None
"Catcher in the Rye"	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	No	None
"Scraped"	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	Yes	None
"Riad N' the Bedouins"	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	Yes	None
"Sorry"	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	No	None
" I.R.S. "	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	No	None
" Madagascar "	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	No	None
"This I Love"	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	No	None
" Prostitute "	Guns N' Roses	2000s	Rock	Chinese Democracy	Apr.14,2009	No	None
"Riding the Storm Out"	REO Speedwagon	1980s	Rock	REO Speedwagon / Styx Tour '09	Apr.21,2009	No	None
"Roll with the Changes"	REO Speedwagon	1980s	Rock	REO Speedwagon / Styx Tour '09	Apr.21,2009	Yes	None
" Take It on the Run "	REO Speedwagon	1980s	Rock	REO Speedwagon / Styx Tour '09	Apr.21,2009	No	None
" Blue Collar Man (Long Nights) "	Styx	2000s	Classic Rock	REO Speedwagon / Styx Tour '09	Apr.21,2009	Yes	None
" Renegade "	Styx	2000s	Classic Rock	REO Speedwagon / Styx Tour '09	Apr.21,2009	Yes	None
" Too Much Time on My Hands "	Styx	2000s	Classic Rock	REO Speedwagon / Styx Tour '09	Apr.21,2009	No	None
"Can't Stop Rockin'"	Styx / REO Speedwagon	2000s	Rock	REO Speedwagon / Styx Tour '09	Apr.21,2009	Yes	None
"Alone in My Head"	Hautewerk	2000s	Indie Rock	Hautewerk 01	Apr.21,2009	Yes	None
"I Know Where You Came From"	Hautewerk	2000s	Indie Rock	Hautewerk 01	Apr.21,2009	Yes	None
"Stop Start Again"	Hautewerk	2000s	Indie Rock	Hautewerk 01	Apr.21,2009	Yes	None
"Up the Beach"	Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	Yes	None
"Ocean Size"	Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	Yes	None
"Had a Dad"	Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	No	None
"Ted, Just Admit It..."	Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	No	None
"Standing in the Shower... Thinking"	Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	No	None
"Summertime Rolls"	Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	No	None
"Idiots Rule"	Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	No	None
" Jane Says "	Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	No	Pro Guitar/Bass
"Thank You Boys"	Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	Yes	None
"Pig's in Zen"	Jane's Addiction	1980s	Alternative	Nothing's Shocking	Apr.28,2009	No	None
" Take Me Out "	Franz Ferdinand	2000s	Alternative	Franz Ferdinand 01	May5,2009	Yes	None
" Lucid Dreams "	Franz Ferdinand	2000s	Alternative	Franz Ferdinand 01	May5,2009	Yes	None
" Do You Want To "	Franz Ferdinand	2000s	Alternative	Franz Ferdinand 01	May5,2009	Yes	None
" Smooth Criminal "	Alien Ant Farm	2000s	Rock	Single	May5,2009	No	None
" Blue Sky "	The Allman Brothers Band	1970s	Southern Rock	Single	May5,2009	Yes	None
" Midnight Rider "	The Allman Brothers Band	1970s	Southern Rock	Single	May5,2009	Yes	None
" Drain the Blood "	The Distillers	2000s	Punk	Single	May5,2009	No	None
" Naked Eye "	Luscious Jackson	1990s	Alternative	Single	May5,2009	No	None
"Idealistic Types"	Prong	2000s	Metal	Single	May5,2009	No	None
"The Banishment"	Prong	2000s	Metal	Single	May5,2009	No	None
" Bad Luck "	Social Distortion	1990s	Punk	Social Distortion 01	May12,2009	No	None
" Ring of Fire "	Social Distortion	1990s	Punk	Social Distortion 01	May12,2009	Yes	None
" Story of My Life "	Social Distortion	1990s	Punk	Social Distortion 01	May12,2009	Yes	None
" Stricken "	Disturbed	2000s	Nu-Metal	Single	May12,2009	No	None
" Stupify "	Disturbed	2000s	Nu-Metal	Single	May12,2009	No	None
"Black Friday"	Steely Dan	1970s	Classic Rock	Single	May12,2009	Yes	None
" My Old School "	Steely Dan	1970s	Classic Rock	Single	May12,2009	No	None
" Radio Radio "	Elvis Costello	1970s	Rock	Single	May12,2009	Yes	None
" School's Out " (Live)	Alice Cooper	1990s	Rock	Alice Cooper 01	May19,2009	Yes	None
" I'm Eighteen " (Live)	Alice Cooper	1990s	Rock	Alice Cooper 01	May19,2009	Yes	None
" Billion Dollar Babies " (Live)	Alice Cooper	1990s	Rock	Alice Cooper 01	May19,2009	No	None
" Poison "	Alice Cooper	1980s	Rock	Alice Cooper 01	May19,2009	No	None
" Under My Wheels " (Live)	Alice Cooper	1990s	Rock	Alice Cooper 01	May19,2009	Yes	None
"Vengeance is Mine"	Alice Cooper	2000s	Rock	Alice Cooper 01	May19,2009	No	None
" Liar (It Takes One to Know One) "	Taking Back Sunday	2000s	Emo	Taking Back Sunday 01	May19,2009	Yes	None
" MakeDamnSure "	Taking Back Sunday	2000s	Emo	Taking Back Sunday 01	May19,2009	No	None
" What's It Feel Like to Be a Ghost? "	Taking Back Sunday	2000s	Emo	Taking Back Sunday 01	May19,2009	No	None
"Kids Don't Follow"	The Replacements	1980s	Punk	Single	May19,2009	No	None
"Cuz U R Next"	Ministry	2000s	Metal	Ministry 01	May26,2009	No	None
"LiesLiesLies"	Ministry	2000s	Metal	Ministry 01	May26,2009	No	None
"The Great Satan"	Ministry	2000s	Metal	Ministry 01	May26,2009	No	None
" She's Not There "	The Zombies	1960s	Pop-Rock	Single	May26,2009	Yes	None
" Tell Her No "	The Zombies	1960s	Pop-Rock	Single	May26,2009	Yes	None
" Linger "	The Cranberries	1990s	Alternative	Single	May26,2009	Yes	None
"Shimmer & Shine"	Ben Harper and Relentless7	2000s	Alternative	Bonnaroo 01	June2,2009	Yes	None
" A Favor House Atlantic "	Coheed and Cambria	2000s	Prog	Bonnaroo 01	June2,2009	Yes	None
"The Running Free"	Coheed and Cambria	2000s	Prog	Bonnaroo 01	June2,2009	No	None
"Wilson" (Live)	Phish	1990s	Rock	Bonnaroo 01	June2,2009	Yes	None
"Steady at the Wheel"	Shooter Jennings	2000s	Country	Bonnaroo 01	June2,2009	Yes	None
" Wolf Like Me "	TV on the Radio	2000s	Indie Rock	Bonnaroo 01	June2,2009	No	None
" Aces High " (Live)	Iron Maiden	2000s	Metal	Iron Maiden 01	June9,2009	Yes	None
" 2 Minutes to Midnight "	Iron Maiden	1980s	Metal	Iron Maiden 01	June9,2009	No	None
" The Trooper "	Iron Maiden	1980s	Metal	Iron Maiden 01	June9,2009	No	None
" Wasted Years "	Iron Maiden	1980s	Metal	Iron Maiden 01	June9,2009	Yes	None
" The Number of the Beast " (Original Version)	Iron Maiden	1980s	Metal	Iron Maiden 01	June9,2009	No	None
" Run to the Hills " (Original Version)	Iron Maiden	1980s	Metal	Iron Maiden 01	June9,2009	No	None
" Can I Play with Madness "	Iron Maiden	1980s	Metal	Iron Maiden 01	June9,2009	No	None
" The Clairvoyant "	Iron Maiden	1980s	Metal	Iron Maiden 01	June9,2009	No	None
" Powerslave "	Iron Maiden	1980s	Metal	Iron Maiden 01	June9,2009	No	None
" Fear of the Dark " (Live)	Iron Maiden	2000s	Metal	Iron Maiden 01	June9,2009	Yes	None
" Hallowed Be Thy Name " (Live)	Iron Maiden	2000s	Metal	Iron Maiden 01	June9,2009	No	None
" Iron Maiden " (Live)	Iron Maiden	2000s	Metal	Iron Maiden 01	June9,2009	No	None
" Bring Me to Life "	Evanescence	2000s	Nu-Metal	Evanescence 01	June16,2009	Yes	None
" Call Me When You're Sober "	Evanescence	2000s	Nu-Metal	Evanescence 01	June16,2009	No	None
"Weight of the World"	Evanescence	2000s	Nu-Metal	Evanescence 01	June16,2009	No	None
"Back from the Dead"	Spinal Tap	2000s	Rock	Spinal Tap 01	June16,2009	No	None
"Rock 'n' Roll Nightmare"	Spinal Tap	2000s	Rock	Spinal Tap 01	June16,2009	No	None
"Saucy Jack"	Spinal Tap	2000s	Rock	Spinal Tap 01	June16,2009	No	None
"Warmer Than Hell"	Spinal Tap	2000s	Rock	Spinal Tap 01	June16,2009	No	None
"The Downfall of Us All"	Day to Remember A Day to Remember	2000s	Punk	Warped Tour 2009 01	June23,2009	Yes	None
" 21st Century (Digital Boy) "	Bad Religion	1990s	Punk	Warped Tour 2009 01	June23,2009	No	None
"The Flood"	Escape the Fate	2000s	Emo	Warped Tour 2009 01	June23,2009	Yes	None
" Reinventing Your Exit "	Underoath	2000s	Emo	Warped Tour 2009 01	June23,2009	Yes	None
"Little of Your Time"	Maroon 5	2000s	Pop-Rock	Maroon 5 01	June23,2009	No	None
" Makes Me Wonder "	Maroon 5	2000s	Pop-Rock	Maroon 5 01	June23,2009	No	None
" Wake Up Call "	Maroon 5	2000s	Pop-Rock	Maroon 5 01	June23,2009	No	None
" Brother "	Pearl Jam	2000s	Grunge	Ten Bonus Pack	June23,2009	No	Backing vocals
" Alive " ( Live: Drop in the Park )	Pearl Jam	2000s	Grunge	Ten Bonus Pack	June23,2009	No	None
"Blue Morning, Blue Day"	Foreigner	1970s	Classic Rock	Foreigner 01	June30,2009	Yes	None
" Feels Like the First Time "	Foreigner	1970s	Classic Rock	Foreigner 01	June30,2009	No	None
"Headknocker"	Foreigner	1970s	Classic Rock	Foreigner 01	June30,2009	Yes	None
"Weapon of Choice"	Black Rebel Motorcycle Club	2000s	Alternative	Single	June30,2009	No	None
"Sweet Talk"	Dear and the Headlights	2000s	Indie Rock	Warped Tour 2009 02	June30,2009	Yes	None
"Hey John, What's Your Name Again?"	The Devil Wears Prada	2000s	Metal	Warped Tour 2009 02	June30,2009	No	None
"Image of the Invisible"	Thrice	2000s	Rock	Warped Tour 2009 02	June30,2009	Yes	None
" 21 Guns "	Green Day	2000s	Rock	Green Day 01	July7,2009	No	Backing vocals
" East Jesus Nowhere "	Green Day	2000s	Rock	Green Day 01	July7,2009	No	Backing vocals
" Know Your Enemy "	Green Day	2000s	Rock	Green Day 01	July7,2009	No	Backing vocals
"Conquer All"	Behemoth	2000s	Metal	Mayhem Tour 2009	July7,2009	No	None
"What a Horrible Night to Have a Curse"	The Black Dahlia Murder	2000s	Metal	Mayhem Tour 2009	July7,2009	No	None
" Hammer Smashed Face "	Cannibal Corpse	1990s	Metal	Mayhem Tour 2009	July7,2009	No	None
"Empire of the Gun"	God Forbid	2000s	Metal	Mayhem Tour 2009	July7,2009	No	None
"Embedded"	Job for a Cowboy	2000s	Metal	Mayhem Tour 2009	July7,2009	No	None
" Disposable Teens "	Marilyn Manson	2000s	Glam	Mayhem Tour 2009	July7,2009	No	None
"Black Magic"	Slayer	1980s	Metal	Mayhem Tour 2009	July7,2009	No	None
"This Is Exile"	Whitechapel	2000s	Metal	Mayhem Tour 2009	July7,2009	No	None
"All Going Out Together"	Big Dipper	2000s	Indie Rock	Big Dipper 01	July14,2009	Yes	None
"She's Fetching"	Big Dipper	2000s	Indie Rock	Big Dipper 01	July14,2009	Yes	None
"Younger Bums"	Big Dipper	2000s	Indie Rock	Big Dipper 01	July14,2009	No	None
"Dissident Aggressor" (Live)	Judas Priest	2000s	Metal	Judas Priest 01	July14,2009	No	None
"Eat Me Alive" (Live)	Judas Priest	2000s	Metal	Judas Priest 01	July14,2009	No	None
"Prophecy" (Live)	Judas Priest	2000s	Metal	Judas Priest 01	July14,2009	No	None
" Hang You from the Heavens "	The Dead Weather	2000s	Alternative	The Dead Weather 01	July14,2009	No	None
"No Hassle Night"	The Dead Weather	2000s	Alternative	The Dead Weather 01	July14,2009	Yes	None
"Treat Me Like Your Mother"	The Dead Weather	2000s	Alternative	The Dead Weather 01	July14,2009	Yes	None
" Crawl "	Kings of Leon	2000s	Rock	Kings of Leon 01	July21,2009	No	None
" Molly's Chambers "	Kings of Leon	2000s	Rock	Kings of Leon 01	July21,2009	No	None
" Sex on Fire "	Kings of Leon	2000s	Rock	Kings of Leon 01	July21,2009	No	None
" Last One to Die "	Rancid	2000s	Punk	Rancid 01	July21,2009	No	None
" Ruby Soho "	Rancid	1990s	Punk	Rancid 01	July21,2009	Yes	None
" Time Bomb "	Rancid	1990s	Punk	Rancid 01	July21,2009	No	None
" Prayer of the Refugee "	Rise Against	2000s	Punk	Rise Against 01	July21,2009	Yes	None
" Re-Education (Through Labor) "	Rise Against	2000s	Punk	Rise Against 01	July21,2009	Yes	None
" Savior "	Rise Against	2000s	Punk	Rise Against 01	July21,2009	Yes	None
"Sweetness & Light"	Lush	1990s	Alternative	Single	July21,2009	Yes	None
" Down "	Blink-182	2000s	Punk	Blink-182 01	July28,2009	Yes	None
" Feeling This "	Blink-182	2000s	Punk	Blink-182 01	July28,2009	No	None
" The Rock Show "	Blink-182	2000s	Punk	Blink-182 01	July28,2009	No	None
"100,000 Years" (Live)	Kiss	1970s	Classic Rock	Kiss 01	July28,2009	No	None
" Deuce " (Live)	Kiss	1970s	Classic Rock	Kiss 01	July28,2009	No	None
"Parasite" (Live)	Kiss	1970s	Classic Rock	Kiss 01	July28,2009	Yes	None
" My Name Is Jonas "	Weezer	1990s	Alternative	Weezer 02	July28,2009	Yes	None
" Pork and Beans "	Weezer	2000s	Alternative	Weezer 02	July28,2009	Yes	None
" Undone - The Sweater Song "	Weezer	1990s	Alternative	Weezer 02	July28,2009	No	None
"Out Here All Night"	Damone	2000s	Rock	Single	July28,2009	Yes	None
" (Funky) Sex Farm "	Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	No	None
" (Listen to the) Flower People (Reggae Stylee)"	Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	Yes	None
"America"	Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	No	None
"Big Bottom"	Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	No	None
"Cups and Cakes"	Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	No	None
"Gimme Some Money"	Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	No	None
"Heavy Duty"	Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	Yes	None
"Hell Hole"	Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	No	None
"Rock 'n' Roll Creation"	Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	Yes	None
"Stonehenge"	Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	No	None
"Tonight I'm Gonna Rock You Tonight"	Spinal Tap	2000s	Metal	Spinal Tap's Tap Ten	Aug.4,2009	No	None
" Clint Eastwood "	Gorillaz	2000s	Alternative	Gorillaz 01	Aug.11,2009	No	None
" Feel Good Inc. "	Gorillaz	2000s	Alternative	Gorillaz 01	Aug.11,2009	No	None
"Re-Hash"	Gorillaz	2000s	Alternative	Gorillaz 01	Aug.11,2009	No	None
" Piece of My Heart "	Janis Joplin	1970s	Classic Rock	Single	Aug.11,2009	Yes	None
" Chest Fever " (Live)	The Band	1970s	Classic Rock	Single	Aug.11,2009	No	None
" White Rabbit "	Jefferson Airplane	1960s	Classic Rock	Single	Aug.11,2009	No	None
" Magic Bus " ( Live at Leeds )	The Who	1970s	Classic Rock	Single	Aug.11,2009	No	None
" No Rain "	Blind Melon	1990s	Alternative	Single	Aug.18,2009	No	None
" There's No Other Way "	Blur	1990s	Alternative	Single	Aug.18,2009	No	None
" I'm Shipping Up to Boston "	Dropkick Murphys	2000s	Punk	Single	Aug.18,2009	No	None
" Inside Out "	Eve 6	1990s	Alternative	Single	Aug.18,2009	No	Pro Guitar/Bass
" I Predict a Riot "	Kaiser Chiefs	2000s	Indie Rock	Single	Aug.18,2009	No	None
" All My Life "	Foo Fighters	2000s	Alternative	Foo Fighters 02	Aug.18,2009	No	None
" I'll Stick Around "	Foo Fighters	1990s	Alternative	Foo Fighters 02	Aug.18,2009	No	None
"Lonely as You"	Foo Fighters	2000s	Alternative	Foo Fighters 02	Aug.18,2009	No	None
" Mony Mony "	Billy Idol	1980s	Rock	Single	Aug.25,2009	No	None
" Rebel Yell "	Billy Idol	1980s	Rock	Single	Aug.25,2009	No	None
" Don't Stop "	Fleetwood Mac	1970s	Classic Rock	Single	Aug.25,2009	Yes	None
"World Turning"	Fleetwood Mac	1970s	Classic Rock	Single	Aug.25,2009	Yes	None
" She's a Genius "	Jet	2000s	Alternative	Single	Aug.25,2009	No	None
" I Won't Back Down "	Tom Petty	1980s	Classic Rock	Single	Aug.25,2009	Yes	None
" Runnin' Down a Dream "	Tom Petty	1980s	Classic Rock	Single	Aug.25,2009	Yes	None
" Bat Country "	Avenged Sevenfold	2000s	Metal	Single	Sep.1,2009	No	None
" Town Called Malice "	The Jam	1980s	New Wave	Single	Sep.1,2009	No	None
" Going Underground "	The Jam	2000s	New Wave	Single	Sep.1,2009	Yes	None
" Supersonic " (Live)	Oasis	2000s	Rock	Single	Sep.1,2009	No	None
" Guerrilla Radio "	Rage Against the Machine	1990s	Alternative	Single	Sep.1,2009	No	None
" And She Was "	Talking Heads	1980s	New Wave	Talking Heads 01	Sep.1,2009	Yes	None
