Rank	Heat & Lane	Name	Nationality	Time
90	H03-L4	Boldbaataryn Bütekh-Uils	Mongolia	1:11.06
91	H05-L1	Rodion Davelaar	Netherlands Antilles	1:11.38
92	H04-L7	Omar Jasim	Brunei	1:11.38
93	H05-L5	Alexander Rivero	Bolivia	1:11.62
94	H06-L1	Osama Al Araj	Qatar	1:11.73
95	H05-L7	Aram Nazaryan	Armenia	1:12.21
96	H05-L8	Jehad Al Henidi	Jordan	1:12.72
97	H04-L8	Guvanch Ataniyazov	Turkmenistan	1:13.12
98	H04-L1	Eric Artur Medina Su	Panama	1:13.17
99	H05-L2	Onan Thom	Guyana	1:13.62
100	H04-L6	Kevin Cheung Ho Yan	Mauritius	1:13.87
101	H04-L2	Gavin Sants	Gibraltar	1:13.88
102	H05-L6	Jamie Zammitt	Gibraltar	1:14.43
103	H02-L3	A. Aldhaheri	United Arab Emirates	1:15.93
104	H03-L6	Eli Ebenezer Wong	Northern Mariana Islands	1:15.95
105	H03-L2	Julio Smith	Seychelles	1:16.55
106	H03-L3	Sadeq Damrah	Palestine	1:16.60
107	H03-L1	Hassan Ashraf	Maldives	1:17.26
108	H03-L8	Michael Taylor	Marshall Islands	1:17.79
109	H03-L5	Monder Al-Jabali	Libya	1:20.40
110	H02-L6	Rahim Karmali	Uganda	1:21.27
111	H01-L5	Jackson Niyomugabo	Rwanda	1:25.87
112	H02-L8	Anthony Kpetnky	Ghana	1:29.60
113	H01-L3	Seele Benjamin Ntai	Lesotho	1:31.58
114	H01-L4	Boipelo Makhothi	Lesotho	1:32.63
115	H02-L1	Vincent Leatualevao	American Samoa	1:32.86
116	H02-L5	Robert Scanlan	American Samoa	1:34.98
117	H02-L4	Abubakarr Jalloh	Sierra Leone	1:44.93
999	H02-L2	M. Alhousseini Alhassan	Niger	DNS
999	H02-L7	Julio Yao Bessan	Benin	DNS
999	H03-L7	Thi Hue Pham	Vietnam	DNS
999	H04-L3	João Aguiar	Angola	DNS
999	H06-L3	Shajahan Ali Rony	Bangladesh	DNS
999	H13-L3	Vanja Rogulj	Croatia	DNS
