Member	Party	Electorate	State	First elected
Geoff Giles	Liberal	Angas	SA	1964
Reg Gillard	Liberal	Macquarie	NSW	1975
Bruce Goodluck	Liberal	Franklin	Tas	1975
Bill Graham	Liberal	North Sydney	NSW	1949–1954, 1955–1958, 1966
Ray Groom	Liberal	Braddon	Tas	1975
David Hamer	Liberal	Isaacs	Vic	1969–1974, 1975
John Haslem	Liberal	Canberra	ACT	1975
Hon Bill Hayden	ALP	Oxley	Qld	1961
John Hodges	Liberal	Petrie	Qld	1974
Michael Hodgman	Liberal	Denison	Tas	1975
Hon Mac Holten	National	Indi	Vic	1958
John Howard	Liberal	Bennelong	NSW	1974
Hon Ralph Hunt	National	Gwydir	NSW	1969
Chris Hurford	ALP	Adelaide	SA	1969
John Hyde	Liberal	Moore	WA	1974
Ted Innes	ALP	Melbourne	Vic	1972
Ralph Jacobi	ALP	Hawker	SA	1969
Bert James	ALP	Hunter	NSW	1960
Alan Jarman	Liberal	Deakin	Vic	1966
Dr Harry Jenkins	ALP	Scullin	Vic	1969
Keith Johnson	ALP	Burke	Vic	1969
Hon Les Johnson	ALP	Hughes	NSW	1955–1966, 1969
Peter Johnson	Liberal	Brisbane	Qld	1975
Hon Charles Jones	ALP	Newcastle	NSW	1958
David Jull	Liberal	Bowman	Qld	1975
Hon Bob Katter	National	Kennedy	Qld	1966
Hon Paul Keating	ALP	Blaxland	NSW	1969
Hon Bert Kelly	Liberal	Wakefield	SA	1969
Hon Jim Killen	Liberal	Moreton	Qld	1955
Hon Bob King	National	Wimmera	Vic	1958
Dr Richard Klugman	ALP	Prospect	NSW	1969
Bruce Lloyd	National	Murray	Vic	1971
Philip Lucock	Country	Lyne	NSW	1953
Stephen Lusher	Country	Hume	NSW	1974
Hon Phillip Lynch	Liberal	Flinders	Vic	1966
Michael MacKellar	Liberal	Warringah	NSW	1969
Sandy Mackenzie	National	Calare	NSW	1975
Ian Macphee	Liberal	Balaclava	Vic	1974
Vince Martin	ALP	Banks	NSW	1969
John Martyr	Liberal	Swan	WA	1975
Ross McLean	Liberal	Perth	WA	1975
Hon John McLeay	Liberal	Boothby	SA	1966
Leslie McMahon	ALP	Sydney	NSW	1975
Rt Hon William McMahon	Liberal	Lowe	NSW	1949
Tom McVeigh	National	Darling Downs	Qld	1972
Clarrie Millar	National	Wide Bay	Qld	1974
John Moore	Liberal	Ryan	Qld	1975
Peter Morris	ALP	Shortland	NSW	1972
Maurice Neil	Liberal	St George	NSW	1975
Kevin Newman	Liberal	Bass	Tas	1975
Martin Nicholls	ALP	Bonython	SA	1963
Hon Peter Nixon	National	Gippsland	Vic	1961
Frank O'Keefe	National	Paterson	NSW	1969
Hon Andrew Peacock	Liberal	Kooyong	Vic	1966
James Porter	Liberal	Barker	SA	1975
Dr Peter Richardson	Liberal	Tangney	WA	1975
Eric Robinson	Liberal	McPherson	Qld	1972
Hon Ian Robinson	National	Cowper	NSW	1963
Philip Ruddock	Liberal	Parramatta	NSW	1973
Murray Sainsbury	Liberal	Eden-Monaro	NSW	1975
Hon Gordon Scholes	ALP	Corio	Vic	1967
Rt Hon Ian Sinclair	National	New England	NSW	1963
Roger Shipton	Liberal	Higgins	Vic	1975
Jim Short	Liberal	Ballaarat	Vic	1975
Barry Simon	Liberal	McMillan	Vic	1975
Rt Hon Sir Billy Snedden	Liberal	Bruce	Vic	1955
Tony Staley	Liberal	Chisholm	Vic	1970
Hon Frank Stewart	ALP	Lang	NSW	1953
Hon Tony Street	Liberal	Corangamite	Vic	1966
John Sullivan	National	Riverina	NSW	1974
David Thomson	National	Leichhardt	Qld	1975
Hon Tom Uren	ALP	Reid	NSW	1958
Ian Viner	Liberal	Stirling	WA	1972
Laurie Wallis	ALP	Grey	SA	1969
Hon William Wentworth	Liberal	Mackellar	NSW	1949
Stewart West 1	ALP	Cunningham	NSW	1977
Hon Gough Whitlam	ALP	Werriwa	NSW	1952
Tony Whitlam	ALP	Grayndler	NSW	1975
Ralph Willis	ALP	Gellibrand	Vic	1972
Ian Wilson	Liberal	Sturt	SA	1966–1969, 1972
Bill Yates	Liberal	Holt	Vic	1975
Mick Young	ALP	Port Adelaide	SA	1974
