County	Per capita income	Median household income	Median family income	Population	Number of households
Burnet	$25,245	$48,187	$58,045	42,750	16,511
Guadalupe	$25,218	$61,274	$69,090	131,533	45,762
Stonewall	$25,177	$52,222	$60,227	1,490	642
Wilson	$25,149	$60,493	$66,791	42,918	15,009
Carson	$24,977	$56,106	$64,746	6,182	2,452
Texas	$24,870	$49,646	$58,142	25,145,561	8,922,933
Lipscomb	$24,839	$52,566	$56,523	3,302	1,263
Young	$24,656	$36,900	$50,571	18,550	7,343
Hartley	$24,616	$66,583	$71,332	6,062	1,771
Clay	$24,565	$50,881	$58,050	10,752	4,319
Jackson	$24,337	$47,483	$58,561	14,075	5,284
Bandera	$24,249	$44,352	$52,104	20,485	8,564
Armstrong	$24,195	$60,530	$64,130	1,901	751
Crockett	$24,194	$50,653	$51,250	3,719	1,422
Victoria	$24,146	$48,767	$55,013	86,793	32,187
Wise	$24,075	$55,207	$63,719	59,127	21,015
Hardin	$23,965	$52,755	$61,451	54,635	20,462
Kaufman	$23,909	$58,555	$65,761	103,350	34,964
Archer	$23,882	$50,891	$63,388	9,054	3,538
Franklin	$23,821	$45,625	$55,839	10,605	4,159
Johnson	$23,669	$54,954	$61,462	150,934	52,193
Cooke	$23,598	$48,899	$57,689	38,437	14,513
Brewster	$23,577	$35,799	$56,710	9,232	4,207
Mason	$23,555	$38,702	$55,368	4,012	1,754
Menard	$23,362	$40,996	$54,074	2,242	994
Sutton	$23,325	$56,146	$64,648	4,128	1,550
Grayson	$23,242	$46,875	$57,623	120,877	46,905
Freestone	$23,235	$44,560	$56,696	19,816	7,259
Bexar	$23,225	$47,048	$55,715	1,714,773	608,931
Lavaca	$23,168	$41,429	$52,365	19,263	7,808
Orange	$23,155	$47,914	$58,019	81,837	31,031
Upton	$23,112	$49,234	$54,583	3,355	1,256
Lee	$23,074	$46,986	$62,487	16,612	6,151
Reagan	$23,028	$54,224	$54,784	3,367	1,156
Gregg	$23,024	$43,367	$54,552	121,730	45,798
Lampasas	$22,943	$46,378	$54,500	19,677	7,539
Bastrop	$22,918	$51,829	$60,012	74,171	25,840
Baylor	$22,894	$33,459	$49,531	3,726	1,669
Ector	$22,859	$45,815	$54,395	137,130	48,688
Panola	$22,846	$45,622	$53,070	23,796	9,271
Wichita	$22,837	$42,971	$52,514	131,500	49,016
Calhoun	$22,835	$43,258	$51,766	21,381	7,766
Lubbock	$22,831	$42,562	$54,518	278,831	105,781
Gaines	$22,785	$46,393	$53,666	17,526	5,606
Haskell	$22,734	$35,295	$41,806	5,899	2,297
Bell	$22,722	$48,618	$55,191	310,235	114,035
Colorado	$22,676	$41,145	$52,526	20,874	8,182
Matagorda	$22,623	$43,205	$48,508	36,702	13,894
Taylor	$22,606	$42,403	$53,500	131,506	50,725
Nueces	$22,558	$43,280	$52,736	340,223	124,587
Oldham	$22,504	$51,111	$59,444	2,052	691
Leon	$22,484	$40,355	$51,730	16,801	6,896
Hamilton	$22,429	$40,808	$50,335	8,517	3,442
Scurry	$22,424	$42,401	$52,431	16,921	5,838
Rusk	$22,392	$46,574	$54,843	53,330	18,476
Shackelford	$22,346	$46,629	$56,058	3,378	1,367
Montague	$22,328	$42,482	$55,373	19,719	7,989
Terry	$22,306	$39,498	$48,279	12,651	4,200
Callahan	$22,300	$44,596	$49,850	13,544	5,447
Bowie	$22,293	$42,550	$53,819	92,565	34,669
Tom Green	$22,292	$41,398	$53,584	110,224	42,331
Jefferson	$22,095	$42,293	$52,625	252,273	93,441
Harrison	$22,019	$44,425	$54,598	65,631	24,523
Jeff Davis	$22,007	$43,750	$49,635	2,342	1,034
Upshur	$21,946	$44,403	$54,592	39,309	14,925
Collingsworth	$21,726	$39,712	$50,679	3,057	1,179
Wood	$21,682	$41,277	$50,923	41,964	17,118
Hunt	$21,646	$43,101	$52,975	86,129	32,076
Waller	$21,621	$47,324	$52,899	43,205	14,040
Sherman	$21,587	$50,069	$59,148	3,034	1,081
Henderson	$21,580	$39,779	$49,108	78,532	31,020
Palo Pinto	$21,551	$41,095	$48,655	28,111	10,871
Live Oak	$21,540	$43,719	$52,083	11,531	4,257
Milam	$21,509	$39,035	$50,797	24,757	9,408
San Jacinto	$21,453	$46,285	$52,267	26,384	10,096
Burleson	$21,379	$43,185	$57,002	17,187	6,822
McMullen	$21,358	$41,453	$52,857	707	310
Jack	$21,349	$46,801	$60,365	9,044	3,136
Schleicher	$21,299	$55,186	$59,141	3,461	1,182
Bosque	$21,269	$45,288	$50,568	18,212	7,254
Hopkins	$21,163	$41,642	$53,041	35,161	13,308
Ochiltree	$21,143	$49,309	$60,409	10,223	3,617
Robertson	$21,113	$38,393	$45,265	16,622	6,541
Hansford	$21,095	$52,239	$56,875	5,613	2,006
Hutchinson	$21,075	$42,213	$50,255	22,150	8,812
Wharton	$21,049	$41,148	$50,077	41,280	15,132
Brazos	$21,018	$37,898	$57,383	194,851	71,739
Van Zandt	$20,989	$43,074	$51,373	52,579	20,047
Erath	$20,903	$39,200	$50,718	37,890	14,569
Rains	$20,855	$42,491	$49,643	10,914	4,377
Delta	$20,837	$37,908	$50,847	5,231	2,088
San Patricio	$20,766	$45,189	$52,856	64,804	22,637
Throckmorton	$20,677	$36,339	$43,478	1,641	721
McLennan	$20,652	$40,672	$51,191	234,906	86,892
Sterling	$20,640	$41,548	$50,690	1,143	440
Medina	$20,604	$49,138	$56,860	46,006	15,530
Lamar	$20,588	$38,015	$49,256	49,793	19,829
Brown	$20,586	$38,832	$47,976	38,106	14,778
Gray	$20,567	$40,442	$49,479	22,535	8,443
Hill	$20,554	$39,293	$50,716	35,089	13,238
Navarro	$20,539	$41,654	$49,120	47,735	17,380
Fisher	$20,516	$41,458	$51,895	3,974	1,668
Mills	$20,438	$31,895	$45,848	4,936	1,975
Knox	$20,375	$32,055	$47,292	3,719	1,506
Morris	$20,292	$38,843	$49,549	12,934	5,226
Hockley	$20,255	$46,430	$53,461	22,935	8,242
Fannin	$20,221	$44,551	$55,083	33,915	12,149
Crane	$20,185	$50,425	$57,500	4,375	1,471
Cass	$20,137	$36,360	$44,360	30,464	12,429
Donley	$20,137	$46,130	$59,306	3,677	1,517
Hall	$20,126	$29,219	$36,452	3,353	1,372
Marion	$20,125	$29,943	$40,634	10,546	4,595
McCulloch	$20,116	$34,459	$45,901	8,283	3,338
Angelina	$20,104	$39,148	$47,536	86,771	31,090
Shelby	$20,103	$32,425	$40,172	25,448	9,648
Runnels	$20,056	$37,823	$42,307	10,501	4,165
Ward	$20,055	$41,117	$46,613	10,658	3,995
DeWitt	$20,020	$40,668	$50,742	20,097	7,407
Nolan	$19,973	$37,102	$48,316	15,216	5,999
Yoakum	$19,937	$49,146	$51,241	7,879	2,643
Wilbarger	$19,916	$40,105	$45,365	13,535	5,289
Trinity	$19,828	$36,814	$44,600	14,585	6,142
Motley	$19,754	$34,081	$41,688	1,210	542
Lynn	$19,752	$43,672	$48,271	5,915	2,246
San Saba	$19,721	$36,308	$41,362	6,131	2,257
Martin	$19,695	$38,111	$45,842	4,799	1,649
Stephens	$19,573	$35,691	$46,142	9,630	3,665
Tyler	$19,450	$35,346	$41,112	21,766	8,007
Winkler	$19,309	$41,828	$48,393	7,110	2,578
Jasper	$19,182	$38,062	$44,593	35,710	13,770
Dallam	$18,940	$47,073	$51,135	6,703	2,448
Coryell	$18,936	$47,374	$51,999	75,388	22,545
Terrell	$18,871	$35,403	$40,893	984	430
Houston	$18,813	$31,929	$43,742	23,732	8,656
Liberty	$18,807	$45,929	$52,951	75,643	25,073
Potter	$18,725	$36,766	$43,331	121,073	42,933
Gonzales	$18,716	$37,094	$45,361	19,807	7,120
Camp	$18,710	$36,029	$42,023	12,401	4,678
Dickens	$18,642	$33,813	$47,500	2,444	930
Refugio	$18,638	$42,949	$52,527	7,383	2,841
Kleberg	$18,580	$36,571	$46,772	32,061	11,097
Atascosa	$18,461	$42,927	$48,485	44,911	15,246
Limestone	$18,420	$42,140	$51,631	23,384	8,499
Coke	$18,384	$38,702	$52,667	3,320	1,466
Foard	$18,368	$30,417	$40,089	1,336	573
Bailey	$18,275	$42,375	$50,684	7,165	2,468
Moore	$18,239	$44,216	$50,372	21,904	7,197
Nacogdoches	$18,180	$33,189	$44,771	64,524	23,861
Sabine	$18,155	$33,589	$38,681	10,834	4,738
Caldwell	$18,106	$41,594	$50,553	38,066	12,301
Red River	$18,105	$37,047	$43,945	12,860	5,469
Floyd	$18,093	$35,240	$42,782	6,446	2,402
Comanche	$18,086	$35,218	$45,391	13,974	5,580
Eastland	$17,973	$32,452	$42,492	18,583	7,465
Crosby	$17,940	$36,301	$41,922	6,059	2,237
Uvalde	$17,842	$35,087	$39,327	26,405	9,025
Howard	$17,832	$39,574	$53,289	35,012	11,333
Concho	$17,731	$49,063	$54,083	4,087	1,041
Newton	$17,721	$37,452	$47,023	14,445	5,476
Briscoe	$17,652	$34,196	$41,932	1,637	692
Lamb	$17,553	$35,458	$39,977	13,977	5,081
Titus	$17,520	$39,423	$43,872	32,334	10,813
Anderson	$17,465	$40,378	$52,235	58,458	17,218
Hardeman	$17,401	$36,295	$37,969	4,139	1,722
Cottle	$17,385	$33,859	$38,906	1,505	677
Grimes	$17,365	$39,429	$50,514	26,604	8,902
Cherokee	$17,230	$36,966	$45,432	50,845	17,894
San Augustine	$17,184	$25,974	$38,461	8,865	3,625
Jim Hogg	$17,163	$40,000	$43,409	5,300	1,902
Jim Wells	$16,976	$37,020	$42,515	40,838	13,961
Polk	$16,961	$33,325	$38,360	45,413	16,503
Parmer	$16,926	$39,753	$43,836	10,269	3,413
El Paso	$16,768	$36,333	$40,329	800,647	256,557
Pecos	$16,717	$38,125	$46,917	15,507	4,894
Deaf Smith	$16,687	$41,127	$48,780	19,372	6,365
Kenedy	$16,655	$48,333	$56,339	416	147
Val Verde	$16,615	$36,993	$39,912	48,879	15,654
Swisher	$16,513	$37,907	$50,399	7,854	2,762
Coleman	$16,494	$26,951	$33,718	8,895	3,857
Childress	$16,338	$42,004	$49,635	7,041	2,326
Hale	$16,322	$36,509	$44,128	36,273	11,846
Garza	$16,185	$35,750	$51,642	6,461	1,671
Castro	$16,073	$35,087	$38,390	8,062	2,744
Culberson	$16,060	$35,500	$41,250	2,398	908
Cochran	$16,018	$37,446	$42,601	3,127	1,113
Karnes	$15,949	$39,611	$47,917	14,824	4,463
Jones	$15,880	$39,568	$50,888	20,202	6,034
Presidio	$15,635	$29,513	$33,276	7,818	2,906
Dawson	$15,288	$33,623	$47,561	13,833	4,385
Duval	$15,134	$30,493	$37,429	11,782	4,090
Real	$15,074	$29,186	$34,167	3,309	1,374
Frio	$15,036	$35,940	$42,111	17,217	4,854
Falls	$14,979	$31,083	$42,877	17,866	6,302
Brooks	$14,728	$19,959	$25,710	7,223	2,642
Madison	$14,245	$37,207	$46,943	13,664	4,187
Kinney	$14,207	$24,388	$30,833	3,598	1,350
Bee	$14,188	$40,278	$46,061	31,861	9,042
Webb	$14,163	$36,684	$38,521	250,304	67,106
Dimmit	$14,045	$25,882	$30,595	9,996	3,421
Walker	$13,920	$34,259	$47,219	67,861	20,969
Zapata	$13,915	$24,496	$26,406	14,018	4,297
Cameron	$13,695	$31,264	$33,770	406,220	119,631
La Salle	$13,542	$30,144	$35,352	6,886	1,931
Hidalgo	$13,480	$31,879	$34,106	774,769	216,471
Mitchell	$13,358	$37,260	$46,131	9,403	2,809
Reeves	$13,112	$32,593	$36,728	13,783	3,839
Maverick	$12,444	$28,813	$32,199	54,258	15,563
Starr	$11,659	$24,441	$28,143	60,968	17,001
Hudspeth	$11,485	$22,647	$28,125	3,476	1,174
Willacy	$10,800	$22,881	$25,399	22,134	5,764
Zavala	$10,180	$21,707	$24,768	11,677	3,573
