Entrant	Constructor	Car	Driver	Co-driver	Rounds
Ralliart Italy	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Paolo Andreucci	Anna Andreussi	2, 8
RRE Sports	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Juho Hänninen	Mikko Markkula	2
Heuvel Motor Sport	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Jasper van den Heuvel	Martine Kolman	3
EuroOil Čepro Cezch National Team	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Vaclav Pech	Petr Uhel	6
Guizhou Bailing Team	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Liu Chao Dong	Hongyu Pan	10
Guizhou Bailing Team	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Hongjie Wei	Shaojun Huang	10
Guizhou Bailing Team	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Juha Salo	Mika Stenberg	10
Soueast-Motor Wan Yu Rally Team	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Jarkko Miettinen	Mikko Lukka	10
Soueast-Motor Wan Yu Rally Team	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Fan Fan	Junwei Fang	10
Soueast-Motor Wan Yu Rally Team	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Jixiang Wu	Zhengliang Ke	10
Soueast-Motor Wan Yu Rally Team	Mitsubishi Ralliart	Mitsubishi Lancer Evo IX	Zhonglin Yang	Weipeng Zhang	10
Duindisteel	Volkswagen	VW Polo S2000	Bernd Casier	Frédéric Miclotte	3
Belgian VW Club	Volkswagen	VW Polo S2000	Bernd Casier	Frédéric Miclotte	6, 8
Belgian VW Club	Volkswagen	VW Polo S2000	Raphael Auqueir	Cedric Pirotte	3
René Georges Rally Sport	Volkswagen	VW Polo S2000	Philippe Greiffenberg	Laurent Fourcade	9
Mark Higgins	MG	S2000 Sport	Mark Higgins	Rory Kennedy	3
Stuart Jones	MG	S2000 Sport	Stuart Jones	George Gwynn	9
