Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
2004	Kendrick Lee Yen Hui	Xing Aiying	Howard Bach Tony Gunawan	Cheng Wen-hsing Chien Yu-chin	Lin Wei-hsiang Cheng Wen-hsing
2005	Hsieh Yu-hsing	Lili Zhou	Howard Bach Tony Gunawan	Peng Yun Johanna Lee	Khan Malaythong Mesinee Mangkalakiri
2006	Yousuke Nakanishi	Ella Karachkova	Halim Haryanto Tony Gunawan	Nina Vislova Valeria Sorokina	Sergey Ivlev Nina Vislova
2007	Lee Tsuen Seng	Jun Jae-youn	Tadashi Ohtsuka Keita Masuda	Miyuki Maeda Satoko Suetsuna	Keita Masuda Miyuki Maeda
2008	Andrew Dabeka	Lili Zhou	Howard Bach Khan Malaythong	Chang Li-Ying Hung Shih-Chieh	Halim Haryanto Peng Yun
2009	Taufik Hidayat	Anna Rice	Howard Bach Tony Gunawan	Ruilin Huang Xuelian Jiang	Howard Bach Eva Lee
2010	Rajiv Ouseph	Zhu Lin	Fang Chieh-min Lee Sheng-mu	Cheng Wen-hsing Chien Yu-chin	Michael Fuchs Birgit Overzier
2011	Sho Sasaki	Tai Tzu-ying	Ko Sung-hyun Lee Yong-dae	Ha Jung-eun Kim Min-jung	Lee Yong-dae Ha Jung-eun
2012	Vladimir Ivanov	Pai Hsiao-ma	Hiroyuki Endo Kenichi Hayakawa	Misaki Matsutomo Ayaka Takahashi	Tony Gunawan Vita Marissa
2013	Nguyen Tien Minh	Sapsiree Taerattanachai	Takeshi Kamura Keigo Sonoda	Bao Yixin Zhong Qianxin	Lee Chun Hei Chau Hoi Wah
