Year	Country	Course	Location	Total score	To par [a ]
1903	Jersey	Prestwick Golf Club	Prestwick , Scotland	300	+16
1904	Scotland	Royal St George's	Sandwich , England	296	+16
1905	Scotland	St Andrews	St Andrews , Scotland	318	+30
1906	Scotland	Muirfield	Gullane , Scotland	300	+16
1907	France	Royal Liverpool	Hoylake , England	312	+24
1908	Scotland	Prestwick Golf Club	Prestwick , Scotland	291	+7
1909	England	Royal Cinque Ports	Deal , England	291	+3
1910	Scotland	St Andrews	St Andrews , Scotland	299	+11
1911	Jersey	Royal St George's	Sandwich , England	303	+23
1912	Jersey	Muirfield	Gullane , Scotland	295	+11
1913	England	Royal Liverpool	Hoylake , England	304	+16
1914	Jersey	Prestwick Golf Club	Prestwick , Scotland	306	+22
1915	—	—	—	—	—
1916	—	—	—	—	—
1917	—	—	—	—	—
1918	—	—	—	—	—
1919	—	—	—	—	—
1920	Scotland	Royal Cinque Ports	Deal , England	303	+15
1921	United States	St Andrews	St Andrews , Scotland	296	+8
1922	United States	Royal St George's	Sandwich , England	300	+20
1923	England	Royal Troon	Troon , Scotland	295	+7
1924	United States	Royal Liverpool	Hoylake , England	301	+13
1925	England	Prestwick Golf Club	Prestwick , Scotland	300	+16
1926	United States	Royal Lytham & St Annes	Lytham St Annes , England	291	+7
1927	United States	St Andrews	St Andrews , Scotland	285	−3
1928	United States	Royal St George's	Sandwich , England	292	+12
1929	United States	Muirfield	Gullane , Scotland	292	+8
1930	United States	Royal Liverpool	Hoylake , England	291	+3
1931	United States	Carnoustie	Carnoustie , Scotland	296	+12
1932	United States	Prince's Golf Club	Sandwich , England	283	−5
1933	United States	St Andrews	St Andrews , Scotland	292	+4
1934	England	Royal St George's	Sandwich , England	283	+3
1935	England	Muirfield	Gullane , Scotland	283	−5
1936	England	Royal Liverpool	Hoylake , England	287	−1
1937	England	Carnoustie	Carnoustie , Scotland	290	+6
1938	England	Royal St George's	Sandwich , England	295	+15
1939	England	St Andrews	St Andrews , Scotland	290	+2
1940	—	—	—	—	—
1941	—	—	—	—	—
1942	—	—	—	—	—
1943	—	—	—	—	—
1944	—	—	—	—	—
1945	—	—	—	—	—
1946	United States	St Andrews	St Andrews , Scotland	290	+2
1947	Northern Ireland	Royal Liverpool	Hoylake , England	293	+5
1948	England	Muirfield	Gullane , Scotland	284	E
1949	South Africa	Royal St George's	Sandwich , England	283	–5
1950	South Africa	Royal Troon	Troon , Scotland	279	−9
1951	England	Royal Portrush	County Antrim , Northern Ireland	285	−3
1952	South Africa	Royal Lytham & St Annes	Lytham St Annes , England	287	–1
1953	United States	Carnoustie	Carnoustie , Scotland	282	−6
1954	Australia	Royal Birkdale	Southport , England	283	−3
1955	Australia	St Andrews	St Andrews , Scotland	281	−7
1956	Australia	Royal Liverpool	Hoylake , England	286	−2
1957	South Africa	St Andrews	St Andrews , Scotland	279	−9
1958	Australia	Royal Lytham & St Annes	Lytham St Annes , England	274	−10
1959	South Africa	Muirfield	Gullane , Scotland	284	E
1960	Australia	St Andrews	St Andrews , Scotland	278	−10
1961	United States	Royal Birkdale	Southport , England	284	−4
1962	United States	Royal Troon	Troon , Scotland	276	−12
1963	New Zealand	Royal Lytham & St Annes	Lytham St Annes , England	277	−7
1964	United States	St Andrews	St Andrews , Scotland	279	−9
1965	Australia	Royal Birkdale	Southport , England	285	−7
1966	United States	Muirfield	Gullane , Scotland	282	−2
1967	Argentina	Royal Liverpool	Hoylake , England	278	−10
1968	South Africa	Carnoustie	Carnoustie , Scotland	289	+1
1969	England	Royal Lytham & St Annes	Lytham St Annes , England	280	−4
1970	United States	St Andrews	St Andrews , Scotland	283	−5
1971	United States	Royal Birkdale	Southport , England	278	−14
1972	United States	Muirfield	Gullane , Scotland	278	−6
1973	United States	Royal Troon	Troon , Scotland	276	−12
1974	South Africa	Royal Lytham & St Annes	Lytham St Annes , England	282	−2
1975	United States	Carnoustie	Carnoustie , Scotland	279	−5
1976	United States	Royal Birkdale	Southport , England	279	−9
1977	United States	Turnberry	South Ayrshire , Scotland	283	−5
1978	United States	St Andrews	St Andrews , Scotland	281	−7
1979	Spain	Royal Lytham & St Annes	Lytham St Annes , England	283	−1
1980	United States	Muirfield	Gullane , Scotland	271	−13
1981	United States	Royal St George's	Sandwich , England	276	−4
1982	United States	Royal Troon	Troon , Scotland	284	−4
1983	United States	Royal Birkdale	Southport , England	275	−9
1984	Spain	St Andrews	St Andrews , Scotland	276	−12
1985	Scotland	Royal St George's	Sandwich , England	282	+2
1986	Australia	Turnberry	South Ayrshire , Scotland	280	E
1987	England	Muirfield	Gullane , Scotland	279	−5
1988	Spain	Royal Lytham & St Annes	Lytham St Annes , England	273	−11
1989	United States	Royal Troon	Troon , Scotland	275	−13
1990	England	St Andrews	St Andrews , Scotland	270	−18
1991	Australia	Royal Birkdale	Southport , England	272	−8
1992	England	Muirfield	Gullane , Scotland	272	−12
1993	Australia	Royal St George's	Sandwich , England	267	−13
1994	Zimbabwe	Turnberry	South Ayrshire , Scotland	270	−18
1995	United States	St Andrews	St Andrews , Scotland	282	−6
1996	United States	Royal Lytham & St Annes	Lytham St Annes , England	271	−13
1997	United States	Royal Troon	Troon , Scotland	272	−12
1998	United States	Royal Birkdale	Southport , England	280	E
1999	Scotland	Carnoustie	Carnoustie , Scotland	290	+6
2000	United States	St Andrews	St Andrews , Scotland	269	−19
2001	United States	Royal Lytham & St Annes	Lytham St Annes , England	274	−10
2002	South Africa	Muirfield	Gullane , Scotland	278	−6
2003	United States	Royal St George's	Sandwich , England	283	−1
2004	United States	Royal Troon	Troon , Scotland	274	−10
2005	United States	St Andrews	St Andrews , Scotland	274	−14
2006	United States	Royal Liverpool	Hoylake , England	270	−18
2007	Ireland	Carnoustie	Carnoustie , Scotland	277	−7
2008	Ireland	Royal Birkdale	Southport , England	283	+3
2009	United States	Turnberry	South Ayrshire , Scotland	278	−2
2010	South Africa	St Andrews	St Andrews , Scotland	272	−16
2011	Northern Ireland	Royal St George's	Sandwich , England	275	−5
2012	South Africa	Royal Lytham & St Annes	Lytham St Annes , England	273	−7
2013	United States	Muirfield	Gullane , Scotland	281	−3
