Song title	Artist	Year	Genre	Single / Pack name	Release date	Family Friendly	Additional Rock Band 3 Features
"Clouds Over California"	DevilDriver	2007	Metal	Roadrunner Records 01	Aug.12,2008	Yes	None
" Constant Motion "	Dream Theater	2007	Metal	Roadrunner Records 01	Aug.12,2008	Yes	None
" My Curse "	Killswitch Engage	2006	Metal	Roadrunner Records 01	Aug.12,2008	Yes	None
"Sleepwalker"	Megadeth	2007	Metal	Roadrunner Records 01	Aug.12,2008	No	None
" Runnin' Wild "	Airbourne	2007	Rock	Single	Aug.12,2008	No	None
" Girl U Want (Rock Band Re-Record)"	Devo	1980	New Wave	Single	Aug.19,2008	Yes	None
"Through Being Cool (Rock Band Re-Record)"	Devo	1981	New Wave	Single	Aug.19,2008	Yes	None
" Rio "	Duran Duran	1982	Pop-Rock	Single	Aug.19,2008	Yes	None
" Girls on Film "	Duran Duran	1981	Pop-Rock	Single	Aug.19,2008	Yes	None
"Get Your Rock On"	The Janitors	2008	Pop-Rock	Single	Aug.19,2008	Yes	None
"All Over Again"	Locksley	2007	Pop-Rock	Locksley 01	Aug.28,2008	Yes	None
"She Does"	Locksley	2007	Pop-Rock	Locksley 01	Aug.28,2008	Yes	None
"Don't Make Me Wait"	Locksley	2007	Pop-Rock	Locksley 01	Aug.28,2008	Yes	None
"Skullcrusher Mountain"	Jonathan Coulton	2004	Pop-Rock	The PAX 2008 Collection	Sep.2,2008	Yes	None
"Livin' at the Corner of Dude & Catastrophe"	MC Frontalot feat. Brad Sucks	2007	Other	The PAX 2008 Collection	Sep.2,2008	No	None
"Shhh..."	The Darkest of the Hillside Thickets	2008	Rock	The PAX 2008 Collection	Sep.2,2008	No	None
"This Calling"	All That Remains	2006	Metal	All That Remains 01	Sep.9,2008	Yes	None
"Chiron"	All That Remains	2008	Metal	All That Remains 01	Sep.9,2008	Yes	None
" Two Weeks "	All That Remains	2008	Metal	All That Remains 01	Sep.9,2008	Yes	None
"Charlene (I'm Right Behind You)"	Stephen and the Colberts	1986	Pop-Rock	Single	Sep.11,2008	Yes	None
"One of THOSE Nights"	The Cab	2008	Pop-Rock	Rock Band Live 2008 Tour 01	Sep.16,2008	Yes	None
" Hands Down "	Dashboard Confessional	2003	Pop-Rock	Rock Band Live 2008 Tour 01	Sep.16,2008	No	None
"She's a Handsome Woman"	Panic at the Disco	2008	Pop-Rock	Rock Band Live 2008 Tour 01	Sep.16,2008	Yes	None
" Natural Disaster "	Plain White T's	2008	Pop-Rock	Rock Band Live 2008 Tour 01	Sep.16,2008	No	None
" Wake Up Dead "	Megadeth	1986	Metal	Peace Sells... but Who's Buying?	Sep.16,2008	No	None
"The Conjuring"	Megadeth	1986	Metal	Peace Sells... but Who's Buying?	Sep.16,2008	No	None
"Devil's Island"	Megadeth	1986	Metal	Peace Sells... but Who's Buying?	Sep.16,2008	No	None
"Good Mourning/Black Friday"	Megadeth	1986	Metal	Peace Sells... but Who's Buying?	Sep.16,2008	No	None
"Bad Omen"	Megadeth	1986	Metal	Peace Sells... but Who's Buying?	Sep.16,2008	No	None
" I Ain't Superstitious "	Megadeth	1986	Metal	Peace Sells... but Who's Buying?	Sep.16,2008	No	None
"My Last Words"	Megadeth	1986	Metal	Peace Sells... but Who's Buying?	Sep.16,2008	No	None
" Tom Sawyer " (Original Version)	Rush	1981	Prog	Moving Pictures	Sep.23,2008	Yes	None
" Red Barchetta "	Rush	1981	Prog	Moving Pictures	Sep.23,2008	Yes	None
" YYZ "	Rush	1981	Prog	Moving Pictures	Sep.23,2008	Yes	None
" Limelight " (Original Version)	Rush	1981	Prog	Moving Pictures	Sep.23,2008	Yes	None
"The Camera Eye"	Rush	1981	Prog	Moving Pictures	Sep.23,2008	Yes	None
" Witch Hunt (Part III of Fear) "	Rush	1981	Prog	Moving Pictures	Sep.23,2008	Yes	None
" Vital Signs "	Rush	1981	Prog	Moving Pictures	Sep.23,2008	Yes	None
" Sorrow "	Bad Religion	2002	Punk	Single	Sep.23,2008	No	None
" She Sells Sanctuary "	The Cult	1985	Rock	Single	Sep.23,2008	Yes	None
" Bandages "	Hot Hot Heat	2002	Alternative	Single	Sep.23,2008	No	None
" Shoot the Runner "	Kasabian	2006	Alternative	Single	Sep.23,2008	No	None
"You're No Rock N Roll Fun"	Sleater-Kinney	2000	Alternative	Single	Sep.23,2008	No	None
" Love Spreads "	The Stone Roses	1994	Alternative	Single	Sep.23,2008	No	None
"The Power of Equality"	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
" If You Have to Ask "	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
" Breaking the Girl "	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
"Funky Monks"	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
" Suck My Kiss "	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
"I Could Have Lied"	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
"Mellowship Slinky in B Major"	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
"The Righteous and the Wicked"	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
"Blood Sugar Sex Magik"	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
" Under the Bridge "	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	Pro Guitar/Bass
"Naked in the Rain"	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
"Apache Rose Peacock"	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
"The Greeting Song"	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
"My Lovely Man"	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
"Sir Psycho Sexy"	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
" They're Red Hot "	Red Hot Chili Peppers	1991	Alternative	Blood Sugar Sex Magik	Sep.30,2008	No	None
" All Right Now "	Free	1970	Classic Rock	Single	Oct.7,2008	No	None
" Stop! "	Against Me!	2007	Punk	Single	Oct.7,2008	No	None
" Bad to the Bone "	George Thorogood & the Destroyers	1982	Rock	Single	Oct.7,2008	Yes	None
"Cream and Bastards Rise"	Harvey Danger	2005	Alternative	Single	Oct.7,2008	No	None
" Nearly Lost You "	Screaming Trees	1992	Grunge	Single	Oct.7,2008	Yes	None
" Push It "	Static-X	1999	Metal	Single	Oct.7,2008	No	None
" Gone Away "	The Offspring	1997	Rock	The Offspring 01	Oct.7,2008	No	None
" Pretty Fly (For a White Guy) "	The Offspring	1998	Rock	The Offspring 01	Oct.7,2008	No	None
" Self Esteem "	The Offspring	1994	Rock	The Offspring 01	Oct.7,2008	No	Pro Guitar/Bass
" Dr. Feelgood "	Mötley Crüe	1989	Metal	Dr. Feelgood	Oct.14,2008	No	None
"Slice of Your Pie"	Mötley Crüe	1989	Metal	Dr. Feelgood	Oct.14,2008	No	None
"Rattlesnake Shake"	Mötley Crüe	1989	Metal	Dr. Feelgood	Oct.14,2008	No	None
" Kickstart My Heart "	Mötley Crüe	1989	Metal	Dr. Feelgood	Oct.14,2008	No	Pro Guitar/Bass
" Without You "	Mötley Crüe	1989	Metal	Dr. Feelgood	Oct.14,2008	Yes	None
" Same Ol' Situation (S.O.S.) "	Mötley Crüe	1989	Metal	Dr. Feelgood	Oct.14,2008	No	None
"Sticky Sweet"	Mötley Crüe	1989	Metal	Dr. Feelgood	Oct.14,2008	No	None
"She Goes Down"	Mötley Crüe	1989	Metal	Dr. Feelgood	Oct.14,2008	No	None
" Don't Go Away Mad (Just Go Away) "	Mötley Crüe	1989	Metal	Dr. Feelgood	Oct.14,2008	Yes	None
"Time for Change"	Mötley Crüe	1989	Metal	Dr. Feelgood	Oct.14,2008	Yes	None
"Breed"	Nirvana	1991	Grunge	Nirvana 01	Oct.21,2008	No	Pro Guitar/Bass
"Lounge Act"	Nirvana	1991	Grunge	Nirvana 01	Oct.21,2008	No	Pro Guitar/Bass
" On a Plain "	Nirvana	1991	Grunge	Nirvana 01	Oct.21,2008	No	Pro Guitar/Bass
" Polly "	Nirvana	1991	Grunge	Nirvana 01	Oct.21,2008	No	Pro Guitar/Bass
" Something in the Way "	Nirvana	1991	Grunge	Nirvana 01	Oct.21,2008	Yes	Pro Guitar/Bass
"Stay Away"	Nirvana	1991	Grunge	Nirvana 01	Oct.21,2008	No	Pro Guitar/Bass
"Territorial Pissings"	Nirvana	1991	Grunge	Nirvana 01	Oct.21,2008	No	Pro Guitar/Bass
" Hong Kong Garden "	Siouxsie and The Banshees	1981	Pop-Rock	Siouxsie and the Banshees 01	Oct.28,2008	Yes	None
" Kiss Them for Me "	Siouxsie and The Banshees	1991	Pop-Rock	Siouxsie and the Banshees 01	Oct.28,2008	Yes	None
" The Killing Jar "	Siouxsie and The Banshees	1988	Pop-Rock	Siouxsie and the Banshees 01	Oct.28,2008	Yes	None
" Dammit "	Blink-182	1997	Punk	Single	Oct.28,2008	No	Pro Guitar/Bass
" Well Thought Out Twinkles "	Silversun Pickups	2006	Indie Rock	Single	Oct.28,2008	Yes	None
"Melatonin"	Silversun Pickups	2006	Indie Rock	Single	Oct.28,2008	Yes	None
" Pretty in Pink "	The Psychedelic Furs	1981	Rock	Single	Oct.28,2008	Yes	None
" Dune Buggy "	The Presidents of the United States of America	1995	Pop-Rock	The Presidents of the United States of America 01	Nov.4,2008	No	None
"Feather Pluck'n"	The Presidents of the United States of America	1995	Pop-Rock	The Presidents of the United States of America 01	Nov.4,2008	Yes	None
" Ladybug "	The Presidents of the United States of America	2008	Pop-Rock	The Presidents of the United States of America 01	Nov.4,2008	Yes	None
" Use Me "	Hinder	2008	Rock	Single	Nov.4,2008	No	None
" I Don't Care "	Fall Out Boy	2008	Pop-Rock	Single	Nov.4,2008	No	None
"Ashes to Fire"	Ghost Hounds	2008	Rock	Rock Band 2 20-Pack	Nov.6,2008	Yes	None
"Bounce"	The Cab	2008	Pop-Rock	Rock Band 2 20-Pack	Nov.6,2008	No	None
"Burn You Down"	Opiate for the Masses	2008	Rock	Rock Band 2 20-Pack	Nov.6,2008	No	None
"Crazy Tuesday"	Thenewno2	2008	Pop-Rock	Rock Band 2 20-Pack	Nov.6,2008	Yes	None
"Database Corrupted"	Dealership	2004	Indie Rock	Rock Band 2 20-Pack	Nov.6,2008	Yes	None
"Desperate Times, Desperate Measures"	Underoath	2008	Metal	Rock Band 2 20-Pack	Nov.6,2008	No	None
"Get It On"	The Chevelles	2008	Rock	Rock Band 2 20-Pack	Nov.6,2008	No	None
"Give It to Me"	Cocktail Slippers	2006	Indie Rock	Rock Band 2 20-Pack	Nov.6,2008	No	None
"I Wanna Be Your Man"	Endeverafter	2007	Rock	Rock Band 2 20-Pack	Nov.6,2008	No	None
"I'm Gone, I'm Going"	Lesley Roy	2008	Pop-Rock	Rock Band 2 20-Pack	Nov.6,2008	Yes	None
" I.V. "	X Japan	2008	Metal	Rock Band 2 20-Pack	Nov.6,2008	No	None
"If I Ain't Got You"	The Len Price 3	2007	Rock	Rock Band 2 20-Pack	Nov.6,2008	Yes	None
"Like a Fool"	Shaimus	2008	Indie Rock	Rock Band 2 20-Pack	Nov.6,2008	Yes	None
"Magnetic Baby"	Semi Precious Weapons	2008	Glam	Rock Band 2 20-Pack	Nov.6,2008	No	None
"No Regrets"	Authority Zero	2007	Punk	Rock Band 2 20-Pack	Nov.6,2008	No	None
"Prequel to the Sequel"	Between the Buried and Me	2007	Prog	Rock Band 2 20-Pack	Nov.6,2008	No	None
"Sons and Daughters"	The 88	2008	Pop-Rock	Rock Band 2 20-Pack	Nov.6,2008	No	None
"The Feeling"	Kutless	2008	Rock	Rock Band 2 20-Pack	Nov.6,2008	Yes	None
"The Time Is Wrong"	Tickle Me Pink	2008	Emo	Rock Band 2 20-Pack	Nov.6,2008	Yes	None
" Young "	Hollywood Undead	2008	Nu-Metal	Rock Band 2 20-Pack	Nov.6,2008	No	None
"Doll"	Foo Fighters	1997	Alternative	The Colour and the Shape	Nov.11,2008	Yes	None
" Monkey Wrench "	Foo Fighters	1997	Alternative	The Colour and the Shape	Nov.11,2008	No	Pro Guitar/Bass
"Hey, Johnny Park!"	Foo Fighters	1997	Alternative	The Colour and the Shape	Nov.11,2008	Yes	None
"My Poor Brain"	Foo Fighters	1997	Alternative	The Colour and the Shape	Nov.11,2008	No	None
"Wind Up"	Foo Fighters	1997	Alternative	The Colour and the Shape	Nov.11,2008	Yes	None
"Up in Arms"	Foo Fighters	1997	Alternative	The Colour and the Shape	Nov.11,2008	Yes	None
" My Hero "	Foo Fighters	1997	Alternative	The Colour and the Shape	Nov.11,2008	Yes	None
"See You"	Foo Fighters	1997	Alternative	The Colour and the Shape	Nov.11,2008	Yes	None
"Enough Space"	Foo Fighters	1997	Alternative	The Colour and the Shape	Nov.11,2008	Yes	None
"February Stars"	Foo Fighters	1997	Alternative	The Colour and the Shape	Nov.11,2008	Yes	None
" Walking After You "	Foo Fighters	1997	Alternative	The Colour and the Shape	Nov.11,2008	Yes	None
"New Way Home"	Foo Fighters	1997	Alternative	The Colour and the Shape	Nov.11,2008	Yes	None
" California Über Alles "	Dead Kennedys	1987	Punk	Dead Kennedys 01	Nov.18,2008	No	None
" Holiday in Cambodia "	Dead Kennedys	1987	Punk	Dead Kennedys 01	Nov.18,2008	No	None
" Police Truck "	Dead Kennedys	1987	Punk	Dead Kennedys 01	Nov.18,2008	No	None
