Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
Good Luck	Williams	26	35.859	0.016	48.496096	-103.852512	3810531460	1759726
Goodrich	Sheridan	29	33.508	2.207	47.457434	-100.086640	3808331540	1037153
Gooseneck	Divide	31	42.457	0.826	48.949658	-103.651852	3802331580	1036931
Gordon	Cavalier	11	26.638	0.403	48.681024	-98.653205	3801931620	1759361
Grace	Grand Forks	81	36.379	0.017	47.801910	-97.688428	3803531700	1036598
Graf	Kidder	20	31.403	4.599	46.673377	-99.506838	3804331780	1037056
Grafton	Walsh	288	34.206	0.000	48.412415	-97.473110	3809931860	1036535
Grail	McKenzie	39	31.647	0.000	47.804122	-102.841792	3805331900	1759521
Grainbelt	Bowman	24	30.572	0.008	46.247471	-103.308195	3801131940	1759310
Grainfield	Towner	36	35.626	0.092	48.666559	-99.421484	3809531980	1759653
Grand Forks	Grand Forks	505	10.950	0.065	47.878811	-97.053463	3803532100	1036600
Grand Harbor	Ramsey	163	34.124	1.910	48.140191	-99.002142	3807132260	1759574
Grand Prairie	Barnes	48	36.194	0.000	47.109684	-97.896712	3800332340	1036426
Grand Rapids	LaMoure	90	35.937	0.000	46.413323	-98.347976	3804532420	1036898
Grand River	Bowman	12	35.924	0.008	45.996181	-103.561415	3801132460	1759311
Grand Valley	Dickey	25	36.045	0.163	46.069234	-98.818496	3802132500	1036761
Grandfield	Eddy	22	35.837	0.093	47.802941	-99.230327	3802732020	1759406
Grandview	LaMoure	45	35.849	0.068	46.503868	-98.337734	3804532540	1036899
Grant	Richland	102	33.600	1.701	46.057287	-97.218644	3807732620	1036824
Granville	McHenry	107	35.157	0.784	48.233663	-100.811777	3804932700	2397806
Grass Lake	Burleigh	69	35.462	0.568	47.204041	-100.675088	3801532740	1037184
Grassland	Renville	21	33.229	2.487	48.683748	-101.625466	3807532780	1759606
Gray	Stutsman	41	33.737	0.882	47.118150	-98.522673	3809332860	1036480
Greatstone	McLean	44	36.008	0.009	47.710905	-101.056823	3805532940	1759534
Greely	Ward	16	34.818	1.035	47.888085	-101.028456	3810132980	1759679
Green	Barnes	84	35.353	0.458	46.841410	-98.112755	3800333020	1036413
Greenbush	Ward	20	35.800	0.000	48.589999	-101.907907	3810133100	1759680
Greendale	Richland	104	36.211	0.060	45.971942	-96.830406	3807733140	1036814
Greene	Ransom	109	34.794	0.455	46.579511	-97.458626	3807333180	1036880
Greenfield	Griggs	102	34.910	0.000	47.283601	-98.151423	3803933260	1036632
Greenfield	Traill	72	35.342	0.000	47.281341	-97.260955	3809733340	1036684
Greenland	Barnes	42	36.167	0.000	46.674716	-98.375846	3800333380	1036405
Greenview	Steele	44	35.995	0.034	47.460338	-97.910531	3809133420	1036668
Greenville	LaMoure	47	35.871	0.091	46.420235	-98.086495	3804533460	1036894
Grenora	Williams	8	31.487	0.898	48.580057	-103.987275	3810533540	2397808
Grey	Cavalier	20	35.503	0.613	48.842876	-98.791771	3801933580	1759362
Griffin	Stutsman	51	35.911	0.117	46.667116	-99.123441	3809333660	1036448
Grilley	McHenry	55	35.928	0.098	48.509585	-100.984442	3804933700	1759492
Grover	Renville	27	35.829	0.006	48.853751	-101.819084	3807533740	1759607
Gunkel	Cass	43	36.184	0.000	47.108252	-97.133541	3801733820	1036384
