CERCLIS ID	County	Proposed	Listed	Construction completed	Partially deleted	Deleted
CAD980358832	Sacramento	12/30/1982	09/08/1983	N/A	N/A	N/A
CAD980737613	Sacramento	12/30/1982	09/08/1983	03/31/1988	N/A	09/10/1991
CA8570024143	Sacramento	10/15/1984	07/22/1987	09/29/2009	N/A	N/A
CA4570024337	Sacramento	10/15/1984	07/22/1987	N/A	N/A	N/A
CA0210020780	Sacramento	10/15/1984	07/22/1987	08/28/2002	–	–
CA0001900463	San Benito	03/10/2011	–	–	–	–
CAN000905945	San Bernardino	09/03/2008	09/23/2009	–	–	–
CA8170024261	San Bernardino	07/14/1989	11/21/1989	N/A	N/A	N/A
CA2570024453	San Bernardino	07/14/1989	02/21/1990	N/A	N/A	N/A
CAD981434517	San Bernardino	06/24/1988	03/31/1989	N/A	N/A	N/A
CA4570024345	San Bernardino	10/15/1984	07/22/1987	05/16/2006	N/A	N/A
CA2170023533	San Diego	07/14/1989	11/21/1989	N/A	N/A	N/A
CA1170090087	San Francisco	07/14/1989	11/21/1989	N/A	04/05/1999	N/A
CAD009106527	San Joaquin	02/07/1992	10/14/1992	N/A	N/A	N/A
CA8210020832	San Joaquin	10/15/1984	07/22/1987	06/27/2003	N/A	N/A
CA4971520834	San Joaquin	07/14/1989	08/30/1990	N/A	N/A	N/A
CA1141190578	San Luis Obispo	09/23/2004	04/19/2006	N/A	N/A	N/A
CAD020748125	Santa Barbara	06/14/2001	09/13/2001	N/A	N/A	N/A
CAD048634059	Santa Clara	10/15/1984	06/10/1986	09/17/1993	N/A	N/A
CAT080034234	Santa Clara	06/24/1988	08/30/1990	03/25/1992	N/A	N/A
CAD042728840	Santa Clara	10/15/1984	07/22/1987	09/27/1993	N/A	N/A
CAD009212838	Santa Clara	06/24/1988	02/21/1990	03/31/1992	N/A	N/A
CAD095989778	Santa Clara	10/15/1984	02/11/1991	08/24/1999	N/A	N/A
CAD097012298	Santa Clara	10/15/1984	10/04/1989	03/25/1992	N/A	N/A
CAD980884209	Santa Clara	06/24/1988	02/21/1990	09/16/1997	N/A	N/A
CAD061620217	Santa Clara	10/15/1984	06/10/1986	08/24/1999	N/A	N/A
CAT000612184	Santa Clara	10/15/1984	06/10/1986	08/18/1992	N/A	N/A
CAD092212497	Santa Clara	10/15/1984	06/10/1986	08/19/1992	N/A	N/A
CAD041472341	Santa Clara	06/24/1988	08/30/1990	09/08/1992	N/A	N/A
CAD009103318	Santa Clara	06/24/1988	10/04/1989	09/20/2002	N/A	N/A
CAD029295706	Santa Clara	10/15/1984	10/04/1989	09/29/1998	N/A	N/A
CA2170090078	Santa Clara	04/10/1985	07/22/1987	N/A	N/A	N/A
CAD049236201	Santa Clara	10/15/1984	07/22/1987	08/22/1994	N/A	N/A
CAD041472986	Santa Clara	10/15/1984	07/22/1987	10/16/1997	N/A	N/A
CAD009205097	Santa Clara	10/15/1984	06/10/1986	08/24/1999	N/A	N/A
CAD980894885	Santa Clara	10/15/1984	06/10/1986	09/23/1998	N/A	N/A
CAD009138488	Santa Clara	06/24/1988	02/11/1991	09/16/1992	N/A	N/A
CAD990832735	Santa Clara	06/24/1988	10/04/1989	03/25/1992	N/A	N/A
CAD009159088	Santa Clara	06/24/1988	02/21/1990	09/17/1993	N/A	N/A
CAD009111444	Santa Clara	10/15/1984	07/22/1987	03/31/1992	N/A	N/A
CAD001864081	Santa Clara	10/15/1984	06/10/1986	09/27/2000	N/A	N/A
CAD980893234	Santa Cruz	01/22/1987	08/30/1990	09/22/1994	N/A	N/A
CAD980498612	Shasta	12/30/1982	09/08/1983	N/A	N/A	N/A
CAN000906063	Siskiyou	03/10/2011	–	–	–	–
CAD000625731	Siskiyou	10/15/1984	10/04/1989	09/14/2001	N/A	N/A
CA2890190000	Solano	01/18/1994	05/31/1994	N/A	N/A	N/A
CA5570024575	Solano	07/14/1989	11/21/1989	N/A	N/A	N/A
CAD000074120	Sonoma	12/30/1982	09/08/1983	09/09/1994	N/A	N/A
CAD981171523	Sonoma	06/24/1988	02/21/1990	08/14/1992	N/A	N/A
CAD981997752	Stanislaus	06/24/1988	03/31/1989	N/A	N/A	N/A
CA7210020759	Stanislaus	06/24/1988	02/21/1990	09/30/1997	N/A	N/A
CAD063020143	Stanislaus	06/24/1988	03/31/1989	08/21/2008	N/A	N/A
CAD048645444	Tulare	10/15/1984	06/10/1986	09/21/1993	N/A	N/A
CAD980816466	Tulare	01/22/1987	03/31/1989	09/25/2001	N/A	09/25/2009
CAD009688052	Ventura	03/07/2007	09/19/2007	N/A	N/A	N/A
CAD980636781	Ventura	06/24/1988	10/04/1989	09/27/1996	N/A	N/A
CAD071530380	Yolo	01/18/1994	05/31/1994	N/A	N/A	N/A
