Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
2000	Richard Vaughan	Marina Yakusheva	Joachim Andersson Peter Axelsson	Irina Ruslyakova Marina Yakusheva	Peter Jeffrey Joanne Davies
2001	Irwansyah	Brenda Beenhakker	Vincent Laigle Svetoslav Stoyanov	Sara Sankey Ella Tripp	Nikolai Zuyev Marina Yakusheva
2002	Irwansyah	Karina de Wit	Nikolai Zuyev Stanislav Pukhov	Ella Tripp Joanne Wright	Nikolai Zuyev Marina Yakusheva
2003	Irwansyah	Ella Karachkova	Ashley Thilthorpe Kristian Roebuck	Ella Karachkova Anastasia Russkikh	Alexandr Russkikh Anastasia Russkikh
2004	Nathan Rice	Petya Nedelcheva	Reuben Gordown Aji Basuki Sindoro	Petya Nedelcheva Yuan Wemyss	Matthew Hughes Kelly Morgan
2005	Chetan Anand	Eleanor Cox	Andrew Ellis Dean George	Hayley Connor Heather Olver	Valiyaveetil Diju Jwala Gutta
2006	Irwansyah	Huang Chia-chi	Matthew Hughes Martyn Lewis	Natalie Munt Mariana Agathangelou	Kristian Roebuck Natalie Munt
2007	Marc Zwiebler	Jill Pittard	Wojciech Szkudlarczyk Adam Cwalina	Chloe Magee Bing Huang	Wojciech Szkudlarczyk Malgorzata Kurdelska
2008	Brice Leverdez	Kati Tolmoff	Andrew Bowman Martyn Lewis	Mariana Agathangelou Jillie Cooper	Watson Briggs Jillie Cooper
2009	Kristian Nielsen	Tatjana Bibik	Vitaliy Durkin Alexandr Nikolaenko	Valeria Sorokina Nina Vislova	Vitaliy Durkin Nina Vislova
2010	Pablo Abián	Anita Raj Kaur	Peter Käsbauer Josche Zurwonne	Joanne Quay Swee Ling Anita Raj Kaur	Peter Käsbauer Johanna Goliszewski
2011	Niluka Karunaratne	Nicole Schaller	Chris Coles Matthew Nottingham	Ng Hui Ern Ng Hui Lin	Martin Campbell Ng Hui Lin
2012	Chou Tien-chen	Chiang Mei-hui	Marcus Ellis Paul Van Rietvelde	Gabrielle White Lauren Smith	Marcus Ellis Gabrielle White
