Country	Region	FHFreepressreport	RWB Pressfreedomindex	Internetlists	ONIpoliticalfiltering	ONIsocialfiltering	ONIsecurityfiltering	ONItoolsfiltering
Czech Republic	Europe	19	10.17	—	—	—	—	—
Denmark	Europe	12	7.08	—	ne	ne	ne	ne
Djibouti	Africa	74	67.4	—	—	—	—	—
Dominica	NAmerica	23	—	—	—	—	—	—
Dominican Republic	NAmerica	41	28.34	—	—	—	—	—
East Timor	Asia	35	28.72	—	—	—	—	—
Ecuador	SAmerica	58	34.69	—	—	—	—	—
Egypt	Africa	57	48.66	u	ne	ne	ne	ne
El Salvador	NAmerica	40	22.86	—	—	—	—	—
Equatorial Guinea	Africa	91	67.2	—	—	—	—	—
Eritrea	Africa	94	84.83	u	—	—	—	—
Estonia	Europe	18	9.26	—	—	—	—	—
Ethiopia	Africa	81	39.57	—	per	ne	sel	sel
Fiji	Oceania	58	32.69	—	—	—	—	—
Finland	Europe	10	6.38	—	ne	ne	ne	ne
France	Europe	24	21.6	u	ne	ne	ne	ne
Gabon	Africa	70	28.69	—	—	—	—	—
Gambia	Africa	81	45.09	—	—	—	—	—
Georgia	Eurasia	52	30.09	—	sel	ne	sel	ne
Germany	Europe	17	10.24	—	ne	ne	ne	ne
Ghana	Africa	28	17.27	—	—	—	—	—
Greece	Europe	30	28.46	—	—	—	—	—
Grenada	NAmerica	24	—	—	—	—	—	—
Guatemala	NAmerica	60	29.39	—	ne	ye	ne	ne
Guinea	Africa	62	28.49	—	—	—	—	—
Guinea-Bissau	Africa	57	28.94	—	—	—	—	—
Guyana	SAmerica	33	27.08	—	—	—	—	—
Haiti	NAmerica	50	24.09	—	—	—	—	—
Honduras	NAmerica	62	36.92	—	—	—	—	—
Hong Kong	Asia	33	26.16	—	—	—	—	—
Hungary	Europe	36	26.09	—	ne	ne	ne	ne
Iceland	Europe	14	8.49	—	—	—	—	—
India	Asia	37	41.22	u	sel	sel	sel	sel
Indonesia	Asia	49	41.05	—	sel	sel	ne	sel
Iran	Asia	92	73.4	e,se	per	per	sub	per
Iraq	Asia	69	44.67	—	ne	ne	ne	ne
Ireland	Europe	16	10.06	—	—	—	—	—
Israel	Asia	30	32.97	—	ne	ne	ne	ne
Italy	Europe	33	26.11	—	ne	sel	ne	ne
Jamaica	NAmerica	18	9.88	—	—	—	—	—
Japan	Asia	22	25.17	—	—	—	—	—
Jordan	Asia	63	38.47	—	sel	ne	ne	ne
Kazakhstan	Eurasia	81	55.08	u	sel	sel	ne	ne
Kenya	Africa	52	27.8	—	—	—	—	—
Kiribati	Oceania	27	—	—	—	—	—	—
Kosovo	Europe	49	28.47	—	—	—	—	—
Kuwait	Asia	57	28.28	—	sel	per	sel	per
Kyrgyzstan	Asia	69	32.2	—	sel	sel	ne	ne
Laos	Asia	84	67.99	—	ne	ne	ne	ne
Latvia	Europe	27	22.89	—	ne	ne	ne	ne
Lebanon	Asia	51	30.15	—	ne	ne	ne	ne
Lesotho	Africa	49	28.36	—	—	—	—	—
Liberia	Africa	60	29.89	—	—	—	—	—
Libya	Africa	60	37.86	r	sel	ne	ne	ne
Liechtenstein	Europe	14	7.35	—	—	—	—	—
Lithuania	Europe	23	18.24	—	—	—	—	—
Luxembourg	Europe	12	6.68	—	—	—	—	—
Macedonia	Europe	54	34.27	—	—	—	—	—
Madagascar	Africa	63	28.62	—	—	—	—	—
Malawi	Africa	60	28.18	—	—	—	—	—
Malaysia	Asia	63	42.73	u,r	ne	ne	ne	ne
Maldives	Asia	51	31.1	—	—	—	—	—
Mali	Africa	24	30.03	—	—	—	—	—
Malta	Europe	22	23.3	—	—	—	—	—
Marshall Islands	Oceania	17	—	—	—	—	—	—
Mauritania	Africa	52	26.76	—	sel	ne	ne	ne
Mauritius	Africa	29	26.47	—	—	—	—	—
Mexico	NAmerica	62	45.3	—	ne	ne	ne	ne
Micronesia	Oceania	21	—	—	—	—	—	—
Moldova	Europe	54	26.01	—	sel	ne	ne	ne
Monaco	Europe	16	—	—	—	—	—	—
Mongolia	Asia	37	29.93	—	—	—	—	—
Montenegro	Europe	35	32.97	—	—	—	—	—
Morocco	Africa	68	39.04	—	ne	sel	sel	sel
Mozambique	Africa	43	28.01	—	—	—	—	—
Myanmar	Asia	85	44.71	e	sel	sub	ne	sel
Namibia	Africa	32	12.5	—	—	—	—	—
Nauru	Oceania	28	—	—	—	—	—	—
Nepal	Asia	55	34.61	—	ne	ne	ne	ne
Netherlands	Europe	12	6.48	—	—	—	—	—
New Zealand	Oceania	17	8.38	—	—	—	—	—
Nicaragua	NAmerica	49	28.31	—	—	—	—	—
Niger	Africa	49	23.08	—	—	—	—	—
Nigeria	Africa	50	34.11	—	ne	ne	ne	ne
North Korea	Asia	97	83.9	e	nd	nd	nd	nd
Northern Cyprus	Europe	—	29.34	—	—	—	—	—
Norway	Europe	10	6.52	—	ne	ne	ne	ne
Oman	Asia	71	41.51	—	sel	per	ne	sub
Organisation of Eastern Caribbean States	NAmerica	—	19.72	—	—	—	—	—
Pakistan	Asia	63	51.31	r	sel	sel	sub	sel
Palau	Oceania	16	—	—	—	—	—	—
Palestinian territories	Asia	83	43.09	—	ne	sub	ne	ne
Panama	NAmerica	46	32.95	—	—	—	—	—
Papua New Guinea	Oceania	27	22.97	—	—	—	—	—
Paraguay	SAmerica	60	28.78	—	—	—	—	—
Peru	SAmerica	44	31.87	—	ne	ne	ne	ne
Philippines	Asia	42	43.11	—	ne	ne	ne	ne
Poland	Europe	25	13.11	—	—	—	—	—
Portugal	Europe	17	16.75	—	—	—	—	—
Qatar	Asia	67	32.86	—	sel	per	sel	per
Romania	Europe	41	23.05	—	ne	ne	ne	ne
Russia	Eurasia	80	43.42	u,r	sel	sel	ne	ne
Rwanda	Africa	82	55.46	r	—	—	—	—
Saint Kitts and Nevis	NAmerica	20	—	—	—	—	—	—
Saint Lucia	NAmerica	15	—	—	—	—	—	—
Saint Vincent and the Grenadines	NAmerica	17	—	—	—	—	—	—
Samoa	Oceania	29	23.84	—	—	—	—	—
San Marino	Europe	17	—	—	—	—	—	—
São Tomé and Príncipe	Africa	29	—	—	—	—	—	—
Saudi Arabia	Asia	84	56.88	e	sub	per	sel	per
Senegal	Africa	55	26.19	—	—	—	—	—
Serbia	Europe	35	26.59	—	—	—	—	—
Seychelles	Africa	56	29.19	—	—	—	—	—
Sierra Leone	Africa	49	26.35	—	—	—	—	—
Singapore	Asia	67	43.43	—	ne	sel	ne	ne
Slovakia	Europe	21	13.25	—	—	—	—	—
Slovenia	Europe	25	20.49	—	—	—	—	—
Solomon Islands	Oceania	28	—	—	—	—	—	—
Somalia	Africa	84	73.59	—	—	—	—	—
South Africa	Africa	34	24.56	—	—	—	—	—
South Korea	Asia	32	24.48	u	ne	sel	per	ne
South Sudan	Africa	59	36.2	—	—	—	—	—
Spain	Europe	24	20.5	—	—	—	—	—
Sri Lanka	Asia	72	56.59	u,r	ne	ne	ne	ne
Sudan	Africa	78	70.06	—	sel	sub	ne	sub
Suriname	SAmerica	23	18.19	—	—	—	—	—
Swaziland	Africa	76	46.76	—	—	—	—	—
Sweden	Europe	10	9.23	—	ne	ne	ne	ne
Switzerland	Europe	12	9.94	—	—	—	—	—
Syria	Asia	89	78.53	e,se	per	sel	sel	per
Taiwan	Asia	25	23.82	—	—	—	—	—
Tajikistan	Asia	79	35.71	—	sel	ne	ne	ne
Tanzania	Africa	49	27.34	—	—	—	—	—
Thailand	Asia	60	38.6	u	sel	sel	ne	sel
Timor-Leste	Asia	35	28.72	—	—	—	—	—
Togo	Africa	69	28.45	—	—	—	—	—
Tonga	Oceania	29	26.7	—	—	—	—	—
Trinidad and Tobago	NAmerica	25	23.12	—	—	—	—	—
Tunisia	Africa	51	39.93	u	ne	ne	ne	ne
Turkey	Eurasia	55	46.56	u	sel	sel	ne	sel
Turkmenistan	Asia	96	79.14	e	per	sel	sel	sel
Tuvalu	Oceania	26	—	—	—	—	—	—
Uganda	Africa	57	31.69	—	ne	ne	ne	ne
Ukraine	Europe	59	36.79	—	ne	ne	ne	ne
United Arab Emirates	Asia	72	33.49	u	sub	per	sel	per
United Kingdom	Europe	21	16.89	—	ne	ne	ne	ne
United States	NAmerica	18	18.22	—	ne	ne	ne	ne
Uruguay	SAmerica	26	15.92	—	—	—	—	—
Uzbekistan	Asia	95	60.39	e	per	sel	sel	sel
Vanuatu	Oceania	26	—	—	—	—	—	—
Venezuela	SAmerica	76	34.44	—	ne	ne	ne	ne
Vietnam	Asia	84	71.78	e,se	per	sel	sel	sub
Yemen	Asia	83	69.22	—	sub	per	sel	sub
Zambia	Africa	60	27.93	—	—	—	—	—
Zimbabwe	Africa	80	38.12	—	ne	ne	ne	ne
