Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	17 November 1997	Chase Championships	Carpet (I)	Alexandra Fusai	Lindsay Davenport Jana Novotná	7–3(5), 3–6, 2–6
Winner	23 February 1998	Linz	Carpet (I)	Alexandra Fusai	Anna Kournikova Larisa Neiland	6–3, 3–6, 6–4
Runner-up	5 March 1998	Indian Wells	Hard	Alexandra Fusai	Lindsay Davenport Natasha Zvereva	4–6, 6–2, 4–6
Runner-up	11 May 1998	Berlin	Clay	Alexandra Fusai	Lindsay Davenport Natasha Zvereva	3–6, 0–6
Winner	18 May 1998	Strasbourg	Clay	Alexandra Fusai	Yayuk Basuki Caroline Vis	6–4, 6–3
Runner-up	3 August 1998	San Diego	Hard	Alexandra Fusai	Lindsay Davenport Natasha Zvereva	2–6, 1–6
Winner	24 August 1998	New Haven	Hard	Alexandra Fusai	Mariaan de Swardt Jana Novotná	6–1, 6–0
Runner-up	16 November 1998	Chase Championships	Carpet (I)	Alexandra Fusai	Lindsay Davenport Natasha Zvereva	7–6(6), 5–7, 3–6
Winner	8 February 1999	Prostějov	Carpet (I)	Alexandra Fusai	Květa Hrdličková Helena Vildová	3–6, 6–2, 6–1
Runner-up	15 February 1999	Hanover	Carpet (I)	Alexandra Fusai	Serena Williams Venus Williams	7–5, 2–6, 2–6
Runner-up	3 May 1999	Rome	Clay	Alexandra Fusai	Martina Hingis Anna Kournikova	2–6, 2–6
Winner	10 May 1999	Berlin	Clay	Alexandra Fusai	Jana Novotná Patricia Tarabini	6–3, 7–5
Runner-up	17 May 1999	Strasbourg	Clay	Alexandra Fusai	Elena Likhovtseva Ai Sugiyama	6–2, 6–7(6), 1–6
Runner-up	11 October 1999	Zürich	Hard (I)	Natasha Zvereva	Lindsay Davenport Rennae Stubbs	2–6, 2–6
Runner-up	31 January 2000	Tokyo	Carpet (I)	Alexandra Fusai	Martina Hingis Mary Pierce	4–6, 1–6
Winner	19 June 2000	Eastbourne	Grass	Ai Sugiyama	Lisa Raymond Rennae Stubbs	2–6, 6–3, 7–6(3)
Winner	14 August 2000	Montreal	Hard	Martina Hingis	Julie Halard-Decugis Ai Sugiyama	6–3, 3–6, 6–4
Winner	25 September 2000	Luxembourg	Carpet (I)	Alexandra Fusai	Lubomira Bacheva Cristina Torrens Valero	6–3, 7–6(0)
Runner-up	16 October 2000	Linz	Carpet (I)	Ai Sugiyama	Amélie Mauresmo Chanda Rubin	4–6, 4–6
Runner-up	5 February 2001	Paris	Carpet (I)	Kimberly Po	Iva Majoli Virginie Razzano	3–6, 5–7
Runner-up	12 February 2001	Nice	Carpet (I)	Kimberly Po	Émilie Loit Anne-Gaëlle Sidot	6–1, 2–6, 0–6
Winner	19 March 2001	Key Biscayne	Hard	Arantxa Sánchez Vicario	Lisa Raymond Rennae Stubbs	6–0, 6–4
Runner-up	11 June 2001	Birmingham	Grass	Kimberly Po-Messerli	Cara Black Elena Likhovtseva	1–6, 2–6
Winner	5 August 2001	Los Angeles	Hard	Kimberly Po-Messerli	Nicole Arendt Caroline Vis	6–3, 7–5
Runner-up	27 August 2001	US Open	Hard	Kimberly Po-Messerli	Lisa Raymond Rennae Stubbs	2–6, 7–5, 5–7
Winner	24 September 2001	Leipzig	Carpet (I)	Elena Likhovtseva	Květa Hrdličková Barbara Rittner	6–4, 6–2
Runner-up	10 June 2002	Birmingham	Grass	Kimberly Po-Messerli	Shinobu Asagoe Els Callens	4–6, 3–6
