Name	Games	A-League	Finals	Goals	Assists	Years
Vince Lia	24 (17)	24 (17)	0 (0)	0	1	2005/06 - 06/07
Adama Traore	22 (0)	13 (0)	0 (0)	0	1	2012/13 - present
Guilherme Finkler	12 (0)	12 (0)	0 (0)	0	6	2012/13 - present
Jonathan Bru	18 (10)	18 (10)	0 (0)	0	0	2012/13 - present
Marcos Flores	24 (1)	22 (0)	2 (1)	4	2	2012/13 - 2012/13
Sam Gallagher	2 (0)	2 (0)	0 (0)	0	0	2012/13
Theo Markelis	5 (5)	5 (5)	0 (0)	0	0	2012/13
Spase Dilevski	14 (9)	12 (7)	2 (2)	1	0	2012/13
Andrew Nabbout	21 (14)	19 (12)	2 (2)	4	0	2012/13 - present
Nicolas Ansell	8 (0)	8 (0)	0 (0)	0	0	2012/13 - present
Christopher Cristaldo	3 (3)	3 (3)	0 (0)	0	0	2012/13 - present
Luke O'Dea	2 (2)	2 (2)	0 (0)	0	0	2012/13 - present
Scott Galloway	11 (0)	9 (0)	2 (0)	0	1	2012/13 - present
Francesco Stella	6 (4)	6 (4)	0 (0)	0	0	2012/13 - present
Jesse Makarounas	3 (2)	3 (2)	0 (0)	0	0	2012/13 - present
Connor Pain	10 (3)	8 (2)	2 (1)	1	2	2012/13 - present
Daniel Mullen	9 (0)	7 (0)	2 (0)	0	0	2012/13 - present
Jason Geria	4 (1)	2 (1)	2 (0)	0	0	2012/13 - present
Dylan Murnane	2 (0)	2 (0)	0 (0)	0	0	2012/13 - present
Mitch Nichols	0 (0)	0 (0)	0 (0)	0	0	2013/14 - present
Kosta Barbarouses	0 (0)	0 (0)	0 (0)	0	0	2013/14 - present
