Name	Nation	Seasons	Championship titles	Races (Starts)	Poles	Wins	Podiums	Fastest Laps	Points (Dropped points)
Richard Gonda Category:Articles with hCards	Slovakia	2012	0	2	0	0	0	0	4
Victor Guerin Category:Articles with hCards	Brazil	2012	0	2	0	0	0	0	2
Ollie Hancock Category:Articles with hCards	United Kingdom	2009	0	6	0	0	0	0	0
Tobias Hegewald Category:Articles with hCards	Germany	2009 , 2011	0	32	4	2	5	3	158
Sebastian Hohenthal Category:Articles with hCards	Sweden	2009	0	16	0	0	0	0	7
Jens Höing Category:Articles with hCards	Germany	2009	0	16	0	0	0	0	0
Hector Hurst Category:Articles with hCards	United Kingdom	2012	0	16	0	0	0	0	27
Carlos Iaconelli Category:Articles with hCards	Brazil	2009	0	14	0	0	1	0	21
Axcil Jefferies Category:Articles with hCards	Zimbabwe	2012	0	12 (11)	0	0	0	0	17
Johan Jokinen Category:Articles with hCards	Denmark	2010	0	6	0	0	1	1	21
Julien Jousse Category:Articles with hCards	France	2009	0	16	1	1	4	2	49
Henri Karjalainen Category:Articles with hCards	Finland	2009	0	16	0	0	0	0	7
Kourosh Khani Category:Articles with hCards	Iran	2012	0	8	0	0	0	0	2
Jordan King Category:Articles with hCards	United Kingdom	2011	0	6	0	0	0	0	17
Natalia Kowalska Category:Articles with hCards	Poland	2010 – 2011	0	20	0	0	0	0	3
Plamen Kralev Category:Articles with hCards	Bulgaria	2010 – 2012	0	50 (49)	0	0	0	0	6
Ajith Kumar Category:Articles with hCards	India	2010	0	6	0	0	0	0	0
Jon Lancaster Category:Articles with hCards	United Kingdom	2011	0	2	0	0	0	0	14
Benjamin Lariche Category:Articles with hCards	France	2010 – 2011	0	34	0	0	0	0	48
Mikkel Mac Category:Articles with hCards	Denmark	2011	0	16	0	0	0	0	23
Mihai Marinescu Category:Articles with hCards	Romania	2010 – 2012	0	50	4	3	8	4	299
Daniel McKenzie Category:Articles with hCards	United Kingdom	2012	0	16	0	0	2	0	95
Kevin Mirocha Category:Articles with hCards	Poland	2012	0	16	1	1	6	0	159.5
Miki Monrás Category:Articles with hCards	Spain	2011	0	16	1	1	4	1	153
Jason Moore Category:Articles with hCards	United Kingdom	2009	0	16 (15)	0	0	0	0	3
Sung-Hak Mun Category:Articles with hCards	South Korea	2011	0	16 (15)	0	0	0	0	0
Jolyon Palmer Category:Articles with hCards	United Kingdom	2009 – 2010	0	34 (36)	5	5	10	3	245
Miloš Pavlović Category:Articles with hCards	Serbia	2009	0	16	0	0	2	1	29
Ramón Piñeiro Category:Articles with hCards	Spain	2010 – 2011	0	18	2	3	7	2	186
Markus Pommer Category:Articles with hCards	Germany	2012	0	16	4	3	5	2	169
Edoardo Piscopo Category:Articles with hCards	Italy	2009	0	14	0	0	0	0	19
Paul Rees Category:Articles with hCards	United Kingdom	2010	0	8	0	0	0	0	18
Ivan Samarin Category:Articles with hCards	Russia	2010	0	18	0	0	0	0	64
Germán Sánchez Category:Articles with hCards	Spain	2009	0	16 (14)	0	0	0	0	2
Harald Schlegelmilch Category:Articles with hCards	Latvia	2012	0	2	0	0	0	0	12
Max Snegirev Category:Articles with hCards	Russia	2011 – 2012	0	28	0	0	0	0	20
Kelvin Snoeks Category:Articles with hCards	Netherlands	2010 – 2011	0	32	0	0	1	0	88
Andy Soucek Category:Articles with hCards	Spain	2009	1 ( 2009 )	16	2	7	11	3	115
Dean Stoneman Category:Articles with hCards	United Kingdom	2010	1 ( 2010 )	18	6	6	13	6	284
Thiemo Storz Category:Articles with hCards	Germany	2011	0	16	0	0	0	0	19
Parthiva Sureshwaren Category:Articles with hCards	India	2010 – 2012	0	32 (31)	0	0	0	0	1
Henry Surtees Category:Articles with hCards	United Kingdom	2009	0	8	1	0	1	0	8
Ricardo Teixeira Category:Articles with hCards	Angola	2010	0	18	0	0	0	0	23
Johannes Theobald Category:Articles with hCards	Germany	2010 – 2011	0	14	0	0	0	0	1
Julian Theobald Category:Articles with hCards	Germany	2010 – 2011	0	18	0	0	0	0	8
Mathéo Tuscher Category:Articles with hCards	Switzerland	2012	0	16	4	2	9	1	210
Tristan Vautier Category:Articles with hCards	France	2009	0	2	0	0	1	0	9
Kazim Vasiliauskas Category:Articles with hCards	Lithuania	2009 – 2010	0	34	3	2	10	4	198
Robert Wickens Category:Articles with hCards	Canada	2009	0	16	5	2	6	3	64
Dino Zamparelli Category:Articles with hCards	United Kingdom	2012	0	16	0	0	2	0	106.5
Christopher Zanella Category:Articles with hCards	Switzerland	2011 – 2012	0	32	3	4	14	5	385 (401)
