Song title	Artist	Decade	Genre	Release date ( Xbox360 )	Release date ( PlayStation3 )	Release date ( Wii )
"Trippolette"	Andrew Buch	2000s	Prog	Mar.4,2010	July13,2010	No
"Turn Yourself Around"	Nick Gallant	2000s	Alternative	Mar.4,2010	No	No
"VP of Booty Reports"	Speck	2000s	Pop-Rock	Mar.4,2010	No	No
"Watch It All Go Down"	Foreword	2000s	Indie Rock	Mar.4,2010	June3,2011	No
"We Are the Best"	C&O	2000s	Rock	Mar.4,2010	No	No
"Whatever Is Wrong With You"	Marillion	2000s	Prog	Mar.4,2010	Feb.8,2011	No
"What's Your Favorite Dinosaur?"	The Main Drag	2000s	Indie Rock	Mar.4,2010	Apr.12,2011	No
"You Got That"	The Everybody	2000s	Indie Rock	Mar.4,2010	No	No
"You're My Everything"	Scratching the Itch	2000s	New Wave	Mar.4,2010	No	No
"Bleeder"	Alchemilla	2010s	Rock	Mar.5,2010	No	No
"Cali Girl"	Ballyhoo!	2000s	Rock	Mar.5,2010	Sep.28,2010	Nov.16,2010
"Code Monkey"	Jonathan Coulton	2000s	Rock	Mar.5,2010	Apr.22,2010	Oct.5,2010
"Gave It Up"	Pollyn	2000s	Alternative	Mar.5,2010	No	No
"Genius"	The B.O.L.T.	2000s	Indie Rock	Mar.5,2010	Apr.19,2011	No
"Makeup/Breakup (Original Version)"	Super Gravity	2000s	Rock	Mar.5,2010	No	No
"Minnesota"	Voodoo Pharmacology	2010s	Indie Rock	Mar.5,2010	No	No
"Packet Flier"	Terrorhorse	2000s	Metal	Mar.5,2010	Sep.21,2010	Nov.2,2010
"Push Push (Lady Lightning)"	Bang Camaro	2000s	Rock	Mar.5,2010	Apr.29,2010	Sep.21,2010
"Stegosaurus Song"	Eric Harm	2000s	Pop-Rock	Mar.5,2010	No	No
"White Heat"	Cetan Clawson and the Soul Side	2000s	Blues	Mar.5,2010	Dec.7,2010	Jan.18,2011
"Approach the Podium"	Winds of Plague	2000s	Metal	Mar.6,2010	July20,2010	Nov.2,2010
" Demon Woman "	Flight of the Conchords	2000s	Novelty	Mar.6,2010	June15,2010	Oct.12,2010
"Roll Over"	Uniform Motion	2010s	Indie Rock	Mar.6,2010	No	No
" So Says I "	The Shins	2000s	Indie Rock	Mar.6,2010	July6,2010	Oct.26,2010
"Push Me"	The Carsitters	2000s	Rock	Mar.7,2010	No	No
"Shiny Dark Bar"	James William Roy	2010s	Indie Rock	Mar.7,2010	No	No
"Do You Feel Like Breaking Up?"	Mark Mallman	2000s	Indie Rock	Mar.8,2010	No	No
"Mordecai"	Between the Buried and Me	2000s	Metal	Mar.8,2010	May12,2010	Sep.14,2010
" Stick Stickly "	Attack Attack!	2000s	Metal	Mar.8,2010	Apr.29,2010	Sep.21,2010
"Africa"	Quartered	2000s	Prog	Mar.9,2010	Sep.14,2010	Oct.12,2010
"Car Windows"	The Main Drag	2000s	Indie Rock	Mar.9,2010	June2,2011	No
"Descend Into the Eternal Pits of Possession"	The Project Hate MCMXCIX	2000s	Metal	Mar.9,2010	Aug.10,2010	No
"Life Unworthy of Life"	Warpath	2000s	Metal	Mar.9,2010	Oct.26,2010	Dec.21,2010
"Love and the Triumph Of"	Broadcast	2000s	Alternative	Mar.9,2010	Mar.15,2011	No
"Second Best Friend"	The Nebraska Sailing Authority	2000s	Rock	Mar.9,2010	No	No
" The Most Beautiful Girl (In the Room) "	Flight of the Conchords	2000s	Novelty	Mar.9,2010	June1,2010	Oct.19,2010
"Whatever Happened to You"	Cate Sparks	2000s	Pop-Rock	Mar.9,2010	Aug.24,2010	Sep.7,2010
"Day to Day"	Eulogies	2000s	Indie Rock	Mar.10,2010	No	No
"Destructive Device"	Mindflow	2000s	Prog	Mar.10,2010	June2,2011	No
"Moonshine Hollar"	Zack Wilson	2010s	Rock	Mar.11,2010	No	No
"Still Alive"	World Minus One	2000s	Rock	Mar.11,2010	No	No
"What a Trip"	Analogue Revolution feat. First Be	2000s	Urban	Mar.11,2010	No	No
"Dirty South Rock"	Hyro da Hero	2000s	Urban	Mar.12,2010	No	No
"One Bad Man"	Midnight Riders	2000s	Southern Rock	Mar.13,2010	June7,2011	No
"Battle Royale"	The Word Alive	2000s	Metal	Mar.14,2010	June29,2010	Oct.19,2010
"Elements"	Texas in July	2000s	Metal	Mar.14,2010	Aug.3,2010	Oct.5,2010
"My New Favorite Disaster"	Megaphone	2000s	Rock	Mar.14,2010	No	No
"Nothing There"	Oliver Pride	2000s	Rock	Mar.14,2010	No	No
" Rise "	Solarcade	2000s	Pop-Rock	Mar.14,2010	No	No
" The Mob Goes Wild "	Clutch	2000s	Rock	Mar.14,2010	June8,2010	Oct.26,2010
"You're A Wolf"	Sea Wolf	2000s	Indie Rock	Mar.14,2010	Apr.19,2011	No
"50,000 Unstoppable Watts"	Clutch	2000s	Rock	Mar.15,2010	July20,2010	Nov.2,2010
"Dragonfly" ( Symbion Project Remix)	Universal Hall Pass	2000s	Alternative	Mar.15,2010	June7,2011	No
"We Are Not Anonymous"	Unearth	2000s	Metal	Mar.15,2010	May25,2010	Oct.19,2010
" Business Time "	Flight of the Conchords	2000s	Novelty	Mar.16,2010	Apr.29,2010	Sep.21,2010
"Dirty King"	The Cliks	2000s	Rock	Mar.16,2010	No	No
"I'm Made of Wax, Larry, What Are You Made Of?"	A Day to Remember	2000s	Punk	Mar.16,2010	May12,2010	Sep.14,2010
"Midnight Ride"	Midnight Riders	2000s	Southern Rock	Mar.16,2010	June7,2011	No
" Semi-Charmed Life '09 "	Third Eye Blind	2000s	Rock	Mar.16,2010	May4,2010	Sep.7,2010
" Bodies "	Drowning Pool	2000s	Nu-Metal	Mar.17,2010	May4,2010	Sep.7,2010
"Collapsing"	Demon Hunter	2010s	Metal	Mar.17,2010	June8,2010	Oct.26,2010
"Days Without"	All That Remains	2000s	Metal	Mar.17,2010	May18,2010	Sep.21,2010
"One Step Further"	MxPx	2000s	Punk	Mar.17,2010	No	No
"Being Here"	The Stills	2000s	Indie Rock	Mar.18,2010	May25,2010	No
"Dance With Me"	Stewart	2000s	Punk	Mar.18,2010	June2,2011	No
" Remedy "	Seether	2000s	Metal	Mar.18,2010	May12,2010	Sep.14,2010
"Energy"	The Apples in Stereo	2000s	Pop-Rock	Mar.19,2010	May18,2010	Sep.21,2010
"First We Feast, Then We Felony"	Circus Circus	2000s	Metal	Mar.19,2010	Sep.28,2010	Nov.16,2010
"Hot Sexy Girls"	Joe Sibol	2000s	Pop-Rock	Mar.19,2010	No	No
"I Know What I Am"	Band of Skulls	2000s	Indie Rock	Mar.19,2010	May4,2010	Sep.7,2010
"I'm Alive"	Kid Beyond	2010s	Rock	Mar.19,2010	No	No
"Past Lives"	The Bronx	2000s	Punk	Mar.19,2010	No	No
"Taking Apart a Gigantic Machine"	The Main Drag	2000s	Indie Rock	Mar.19,2010	June2,2011	No
"Too Hot to Handle"	Carl Douglas	2000s	Rock	Mar.19,2010	No	No
"Under Water I Drown"	Edge	2000s	Alternative	Mar.19,2010	June3,2011	No
"Anything"	Kristin Dare	2000s	Rock	Mar.20,2010	No	No
"Do Not Disturb (Tell Me How Bad)"	Let's Get It	2000s	Pop-Rock	Mar.20,2010	Aug.31,2010	Sep.14,2010
"Gravitate"	Megaphone	2000s	Rock	Mar.20,2010	No	No
"Roll the Dice"	Damone	2000s	Rock	Mar.20,2010	Feb.1,2011	No
"Scavengers of the Damned"	Aiden	2000s	Punk	Mar.20,2010	Nov.9,2010	No
"Upstream"	Cory Wong	2000s	Blues	Mar.20,2010	No	No
"Hook, Line, and Sinner"	Texas in July	2000s	Metal	Mar.21,2010	Aug.17,2010	Nov.9,2010
"I Don't Think That's OK"	Josh Freese	2000s	Rock	Mar.21,2010	No	No
" A Thousand Nights "	Mile Marker Zero	2000s	Prog	Mar.22,2010	No	No
"Not Your Enemy"	Megaphone	2000s	Rock	Mar.22,2010	No	No
" A Little Faster "	There for Tomorrow	2000s	Alternative	Mar.23,2010	May25,2010	Oct.19,2010
"Gasoline"	The Bouncing Souls	2010s	Punk	Mar.23,2010	Jan.11,2011	No
"Synthesized"	Symbion Project	2000s	Other	Mar.23,2010	June7,2011	No
"Trash Candy"	Tijuana Sweetheart	2000s	Punk	Mar.23,2010	No	No
" Burn "	Big Square	2000s	Rock	Mar.25,2010	No	No
"When I Get Home, You're So Dead"	Mayday Parade	2000s	Rock	Mar.25,2010	May12,2010	Sep.14,2010
" Never Let You Go '09 "	Third Eye Blind	2000s	Rock	Mar.29,2010	June15,2010	Oct.12,2010
"Perfect World"	Moving Picture Show	2000s	Rock	Mar.29,2010	No	No
"Step Up (I'm on It)"	Maylene and the Sons of Disaster	2000s	Rock	Mar.29,2010	Sep.21,2010	Nov.2,2010
"Eveready"	Modern Skirts	2000s	Indie Rock	Mar.30,2010	No	No
"Scream Ceremony"	Order of the Crimson Wizard	2000s	Rock	Mar.30,2010	No	No
"Unstoppable"	White Line Allstars	2000s	Rock	Mar.30,2010	No	No
"Burning Rome"	Minnesota Sex Junkies	2000s	Indie Rock	Apr.1,2010	No	No
"Love Is the Only Thing"	Andy Kirk	2010s	Pop-Rock	Apr.1,2010	No	No
"Sound of the Redeemed"	Jonathan Lee	2000s	Pop-Rock	Apr.1,2010	No	No
" Young Bloods "	The Bronx	2000s	Punk	Apr.1,2010	No	No
"Home"	Fear Without Reason	2010s	Rock	Apr.5,2010	No	No
"Rearview Mirror"	Zack Wilson	2010s	Alternative	Apr.5,2010	No	No
"Sending Signals"	Evergreen Terrace	2000s	Metal	Apr.5,2010	Oct.19,2010	Dec.21,2010
"Where We're Goin"	The Japanese Frog	2000s	Other	Apr.5,2010	No	No
"1348"	Umphrey's McGee	2000s	Rock	Apr.7,2010	July6,2010	No
"All Eyes on Me"	The Carsitters	2000s	Rock	Apr.7,2010	No	No
"All My Friends Are Crazy"	500 Miles to Memphis	2000s	Country	Apr.7,2010	No	No
"Doomsday Party"	Sybreed	2000s	Metal	Apr.7,2010	No	No
"Midnight Daydreams"	No Crossing	2000s	New Wave	Apr.7,2010	No	No
" Forever in Your Hands "	All That Remains	2000s	Metal	Apr.8,2010	June1,2010	Oct.19,2010
"Gravity (Don't Let Me Go)"	Jon Black & the Winter Hearts	2010s	Rock	Apr.9,2010	No	No
"Wings of Infinity"	C&O	2000s	Rock	Apr.9,2010	No	No
"Bow Down"	Chrome Coma	2010s	Rock	Apr.12,2010	No	No
"Chalk Lines"	Division Day	2000s	Indie Rock	Apr.12,2010	No	No
"Drag Me Away"	Aminal	2000s	Indie Rock	Apr.12,2010	No	No
"Eden was a Garden"	Roman Candle	2000s	Southern Rock	Apr.12,2010	No	No
"Let the Games Begin"	Anarbor	2010s	Alternative	Apr.12,2010	Aug.17,2010	Nov.9,2010
" Motorcide "	Man Parts	2010s	Novelty	Apr.12,2010	No	No
"Rude Awakening"	Squeezebox	2000s	Rock	Apr.12,2010	No	No
" The Price "	Dappled Cities	2000s	Indie Rock	Apr.12,2010	Aug.24,2010	Sep.7,2010
"I Am Legion"	Bibleblack	2000s	Metal	Apr.13,2010	No	No
"Last Mistake"	RED9	2000s	Rock	Apr.13,2010	No	No
" The Girl at the Video Game Store "	Parry Gripp	2000s	Novelty	Apr.13,2010	July13,2010	Nov.16,2010
" Numb "	Aittala	2000s	Metal	Apr.15,2010	No	No
"One Step Behind"	A Hero Next Door	2000s	Punk	Apr.15,2010	No	No
"You Stay. I Go. No Following."	Look Mexico	2010s	Indie Rock	Apr.15,2010	No	No
"Close Your Eyes"	Jonathan Lee	2000s	Pop-Rock	Apr.16,2010	No	No
"Elisheva, I Love You"	Junius	2000s	Indie Rock	Apr.16,2010	No	No
"Blink"	Father Octopus	2010s	Rock	Apr.20,2010	No	No
"Bringing Love to the Party"	Steele & Britton feat. Taryn Murphy	2000s	Other	Apr.20,2010	No	No
"Caught"	Steele & Holden feat. Darren Holden	2000s	Pop-Rock	Apr.20,2010	No	No
"Death Comes (The Wedding Night)"	Inkubus Sukkubus	2000s	Glam	Apr.20,2010	No	No
"Frontier Factory"	Freen in Green	2000s	Prog	Apr.20,2010	No	No
"Goodnight Technologist"	The Main Drag	2000s	Indie Rock	Apr.20,2010	June2,2011	No
"Henchmen Ride"	Testament	2000s	Metal	Apr.20,2010	July6,2010	Oct.26,2010
"Indigo Friends"	Reverend Horton Heat	2000s	Alternative	Apr.20,2010	July20,2010	Nov.2,2010
" Jumper '09 "	Third Eye Blind	2000s	Alternative	Apr.20,2010	June22,2010	Sep.28,2010
"Take Control"	The New Regime	2000s	Rock	Apr.20,2010	No	No
"We Are the Nightmare"	Arsis	2000s	Metal	Apr.20,2010	Aug.10,2010	Nov.9,2010
"HTML Rulez D00d"	The Devil Wears Prada	2000s	Metal	Apr.22,2010	June22,2010	Sep.28,2010
"In Memory"	Excruciating Thoughts	2000s	Metal	Apr.22,2010	Oct.19,2010	Nov.23,2010
"NDE"	Blow Up Hollywood	2000s	Indie Rock	Apr.22,2010	No	No
"American Dream"	Silverstein	2000s	Rock	Apr.27,2010	June29,2010	No
" Beautiful "	Andy Kirk	2010s	Pop-Rock	Apr.27,2010	No	No
"Dead to the World"	The Fire Violets	2010s	Alternative	Apr.27,2010	No	No
"Delaware Are You? I Don't Know Alaska."	Safari So Good	2010s	Punk	Apr.27,2010	No	No
"Dogs Can Grow Beards All Over"	The Devil Wears Prada	2000s	Metal	Apr.27,2010	July13,2010	Nov.16,2010
"Exploited & Exposed"	Symbion Project	2000s	Other	Apr.27,2010	June7,2011	No
"Homeward Bound"	Tumbledown	2000s	Country	Apr.27,2010	No	No
"Plans & Reveries"	Black Gold	2000s	Pop-Rock	Apr.27,2010	No	No
"Undone"	All That Remains	2000s	Metal	Apr.27,2010	June29,2010	Oct.19,2010
"Dethroned"	Death Angel	2000s	Metal	May5,2010	Nov.9,2010	Dec.21,2010
"End of This"	Scratching the Itch	2010s	New Wave	May5,2010	No	No
"Even Seconds"	The Main Drag	2000s	Indie Rock	May5,2010	June2,2011	No
"Heads or Tails? Real or Not"	Emarosa	2000s	Alternative	May5,2010	Aug.3,2010	Oct.5,2010
"Montana"	The Main Drag	2000s	Indie Rock	May5,2010	June2,2011	No
" Paralyzer "	Finger Eleven	2000s	Pop-Rock	May5,2010	June22,2010	Sep.28,2010
"People Like You"	Forever from Now	2000s	Alternative	May5,2010	No	No
"Shot at the Title"	Your Horrible Smile	2000s	Rock	May5,2010	No	No
"Swine Houses"	The Main Drag	2000s	Indie Rock	May5,2010	June2,2011	No
" The Funeral "	Band of Horses	2000s	Indie Rock	May5,2010	July6,2010	Oct.26,2010
"Chelsea"	The Summer Set	2000s	Pop-Rock	May6,2010	Sep.21,2010	Nov.2,2010
"Death Quota for Purification"	The Myriad Burial	2000s	Metal	May6,2010	Oct.5,2010	Nov.23,2010
"Doomed"	8 Inch Betsy	2000s	Punk	May6,2010	No	No
"Radiator"	Family Force 5	2000s	Rock	May6,2010	Nov.16,2010	Dec.21,2010
" The Crying Machine ( Live ) "	Steve Vai	2000s	Rock	May6,2010	Aug.10,2010	Nov.9,2010
"Unfurling a Darkened Gospel"	Job for a Cowboy	2000s	Metal	May6,2010	Aug.17,2010	Nov.9,2010
" Where Were You? "	Every Avenue	2000s	Alternative	May6,2010	Aug.31,2010	Sep.14,2010
"You've Got Someone"	Blue News	2010s	Alternative	May6,2010	No	No
"Beauty Queen"	The Fury	2000s	Rock	May10,2010	No	No
"Dr. Doom"	The Acacia Strain	2000s	Metal	May10,2010	Sep.7,2010	Nov.16,2010
"Inheritance"	Single White Infidel	2010s	Punk	May10,2010	No	No
"Last Train to Awesometown"	Parry Gripp	2000s	Novelty	May10,2010	Oct.19,2010	Jan.11,2011
"Redemption"	Andy Timmons	2000s	Rock	May10,2010	Dec.7,2010	Jan.11,2011
"You Take It All"	A t o m	2010s	New Wave	May10,2010	No	No
"Automatic Doors"	A'tris	2000s	Indie Rock	May13,2010	No	No
"Chemical Infatuation"	Like A Storm	2000s	Rock	May13,2010	No	No
"Don't Feel Like That Anymore"	Johnny Cooper	2000s	Rock	May13,2010	Dec.21,2010	No
" Hungarian Dance No. 5 ( Brahms )"	Paul Henry Smith & the Fauxharmonic Orchestra	2010s	Other	May13,2010	No	No
"Light of Day"	A t o m	2010s	New Wave	May13,2010	No	No
" Night on Bald Mountain ( Mussorgsky )"	Paul Henry Smith & the Fauxharmonic Orchestra	2010s	Other	May13,2010	No	No
"Rock Your Socks Off"	Midnight Ocelot	2010s	Metal	May13,2010	No	No
"Swallow the Razor"	Bang Camaro	2000s	Rock	May13,2010	Sep.14,2010	Oct.12,2010
"Wrong Side of the Sky"	Rose of Jericho	2000s	Pop-Rock	May13,2010	No	No
"Everyone I Know is an Alcoholic"	Robby Suavé	2000s	Other	May14,2010	No	No
" Flight of the Bumblebee ( Rimsky-Korsakov ) "	Paul Henry Smith & the Fauxharmonic Orchestra	2000s	Other	May14,2010	No	No
"Knifeman"	The Bronx	2000s	Punk	May14,2010	No	No
"You're Not Alone - Rock Mix"	A t o m	2010s	New Wave	May14,2010	No	No
"India"	Circus Circus	2000s	Punk	May17,2010	No	No
" The Great Plains "	Scale the Summit	2000s	Prog	May17,2010	Aug.24,2010	Sep.7,2010
"Til I'm Gone"	Kristin Dare	2000s	Rock	May17,2010	No	No
"Walls"	All Time Low	2000s	Alternative	May17,2010	July27,2010	Sep.28,2010
"We're Not Getting Any Younger"	Color Theory	2000s	Other	May17,2010	No	No
"Bra Off Party On"	Thunderdikk	2000s	Rock	May18,2010	No	No
"Death Metal Guys"	Reverend Horton Heat	2000s	Alternative	May18,2010	Oct.12,2010	No
"Now Demolition"	Evile	2000s	Metal	May18,2010	Sep.28,2010	Nov.23,2010
"Paper Dolls"	Ballyhoo!	2000s	Rock	May18,2010	Apr.19,2011	No
"Tastes Like Kevin Bacon"	Iwrestledabearonce	2000s	Metal	May18,2010	July27,2010	Sep.28,2010
"Valkyries"	Amberian Dawn	2000s	Metal	May18,2010	Sep.7,2010	Nov.16,2010
" Eency Weency Spider "	CJ	2000s	Pop-Rock	May19,2010	No	No
"Santa Fe"	Blackberry River Band	2000s	Country	May19,2010	No	No
"Shape 3"	Farther Snake	2000s	Metal	May19,2010	No	No
"Sunday Suit"	Connor Christian and Southern Gothic	2000s	Country	May19,2010	No	No
"By Yourself"	The Knew	2000s	Rock	May20,2010	No	No
"Five More Minutes"	Counterfeit Pennies	2010s	Punk	May20,2010	No	No
"Is There a Ghost"	Band of Horses	2000s	Indie Rock	May20,2010	Aug.3,2010	Oct.5,2010
"You're an Egg! (Evolution)"	Windtunnel Syndrome	2010s	Prog	May20,2010	No	No
"Fat Kid"	Nothing More	2000s	Rock	May21,2010	No	No
"Satellite (Live)"	A t o m	2010s	New Wave	May21,2010	No	No
"Dance Floor"	The Apples in Stereo	2010s	Pop-Rock	May24,2010	No	No
"Fight to Kill"	Holy Grail	2000s	Metal	May24,2010	Nov.16,2010	No
"Footprints"	John Garrison	2000s	Alternative	May24,2010	No	No
