Member	Party	Electorate	State	Term in office
Hon Michael Hodgman	Liberal	Denison	Tas	1975–1987
Hon Clyde Holding	Labor	Melbourne Ports	Vic	1977–1998
Colin Hollis	Labor	Macarthur	NSW	1983–1998
Hon John Howard	Liberal	Bennelong	NSW	1974–2007
Brian Howe	Labor	Batman	Vic	1977–1996
Ben Humphreys	Labor	Griffith	Qld	1977–1996
Hon Ralph Hunt	National	Gwydir	NSW	1969–1990
Chris Hurford	Labor	Adelaide	SA	1969–1987
Ralph Jacobi	Labor	Hawker	SA	1969–1987
Dr Harry Jenkins, Sr.	Labor	Scullin	Vic	1969–1986
Hon Les Johnson [4 ]	Labor	Hughes	NSW	1955–1966, 1969–1984
Barry Jones	Labor	Lalor	Vic	1977–1998
Hon Bob Katter	National	Kennedy	Qld	1966–1990
Hon Paul Keating	Labor	Blaxland	NSW	1969–1996
Ros Kelly	Labor	Canberra	ACT	1980–1995
Lewis Kent	Labor	Hotham	Vic	1980–1990
Len Keogh	Labor	Bowman	Qld	1969–1975, 1983–1987
John Kerin	Labor	Werriwa	NSW	1972–1975, 1978–1993
Hon Sir Jim Killen [3 ]	Liberal	Moreton	Qld	1955–1983
Dr Richard Klugman	Labor	Prospect	NSW	1969–1990
Ted Lindsay	Labor	Herbert	Qld	1983–1996
Bruce Lloyd	National	Murray	Vic	1971–1996
Stephen Lusher	National	Hume	NSW	1974–1984
Stewart McArthur [5 ]	Liberal	Corangamite	Vic	1984–2007
Peter McGauran	National	Gippsland	Vic	1983–2008
Jeannette McHugh	Labor	Phillip	NSW	1983–1996
Hon Michael MacKellar	Liberal	Warringah	NSW	1969–1994
Leo McLeay	Labor	Grayndler	NSW	1979–2004
Hon Ian Macphee	Liberal	Balaclava	Vic	1974–1990
Hon Tom McVeigh	National	Darling Downs	Qld	1972–1988
Michael Maher	Labor	Lowe	NSW	1969–1987
Stephen Martin	Labor	Macarthur	NSW	1984–2002
Helen Mayer	Labor	Chisholm	Vic	1983–1987
John Mildren	Labor	Ballarat	Vic	1980–1990
Clarrie Millar	National	Wide Bay	Qld	1974–1990
Peter Milton	Labor	La Trobe	Vic	1980–1990
Hon John Moore	Liberal	Ryan	Qld	1975–2001
Allan Morris	Labor	Newcastle	NSW	1983–1998
Peter Morris	Labor	Shortland	NSW	1972–1998
Hon Bill Morrison	Labor	St George	NSW	1969–1975, 1980–1984
John Mountford	Labor	Banks	NSW	1980–1990
Hon Kevin Newman	Liberal	Bass	Tas	1975–1984
Frank O'Keefe	National	Paterson	NSW	1969–1984
Lloyd O'Neil	Labor	Grey	SA	1983–1993
Hon Andrew Peacock	Liberal	Kooyong	Vic	1966–1994
James Porter	Liberal	Barker	SA	1975–1990
Gary Punch	Labor	Barton	NSW	1983–1996
John Reeves	Labor	Northern Territory	NT	1983–1984
Hon Ian Robinson	National	Cowper	NSW	1963–1990
Allan Rocher	Liberal	Curtin	WA	1981–1998
Philip Ruddock	Liberal	Dundas	NSW	1973–present
John Saunderson	Labor	Deakin	Vic	1983–1990
Gordon Scholes	Labor	Corio	Vic	1967–1993
John Scott	Labor	Hindmarsh	SA	1980–1993
Roger Shipton	Liberal	Higgins	Vic	1975–1990
David Simmons	Labor	Calare	NSW	1983–1996
Rt Hon Ian Sinclair	National	New England	NSW	1963–1998
Rt Hon Sir Billy Snedden [2 ]	Liberal	Bruce	Vic	1955–1983
Jim Snow	Labor	Eden-Monaro	NSW	1983–1996
John Spender	Liberal	North Sydney	NSW	1980–1990
Peter Staples	Labor	Diamond Valley	Vic	1983–1996
Peter Steedman	Labor	Casey	Vic	1983–1984
Hon Tony Street [5 ]	Liberal	Corangamite	Vic	1966–1984
Dr Andrew Theophanous	Labor	Burke	Vic	1980–2001
Robert Tickner [4 ]	Labor	Hughes	NSW	1984–1996
Wilson Tuckey	Liberal	O'Connor	WA	1980–2010
Hon Tom Uren	Labor	Reid	NSW	1958–1990
Deane Wells	ALP	Petrie	Qld	1983–1984
Stewart West	Labor	Cunningham	NSW	1977–1993
Peter White	Liberal	McPherson	Qld	1981–1990
Ralph Willis	Labor	Gellibrand	Vic	1972–1998
Hon Ian Wilson	Liberal	Sturt	SA	1966–1969, 1972–1993
Hon Mick Young	Labor	Port Adelaide	SA	1974–1988
