Constructor	Chassis	Engine	Tyre	Driver	Rounds
Iso-Marlboro - Ford	FW	Ford Cosworth DFV 3.0 V8	F	Jacques Laffite	11-15
Ensign - Ford	N174	Ford Cosworth DFV 3.0 V8	F	Rikky von Opel	1
Ensign - Ford	N174	Ford Cosworth DFV 3.0 V8	F	Vern Schuppan	5-11
Ensign - Ford	N174	Ford Cosworth DFV 3.0 V8	F	Mike Wilds	12-15
McLaren - Ford	M23	Ford Cosworth DFV 3.0 V8	G	Dave Charlton	3
Trojan - Ford	T103	Ford Cosworth DFV 3.0 V8	F	Tim Schenken	4, 6, 8, 10-12
Trojan - Ford	T103	Ford Cosworth DFV 3.0 V8	F	Tim Schenken	13
Trojan - Ford	T103	Ford Cosworth DFV 3.0 V8	F	Tim Schenken	5
Surtees - Ford	TS16	Ford Cosworth DFV 3.0 V8	F	Leo Kinnunen	7, 9, 13
Surtees - Ford	TS16	Ford Cosworth DFV 3.0 V8	F	Leo Kinnunen	10, 12
Surtees - Ford	TS16	Ford Cosworth DFV 3.0 V8	F	Leo Kinnunen	5
March - Ford Hesketh - Ford	731 308	Ford Cosworth DFV 3.0 V8	F G	James Hunt	All
March - Ford Hesketh - Ford	731 308	Ford Cosworth DFV 3.0 V8	F G	Ian Scheckter	12
Maki - Ford	F101	Ford Cosworth DFV 3.0 V8	F	Howden Ganley	10-11
Lola - Ford	T370	Ford Cosworth DFV 3.0 V8	F	Graham Hill	All
Lola - Ford	T370	Ford Cosworth DFV 3.0 V8	F	Guy Edwards	1-2, 4-9, 11
Lola - Ford	T370	Ford Cosworth DFV 3.0 V8	F	Peter Gethin	10
Lola - Ford	T370	Ford Cosworth DFV 3.0 V8	F	Rolf Stommelen	12-15
Brabham - Ford	BT42 BT44	Ford Cosworth DFV 3.0 V8	F	John Watson	All
Brabham - Ford	BT42 BT44	Ford Cosworth DFV 3.0 V8	F	Carlos Pace	9
Lotus - Ford	72E	Ford Cosworth DFV 3.0 V8	G	Ian Scheckter	3
Lotus - Ford	72E	Ford Cosworth DFV 3.0 V8	G	Paddy Driver	3
Amon - Ford	AF101	Ford Cosworth DFV 3.0 V8	F	Chris Amon	4, 6, 11, 13
Amon - Ford	AF101	Ford Cosworth DFV 3.0 V8	F	Larry Perkins	11
Lyncar - Ford	006	Ford Cosworth DFV 3.0 V8	G	John Nicholson	10
March - Ford	731	Ford Cosworth DFV 3.0 V8	F	Mike Wilds	10
Brabham - Ford	BT42	Ford Cosworth DFV 3.0 V8	F	Carlo Facetti	13
Brabham - Ford	BT42	Ford Cosworth DFV 3.0 V8	F	Helmuth Koinigg	12
Brabham - Ford	BT42	Ford Cosworth DFV 3.0 V8	F	Gérard Larrousse	5, 9
Tyrrell - Ford	004	Ford Cosworth DFV 3.0 V8	F	Eddie Keizan	3
Token - Ford	RJ02	Ford Cosworth DFV 3.0 V8	F	Ian Ashley	11
Token - Ford	RJ02	Ford Cosworth DFV 3.0 V8	F	Ian Ashley	12
Token - Ford	RJ02	Ford Cosworth DFV 3.0 V8	F	Tom Pryce	5
Token - Ford	RJ02	Ford Cosworth DFV 3.0 V8	F	David Purley	10
Brabham - Ford	BT42	Ford Cosworth DFV 3.0 V8	G	Ian Ashley	14-15
Brabham - Ford	BT42	Ford Cosworth DFV 3.0 V8	G	Eppie Wietzes	14
Parnelli - Ford	VPJ4	Ford Cosworth DFV 3.0 V8	F	Mario Andretti	14-15
Penske - Ford	PC1	Ford Cosworth DFV 3.0 V8	G	Mark Donohue	14-15
Brabham - Ford	BT42	Ford Cosworth DFV 3.0 V8	G	Lella Lombardi	10
