Matrix	Recording date	Title	Accompaniment	Paramount Issue No.	Sandra Lieb Classification	JSP 77933	Document DOCD
2629	1926/06	Broken Soul Blues	Her Georgia Band	12384	Non-blues	C	5583
2631	1926/06	Trust No Man	Lillian Henderson (piano)	12395	Non-blues	C	5583
405	1926/11	Morning Hour Blues	Jimmy Blythe (piano) Blind Blake (guitar)	12455	Twelve-Bar Blues	D	5584
407	1926/11	Weepin' Woman Blues	Her Georgia Boys	12455	Twelve-Bar Blues	D	5584
408	1926/11	Soon This Morning	Her Georgia Band	12438	Twelve-Bar Blues	D	5584
4019	1926/12	Little Low Mamma Blues	Blind Blake (guitar) poss Leroy Picket (violin)	12419	Twelve-Bar Blues	D	5584
4020	1926/12	Grievin Hearted Blues	Blind Blake (guitar) poss Leroy Picket (violin)	12419	Mixture of Blues and Popular Song Forms	D	5584
4021	1926/12	Don't Fish In My Sea	Jimmy Blythe (piano)	12438	Twelve-Bar Blues	D	5584
4082	1927/08	Big Boy Blues	Her Georgia Band	12548	Twelve-Bar Blues	D	5584
4083	1927/08	Blues Oh Blues	Her Georgia Band	12566	Non-Blues	D	5584
4090	1927/08	Damper Down Blues	Her Georgia Band	12548	Twelve-Bar Blues	D	5584
4091	1927/08	Gone Daddy Blues	Her Georgia Band	12526	Mixture of Blues and Popular Song Forms	D	5584
4092	1927/08	Oh Papa Blues	Her Georgia Band	12566	Non-blues	D	5584
4707	1927/08	Misery Blues	Her Georgia Band	12508	Non-blues	D	5584
4708	1927/08	Dead Drunk Blues	Her Georgia Band	12508	Twelve-Bar Blues	D	5584
4709	1927/08	Slow Driving Moan	Her Georgia Band	12526	Mixture of Blues and Popular Song Forms	D	5584
20228	1927/12	Blues The World Forgot — Part 1	Her Georgia Band	12647	Comedy	D	5584
20229	1927/12	Ma Rainey's Black Bottom	Her Georgia Band	12590	Non-blues	D	5584
20230	1927/12	Blues The World Forgot — Part 2	Her Georgia Band	12647	Comedy	D	5584
20231	1927/12	Hellish Rag	Her Georgia Band	12612	Non-blues	D	5584
20232	1927/12	Georgia Cake Walk	Her Georgia Band	12590	Comedy	D	5584
20233	1927/12	New Bo-Weavil Blues	Her Georgia Band	12603	Mixture of Blues and Popular Song Forms	D	5584
20232	1927/12	Moonshine Blues	Her Georgia Band	12603	Mixture of Blues and Popular Song Forms	D	5584
20233	1927/12	Ice Bag Papa	Her Georgia Band	12612	Non-blues	D	5584
20661	1928/06	Black Cat Hoot Owl Blues	Her Tub Jug Washboard Band	12687	Twelve-Bar Blues	E	5156
20662	1928/06	Log Camp Blues	Her Tub Jug Washboard Band	12804	Twelve-Bar Blues	E	5156
20663	1928/06	Hear Me Talking To You	Her Tub Jug Washboard Band	12668	Twelve-Bar Blues	E	5156
20664	1928/06	Hustlin' Blues	Her Tub Jug Washboard Band	12804	Twelve-Bar Blues	E	5156
20665	1928/06	Prove It On Me Blues	Her Tub Jug Washboard Band	12668	Non-blues	E	5156
20666	1928/06	Victim Of The Blues	Her Tub Jug Washboard Band	12687	Twelve-Bar Blues	E	5156
20667	1928/06	Traveling Blues	Her Tub Jug Washboard Band	12707	Twelve-Bar Blues	E	5156
20668	1928/06	Deep Moaning Blues Blues	Her Tub Jug Washboard Band	12707	Twelve-Bar Blues	E	5156
20878	1928/09	Daddy Goodbye Blues	Georgia Tom Dorsey (piano) Tampa Red (guitar)	12963	Eight-Bar Blues	E	5156
20879	1928/09	Sleep Talking Blues	Georgia Tom Dorsey (piano) Tampa Red (guitar)	12760	Twelve-Bar Blues	E	5156
20880	1928/09	Tough Luck Blues	Georgia Tom Dorsey (piano) Tampa Red (guitar)	12735	Twelve-Bar Blues	E	5156
20881	1928/09	Blame It On The Blues	Georgia Tom Dorsey (piano) Tampa Red (guitar)	12760	Twelve-Bar Blues	E	5156
20882	1928/09	Sweet Rough Man	Georgia Tom Dorsey (piano) Tampa Red (guitar)	12926	Twelve-Bar Blues	E	5156
20883	1928/09	Runaway Blues	Georgia Tom Dorsey (piano) Tampa Red (guitar)	12902	Twelve-Bar Blues	E	5156
20885	1928/09	Screech Owl Blues	Eddie Miller (piano)	12735	Twelve-Bar Blues	E	5156
20886	1928/09	Black Dust Blues	Eddie Miller (piano)	12926	Twelve-Bar Blues	E	5156
20897	1928/09	Leaving This Morning	Georgia Tom Dorsey (piano) Tampa Red (guitar)	12902	Twelve-Bar Blues	E	5156
20898	1928/09	Black Eye Blues	Georgia Tom Dorsey (piano) Tampa Red (guitar)	12963	Twelve-Bar Blues	E	5156
20921	1928/10	Ma And Pa Poorhouse Blues	Papa Charlie Jackson (duet & Banjo)	12718	Twelve-Bar Blues	E	5156
20144	1928/10	Big Feeling Blues	Papa Charlie Jackson (duet & Banjo)	12718	Twelve-Bar Blues	E	5156
