Name	Years	Gender	Local board	Suburb	Authority	Decile	Roll
Kelston Girls College	9–13	Girls	Whau	Kelston	State	3	629
Kia Aroha College	7–13	Coed	Otara–Papatoetoe	Clover Park	State	1	260
King's College	9–13	Boys/Coed	Mangere–Otahuhu	Otahuhu	Private	10	913
Liston College	7–13	Boys	Henderson–Massey	Henderson North	Integrated	5	796
Long Bay College	9–13	Coed	Hibiscus and Bays	Long Bay	State	10	1777
Lynfield College	9–13	Coed	Puketapapa	Mount Roskill	State	7	1832
Macleans College	9–13	Coed	Howick	Bucklands Beach	State	10	2552
Mahurangi College	7–13	Coed	Rodney	Warkworth	State	8	1301
Mangere College	9–13	Coed	Mangere–Otahuhu	Mangere	State	1	784
Manurewa High School	9–13	Coed	Manurewa	Manurewa	State	2	1852
Marcellin College	7–13	Coed	Puketapapa	Royal Oak	Integrated	3	658
Marist College	7–15	Girls	Albert–Eden	Mount Albert	Integrated	7	770
Massey High School	9–13	Coed	Henderson–Massey	Massey West	State	5	2121
McAuley High School	9–13	Girls	Mangere–Otahuhu	Otahuhu	Integrated	1	684
Mission Heights Junior College	7–10	Coed	Howick	Flat Bush	State	10	672
Mount Albert Grammar School	9–13	Coed	Albert–Eden	Mount Albert	State	7	2728
Mount Roskill Grammar School	9–13	Coed	Puketapapa	Mount Roskill	State	4	2196
Northcote College	9–13	Coed	Kaipatiki	Northcote	State	9	1147
Odyssey House School	9–13	Coed	Whau	Avondale	Private	n/a	18
One Tree Hill College	9–13	Coed	Maungakiekie–Tamaki	Penrose	State	3	901
Onehunga High School	9–13	Coed	Maungakiekie–Tamaki	Onehunga	State	4	1307
Orewa College	7–13	Coed	Hibiscus and Bays	Orewa	State	9	2034
Ormiston Senior College	11–13	Coed	Howick	Flat Bush	State	10	351
Otahuhu College	9–13	Coed	Mangere–Otahuhu	Otahuhu	State	1	1330
Pakuranga College	9–13	Coed	Howick	Bucklands Beach	State	8	2100
Papakura High School	9–13	Coed	Papakura	Papakura	State	2	833
Papatoetoe High School	9–13	Coed	Otara–Papatoetoe	Papatoetoe	State	3	1631
Pukekohe High School	9–13	Coed	Franklin	Pukekohe	State	6	1593
Rangitoto College	9–13	Coed	Upper Harbour	Windsor Park	State	10	3009
Rodney College	9–13	Coed	Rodney	Wellsford	State	5	368
Rosehill College	9–13	Coed	Papakura	Papakura	State	6	1697
Rosmini College	7–13	Boys	Devonport–Takapuna	Takapuna	Integrated	9	1022
Rutherford College	9–13	Coed	Henderson–Massey	Te Atatu Peninsula	State	6	1394
Sacred Heart College	7–13	Boys	Orakei	Glen Innes	Integrated	8	1289
Sancta Maria College	7–13	Coed	Howick	Botany Downs	Integrated	8	980
Selwyn College	9–13	Coed	Orakei	Kohimarama	State	4	888
Sir Edmund Hillary Collegiate Senior School	9–13	Coed	Otara–Papatoetoe	Otara	State	1	537
St Dominic's Catholic College	7–13	Girls	Henderson–Massey	Henderson North	Integrated	6	895
St Kentigern College	7–13	Coed	Howick	Pakuranga	Private	n/a	1704
St Mary's College	7–13	Girls	Waitemata	Ponsonby	Integrated	7	897
St Paul's College	7–13	Boys	Waitemata	Ponsonby	Integrated	3	257
St Peter's College	7–13	Boys	Waitemata	Grafton	Integrated	8	1294
Takapuna Grammar School	9–13	Coed	Devonport–Takapuna	Belmont	State	10	1630
Tamaki College	9–13	Coed	Maungakiekie–Tamaki	Glen Innes	State	1	556
Tangaroa College	9–13	Coed	Otara–Papatoetoe	Otara	State	1	923
Te Wharekura o Manurewa	9–13	Coed	Manurewa	Manurewa	State	1	23
Waiheke High School	7–13	Coed	Waiheke	Waiheke Island	State	6	497
Waitakere College	9–13	Coed	Henderson–Massey	Henderson North	State	3	1381
Waiuku College	9–13	Coed	Franklin	Waiuku	State	7	880
Wentworth College	7–13	Coed	Hibiscus and Bays	Gulf Harbour	Private	10	212
Wesley College	9–13	Boys/Coed	Franklin	Pukekohe	Integrated	2	314
Western Springs College	9–13	Coed	Waitemata	Western Springs	State	8	1309
Westlake Boys High School	9–13	Boys	Devonport–Takapuna	Westlake	State	9	2293
Westlake Girls High School	9–13	Girls	Devonport–Takapuna	Westlake	State	9	2231
Whangaparaoa College	7–13	Coed	Hibiscus and Bays	Stanmore Bay	State	9	1425
Zayed College for Girls	7–13	Girls	Mangere–Otahuhu	Mangere	Integrated	3	108
