Date	Race Name	Location	UCI Rating	Winner	Team
3 April	GP de la Ville de Rennes	France	1.1	Ludovic Turpin ( FRA )	AG2R Prévoyance
5–8 April	Circuit de la Sarthe	France	2.1	Sylvain Chavanel ( FRA )	Cofidis
6–10 April	Cinturón a Mallorca	Spain	2.2	Dmitriy Kozontchuk ( RUS )	Rabobank Continental Team
6–10 April	Settimana Lombarda	Italy	2.2	Riccardo Riccò ( ITA )	Grassi-Marco Pantani
7 April	GP Pino Cerami	Belgium	1.1	Kai Reus ( NED )	Rabobank Continental Team
8–10 April	Circuit des Ardennes	France	2.2	Florian Morizot ( FRA )	UV Aube
9 April	Ronde van Drenthe	Netherlands	1.1	Marcel Sieberg ( GER )	Team Lamonta
10 April	Klasika Primavera	Spain	1.1	David Etxebarria ( ESP )	Liberty Seguros-Würth
10 April	GP de la Ville de Nogent-sur-Oise	France	1.2	Tristan Valentin ( FRA )	Auber 93
13 April	Scheldeprijs	Belgium	1.HC	Thorwald Veneberg ( NED )	Rabobank
13 April	La Côte Picarde	France	1.2	Jean-Marc Marino ( FRA )	UC Châteauroux
13–17 April	Vuelta a Aragon	Spain	2.1	Rubén Plaza ( ESP )	Comunidad Valenciana
13–17 April	Tour du Loir-et-Cher	France	2.2	Marc De Maar ( NED )	Rabobank Continental Team
14 April	GP de Denain	France	1.1	Jimmy Casper ( FRA )	Cofidis
15 April	Veenendaal-Veenendaal	Netherlands	1.HC	Paul Van Schalen ( NED )	AXA Pro-Cycling Team
15–17 April	Tour Nord-Isère	France	2.2	Maint Berkenbosch ( NED )	Trientalis-Apac Team
16 April	Tour du Finistère	France	1.1	Simon Gerrans ( AUS )	AG2R Prévoyance
17 April	Giro d'Oro	Italy	1.1	Luca Mazzanti ( ITA )	Ceramica Panaria-Navigare
17 April	Rund um Düren	Germany	1.2	Robert Retschke ( GER )	Team ComNet-Senges
17 April	Tro-Bro Léon	France	1.1	Tristan Valentin ( FRA )	Auber 93
18–22 April	Tour of Hellas	Greece	2.2	Valeriy Dmitriyev ( KAZ )	Kazakhstan (national team)
19–22 April	Giro del Trentino	Italy	2.1	Julio Alberto Pérez ( MEX )	Ceramica Panaria-Navigare
20–24 April	Niedersachsen-Rundfahrt	Germany	2.1	Stefan Schumacher ( GER )	Shimano-Memory Corp
20–24 April	Vuelta a Extremadura	Spain	2.2	Luis Roberto Alvarez ( ESP )	Cropusa Burgos
21–24 April	Szlakiem Grodów Piastowskich	Poland	2.2	Zbigniew Piątek ( POL )	Intel-Action
22–24 April	Vuelta a la Rioja	Spain	2.1	Javier Pascual Rodríguez ( ESP )	Comunidad Valenciana
23–27 April	GP of Sochi	Russia	2.2	Alexander Khatuntsev ( RUS )	Omnibike Dynamo Moscow
24 April	Giro dell'Appennino	Italy	1.1	Gilberto Simoni ( ITA )	Lampre-Caffita
24 April	Paris – Mantes-en-Yvelines	France	1.2	Maxime Mederel ( FRA )	Auber 93
24 April	Ronde van Noord-Holland	Netherlands	1.1	Paul Van Schalen ( NED )	AXA Pro-Cycling Team
24 April	Berner Rundfahrt	Switzerland	1.1	René Weissinger ( GER )	Volksbank-Ideal
24 April	Ronde Van Vlaanderen Beloften	Belgium	1.2	Kenny Dehaes ( BEL )	Amuzza.com-DAVO
25 April	Gran Premio della Liberazione	Italy	1.2	Chris Sutton ( AUS )	Australia (national team)
25 April	Giro della Provincia di Biella	Italy	1.2	Denis Shkarpeta ( UZB )	Ceramica Pagnoncelli
25 April–1 May	Ruban Granitier Breton	France	2.2	Stéphane Petilleau ( FRA )	Bretagne-Jean Floc'h
26 April–1 May	Giro delle Regioni	Italy	2.2	Luigi Sestili ( ITA )	Italy (national team)
27–30 April	Circuit de Lorraine	France	2.1	Andris Naudužs ( LAT )	Naturino-Sapore di Mare
27 April-1 May	Vuelta a Castilla y León	Spain	2.1	Carlos García Quesada ( ESP )	Comunidad Valenciana
30 April	Grand Prix Herning	Denmark	1.1	Michael Blaudzun ( DEN )	Team CSC
30 April	GP Industria & Artigianato di Larciano	Italy	1.1	Luca Mazzanti ( ITA )	Ceramica Panaria-Navigare
1 May	CSC Classic	Denmark	1.1	Jacob Rasmussen ( DEN )	Team GLS
1 May	Trophée des Grimpeurs	France	1.1	Philippe Gilbert ( BEL )	Française des Jeux
1 May	Giro della Toscana	Italy	1.1	Daniele Bennati ( ITA )	Lampre-Caffita
1 May	Rund um den Henninger Turm	Germany	1.HC	Erik Zabel ( GER )	T-Mobile Team
1 May	Memorial Andrzeja Trochanowskiego	Poland	1.2	František Raboň ( CZE )	PSK Whirlpool
1 May	Grote 1-MeiPrijs	Belgium	1.2	Hamish Haynes ( GBR )	Team Cyclingnews.com
1 May	Liège–Bastogne–Liège Espoirs	Belgium	1.2	Martin Pedersen ( DEN )	Team GLS
1–8 May	Presidential Tour of Turkey	Turkey	2.2	Svetoslav Tchanliev ( BUL )	Burgas
2 May	GP of Moscow	Russia	1.2	Alexey Shmidt ( RUS )	Omnibike Dynamo Moscow
2–5 May	UNIQA Classic	Austria	2.1	Bram de Groot ( NED )	Rabobank
3 May	Coppa Città di Asti	Italy	1.2	Fabio Sabatini ( ITA )	Pedale Larigiano
3 May	Miedzynarodowy 3-Majow Wyscig	Poland	1.2	Cezary Zamana ( POL )	Intel-Action
3 May	Mayor Cup	Russia	1.2	Ivan Terenine ( RUS )	Omnibike Dynamo Moscow
4–8 May	Four Days of Dunkirk	France	2.HC	Pierrick Fédrigo ( FRA )	Bouygues Télécom
5 May	Neuseen Classics	Germany	1.2	Marek Maciejewski ( POL )	Grupa PSB-Atlas-Orbea
5–8 May	Flèche du Sud	Luxembourg	2.2	Wolfram Wiese ( GER )	Team ComNet-Senges
5–9 May	Five rings of Moscow	Russia	2.2	Eduard Vorganov ( RUS )	Omnibike Dynamo Moscow
7 May	Ronde van Overijssel	Netherlands	1.2	Arno Wallaard ( NED )	Cycling Team Bert Story-Piels
7–8 May	Clasica Alcobendas	Spain	2.1	Pavel Tonkov ( RUS )	LPR-Piacenza
7–15 May	Thüringen Rundfahrt der U23	Germany	2.2	Kai Reus ( NED )	Rabobank Continental Team
8 May	Lincoln GP	United Kingdom	1.2	Russell Downing ( GBR )	Recycling.co.uk-MG-XPower-Litespeed
8 May	Omloop der Kempen	Netherlands	1.2	Niki Terpstra ( NED )	AXA Pro-Cycling Team
8 May	Trofeo Alcide Degasperi	Italy	1.2	David Garbelli ( ITA )	Concrete San Marco Caneva
8 May	GP Industrie del Marmo	Italy	1.2	Alessio Signego ( ITA )	Promo Ciclo Publysport
11 May	Memorial Oleg Dyachenko	Russia	1.2	Maxim Karpatchev ( RUS )	Omnibike Dynamo Moscow
11–15 May	Rheinland-Pfalz Rundfahrt	Germany	2.1	Michael Rich ( GER )	Gerolsteiner
12–15 May	GP Sunny Beach	Bulgaria	2.2	Evgeni Gerganov ( BUL )	Bulgaria (national team)
13–15 May	Tour de Picardie	France	2.1	Janek Tombak ( EST )	Cofidis
13–16 May	Tour de Berlin	Germany	2.2	Dominique Cornu ( BEL )	Bodysol-Win for Life-Jong Vlaanderen
14–22 May	Olympia's Tour	Netherlands	2.2	Stef Clement ( NED )	Rabobank Continental Team
15 May	Circuito del Porto	Italy	1.2	Maximiliano Richeze ( ARG )	Team Parolin Sorelle Ramonda
16 May	GP de Villers-Cotterêts	France	1.1	Bradley McGee ( AUS )	Française des Jeux
19–22 May	Ronde de l'Isard	France	2.2	Eduardo Gonzalo ( ESP )	FC Barcelona
21 May	Klasika Txuma	Spain	1.2	Nikolai Trussov ( RUS )	Lokomotiv
22 May	Tour de Vendée	France	1.1	Jonas Ljungblad ( SWE )	Amore & Vita-Beretta
22–29 May	FBD Insurance Ras	Ireland	2.2	Chris Newton ( GBR )	Recycling.co.uk-MG-XPower-Litespeed
24–29 May	Vuelta a Navarra	Spain	2.2	Pavel Brutt ( RUS )	Lokomotiv
25–29 May	Tour of Belgium	Belgium	2.1	Tom Boonen ( BEL )	Quick Step-Innergetic
25–29 May	Volta ao Alentejo	Portugal	2.1	Xavier Tondó ( ESP )	Catalunya-Angel Mir
25–29 May	Bayern-Rundfahrt	Germany	2.HC	Michael Rich ( GER )	Gerolsteiner
25–29 May	Tour de Gironde	France	2.2	Charles Guilbert ( FRA )	Bretagne-Jean Floc'h
27 May	Tartu GP	Estonia	1.1	Tomas Vaitkus ( LTU )	AG2R Prévoyance
27 May	GP Jamp	Slovakia	1.2	Andrey Mizourov ( KAZ )	Cycling Team Capec
27 May	Tallinn–Tartu GP	Estonia	1.1	Janek Tombak ( EST )	Cofidis
28 May	GP Kooperativa	Slovakia	1.2	Piotr Przydzial ( POL )	DHL-Author
28 May	GP Möbel Alvisse	Luxembourg	1.2	James Lewis Perry ( RSA )	Team Konica Minolta
29 May	GP Llodio	Germany	1.1	David Herrero ( ESP )	Euskaltel-Euskadi
29 May	GP Palma	France	1.2	Oleksandr Klymenko ( UKR )	Grupa PSB-Atlas-Orbea
29 May	GP des Eaux Minérales de Beckerich	Luxembourg	1.2	Arno Wallaard ( NED )	Cycling Team Bert Story - Piels
29 May	Paris-Roubaix Espoirs	France	1.2	Dmitriy Kozontchuk ( RUS )	Rabobank Continental Team
1–5 June	Euskal Bizikleta	Spain	2.HC	Eladio Jiménez ( ESP )	Comunidad Valenciana
2–5 June	Tour de Luxembourg	Luxembourg	2.HC	László Bodrogi ( HUN )	Crédit Agricole
4 June	GP Schwarzwald	Germany	1.1	Fabian Wegmann ( GER )	Gerolsteiner
5 June	GP du canton d'Argovie	Switzerland	1.1	Alexandre Moos ( SUI )	Phonak
5 June	Memorial Van Coningsloo	Belgium	1.2	Hans Dekkers ( NED )	Rabobank Continental Team
5 June	Coppa della Pace	Italy	1.2	Vasil Kiryienka ( BLR )	Grassi-Marco Pantani
5 June	GP Kranj	Slovenia	1.1	Martin Hvastija ( SLO )	Perutnina Ptuj
6–11 June	Volta a Lleida	Spain	2.2	Branislau Samoilau ( BLR )	Palazzago-Abi Isolanti
7–12 June	Bałtyk-Karkonosze Tour	Poland	2.2	Radosław Romanik ( POL )	DHL-Author
8–12 June	Ringerike GP	Norway	2.2	Are Andresen ( NOR )	Team Sparebanken Vest
9–12 June	Tour de Slovénie	Slovenia	2.1	Przemysław Niemiec ( POL )	Miche
10–12 June	GP CTT Correios	Portugal	2.1	Alexei Markov ( RUS )	Milaneza-Maia
12 June	Flèche Hesbignonne	Belgium	1.2	Geert Verheyen ( BEL )	Landbouwkrediet-Colnago
14–19 June	Tour de Serbie	Yugoslavia	2.2	Matija Kvasina ( CRO )	Perutnina Ptuj
15 June	Subida al Naranco	Spain	1.1	Rinaldo Nocentini ( ITA )	Acqua & Sapone-Adria Mobil
15–18 June	Ster Elektrotoer	Netherlands	2.1	Stefan Schumacher ( GER )	Shimano-Memory Corp
15–21 June	Circuito Montañes	Spain	2.2	Sergio Domínguez ( ESP )	Spiuk
16–19 June	Route du Sud	France	2.1	Sandy Casar ( FRA )	Française des Jeux
16–19 June	Mainfranken-Tour	Germany	2.2	Mathieu Ladagnous ( FRA )	France (national team)
16–19 June	Boucles de la Mayenne	France	2.2	Aleksandr Kuschynski ( BLR )	Amore & Vita-Beretta
17–21 June	Vuelta a Asturias	Spain	2.1	Adolfo García Quesada ( ESP )	Comunidad Valenciana
19 June	GP Judendorf-Strassengel	Austria	1.2	Krzysztof Ciesielski ( POL )	DHL-Author
19 June	Flèche Ardennaise	Belgium	1.2	Francis De Greef ( BEL )	Bodysol-Win for Life-Jong Vlaanderen
22 June	Brussel–Ingooigem	Belgium	1.1	Bert Roesems ( BEL )	Davitamon-Lotto
22 June	Noord Nederland Tour	Netherlands	1.1	Stefan Van Dijk ( NED )	Mr Bookmaker.com-Sports Tech
26 June	Giro delle Valli Aretine	Italy	1.2	Gianluca Moi ( ITA )	Palazzago-Abi Isolanti
28 June	Trofeo Città di Brescia	Italy	1.2	Matteo Bono ( ITA )	Egidio Unidelta
29 June	I.W.T. Jong Maar Moedig	Belgium	1.2	Gert Vanderaerden ( BEL )	Colba-Telecom Cycling Team
29 June–3 July	Course de la Solidarité Olympique	Poland	2.1	Piotr Wadecki ( POL )	Intel-Action
2 July	Cronoscalata Gardone Valtrompia	Italy	1.2	Branislau Samoilau ( BLR )	Belarus (national team)
2 July	Tour du Jura	Switzerland	1.2	Glen Chadwick ( NZL )	Team Cyclingnews.com
3 July	Tour du Doubs	France	1.1	Philip Deignan ( IRL )	AG2R Prévoyance
3 July	Trofeo Matteotti	Italy	1.1	Ruggero Marzoli ( ITA )	Acqua & Sapone-Adria Mobil
3 July	Freccia dei Vini	Italy	1.2	Maurizio Bellin ( ITA )	GS Podenzano
4 July	Chieti-Casalincontrada-Blockhaus	Italy	1.2	Paul Crake ( AUS )	Corratec-Graz-Cyl
4–10 July	Österreich Rundfahrt	Austria	2.1	Juan Miguel Mercado ( ESP )	Quick Step-Innergetic
6–10 July	GP Torres Vedras	Portugal	2.1	Gerardo Fernández ( ARG )	Paredes Rota dos Moveis-Beira Tamega
7–9 July	GP de Gemenc	Hungary	2.2	Martin Prazdnovsky ( SVK )	CK ZP Sport A.S. Podbrezova
8 July	European Road Championships (U23) – Time Trial	Russia	CC	Dmytro Grabovskyy ( UKR )	Ukraine (national team)
9 July	Giro della Valsesia 1	Italy	1.2	Simone Bruson ( ITA )	GS Podenzano
10 July	GP de Dourges	France	1.2	Grzegorz Kwiatkowski ( POL )	EC Raismes
10 July	Drie Zustersteden-Willebroek	Belgium	1.2	Peter Wuyts ( BEL )	Mr Bookmaker.com-Sports Tech
10 July	Giro della Valsesia 2	Italy	1.2	Piergiorgio Camussa ( ITA )	Progetto Ciclismo Alplast
10 July	Giro del Medio Brenta	Italy	1.2	Manuele Spadi ( ITA )	Ceramica Flaminia
10 July	Pomorski Klasyk	Poland	1.2	Piotr Wadecki ( POL )	Intel-Action
10 July	European Road Championships (U23) – Road Race	Russia	CC	František Raboň ( CZE )	Czech Republic (national team)
16 July	Trofeo Piva	Italy	1.2	Marco Vivian ( ITA )	Trevigiani Dynamon
17 July	Giro del Casentino	Italy	1.2	Vasil Kiryienka ( BLR )	Grassi-Marco Pantani
17 July	Coppa Colli Briantei	Italy	1.2	Harald Starzengruber ( AUT )	Trevigiani Dynamon
20–24 July	Sachsen Tour	Germany	2.1	Mathew Hayman ( AUT )	Rabobank
22–24 July	Brixia Tour	Italy	2.1	Emanuele Sella ( ITA )	Ceramica Panaria-Navigare
23 July	GP Bradlo	Slovakia	1.2	Martin Riska ( SVK )	PSK Whirlpool
24 July	GP de Pérenchies	France	1.2	Aivaras Baranauskas ( LTU )	Roubaix-Lille Metropole
24 July	GP Inda	Italy	1.2	Daniele Di Nucci ( ITA )	Grassi-Marco Pantani
25 July	Prueba Villafranca de Ordizia	Spain	1.1	Carlos García Quesada ( ESP )	Comunidad Valenciana
25–29 July	Tour de Wallonie	Belgium	2.HC	Luca Celli ( ITA )	Team Barloworld-Valsir
26–30 July	Dookola Mazowsza	Poland	2.1	Piotr Zaradny ( POL )	Knauf Team
30 July	LUK Challenge Chrono Bühl	Germany	1.1	Bobby Julich ( USA ) Jens Voigt ( GER )	Team CSC
31 July	Circuito de Getxo	Spain	1.1	David Fernández ( ESP )	Andalucia-Paul Versan
31 July	La Poly Normande	France	1.1	Philippe Gilbert ( BEL )	Française des Jeux
2–4 August	Paris-Corrèze	France	2.1	Frédéric Finot ( FRA )	Française des Jeux
2–6 August	Vuelta a León	Spain	2.2	Enrique Salgueiro ( ESP )	Spiuk
3–7 August	Danmark Rundt	Denmark	2.HC	Ivan Basso ( ITA )	Team CSC
4 August	GP Città di Camaiore	Italy	1.1	Maxim Iglinskiy ( KAZ )	Domina Vacanze
4–7 August	Tour of Małopolska	Poland	2.2	Cezary Zamana ( POL )	Intel-Action
5–15 August	Volta a Portugal	Portugal	2.HC	Vladimir Efimkin ( RUS )	Team Barloworld-Valsir
5–14 August	Tour de la Guadeloupe	France	2.2	José Flober Peña ( COL )	L. Optiq-F. Telecom
6 August	Giro del Lazio	Italy	1.HC	Filippo Pozzato ( ITA )	Quick Step-Innergetic
7 August	Sparkassen Giro	Germany	1.1	Lubor Tesař ( CZE )	Akud Arnolds Sicherheit
7–10 August	Tour de l'Ain	France	2.1	Carl Naibo ( FRA )	Bretagne-Jean Floc'h
7–11 August	Vuelta a Burgos	Spain	2.HC	Juan Carlos Domínguez ( ESP )	Saunier Duval-Prodir
9 August	GP Fred Mengoni	Italy	1.1	Luca Mazzanti ( ITA )	Ceramica Panaria-Navigare
10 August	Trofeo Città di Castelfidardo	Italy	1.1	Murilo Fischer ( BRA )	Naturino-Sapore di Mare
10–14 August	Regio-Tour	Germany	2.1	Nico Sijmens ( BEL )	Landbouwkrediet-Colnago
13 August	Puchar Uzdrowisk Karpackich	Poland	1.2	Radosław Romanik ( POL )	DHL-Author
13 August	Hainleite-Erfurt	Germany	1.1	Bert Grabsch ( GER )	Phonak
13 August	GP Città di Felino	Italy	1.2	Matteo Priamo ( ITA )	GS Promosport
14 August	Memorial Henryka Lasaka	Poland	1.1	Marek Maciejewski ( POL )	Grupa PSB-Atlas-Orbea
14 August	Subida Urkiola	Spain	1.1	Joaquín Rodríguez ( ESP )	Saunier Duval-Prodir
14 August	Trofeo Bastianelli	Italy	1.2	Davide Torosantucci ( ITA )	Monturano
14 August	Scandinavian Open Road Race	Sweden	1.2	Christofer Stevenson ( SWE )	Mälarenergi CK
14 August	Havant GP	United Kingdom	1.2	Russell Downing ( GBR )	Recycling.co.uk-MG-XPower-Litespeed
15 August	Puchar Ministra Obrony Narodowej	Poland	1.2	Gregorz Zoledziowski ( POL )	Legia-Bazyliszek
16 August	Tre Valli Varesine	Italy	1.HC	Stefano Garzelli ( ITA )	Liquigas-Bianchi
16 August	GP Capodarco	Italy	1.2	Fernando Herrero ( ESP )	Viña Magna-Cropusa
16–19 August	Tour du Limousin	France	2.1	Sébastien Joly ( FRA )	Crédit Agricole
17 August	Coppa Agostoni	Italy	1.1	Paolo Valoti ( ITA )	Domina Vacanze
17 August	Gara Ciclistica Milionaria	Italy	1.2	Davide Torosantucci ( ITA )	Monturano
18 August	Coppa Bernocchi	Italy	1.1	Danilo Napolitano ( ITA )	LPR-Piacenza
20 August	Tour de Rijke	Netherlands	1.1	Stefan Van Dijk ( NED )	Mr Bookmaker.com-Sports Tech
20 August	Giro del Veneto	Italy	1.HC	Eddy Mazzoleni ( ITA )	Lampre-Caffita
20 August	Szlakiem Walk Majora Hubala	Poland	1.2	Tomasz Kiendys ( POL )	Knauf Team
20 August	GP Area Metropolitana de Vigo	Spain	1.2	Francisco García ( ESP )	Paredes Rota dos Moveis-Beira Tamega
21 August	Clasica a los Puertos	Spain	1.1	Xabier Zandio ( ESP )	Illes Balears-Caisse d'Epargne
21 August	GP Ciudad de Vigo	Spain	1.2	José Carlos Rodrigues ( POR )	Paredes Rota dos Moveis-Beira Tamega
21 August	Châteauroux Classic	France	1.1	Jimmy Casper ( FRA )	Cofidis
23 August	GP Stad Zottegem	Belgium	1.1	Thomas Dekker ( NED )	Rabobank
23–26 August	Tour du Poitou Charentes et de la Vienne	France	2.1	Sylvain Chavanel ( FRA )	Cofidis
24 August	Druivenkoers-Overijse	Belgium	1.1	Leonardo Duque ( COL )	Jartazi-Revor
24 August	GP Nobili Rubinetterie	Italy	1.1	Damiano Cunego ( ITA )	Lampre-Caffita
25 August	GP Industria e Commercio Artigianato Carnaghese	Italy	1.1	Simon Gerrans ( AUS )	AG2R Prévoyance
28 August	Rund um den Sachsenring	Germany	1.2	Karsten Volkmann ( GER )	RSH
29 August	GP de Beuvry-la-Forêt	France	1.2	Maint Berkenbosch ( NED )	Trientalis-Apac Team
30 August	Schaal Sels	Belgium	1.1	Marcin Sapa ( POL )	Knauf Team
30 August–4 September	Tour of Britain	United Kingdom	2.1	Nick Nuyens ( BEL )	Quick Step-Innergetic
30 August–4 September	Giro della Valle d'Aosta	Italy	2.2	Morris Possoni ( ITA )	Unidelta Egidio Colibrì Garda
31 August–4 September	Hessen-Rundfahrt	Germany	2.1	Cezary Zamana ( POL )	Intel-Action
31 August–4 September	Tour de Slovaquie	Slovakia	2.2	Martin Prazdnovsky ( SVK )	CK ZP Sport A.S. Podbrezova
1 September	Trofeo Melinda	Italy	1.1	Damiano Cunego ( ITA )	Lampre-Caffita
1–10 September	Tour de l'Avenir	France	2.1	Lars Bak ( DEN )	Team CSC
2–4 September	Stuttgart-Strassburg	Germany	2.2	Michael Muck ( GER )	Team Aguti
3 September	Coppa Placci	Italy	1.HC	Paolo Valoti ( ITA )	Domina Vacanze
4 September	Giro della Romagna	Italy	1.1	Danilo Napolitano ( ITA )	LPR-Piacenza
4 September	GP Jef Scherens	Belgium	1.1	Joost Posthuma ( NED )	Rabobank
4 September	Duo Normand	France	1.2	Sylvain Chavanel ( FRA ) Thierry Marichal ( BEL )	Cofidis
