Name	Latitude	Longitude	Diameter (km)	Year named
Pandrosos Dorsa	58.2N	207.7E	1,254.0	1985
Poludnitsa Dorsa	5.0N	179.5E	1,500.0	1997
Pulugu Dorsa	65.0S	225.0E	650.0	1997
Ragana Dorsa	69.0S	246.0E	950.0	1997
Rokapi Dorsa	55.0S	222.0E	2,200.0	1997
Salme Dorsa	58.0N	25.2E	447.0	1991
Saule Dorsa	58.0S	206.0E	1,375.0	1994
Sel-Anya Dorsa	79.4N	81.3E	975.0	1985
Semuni Dorsa	75.9N	8.0E	514.0	1985
Shishimora Dorsa	37.0N	297.0E	800.0	1997
Sige Dorsa	31.2N	106.9E	478.0	1991
Siksaup Dorsa	73.0S	228.0E	650.0	1997
Sinanevt Dorsa	66.5N	171.0E	1,800.0	1997
Sirona Dorsa	43.5S	193.5E	700.0	1997
Sogbo Dorsa	40.0S	237.0E	900.0	1997
Spidola Dorsa	73.5S	325.0E	950.0	1997
Sunna Dorsa	53.0S	134.0E	500.0	1997
Surupa Dorsa	71.7N	209.0E	981.0	1997
Tezan Dorsa	81.4N	47.1E	1,079.0	1985
Tikoiwuti Dorsa	56.0N	225.0E	1,000.0	1997
Tinianavyt Dorsa	51.0S	239.0E	1,500.0	1997
Tomem Dorsa	31.2N	7.2E	970.0	1985
Tsovinar Dorsa	46.0S	254.0E	1,100.0	1997
Tukwunag Dorsa	69.0S	155.0E	1,000.0	1997
Unelanuhi Dorsa	12.0N	87.0E	2,600.0	1997
Uni Dorsa	33.7N	114.3E	800.0	1985
Unuk Dorsa	4.5S	351.5E	400.0	1997
Urkuk Dorsa	12.0S	320.0E	600.0	1997
Vaiva Dorsum	53.2S	204.0E	520.0	1994
Varma-Ava Dorsa	62.3N	268.8E	767.0	1985
Vedma Dorsa	42.0N	159.0E	3,345.0	1985
Vejas-mate Dorsa	70.5S	245.0E	1,600.0	1997
Vetsorgo Dorsum	6.5S	163.0E	700.0	2000
Wala Dorsa	17.0S	62.0E	500.0	1997
Yalyane Dorsa	7.0N	177.0E	1,200.0	1997
Yumyn-Udyr Dorsa	81.4N	164.7E	1,086.0	1985
Zaryanitsa Dorsa	0.0N	170.0E	1,100.0	1997
Zimcerla Dorsa	47.5S	73.5E	850.0	1997
Zorile Dorsa	39.9N	338.4E	1,041.0	1985
