Manufacturer	Model	Transmission	Engine Capacity	Fuel Type	L/100km Urban (Cold)	L/100km Extra-Urban	L/100km Combined	mpg-UK Urban (Cold)	mpg-UK Extra-Urban	mpg-UK Combined	mpg-US Urban	mpg-US Extra-Urban	mpg-US Combined	CO 2 g/km	Green Rating
Peugeot	107	A5	998	Petrol	5.5	4.1	4.6	51.3	68.8	61.4	42.7	57.3	51.1	108	B
Peugeot	107	A5	998	Petrol	5.5	4.1	4.6	51.3	68.8	61.4	42.7	57.3	51.1	109	B
Peugeot	1007	M5	1360	Petrol	8.6	5.2	6.5	32.8	54.3	43.5	27.3	45.2	36.2	153	D
Peugeot	1007	M5	1587	Petrol	9.2	5.5	6.9	30.7	51.3	40.9	25.6	42.7	34.1	163	D
Peugeot	1007	M5	1398	Diesel	5.8	4.1	4.7	48.6	68.8	60.1	40.5	57.3	50.0	124	C
Peugeot	1007	M5	1560	Diesel	6.0	4.1	4.8	47.0	68.8	58.8	39.1	57.3	49.0	125	C
Peugeot	206	M5	1360	Petrol	8.9	5.0	6.4	31.7	56.4	44.1	26.4	47.0	36.7	152	D
Peugeot	206	M5	1398	Diesel	5.4	3.7	4.3	52.3	76.3	65.6	43.5	63.5	54.6	112	B
Peugeot	207	M5	1360	Petrol	8.4	5.0	6.3	33.6	56.4	44.8	28.0	47.0	37.3	150	C
Peugeot	207	M5	1360	Petrol	8.5	5.2	6.4	33.2	54.3	44.1	27.6	45.2	36.7	152	D
Peugeot	207	M5	1397	Petrol	8.1	5.0	6.1	34.8	56.4	46.3	29.0	47.0	38.6	145	C
Peugeot	207	M5	1598	Petrol	8.4	4.8	6.1	33.6	58.8	46.3	28.0	49.0	38.6	145	C
Peugeot	207	A4	1598	Petrol	9.8	5.5	7.0	28.8	51.3	40.4	24.0	42.7	33.6	167	E
Peugeot	207	M5	1598	Petrol	9.3	5.6	7.0	30.3	50.4	40.4	25.2	42.0	33.6	164	D
Peugeot	207	M5	1598	Petrol	9.9	5.7	7.2	28.5	49.5	39.2	23.7	41.2	32.6	171	E
Peugeot	207	M5	1398	Diesel	5.7	3.7	4.4	49.5	76.3	64.1	41.2	63.5	53.4	117	B
Peugeot	207	M5	1560	Diesel	5.7	3.7	4.4	49.5	76.3	64.1	41.2	63.5	53.4	117	B
Peugeot	207	M5	1560	Diesel	6.0	4.1	4.7	47.0	68.8	60.0	39.1	57.3	50.0	124	C
Peugeot	207 Coupé Cabriolet	M5	1598	Petrol	8.8	5.3	6.5	32.1	53.2	43.4	26.7	44.3	36.1	155	D
Peugeot	207 Coupé Cabriolet	A4	1598	Petrol	10.0	5.7	7.2	28.2	49.5	39.2	23.5	41.2	32.6	173	E
Peugeot	207 Coupé Cabriolet	M5	1598	Petrol	9.6	5.8	7.2	29.4	48.6	39.2	24.5	40.5	32.6	171	E
Peugeot	207 Coupé Cabriolet	M5	1560	Diesel	6.2	4.3	5.0	45.5	65.6	56.4	37.9	54.6	47.0	130	C
Peugeot	207 SW	M5	1397	Petrol	8.2	5.2	6.3	34.4	54.3	44.8	28.6	45.2	37.3	150	C
Peugeot	207 SW	M5	1598	Petrol	8.6	5.0	6.3	32.8	56.4	44.8	27.3	47.0	37.3	150	C
Peugeot	207 SW	A4	1598	Petrol	9.8	5.5	7.0	28.8	51.3	40.3	24.0	42.7	33.6	167	E
Peugeot	207 SW	M5	1560	Diesel	5.7	3.9	4.5	49.5	72.3	62.7	41.2	60.2	52.2	119	B
Peugeot	207 SW	M5	1560	Diesel	6.1	4.4	5.0	46.3	64.1	56.4	38.6	53.4	47.0	131	C
Peugeot	207 SW OUTDOOR	M5	1598	Petrol	8.7	5.1	6.4	32.4	55.3	44.1	27.0	46.0	36.7	152	D
Peugeot	207 SW OUTDOOR	M5	1560	Diesel	5.8	4.1	4.7	48.6	68.8	60.0	40.5	57.3	50.0	125	C
Peugeot	207 SW OUTDOOR	M5	1560	Diesel	6.4	4.5	5.2	44.1	62.7	54.3	36.7	52.2	45.2	136	C
Peugeot	307 Coupé Cabriolet	M5	1587	Petrol	10.2	6.2	7.6	27.7	45.5	37.2	23.1	37.9	31.0	178	E
Peugeot	307 Coupé Cabriolet	M5	1997	Petrol	11.3	6.2	8.1	25.0	45.5	34.9	20.8	37.9	29.1	192	F
Peugeot	307 Coupé Cabriolet	A4	1997	Petrol	12.2	6.3	8.4	23.1	44.8	33.6	19.2	37.3	28.0	199	F
Peugeot	307 Coupé Cabriolet	M6	1997	Diesel	7.7	5.1	6.0	36.6	55.3	47.1	30.5	46.0	39.2	159	D
Peugeot	307 Estate / SW	M5	1587	Petrol	9.9	6.3	7.7	28.5	44.8	36.6	23.7	37.3	30.5	178	E
Peugeot	307 Estate / SW	A4	1587	Petrol	11.4	6.3	8.3	24.8	44.8	34.0	20.7	37.3	28.3	194	F
Peugeot	307 Estate / SW	M5	1560	Diesel	6.2	4.4	5.0	45.5	64.1	56.5	37.9	53.4	47.0	131	C
Peugeot	307 Estate / SW	M5	1560	Diesel	6.3	4.5	5.1	44.8	62.7	55.4	37.3	52.2	46.1	134	C
Peugeot	307 Estate / SW	M6	1997	Diesel	7.3	4.7	5.6	38.7	60.0	50.4	32.2	50.0	42.0	148	C
Peugeot	308	M5	1397	Petrol	9.0	5.2	6.5	31.4	54.3	42.1	26.1	45.2	35.1	155	D
Peugeot	308	M5	1598	Petrol	9.3	5.2	6.7	30.3	54.3	42.1	25.2	45.2	35.1	159	D
Peugeot	308	A4	1598	Petrol	10.3	5.7	7.3	27.4	49.5	38.7	22.8	41.2	32.2	174	E
Peugeot	308	A4	1598	Petrol	11.4	6.0	7.9	24.8	47.0	35.7	20.7	39.1	29.7	188	F
Peugeot	308	M5	1598	Petrol	9.8	5.6	7.1	28.8	50.4	39.7	24.0	42.0	33.1	167	E
Peugeot	308	M6	1598	Petrol	10.7	5.7	7.6	26.4	49.5	37.1	22.0	41.2	30.9	180	E
Peugeot	308	M5	1560	Diesel	5.8	3.8	4.5	48.6	74.3	62.7	40.5	61.9	52.2	120	B
Peugeot	308	M5	1560	Diesel	6.2	4.1	4.9	45.5	68.8	57.6	37.9	57.3	48.0	130	C
Peugeot	308	M5	1560	Diesel	6.0	3.9	4.7	47.0	72.3	60.0	39.1	60.2	50.0	125	C
Peugeot	308	A6	1560	Diesel	5.9	4.1	4.7	47.8	68.8	60.0	39.8	57.3	50.0	125	C
Peugeot	308	A6	1560	Diesel	5.7	3.9	4.5	49.5	72.3	62.7	41.2	60.2	52.2	120	B
Peugeot	308	M6	1997	Diesel	7.2	4.5	5.5	39.2	62.7	51.3	32.6	52.2	42.7	146	C
Peugeot	308	A6	1997	Diesel	9.4	5.3	6.8	30.0	53.2	41.5	25.0	44.3	34.6	180	E
Peugeot	308 Estate / SW	M5	1598	Petrol	9.5	5.5	6.9	29.7	51.3	40.9	24.7	42.7	34.1	165	D
Peugeot	308 Estate / SW	M5	1598	Petrol	9.8	5.6	7.1	28.8	50.4	39.7	24.0	42.0	33.1	169	E
Peugeot	308 Estate / SW	A4	1598	Petrol	11.8	6.2	8.2	23.9	45.5	34.4	19.9	37.9	28.6	194	F
Peugeot	308 Estate / SW	M6	1598	Petrol	10.9	6.0	7.8	25.9	47.0	36.2	21.6	39.1	30.1	185	E
Peugeot	308 Estate / SW	M6	1560	Diesel	6.6	4.2	5.1	42.8	67.2	55.3	35.6	56.0	46.0	134	C
Peugeot	308 Estate / SW	M6	1560	Diesel	6.8	4.4	5.3	41.5	64.1	53.2	34.6	53.4	44.3	139	C
Peugeot	308 Estate / SW	M6	1997	Diesel	7.6	4.9	5.9	37.1	57.6	47.8	30.9	48.0	39.8	155	D
Peugeot	308 Estate / SW	A6	a997	Diesel	9.7	5.6	7.1	29.1	50.4	39.7	24.2	42.0	33.1	187	F
Peugeot	407 Saloon	M5	1749	Petrol	10.5	6.0	7.7	26.9	47.0	36.6	22.4	39.1	30.5	181	E
Peugeot	407 Saloon	M5	1997	Petrol	11.0	6.4	8.1	25.7	44.1	34.9	21.4	36.7	29.1	192	F
Peugeot	407 Saloon	A4	1997	Petrol	12.5	6.3	8.6	22.6	44.8	32.8	18.8	37.3	27.3	204	F
Peugeot	407 Saloon	M6	2230	Petrol	12.9	6.8	9.0	21.9	41.5	31.4	18.2	34.6	26.1	214	F
Peugeot	407 Saloon	M5	1560	Diesel	6.8	4.4	5.3	41.5	64.1	53.3	34.6	53.4	44.4	140	C
Peugeot	407 Saloon	M6	1997	Diesel	7.7	4.9	5.9	36.6	57.6	47.9	30.5	48.0	39.9	155	D
Peugeot	407 Saloon	A6	1997	Diesel	10.0	5.5	7.1	28.2	51.3	39.8	23.5	42.7	33.1	189	F
Peugeot	407 Saloon	M6	2179	Diesel	8.1	5.0	6.1	34.8	56.4	46.3	29.0	47.0	38.6	159	D
Peugeot	407 Saloon	A6	2720	Diesel	11.7	6.5	8.4	24.1	43.4	33.6	20.1	36.1	28.0	223	F
Peugeot	407 SW	M5	1749	Petrol	10.7	6.1	7.9	26.4	46.3	35.8	22.0	38.6	29.8	184	E
Peugeot	407 SW	M5	1997	Petrol	11.3	6.5	8.3	25.0	43.4	34.0	20.8	36.1	28.3	196	F
Peugeot	407 SW	A4	1997	Petrol	12.7	6.4	8.8	22.2	44.1	32.1	18.5	36.7	26.7	208	F
Peugeot	407 SW	M6	2230	Petrol	13.1	6.9	9.2	21.5	40.9	30.7	17.9	34.1	25.6	219	F
Peugeot	407 SW	M5	1560	Diesel	6.8	4.4	5.3	41.5	64.1	53.2	34.6	53.4	44.3	140	C
Peugeot	407 SW	M6	1997	Diesel	7.9	5.0	6.0	35.7	56.4	47.1	29.7	47.0	39.2	159	D
Peugeot	407 SW	A6	1997	Diesel	10.1	5.6	7.2	27.9	50.4	39.2	23.2	42.0	32.6	192	F
Peugeot	407 SW	M6	2179	Diesel	8.2	5.1	6.2	34.4	55.3	45.6	28.6	46.0	38.0	165	D
Peugeot	407 SW	A6	2720	Diesel	11.9	6.5	8.5	23.7	43.4	33.2	19.7	36.1	27.6	225	F
Peugeot	407 Coupé	M6	2230	Petrol	13.1	6.9	9.2	21.5	40.9	30.7	17.9	34.1	25.6	219	F
Peugeot	407 Coupé	M6	1997	Diesel	7.8	4.8	5.9	36.2	58.8	47.8	30.1	49.0	39.8	156	D
Peugeot	407 Coupé	A6	2720	Diesel	11.9	6.5	8.5	23.7	43.4	33.2	19.7	36.1	27.6	225	F
Peugeot	4007	M6	2179	Diesel	9.5	5.9	7.2	29.7	47.8	39.2	24.7	39.8	32.6	191	F
Peugeot	4007	M6	2179	Diesel	9.6	6.0	7.3	29.4	47.0	38.7	24.5	39.1	32.2	194	F
Peugeot	607	A6	2946	Petrol	14.9	7.5	10.2	18.9	37.6	27.7	15.7	31.3	23.1	242	G
Peugeot	607	M6	1997	Diesel	8.1	5.0	6.1	34.8	56.4	46.3	29.0	47.0	38.6	160	D
Peugeot	607	M6	2179	Diesel	8.5	5.2	6.4	33.2	54.3	44.1	27.6	45.2	36.7	170	E
Peugeot	807	M5	1997	Petrol	12.0	7.3	9.0	23.5	38.7	31.4	19.6	32.2	26.1	213	F
Peugeot	807	A4	1997	Petrol	13.3	7.5	9.6	21.2	37.6	29.4	17.7	31.3	24.5	229	G
Peugeot	807	M6	1997	Diesel	8.8	5.8	6.9	32.1	48.6	40.9	26.7	40.5	34.1	182	E
Peugeot	807	M6	1997	Diesel	9.0	6.0	7.1	31.4	47.0	39.8	26.1	39.1	33.1	188	F
Peugeot	807	M6	2179	Diesel	9.2	6.2	7.2	30.7	45.5	39.2	25.6	37.9	32.6	191	F
Peugeot	807	A6	2179	Diesel	11.0	6.6	8.2	25.7	42.8	34.4	21.4	35.6	28.6	218	F
Peugeot	Expert Tepee	M5	1560	Diesel	8.4	6.6	7.2	33.6	42.8	39.2	28.0	35.6	32.6	191	F
Peugeot	Expert Tepee	M5	1560	Diesel	8.6	6.8	7.5	32.8	41.5	37.7	27.3	34.6	31.4	198	F
Peugeot	Expert Tepee	M6	1997	Diesel	9.1	6.3	7.2	31.0	44.8	39.2	25.8	37.3	32.6	194	F
Peugeot	Expert Tepee	M6	1997	Diesel	9.2	6.4	7.4	30.7	44.1	38.2	25.6	36.7	31.8	196	F
Peugeot	Expert Tepee	M6	1997	Diesel	9.3	6.5	7.5	30.3	43.4	37.7	25.2	36.1	31.4	198	F
Peugeot	Partner Tepee	M5	1587	Petrol	10.8	6.8	8.2	26.1	41.5	34.4	21.7	34.6	28.6	195	F
Peugeot	Partner Tepee	M5	1560	Diesel	7.0	5.0	5.7	40.3	56.4	49.5	33.6	47.0	41.2	150	C
Peugeot	Partner Tepee	M5	1560	Diesel	6.8	4.9	5.6	41.5	57.6	50.4	34.6	48.0	42.0	147	C
Porsche	Boxster	M5	2687	Petrol	13.8	6.8	9.3	20.5	41.5	30.4	17.1	34.6	25.3	222	F
Porsche	Boxster	M6	2687	Petrol	14.1	7.1	9.5	20.0	39.8	29.7	16.7	33.1	24.7	227	G
Porsche	Boxster	A5	2687	Petrol	14.9	7.7	10.1	19.0	36.7	28.0	15.8	30.6	23.3	242	G
Porsche	Boxster S	M6	3387	Petrol	15.3	7.8	10.6	18.5	36.2	26.6	15.4	30.1	22.1	254	G
Porsche	Boxster S	A5	3387	Petrol	16.3	7.9	11.0	17.3	35.8	25.7	14.4	29.8	21.4	262	G
Porsche	Boxster RS60 Spyder	M6	3387	Petrol	15.3	7.8	10.6	18.5	36.2	26.7	15.4	30.1	22.2	254	G
Porsche	Boxster RS60 Spyder	A5	3387	Petrol	16.3	7.9	11.0	17.3	35.8	25.7	14.4	29.8	21.4	262	G
Porsche	911	M6	3596	Petrol	16.1	8.1	11.0	17.5	34.9	25.7	14.6	29.1	21.4	266	G
Porsche	911	A5	3596	Petrol	16.5	8.1	11.2	17.1	34.9	25.2	14.2	29.1	21.0	270	G
Porsche	911	M6	3596	Petrol	16.4	8.1	11.2	17.2	34.9	25.2	14.3	29.1	21.0	270	G
Porsche	911	A5	3596	Petrol	17.0	8.1	11.4	16.6	34.9	24.8	13.8	29.1	20.7	275	G
Porsche	911	M6	3824	Petrol	17.1	8.4	11.5	16.5	33.6	24.6	13.7	28.0	20.5	277	G
Porsche	911	A5	3824	Petrol	17.9	8.4	11.7	15.8	33.6	24.1	13.2	28.0	20.1	283	G
Porsche	911	M6	3824	Petrol	17.3	8.4	11.6	16.3	33.6	24.4	13.6	28.0	20.3	280	G
Porsche	911	M6	3596	Petrol	16.6	8.4	11.3	17.0	33.6	25.0	14.2	28.0	20.8	272	G
Porsche	911	A5	3596	Petrol	17.4	8.6	11.6	16.2	32.8	24.4	13.5	27.3	20.3	280	G
Porsche	911	M6	3824	Petrol	17.5	8.5	11.8	16.1	33.2	23.9	13.4	27.6	19.9	285	G
Porsche	911	A5	3824	Petrol	18.0	8.6	11.9	15.7	32.8	23.7	13.1	27.3	19.7	286	G
Porsche	911	A5	3600	Petrol	19.8	9.6	13.6	14.3	29.4	20.8	11.9	24.5	17.3	326	G
Porsche	911	M6	3600	Petrol	18.8	9.5	12.8	15.0	29.7	22.1	12.5	24.7	18.4	307	G
Porsche	911	M6	3600	Petrol	18.8	8.9	12.5	15.0	31.7	22.6	12.5	26.4	18.8	298	G
Porsche	911	M6	3600	Petrol	19.8	8.9	12.8	14.3	31.7	22.1	11.9	26.4	18.4	307	G
Porsche	911	A5	3600	Petrol	20.2	9.6	13.7	14.0	29.4	20.6	11.7	24.5	17.2	328	G
Porsche	911	M6	3600	Petrol	19.2	9.5	12.9	14.7	29.7	21.9	12.2	24.7	18.2	309	G
Porsche	Cayman S	M6	3387	Petrol	15.3	7.8	10.6	18.5	36.2	26.6	15.4	30.1	22.1	254	G
Porsche	Cayman S	A5	3387	Petrol	16.3	7.9	11.0	17.3	35.8	25.7	14.4	29.8	21.4	262	G
Porsche	Cayenne	M6	3598	Petrol	18.5	9.8	12.9	15.3	28.8	21.9	12.7	24.0	18.2	310	G
Porsche	Cayenne	A6	3598	Petrol	18.3	9.9	12.9	15.4	28.5	21.9	12.8	23.7	18.2	310	G
Porsche	Cayenne S	M6	4806	Petrol	22.1	10.8	14.9	12.8	26.2	19.0	10.7	21.8	15.8	358	G
Porsche	Cayenne S	A6	4806	Petrol	20.2	10.1	13.7	14.0	28.0	20.6	11.7	23.3	17.2	329	G
Porsche	Cayenne Turbo	A6	4806	Petrol	22.5	10.5	14.9	12.6	26.9	19.0	10.5	22.4	15.8	358	G
Porsche	Cayenne Turbo S	A6	4511	Petrol	21.9	11.9	15.7	12.9	23.7	18.0	10.7	19.7	15.0	378	G
Porsche	Cayman	A5	2687	Petrol	14.9	7.7	10.1	19.0	36.7	28.0	15.8	30.6	23.3	242	G
Porsche	Cayman	M5	2687	Petrol	13.8	6.8	9.3	20.5	41.5	30.4	17.1	34.6	25.3	222	F
Porsche	Cayman	M6	2687	Petrol	14.1	7.1	9.5	20.0	39.8	29.7	16.7	33.1	24.7	227	G
Porsche	Cayenne GTS	M6	4806	Petrol	22.6	10.9	15.1	12.5	25.9	18.7	10.4	21.6	15.6	361	G
Porsche	Cayenne GTS	A5	4806	Petrol	20.6	10.2	13.9	13.7	27.7	20.3	11.4	23.1	16.9	332	G
Proton	Impian	M5	1597	Petrol	9.5	5.6	7.0	29.7	50.5	40.4	24.7	42.1	33.6	167	E
Proton	Impian	A4	1597	Petrol	9.7	5.8	7.2	29.1	48.7	39.2	24.2	40.6	32.6	172	E
Proton	GEN-2	MT	1332	Petrol	10.2	5.0	6.9	27.7	56.5	40.9	23.1	47.0	34.1	164	D
Proton	GEN-2	MT	1597	Petrol	10.1	5.6	7.2	28.0	50.5	39.2	23.3	42.1	32.6	172	E
Proton	GEN-2	AT	1597	Petrol	9.8	6.1	7.4	28.8	46.3	38.2	24.0	38.6	31.8	176	E
Proton	Savvy	5MT	1149	Petrol	7.7	4.6	5.7	36.7	61.4	49.6	30.6	51.1	41.3	134	C
Proton	Savvy	5 AMT	1149	Petrol	7.7	4.5	5.7	36.7	62.8	49.6	30.6	52.3	41.3	134	C
Proton	Satria Neo	5MT	1332	Petrol	10.6	5.0	7.1	26.7	56.5	39.8	22.2	47.0	33.1	168	E
Proton	Satria Neo	5MT	1597	Petrol	10.1	4.6	6.6	28.0	61.4	42.8	23.3	51.1	35.6	157	D
Proton	Satria Neo	4AT	1597	Petrol	10.6	5.6	7.4	26.7	50.5	38.2	22.2	42.1	31.8	177	E
Proton	GEN-2 Persona	5MT	1597	Petrol	10.2	4.5	6.6	27.7	62.8	42.8	23.1	52.3	35.6	157	D
Proton	GEN-2 Persona	4AT	1597	Petrol	10.1	4.7	6.7	28.0	60.1	42.2	23.3	50.0	35.1	160	D
Renault	Clio Campus	M5	1149	Petrol	7.9	4.7	5.9	35.9	60.4	48.1	29.9	50.3	40.1	140	C
Renault	Clio Campus	M5	1149	Petrol	7.4	5.0	5.9	38.2	56.5	47.9	31.8	47.0	39.9	142	C
Renault	Clio Campus	M5	1461	Diesel	5.4	3.7	4.3	52.3	76.3	65.7	43.5	63.5	54.7	115	B
Renault	Clio Campus	M5	1461	Diesel	5.4	4.0	4.5	52.5	70.9	63.1	43.7	59.0	52.5	119	B
Renault	Clio	M5	1149	Petrol	7.6	4.9	5.9	37.2	57.6	47.9	31.0	48.0	39.9	139	C
Renault	Clio	M5/s	1149	Petrol	7.1	4.7	5.6	39.8	60.1	50.4	33.1	50.0	42.0	133	C
Renault	Clio	M5	1149	Petrol	7.5	5.0	5.9	37.7	56.5	47.9	31.4	47.0	39.9	139	C
Renault	Clio	M5	1598	Petrol	9.0	5.4	6.7	31.4	52.3	42.2	26.1	43.5	35.1	160	D
Renault	Clio	A4	1598	Petrol	10.0	6.1	7.5	28.3	46.3	37.7	23.6	38.6	31.4	179	E
Renault	Clio	M6	1998	Petrol	11.6	6.5	8.4	24.3	43.4	33.6	20.2	36.1	28.0	199	F
Renault	Clio	M6	1997	Petrol	9.9	5.8	7.3	28.5	48.7	38.7	23.7	40.6	32.2	173	E
Renault	Clio	A4	1997	Petrol	10.9	6.2	7.9	25.9	45.6	35.8	21.6	38.0	29.8	187	F
Renault	Clio	M5	1461	Diesel	5.3	4.1	4.5	53.3	65.7	62.8	44.4	54.7	52.3	120	B
Renault	Clio	M5	1461	Diesel	5.2	4.0	4.4	54.3	70.6	64.2	45.2	58.8	53.5	117	B
Renault	Clio	M5/s	1461	Diesel	5.2	4.0	4.4	54.3	70.6	64.2	45.2	58.8	53.5	118	B
Renault	Clio	M6	1461	Diesel	5.7	4.1	4.6	49.6	68.9	61.4	41.3	57.4	51.1	123	C
Renault	Kangoo	M5	1149	Petrol	9.0	5.9	7.0	31.4	47.9	40.4	26.1	39.9	33.6	165	D
Renault	Kangoo	M5	1598	Petrol	9.8	6.1	7.5	28.8	46.3	37.7	24.0	38.6	31.4	177	E
Renault	Kangoo	A4	1598	Petrol	10.8	6.5	8.0	26.2	43.5	35.3	21.8	36.2	29.4	190	F
Renault	Kangoo	M5	1461	Diesel	6.0	5.2	5.5	47.1	54.3	51.4	39.2	45.2	42.8	147	C
Renault	Kangoo	M5	1461	Diesel	5.9	4.9	5.3	47.9	57.6	53.3	39.9	48.0	44.4	139	C
Renault	Modus	M5	1149	Petrol	7.6	4.9	5.9	37.2	57.6	47.9	31.0	48.0	39.9	140	C
