Code	Municipality	County	Population	Total area	Density (per km 2 land)
0767	Markaryd Municipality	Kronoberg County	9600	535.63km 2 (206.81sqmi)	18.45
0780	Växjö Municipality	Kronoberg County	81074	1924.99km 2 (743.24sqmi)	48.44
0781	Ljungby Municipality	Kronoberg County	27430	2003.98km 2 (773.74sqmi)	15.60
0821	Högsby Municipality	Kalmar County	5930	802.65km 2 (309.9sqmi)	7.86
0834	Torsås Municipality	Kalmar County	7076	472.30km 2 (182.36sqmi)	15.03
0840	Mörbylånga Municipality	Kalmar County	13737	671.21km 2 (259.16sqmi)	20.51
0860	Hultsfred Municipality	Kalmar County	14046	1193.03km 2 (460.63sqmi)	12.46
0861	Mönsterås Municipality	Kalmar County	12956	610.29km 2 (235.63sqmi)	21.52
0862	Emmaboda Municipality	Kalmar County	9331	722.42km 2 (278.93sqmi)	13.48
0880	Kalmar Municipality	Kalmar County	61693	965.20km 2 (372.67sqmi)	64.15
0881	Nybro Municipality	Kalmar County	19557	1207.17km 2 (466.09sqmi)	16.61
0882	Oskarshamn Municipality	Kalmar County	26309	1102.75km 2 (425.77sqmi)	24.94
0883	Västervik Municipality	Kalmar County	36356	2035.36km 2 (785.86sqmi)	19.32
0884	Vimmerby Municipality	Kalmar County	15551	1225.90km 2 (473.32sqmi)	13.58
0885	Borgholm Municipality	Kalmar County	10855	683.80km 2 (264.02sqmi)	15.96
0980	Gotland Municipality	Gotland County	57004	3183.72km 2 (1229.24sqmi)	18.09
1060	Olofström Municipality	Blekinge County	13167	415.43km 2 (160.4sqmi)	33.60
1080	Karlskrona Municipality	Blekinge County	62804	1075.67km 2 (415.32sqmi)	59.99
1081	Ronneby Municipality	Blekinge County	28489	866.03km 2 (334.38sqmi)	34.33
1082	Karlshamn Municipality	Blekinge County	30959	511.08km 2 (197.33sqmi)	63.01
1083	Sölvesborg Municipality	Blekinge County	16840	186.89km 2 (72.16sqmi)	90.30
1214	Svalöv Municipality	Skåne County	13184	391.10km 2 (151sqmi)	33.77
1230	Staffanstorp Municipality	Skåne County	21667	107.89km 2 (41.66sqmi)	201.35
1231	Burlöv Municipality	Skåne County	16230	18.90km 2 (7.3sqmi)	861.46
1233	Vellinge Municipality	Skåne County	32843	144.17km 2 (55.66sqmi)	229.38
1256	Östra Göinge Municipality	Skåne County	13662	453.40km 2 (175.06sqmi)	31.42
1257	Örkelljunga Municipality	Skåne County	9592	331.46km 2 (127.98sqmi)	29.84
1260	Bjuv Municipality	Skåne County	14613	116.44km 2 (44.96sqmi)	125.79
1261	Kävlinge Municipality	Skåne County	28255	154.45km 2 (59.63sqmi)	183.68
1262	Lomma Municipality	Skåne County	20449	56.13km 2 (21.67sqmi)	367.52
1263	Svedala Municipality	Skåne County	19390	227.58km 2 (87.87sqmi)	88.55
1264	Skurup Municipality	Skåne County	14784	196.07km 2 (75.7sqmi)	75.75
1265	Sjöbo Municipality	Skåne County	18093	509.23km 2 (196.61sqmi)	36.50
1266	Hörby Municipality	Skåne County	14757	435.20km 2 (168.03sqmi)	34.91
1267	Höör Municipality	Skåne County	15039	321.69km 2 (124.21sqmi)	51.33
1270	Tomelilla Municipality	Skåne County	12816	399.44km 2 (154.22sqmi)	32.14
1272	Bromölla Municipality	Skåne County	12200	186.24km 2 (71.91sqmi)	74.67
1273	Osby Municipality	Skåne County	12648	601.94km 2 (232.41sqmi)	21.86
1275	Perstorp Municipality	Skåne County	6972	162.79km 2 (62.85sqmi)	43.63
1276	Klippan Municipality	Skåne County	16336	381.35km 2 (147.24sqmi)	43.39
1277	Åstorp Municipality	Skåne County	14533	93.18km 2 (35.98sqmi)	156.34
1278	Båstad Municipality	Skåne County	14203	218.82km 2 (84.49sqmi)	65.04
1280	Malmö Municipality	Skåne County	286535	156.46km 2 (60.41sqmi)	1841.96
1281	Lund Municipality	Skåne County	107351	442.87km 2 (170.99sqmi)	249.50
1282	Landskrona Municipality	Skåne County	40860	153.43km 2 (59.24sqmi)	289.46
1283	Helsingborg Municipality	Skåne County	126754	347.23km 2 (134.07sqmi)	366.08
1284	Höganäs Municipality	Skåne County	24248	144.53km 2 (55.8sqmi)	168.05
1285	Eslöv Municipality	Skåne County	31123	426.51km 2 (164.68sqmi)	73.81
1286	Ystad Municipality	Skåne County	27870	356.74km 2 (137.74sqmi)	79.08
1287	Trelleborg Municipality	Skåne County	41558	343.88km 2 (132.77sqmi)	121.49
1290	Kristianstad Municipality	Skåne County	77977	1346.00km 2 (519.69sqmi)	62.30
1291	Simrishamn Municipality	Skåne County	19356	394.89km 2 (152.47sqmi)	49.10
1292	Ängelholm Municipality	Skåne County	38854	433.40km 2 (167.34sqmi)	91.95
1293	Hässleholm Municipality	Skåne County	50006	1314.16km 2 (507.4sqmi)	39.17
1315	Hylte Municipality	Halland County	10273	1052.37km 2 (406.32sqmi)	10.80
1380	Halmstad Municipality	Halland County	90241	1036.43km 2 (400.17sqmi)	88.46
1381	Laholm Municipality	Halland County	23258	907.02km 2 (350.2sqmi)	26.18
1382	Falkenberg Municipality	Halland County	40451	1162.10km 2 (448.69sqmi)	36.27
1383	Varberg Municipality	Halland County	56673	913.86km 2 (352.84sqmi)	64.83
1384	Kungsbacka Municipality	Halland County	72676	646.79km 2 (249.73sqmi)	118.86
1401	Härryda Municipality	Västra Götaland County	33580	292.83km 2 (113.06sqmi)	125.10
1402	Partille Municipality	Västra Götaland County	33802	59.35km 2 (22.92sqmi)	591.05
1407	Öckerö Municipality	Västra Götaland County	12250	26.03km 2 (10.05sqmi)	472.79
1415	Stenungsund Municipality	Västra Götaland County	23657	267.64km 2 (103.34sqmi)	93.31
1419	Tjörn Municipality	Västra Götaland County	14963	168.96km 2 (65.24sqmi)	88.94
1421	Orust Municipality	Västra Götaland County	15327	393.49km 2 (151.93sqmi)	39.40
1427	Sotenäs Municipality	Västra Götaland County	9170	140.43km 2 (54.22sqmi)	65.89
1430	Munkedal Municipality	Västra Götaland County	10245	672.10km 2 (259.5sqmi)	16.05
1435	Tanum Municipality	Västra Götaland County	12271	961.21km 2 (371.13sqmi)	13.29
1438	Dals-Ed Municipality	Västra Götaland County	4788	830.90km 2 (320.81sqmi)	6.56
1439	Färgelanda Municipality	Västra Götaland County	6744	622.34km 2 (240.29sqmi)	11.37
1440	Ale Municipality	Västra Götaland County	27323	333.25km 2 (128.67sqmi)	85.85
1441	Lerum Municipality	Västra Götaland County	38085	310.20km 2 (119.77sqmi)	146.32
1442	Vårgårda Municipality	Västra Götaland County	10976	443.53km 2 (171.25sqmi)	25.60
1443	Bollebygd Municipality	Västra Götaland County	8232	284.34km 2 (109.78sqmi)	31.07
1444	Grästorp Municipality	Västra Götaland County	5851	281.44km 2 (108.66sqmi)	22.02
1445	Essunga Municipality	Västra Götaland County	5625	236.87km 2 (91.46sqmi)	23.86
1446	Karlsborg Municipality	Västra Götaland County	6790	801.48km 2 (309.45sqmi)	16.64
1447	Gullspång Municipality	Västra Götaland County	5371	558.09km 2 (215.48sqmi)	17.02
1452	Tranemo Municipality	Västra Götaland County	11721	781.62km 2 (301.79sqmi)	15.75
1460	Bengtsfors Municipality	Västra Götaland County	9897	1066.03km 2 (411.6sqmi)	11.13
1461	Mellerud Municipality	Västra Götaland County	9442	949.83km 2 (366.73sqmi)	18.33
1462	Lilla Edet Municipality	Västra Götaland County	12831	344.17km 2 (132.88sqmi)	40.36
1463	Mark Municipality	Västra Götaland County	33807	1017.78km 2 (392.97sqmi)	36.21
1465	Svenljunga Municipality	Västra Götaland County	10313	992.75km 2 (383.3sqmi)	11.14
1466	Herrljunga Municipality	Västra Götaland County	9280	512.22km 2 (197.77sqmi)	18.54
1470	Vara Municipality	Västra Götaland County	15868	703.66km 2 (271.68sqmi)	22.66
1471	Götene Municipality	Västra Götaland County	13085	625.73km 2 (241.6sqmi)	32.17
1472	Tibro Municipality	Västra Götaland County	10662	235.51km 2 (90.93sqmi)	48.45
1473	Töreboda Municipality	Västra Götaland County	9256	594.75km 2 (229.63sqmi)	17.02
1480	Gothenburg Municipality	Västra Götaland County	500197	465.22km 2 (179.62sqmi)	1109.80
1481	Mölndal Municipality	Västra Götaland County	59812	153.22km 2 (59.16sqmi)	407.41
1482	Kungälv Municipality	Västra Götaland County	40268	372.69km 2 (143.9sqmi)	110.40
1484	Lysekil Municipality	Västra Götaland County	14659	210.73km 2 (81.36sqmi)	69.83
1485	Uddevalla Municipality	Västra Götaland County	51186	654.63km 2 (252.75sqmi)	79.74
1486	Strömstad Municipality	Västra Götaland County	11607	481.85km 2 (186.04sqmi)	24.62
1487	Vänersborg Municipality	Västra Götaland County	36991	904.30km 2 (349.15sqmi)	57.13
1488	Trollhättan Municipality	Västra Götaland County	54487	430.24km 2 (166.12sqmi)	132.21
1489	Alingsås Municipality	Västra Götaland County	37247	554.59km 2 (214.13sqmi)	78.43
1490	Borås Municipality	Västra Götaland County	101487	972.98km 2 (375.67sqmi)	110.89
1491	Ulricehamn Municipality	Västra Götaland County	22706	1122.21km 2 (433.29sqmi)	21.60
1492	Åmål Municipality	Västra Götaland County	12545	894.93km 2 (345.53sqmi)	25.92
1493	Mariestad Municipality	Västra Götaland County	23825	1509.82km 2 (582.94sqmi)	39.55
1494	Lidköping Municipality	Västra Götaland County	37922	1378.43km 2 (532.21sqmi)	53.93
1495	Skara Municipality	Västra Götaland County	18518	450.24km 2 (173.84sqmi)	42.08
1496	Skövde Municipality	Västra Götaland County	50610	688.03km 2 (265.65sqmi)	74.82
1497	Hjo Municipality	Västra Götaland County	8809	587.40km 2 (226.8sqmi)	29.52
1498	Tidaholm Municipality	Västra Götaland County	12693	525.02km 2 (202.71sqmi)	24.39
1499	Falköping Municipality	Västra Götaland County	31349	1071.41km 2 (413.67sqmi)	29.67
1715	Kil Municipality	Värmland County	11674	409.32km 2 (158.04sqmi)	32.37
1730	Eda Municipality	Värmland County	8653	900.90km 2 (347.84sqmi)	10.48
1737	Torsby Municipality	Värmland County	12707	4385.17km 2 (1693.12sqmi)	3.03
1760	Storfors Municipality	Värmland County	4383	475.07km 2 (183.43sqmi)	11.14
1761	Hammarö Municipality	Värmland County	14655	421.98km 2 (162.93sqmi)	257.56
1762	Munkfors Municipality	Värmland County	3814	148.64km 2 (57.39sqmi)	26.80
1763	Forshaga Municipality	Värmland County	11415	399.33km 2 (154.18sqmi)	32.59
1764	Grums Municipality	Värmland County	9250	481.86km 2 (186.05sqmi)	23.94
1765	Årjäng Municipality	Värmland County	9952	1663.92km 2 (642.44sqmi)	7.01
1766	Sunne Municipality	Värmland County	13473	1457.07km 2 (562.58sqmi)	10.39
1780	Karlstad Municipality	Värmland County	83994	1571.53km 2 (606.77sqmi)	72.08
1781	Kristinehamn Municipality	Värmland County	23958	1392.37km 2 (537.6sqmi)	32.03
1782	Filipstad Municipality	Värmland County	10682	1721.72km 2 (664.76sqmi)	6.92
1783	Hagfors Municipality	Värmland County	12804	2012.19km 2 (776.91sqmi)	6.98
1784	Arvika Municipality	Värmland County	26176	1968.55km 2 (760.06sqmi)	15.77
1785	Säffle Municipality	Värmland County	15784	2512.49km 2 (970.08sqmi)	12.93
1814	Lekeberg Municipality	Örebro County	7111	484.18km 2 (186.94sqmi)	15.26
1860	Laxå Municipality	Örebro County	5870	740.79km 2 (286.02sqmi)	9.71
1861	Hallsberg Municipality	Örebro County	15256	673.84km 2 (260.17sqmi)	23.83
1862	Degerfors Municipality	Örebro County	9839	436.15km 2 (168.4sqmi)	25.51
1863	Hällefors Municipality	Örebro County	7361	1157.23km 2 (446.81sqmi)	7.44
1864	Ljusnarsberg Municipality	Örebro County	5129	634.59km 2 (245.02sqmi)	8.86
1880	Örebro Municipality	Örebro County	132277	1628.83km 2 (628.89sqmi)	95.84
1881	Kumla Municipality	Örebro County	20157	206.87km 2 (79.87sqmi)	98.16
1882	Askersund Municipality	Örebro County	11386	1025.21km 2 (395.84sqmi)	13.89
1883	Karlskoga Municipality	Örebro County	29872	513.22km 2 (198.16sqmi)	63.47
1884	Nora Municipality	Örebro County	10375	694.71km 2 (268.23sqmi)	16.68
1885	Lindesberg Municipality	Örebro County	23099	1488.65km 2 (574.77sqmi)	16.70
1904	Skinnskatteberg Municipality	Västmanland County	4622	721.86km 2 (278.71sqmi)	6.98
1907	Surahammar Municipality	Västmanland County	10062	371.14km 2 (143.3sqmi)	29.16
1960	Kungsör Municipality	Västmanland County	8170	227.80km 2 (87.95sqmi)	40.19
1961	Hallstahammar Municipality	Västmanland County	15014	181.88km 2 (70.22sqmi)	87.75
1962	Norberg Municipality	Västmanland County	5749	450.20km 2 (173.82sqmi)	13.70
1980	Västerås Municipality	Västmanland County	134684	1143.00km 2 (441.31sqmi)	139.89
1981	Sala Municipality	Västmanland County	21365	1211.14km 2 (467.62sqmi)	18.19
1982	Fagersta Municipality	Västmanland County	12267	312.13km 2 (120.51sqmi)	45.31
1983	Köping Municipality	Västmanland County	24740	648.88km 2 (250.53sqmi)	40.71
1984	Arboga Municipality	Västmanland County	13301	421.67km 2 (162.81sqmi)	40.64
2021	Vansbro Municipality	Dalarna County	6916	1667.17km 2 (643.7sqmi)	4.47
2023	Malung-Sälen Municipality	Dalarna County	10385	4339.31km 2 (1675.42sqmi)	2.53
2026	Gagnef Municipality	Dalarna County	10107	813.96km 2 (314.27sqmi)	13.14
2029	Leksand Municipality	Dalarna County	15288	1419.12km 2 (547.93sqmi)	12.47
2031	Rättvik Municipality	Dalarna County	10850	2149.09km 2 (829.77sqmi)	5.62
2034	Orsa Municipality	Dalarna County	6990	1808.13km 2 (698.12sqmi)	4.01
2039	Älvdalen Municipality	Dalarna County	7287	7189.45km 2 (2775.86sqmi)	1.05
2061	Smedjebacken Municipality	Dalarna County	10734	1063.77km 2 (410.72sqmi)	11.25
2062	Mora Municipality	Dalarna County	20153	3129.23km 2 (1208.2sqmi)	7.13
2080	Falun Municipality	Dalarna County	55297	2288.32km 2 (883.53sqmi)	26.95
2081	Borlänge Municipality	Dalarna County	48185	638.93km 2 (246.69sqmi)	82.12
2082	Säter Municipality	Dalarna County	10957	627.87km 2 (242.42sqmi)	19.09
2083	Hedemora Municipality	Dalarna County	15259	934.04km 2 (360.63sqmi)	18.17
2084	Avesta Municipality	Dalarna County	21937	672.70km 2 (259.73sqmi)	35.63
2085	Ludvika Municipality	Dalarna County	25522	1657.04km 2 (639.79sqmi)	17.03
2101	Ockelbo Municipality	Gävleborg County	6027	1135.54km 2 (438.43sqmi)	5.63
2104	Hofors Municipality	Gävleborg County	9896	448.27km 2 (173.08sqmi)	24.07
2121	Ovanåker Municipality	Gävleborg County	11647	2028.41km 2 (783.17sqmi)	6.18
2132	Nordanstig Municipality	Gävleborg County	9736	1464.28km 2 (565.36sqmi)	7.05
2161	Ljusdal Municipality	Gävleborg County	19133	5643.01km 2 (2178.78sqmi)	3.62
2180	Gävle Municipality	Gävleborg County	93509	1808.17km 2 (698.14sqmi)	57.90
2181	Sandviken Municipality	Gävleborg County	36879	1304.51km 2 (503.67sqmi)	31.59
2182	Söderhamn Municipality	Gävleborg County	25987	1178.03km 2 (454.84sqmi)	24.40
2183	Bollnäs Municipality	Gävleborg County	26189	1986.90km 2 (767.15sqmi)	14.38
2184	Hudiksvall Municipality	Gävleborg County	36905	2757.54km 2 (1064.69sqmi)	14.78
2260	Ånge Municipality	Västernorrland County	10323	3315.36km 2 (1280.07sqmi)	3.36
2262	Timrå Municipality	Västernorrland County	17980	827.56km 2 (319.52sqmi)	22.82
2280	Härnösand Municipality	Västernorrland County	24716	1107.72km 2 (427.69sqmi)	23.22
2281	Sundsvall Municipality	Västernorrland County	94955	3472.62km 2 (1340.79sqmi)	29.59
2282	Kramfors Municipality	Västernorrland County	19473	1796.73km 2 (693.72sqmi)	11.42
2283	Sollefteå Municipality	Västernorrland County	20538	5797.16km 2 (2238.3sqmi)	3.78
2284	Örnsköldsvik Municipality	Västernorrland County	55387	6788.72km 2 (2621.14sqmi)	8.63
2303	Ragunda Municipality	Jämtland County	5681	2649.55km 2 (1023sqmi)	2.25
2305	Bräcke Municipality	Jämtland County	7009	3807.08km 2 (1469.92sqmi)	2.04
2309	Krokom Municipality	Jämtland County	14324	6856.60km 2 (2647.35sqmi)	2.30
2313	Strömsund Municipality	Jämtland County	12532	11857.36km 2 (4578.15sqmi)	1.19
2321	Åre Municipality	Jämtland County	10259	8292.67km 2 (3201.82sqmi)	1.41
2326	Berg Municipality	Jämtland County	7533	6184.45km 2 (2387.83sqmi)	1.31
2361	Härjedalen Municipality	Jämtland County	10645	11934.65km 2 (4607.99sqmi)	0.94
2380	Östersund Municipality	Jämtland County	58914	2515.89km 2 (971.39sqmi)	26.53
2401	Nordmaling Municipality	Västerbotten County	7276	1277.94km 2 (493.42sqmi)	5.87
2403	Bjurholm Municipality	Västerbotten County	2516	1372.42km 2 (529.89sqmi)	1.91
2404	Vindeln Municipality	Västerbotten County	5613	2867.06km 2 (1106.98sqmi)	2.12
2409	Robertsfors Municipality	Västerbotten County	6900	1322.90km 2 (510.77sqmi)	5.30
2417	Norsjö Municipality	Västerbotten County	4363	1937.73km 2 (748.16sqmi)	2.49
2418	Malå Municipality	Västerbotten County	3369	1739.72km 2 (671.71sqmi)	2.09
2421	Storuman Municipality	Västerbotten County	6304	8285.87km 2 (3199.19sqmi)	0.85
2422	Sorsele Municipality	Västerbotten County	2733	8012.02km 2 (3093.46sqmi)	0.37
2425	Dorotea Municipality	Västerbotten County	2914	2961.87km 2 (1143.58sqmi)	1.04
2460	Vännäs Municipality	Västerbotten County	8357	557.75km 2 (215.35sqmi)	15.67
2462	Vilhelmina Municipality	Västerbotten County	7220	8794.95km 2 (3395.75sqmi)	0.89
2463	Åsele Municipality	Västerbotten County	3180	4574.11km 2 (1766.07sqmi)	0.74
2480	Umeå Municipality	Västerbotten County	112728	2414.91km 2 (932.4sqmi)	48.35
2481	Lycksele Municipality	Västerbotten County	12477	5930.50km 2 (2289.78sqmi)	2.24
2482	Skellefteå Municipality	Västerbotten County	71862	7230.59km 2 (2791.75sqmi)	10.48
2505	Arvidsjaur Municipality	Norrbotten County	6665	6169.66km 2 (2382.12sqmi)	1.17
2506	Arjeplog Municipality	Norrbotten County	3146	14594.73km 2 (5635.06sqmi)	0.25
2510	Jokkmokk Municipality	Norrbotten County	5305	19477.24km 2 (7520.2sqmi)	0.30
2513	Överkalix Municipality	Norrbotten County	3715	2946.27km 2 (1137.56sqmi)	1.33
2514	Kalix Municipality	Norrbotten County	17162	1911.45km 2 (738.01sqmi)	9.46
2518	Övertorneå Municipality	Norrbotten County	4972	2509.21km 2 (968.81sqmi)	2.09
2521	Pajala Municipality	Norrbotten County	6429	8124.98km 2 (3137.07sqmi)	0.81
2523	Gällivare Municipality	Norrbotten County	18703	16950.53km 2 (6544.64sqmi)	1.18
2560	Älvsbyn Municipality	Norrbotten County	8465	1809.79km 2 (698.76sqmi)	4.94
2580	Luleå Municipality	Norrbotten County	73406	2250.04km 2 (868.75sqmi)	34.79
2581	Piteå Municipality	Norrbotten County	40902	3262.56km 2 (1259.68sqmi)	13.14
2582	Boden Municipality	Norrbotten County	27535	4321.00km 2 (1668.35sqmi)	6.81
2583	Haparanda Municipality	Norrbotten County	10173	964.78km 2 (372.5sqmi)	10.97
2584	Kiruna Municipality	Norrbotten County	23099	20714.66km 2 (7997.97sqmi)	1.19
