Position	Appearances	Goals	First appearance	Last appearance
FW	2	0	1953	1956
MF	2	0	1985	1985
DF	1	0	1975	1975
DF	65	2	1982	1989
FW	50	25	1968	1975
DF	1	0	1957	1957
MF	1	0	1987	1987
DF	1	0	1961	1961
FW	13	5	1978	1983
DF	66	4	1970	1981
MF	33	3	1973	1977
FW	2	0	1955	1958
MF	4	0	1986	1986
DF	1	0	1989	1989
DF	59	3	1980	1988
MF	16	1	1960	1965
GK	1	0	1972	1972
DF	21	2	1977	1980
FW	6	0	1959	1962
DF	22	0	1987	1990
FW	2	0	1962	1962
FW	43	12	1967	1977
DF	1	0	1955	1955
GK	1	0	1956	1956
FW	4	0	1987	1989
MF	7	0	1959	1962
FW	3	1	1974	1974
FW	2	0	1952	1954
FW	3	1	1952	1954
FW	2	0	1954	1954
FW	16	2	1954	1961
FW	36	8	1983	1989
MF	2	0	1990	1990
MF	1	0	1969	1969
FW	1	0	1984	1984
MF	17	1	1958	1965
MF	18	0	1955	1960
FW	13	5	1957	1962
MF	5	0	1977	1978
MF	3	0	1953	1954
DF	2	0	1976	1976
DF	4	0	1980	1980
GK	46	0	1984	1989
FW	11	2	1960	1965
DF	1	0	1968	1968
MF	2	0	1978	1981
MF	1	0	1984	1984
DF	2	0	1979	1981
FW	30	16	1960	1969
DF	3	0	1953	1954
MF	25	4	1962	1967
FW	7	0	1983	1987
DF	5	1	1990	1990
FW	9	1	1978	1979
FW	2	0	1958	1959
MF	35	0	1982	1989
MF	57	3	1972	1983
DF	1	0	1978	1978
MF	20	2	1982	1988
MF	3	0	1978	1979
DF	6	0	1987	1990
FW	7	1	1971	1973
FW	15	4	1982	1987
FW	4	0	1974	1978
FW	41	6	1975	1982
FW	11	1	1967	1971
DF	1	0	1988	1988
FW	5	0	1990	1990
DF	42	1	1984	1989
MF	2	0	1952	1952
GK	33	0	1979	1988
FW	2	0	1977	1977
DF	16	0	1984	1987
MF	17	0	1970	1973
MF	23	6	1986	1990
MF	31	5	1975	1980
DF	5	0	1955	1956
FW	3	0	1974	1974
MF	5	0	1952	1958
MF	5	0	1970	1971
DF	7	1	1976	1981
GK	3	0	1969	1973
MF	45	6	1973	1983
MF	12	0	1952	1957
MF	3	0	1954	1954
DF	18	0	1986	1990
MF	7	0	1987	1990
FW	39	13	1952	1962
FW	3	0	1972	1972
MF	3	0	1984	1985
DF	3	1	1984	1985
GK	1	0	1974	1974
DF	10	0	1963	1969
MF	21	0	1972	1975
MF	1	0	1980	1980
DF	7	0	1958	1963
FW	53	15	1969	1977
FW	2	0	1952	1958
GK	29	0	1954	1962
DF	46	2	1982	1989
FW	22	2	1962	1973
MF	28	1	1978	1985
MF	23	3	1986	1990
FW	6	4	1963	1965
MF	4	0	1982	1986
FW	104	55	1969	1984
MF	15	1	1970	1971
DF	6	0	1980	1982
MF	47	1	1984	1990
MF	4	1	1975	1980
GK	4	0	1958	1959
FW	51	16	1984	1990
FW	1	0	1952	1952
MF	14	1	1983	1989
DF	18	0	1980	1984
FW	8	1	1980	1982
FW	15	11	1954	1959
DF	17	0	1981	1984
DF	4	0	1973	1975
DF	1	0	1980	1980
DF	13	0	1980	1983
MF	7	0	1954	1964
DF	34	0	1961	1969
DF	1	0	1982	1982
FW	75	25	1962	1976
FW	4	1	1959	1959
DF	24	0	1972	1975
DF	4	0	1959	1963
FW	1	0	1962	1962
MF	16	0	1965	1967
MF	35	5	1975	1980
FW	10	0	1985	1990
GK	12	0	1962	1968
DF	86	2	1970	1981
GK	15	0	1984	1989
DF	1	0	1970	1970
FW	28	10	1954	1962
DF	2	0	1952	1952
MF	10	0	1955	1957
MF	17	0	1955	1959
MF	7	0	1989	1990
DF	6	0	1967	1968
FW	4	2	1987	1990
DF	4	0	1957	1958
DF	16	0	1969	1975
MF	38	5	1982	1988
GK	1	0	1962	1962
