Year	Author(s) or Editor(s)	Book Title	Publisher	Category	Result
2004	Diana Rivers	The Red Line of Yarmald	Bella Books	SF/F/H	Nom
2004	Perry Brass	The Substance of God	Belhue	SF/F/H	Nom
2004	Michael Schiefelbein	Vampire Thrall	Alyson	SF/F/H	Nom
2005	Jim Grimsley	The Ordinary	Tor	SF/F/H	Won
2005	Michael Jensen	Firelands	Alyson	SF/F/H	Nom
2005	Jean Stewart	The Wizard of Isis	Bella Books	SF/F/H	Nom
2005	Nicola Griffith	With Her Body	Aqueduct	SF/F/H	Nom
2006	Katherine V. Forrest	Daughters of an Emerald Dusk	Alyson	LGBTSF/F/H	Won
2006	Octavia Butler	Fledgling	Seven Stories	LGBTSF/F/H	Nom
2006	David B. Coe	Shapers of Darkness	Tor	LGBTSF/F/H	Nom
2006	Jane Fletcher	Temple Landfall	Bold Strokes	LGBTSF/F/H	Nom
2006	Jeanne Gӆellers	No Sister of Mine	Bella Books	LGBTSF/F/H	Nom
2007	Neal Drinnan	Izzy and Eve	Green Candy Press	LGBTSF/F/H	Won [I ]
2007	Elizabeth Bear	Carnival	Bantam Spectra	LGBTSF/F/H	Nom
2007	Douglas Clegg	Mordred, Bastard Son	Alyson	LGBTSF/F/H	Nom
2007	R.W. Day	A Strong and Sudden Thaw	Iris Print	LGBTSF/F/H	Nom
2007	Chris Moriarty	Spin Control	Bantam Spectra	LGBTSF/F/H	Nom
2008	Lee Thomas	The Dust of Wonderland	Alyson	LGBTSF/F/H	Won
2008	Ginn Hale	Wicked Gentlemen	Blind Eye Books	LGBTSF/F/H	Nom
2008	Elizabeth Bear & Sarah Monette	A Companion to Wolves	Tor	LGBTSF/F/H	Nom
2008	Brian Francis Slattery	Spaceman Blues	Tor	LGBTSF/F/H	Nom
2008	Jo Walton	Ha'penny	Tor	LGBTSF/F/H	Nom
2009	Nicole Kimberling	Turnskin	Blind Eye Books	LGBTSF/F/H	Won
2009	Astrid Amara	The Archer's Heart	Blind Eye Books	LGBTSF/F/H	Nom
2009	Barth Anderson	The Magician and the Fool	Bantam Del Ray	LGBTSF/F/H	Nom
2009	Steve Berman	Wilde Stories 2008	Lethe Press	LGBTSF/F/H	Nom
2009	Craig Gidney	Sea, Swallow Me and Other Stories	Lethe Press	LGBTSF/F/H	Nom
2010	Catherynne M. Valente	Palimpsest	Bantam Books	LGBTSF/F/H	Won
2010	Rebecca Ore	Centuries Ago and Very Fast	Aqueduct Press	LGBTSF/F/H	Nom
2010	Amber Dawn	Fist of the Spider Woman	Arsenal Pulp Press	LGBTSF/F/H	Nom
2010	Lee Thomas	In the Closet, Under the Bed	Dark Scribe Press	LGBTSF/F/H	Nom
2010	Tom Cardamone	Pumpkin Teeth	Lethe Press	LGBTSF/F/H	Nom
2011	Sandra McDonald	Diana Comet and Other Improbable Stories	Lethe Press	LGBTSF/F/H	Won
2011	Tanith Lee	Disturbed by Her Song	Lethe Press	LGBTSF/F/H	Nom
2011	Nene Adams	Flowers of Edo	Black Car Publishing	LGBTSF/F/H	Nom
2011	Steve Berman (ed.)	Wilde Stories 2010	Lethe Press	LGBTSF/F/H	Nom
2011	Jane Fletcher	Wolfsbane Winter	Bold Strokes Books	LGBTSF/F/H	Nom
2012	Lee Thomas	The German	Lethe Press	LGBTSF/F/H	Won
2012	Geoff Ryman	Paradise Tales: and Other Stories	Small Beer Press	LGBTSF/F/H	Nom
2012	L.A. Witt	Static	Amber Allure / Amber Quill Press	LGBTSF/F/H	Nom
2012	JoSelle Vanderhooft	Steam-powered: Lesbian Steampunk Stories	Torquere Press	LGBTSF/F/H	Nom
2012	J.M. Frey	Triptych	Dragon Moon Press	LGBTSF/F/H	Nom
2013	Tom Cardamone	Green Thumb	Lethe Press	LGBTSF/F/H	Won
2013	Kelly Sinclair	In the Now	Blue Feather Books	LGBTSF/F/H	Nom
2013	Greg Herren & J.M. Redmann	Night Shadows: Queer Horror	Bold Strokes Books	LGBTSF/F/H	Nom
