Rank	Building [A ]	City	Country	Height (m)	Height (ft)	Floors	Built
197	Moshe Aviv Tower	Tel Aviv	Israel	244m	801ft	69	2003
197	AAM Tower	Dubai	UAE	244m	801ft	46	2008
199	Maybank Tower	Kuala Lumpur	Malaysia	243m	799ft	50	1987
199	The Tower	Dubai	UAE	243m	797ft	54	2002
199	R&F Centre	Guangzhou	China	243m	797ft	54	2007
199	Dalian Futures Square 1	Dalian	China	243m	797ft	53	2010
199	Tokyo Metropolitan Government Building	Tokyo	Japan	243m	797ft	48	1991
205	Dalian World Trade Centre	Dalian	China	242m	796ft	61	2000
206	World Trade Center	Doha	Qatar	241m	791ft	51	2012
206	Maxdo Centre	Shanghai	China	241m	791ft	55	2002
206	Bank of China Mansion	Qingdao	China	241m	791ft	54	1999
206	Richensia Tower 1	Bucheon	South Korea	241m	790ft	66	2012
206	Richensia Tower 2	Bucheon	South Korea	241m	790ft	66	2012
206	Shenzhen Broadcasting Center Building	Shenzhen	China	241m	790ft	48	2001
213	Manulife Plaza	Hong Kong	Hong Kong	240m	787ft	52	1998
213	NTT Docomo Yoyogi Building	Tokyo	Japan	240m	787ft	27	2000
