Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1977	Wiliam Kerr	Deirdre Algie	Kenneth Parsons / Wiliam Kerr	Gussie Botes / Marianne van der Walt	Kenneth Parsons / Deirdre Algie
1978	Gordon McMillan	Deirdre Algie	Gordon McMillan / John Abrahams	Gussie Botes / Marianne Abrahams	Kenneth Parsons / Deirdre Algie
1979	Johan Croukamp	Gussie Botes	Gordon McMillan / John Abrahams	Gussie Botes / Marianne Abrahams	Alan Phillips / Gussie Botes
1980	Chris Kinard	Utami Kinard	Alan Phillips / Kenneth Parsons	Gussie Phillips / Marianne Abrahams	Alan Phillips / Gussie Phillips
1981	Johan Bosman	Deirdre Algie	Alan Phillips / Kenneth Parsons	Deirdre Algie / Karen Glenister	Alan Phillips / Gussie Phillips
1982	Alan Phillips	Gussie Phillips	Alan Phillips / Kenneth Parsons	Gussie Phillips / Tracey Phillips	Alan Phillips / Gussie Phillips
1983	Johan Croukamp	Gussie Phillips	Alan Phillips / David Phillips	Gussie Phillips / Tracey Phillips	Alan Phillips / Gussie Phillips
1984	Johan Croukamp	Karen Glenister	Alan Phillips / David Phillips	Gussie Phillips / Tracey Phillips	Alan Phillips / Gussie Phillips
1985	Johan Bosman	Gussie Phillips	Alan Phillips / David Phillips	Deirdre Algie / L. Humphrey	Alan Phillips / Gussie Phillips
1986	Johan Bosman	Vanessa van der Walt	Alan Phillips / David Phillips	Gussie Phillips / Tracey Thompson	Alan Phillips / Gussie Phillips
1987	Johan Bosman	Gussie Phillips	Alan Phillips / David Phillips	Gussie Phillips / Tracey Thompson	Alan Phillips / Gussie Phillips
1988	Alan Phillips	Gussie Phillips	Alan Phillips / David Phillips	Gussie Phillips / Tracey Thompson	Alan Phillips / Gussie Phillips
1989	Alan Phillips	Lina Fourie	Kenneth Parsons / Nico Meerholz	Gussie Phillips / Tracey Thompson	Alan Phillips / Gussie Phillips
1990	Alan Phillips	Lina Fourie	Anton Kriel / Nico Meerholz	Gussie Phillips / Tracey Thompson	Alan Phillips / Gussie Phillips
1991	Anton Kriel	Lina Fourie	Anton Kriel / Nico Meerholz	Lina Fourie / E. Fourie	Anton Kriel / Vanessa van der Walt
1992	D. Plasson	Lina Fourie	Anton Kriel / Nico Meerholz	Gussie Phillips / Tracey Thompson	Anton Kriel / Vanessa van der Walt
1993	Johan Kleingeld	Lina Fourie	Anton Kriel / Nico Meerholz	Gussie Phillips / Tracey Thompson	Johan Kleingeld / Lina Fourie
1994	Johan Kleingeld	Lina Fourie	Anton Kriel / Nico Meerholz	Lina Fourie / Beverley Meerholz	Johan Kleingeld / Lina Fourie
1995	Johan Kleingeld	Lina Fourie	Johan Kleingeld / Gavin Polmans	L. Humphrey / Monique Till	Alan Phillips / Gussie Phillips
1996	Warren Parsons	Lina Fourie	Johan Kleingeld / Gavin Polmans	Linda Montignies / Monique Till	Anton Kriel / Vanessa van der Walt
1997	Johan Kleingeld	Lina Fourie	Warren Parsons / Neale Woodroffe	Lina Fourie / Tracey Thompson	Johan Kleingeld / Lina Fourie
1998	Johan Kleingeld	Lina Fourie	Gavin Polmans / Neale Woodroffe	Linda Montignies / Monique Ric-Hansen	Anton Kriel / Michelle Edwards
1999	Michael Adams	Lina Fourie	Johan Kleingeld / Anton Kriel	Linda Montignies / Monique Ric-Hansen	Johan Kleingeld / Karen Coetzer
2000	Michael Adams	Michelle Edwards	Nico Meerholz / Anton Kriel	Lina Fourie / Karen Coetzer	Anton Kriel / Michelle Edwards
2001	Stewart Carson	Michelle Edwards	Chris Dednam / Johan Kleingeld	Lina Fourie / Karen Coetzer	Chris Dednam / Antoinette Uys
2002	Stewart Carson	Michelle Edwards	Chris Dednam / Johan Kleingeld	Michelle Edwards / Chantal Botts	Johan Kleingeld / Marika Daubern
2003	Chris Dednam	Michelle Edwards	Chris Dednam / Johan Kleingeld	Michelle Edwards / Chantal Botts	Johan Kleingeld / Marika Daubern
2004	Chris Dednam	Michelle Edwards	Chris Dednam / Roelof Dednam	Michelle Edwards / Chantal Botts	Dorian James / Michelle Edwards
2005	Chris Dednam	Marika Daubern	Chris Dednam / Roelof Dednam	Marika Daubern / Kerry Lee Harrington	Johan Kleingeld / Marika Daubern
2006	Chris Dednam	Kerry Lee Harrington	Chris Dednam / Roelof Dednam	Michelle Edwards / Chantal Botts	Dorian James / Michelle Edwards
2007	Wiaan Viljoen	Stacey Doubell	Chris Dednam / Roelof Dednam	Michelle Edwards / Chantal Botts	Dorian James / Michelle Edwards
2008	Chris Dednam	Stacey Doubell	Chris Dednam / Roelof Dednam	Michelle Edwards / Chantal Botts	Chris Dednam / Michelle Edwards
2009	Roelof Dednam	Kerry Lee Harrington	Dorian James / Wiaan Viljoen	Michelle Edwards / Annari Viljoen	Chris Dednam / Annari Viljoen
