Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Reventlow Automobiles Inc.	Scarab	F1	Scarab 2.5 L4	D	Richie Ginther	6
David Brown Corporation	Aston Martin	DBR4 DBR5	Aston Martin RB6 2.5 L6	D	Roy Salvadori	4, 7
David Brown Corporation	Aston Martin	DBR4 DBR5	Aston Martin RB6 2.5 L6	D	Maurice Trintignant	7
Ecurie Maarsbergen	Cooper - Climax	T51	Climax FPF 1.5 L4	D	Carel Godin de Beaufort	4
Taylor-Crawley Racing Team	Lotus - Climax	18	Climax FPF 2.5 L4	D	Mike Taylor	5
Equipe Nationale Belge	Cooper - Climax	T45	Climax FPF 2.5 L4	D	Lucien Bianchi	5
Vandervell Products	Vanwall	VW 11	Vanwall 254 2.5 L4	D	Tony Brooks	6
Robert Bodle Ltd	Lotus - Climax	16	Climax FPF 2.5 L4	D	David Piper	6–7
Gilby Engineering	Cooper - Climax	T45	Maserati 250S 2.5 L4	D	Keith Greene	7
C.T. Atkins	Cooper - Climax	T51	Climax FPF 2.5 L4	D	Jack Fairman	7
Arthur Owen	Cooper - Climax	T45	Climax FPF 2.2 L4	D	Arthur Owen	9
Wolfgang Seidel	Cooper - Climax	T45	Climax FPF 1.5 L4	D	Wolfgang Seidel	9
Scuderia Colonia	Cooper - Climax	T43	Climax FPF 1.5 L4	D	Piero Drogo	9
H.H. Gould	Maserati	250F	Maserati 250F1 2.5 L6	D	Horace Gould	9
Dr Ing F. Porsche KG Porsche System Engineering	Porsche	718/2	Porsche 547/3 1.5 F4	D	Edgar Barth	9
Dr Ing F. Porsche KG Porsche System Engineering	Porsche	718/2	Porsche 547/3 1.5 F4	D	Hans Herrmann	9
Equipe Prideaux/ Dick Gibson	Cooper - Climax	T43	Climax FPF 1.5 L4	D	Vic Wilson	9
Joe Lubin	Maserati	250F	Maserati 250S 2.5 L4	D	Bob Drake	10
Jim Hall	Lotus - Climax	18	Climax FPF 2.5 L4	D	Jim Hall	10
Fred Armbruster	Cooper - Climax	T45	Ferrari 107 2.5 L4	D	Pete Lovely	10
