Rank	Stadium	Capacity	City	Country
144	Ladd Peebles Stadium	40,646	Mobile	USA
145	U.S. Cellular Field	40,615	Chicago	USA
=146	Rentschler Field	40,000	East Hartford	USA
=146	Estadio Olímpico Metropolitano	40,000	San Pedro Sula	Honduras
=146	Plaza México	40,000	Mexico City	Mexico
147	Howard J. Lamade Stadium	40,000	South Williamsport	USA
=146	Michie Stadium	40,000	West Point	USA
151	Estadio Universitario	39,997	San Nicolás de los Garza	Mexico
152	Vanderbilt Stadium	39,790	Nashville	USA
153	University Stadium	38,634	Albuquerque	USA
154	Target Field	39,504	Minneapolis	USA
155	Kauffman Stadium	39,000	Kansas City	USA
156	PNC Park	38,496	Pittsburgh	USA
157	Joan C. Edwards Stadium	38,016	Huntington	USA
158	Bronco Stadium	37,500	Boise	USA
=158	Fenway Park	37,402	Boston	USA
159	Tropicana Field	36,973	St. Petersburg	USA
160	Sam Boyd Stadium	36,800	Las Vegas	USA
161	M. M. Roberts Stadium	36,000	Hattiesburg	USA
162	McMahon Stadium	35,650	Calgary	Canada
163	Skelly Field at H.A. Chapman Stadium	35,542	Tulsa	USA
164	Martin Stadium	35,117	Pullman	USA
165	National Stadium (Costa Rica)	35,093	San José	Costa Rica
=165	Estadio Azul	35,000	Mexico City	Mexico
=165	Estadio Tiburcio Carías Andino	35,000	Tegucigalpa	Honduras
=165	Independence Park	35,000	Kingston	Jamaica
165	Nippert Stadium	35,000	Cincinnati	USA
171	Sonny Lubick Field at Hughes Stadium	34,400	Fort Collins	USA
172	Estadio La Corregidora	34,130	Querétaro	Mexico
173	Estadio Félix Sánchez	34,000	Santo Domingo	Dominican Republic
174	Estadio Panamericano	34,000	Havana	Cuba
=174	Navy-Marine Corps Memorial Stadium	34,000	Annapolis	USA
176	Estadio Nou Camp	33,943	León	Mexico
177	Wallace Wade Stadium	33,941	Durham	USA
178	Investors Group Field	33,422	Winnipeg	Canada
179	Estadio Tecnológico	32,864	Monterrey	Mexico
180	War Memorial Stadium	32,580	Laramie	USA
=181	Kensington Oval	32,000	Bridgetown	Barbados
=181	Estadio Jorge "Mágico" González	32,000	San Salvador	El Salvador
=181	Gerald J. Ford Stadium	32,000	University Park	USA
=181	Robertson Stadium	32,000	Houston	USA
185	BB&T Field	31,500	Winston-Salem	USA
=185	Cajun Field	31,000	Lafayette	USA
=185	Rubber Bowl	31,000	Akron	USA
188	Huskie Stadium	30,998	DeKalb	USA
189	ASU Stadium	30,964	Jonesboro	USA
190	Mosaic Stadium at Taylor Field	30,945	Regina	Canada
191	Apogee Stadium	30,850	Denton	USA
192	Joe Aillet Stadium	30,600	Ruston	USA
193	Dix Stadium	30,520	Kent	USA
194	Spartan Stadium	30,456	San Jose	USA
195	Malone Stadium	30,427	Monroe	USA
196	Aggie Memorial Stadium	30,343	Las Cruces	USA
197	Harvard Stadium	30,323	Boston	USA
198	Rynearson Stadium	30,200	Ypsilanti	USA
199	Kelly/Shorts Stadium	30,199	Mount Pleasant	USA
=200	Dennis Martínez National Stadium	30,100	Managua	Nicaragua
=200	Waldo Stadium	30,100	Kalamazoo	USA
=202	Estadio Mateo Flores	30,000	Guatemala City	Guatemala
=202	Cessna Stadium	30,000	Wichita	USA
=202	Cinco de Septiembre Stadium	30,000	Cienfuegos	Cuba
=202	Estadio Luis de la Fuente	30,000	Veracruz	Mexico
=202	FAU Stadium	30,000	Boca Raton	USA
=202	InfoCision Stadium – Summa Field	30,000	Akron	USA
=202	Jim Wacker Field at Bobcat Stadium	30,000	San Marcos	USA
=202	Veterans Memorial Stadium	30,000	Troy	USA
=202	Victoria de Girón Stadium	30,000	Matanzas	Cuba
=202	William "Dick" Price Stadium	30,000	Norfolk	USA
