Name	Home or representative town or province	Age	Season	Total days in PBB House	Duration	Status
JM Lagumbay*	Quezon City	29	Double Up	5	Days 1-5	Forcibly evicted for failure of task
Jimson Ortega	Spain	25	Double Up	15	Days 7-21	Evicted
Princess Manzon	Cebu / Fukuoka , Japan	22	Double Up	22	Days 1-22	Left due to family and personal reasons
Yhel Punzalan	Angeles City	26	Double Up	26	Days 1-26	Forcibly evicted as punishment
Delio Dimaculangan	Batangas	26	Double Up	35	Days 1-35	Evicted
Tom Mott	Samar / Arizona , USA	22	Double Up	42	Days 1-42	Forcibly evicted as punishment
Riza Mae Patria	Siquijor	23	Double Up	43	Days 7-49	Evicted
Rob Stumvoll	Austria	24	Double Up	50	Days 7-56	Evicted
Yuri Okawa	Japan	25	Double Up	64	Days 1-64	Evicted
Rocky Salumbides	Cavite	29	Double Up	25	Days 43-67	Left due to personal reasons
Carol Batay	Tondo, Manila	22	Double Up	77	Days 1-77	Evicted
Patrick Villanueva	Baguio City	32	Double Up	78	Days 7-84	Evicted
Rica Paras	Iloilo	26	Double Up	85	Days 7-91	Evicted
Sam Pinto	Parañaque City	19	Double Up	56	Days 43-98	Evicted
Cathy Remperas	Bohol	22	Double Up	99	Days 7-105	Evicted
Hermes Bautista	Pampanga	23	Double Up	106	Days 7-112	Evicted
Kath Lopeña-Ortega	Spain	24	Double Up	113	Days 7-119	Evicted
Mariel Sorino	Davao City	21	Double Up	126	Days 1-126	Evicted
Tibo Jumalon	Cagayan de Oro City	33	Double Up	127	Days 7-133	5th place
Johan Santos	Quezon City	22	Double Up	127	Days 7-133	4th place
Jason Francisco	Calapan, Oriental Mindoro	21	Double Up	133	Days 1-133	3rd place
Paul Jake Castillo	Cebu	24	Double Up	133	Days 1-133	2nd place
Melisa Cantiveros	General Santos City	21	Double Up	133	Days 1-133	Winner
Kulas Alon	La Union	26	Unlimited	6	Day 15-20	Evicted
RJ Padilla	Parañaque	22	Unlimited	7	Day 15-21	Forcibly evicted for failure of task
Rhea Lim	Pampanga	26	Unlimited	8	Day 15-22	Evicted
Cindy Miranda	Nueva Ecija	21	Unlimited	8	Day 15-22	Evicted
Lordwin Claveria	Quezon	23	Unlimited	22	Day 8-29	Evicted
Diane Aquino	Quezon City	28	Unlimited	22	Day 8-29	Evicted
Jaz Manabat	Quezon City	24	Unlimited	31	Day 1-31	Left due to family and personal reasons
Reg Pineda	Quezon City	19	Unlimited	22	Day 15-36	Forcibly evicted as punishment
Casey Austria	Legazpi , Albay	19	Unlimited	29	Day 8-36	Evicted
Lyn Elimanco	Surigao	25	Unlimited	36	Day 8-43	Left due to mother's death
Mark Luz	Quezon City	23	Unlimited	36	Day 8-43	Forcbly evicted as punishment
Erika Arlante	Bacolod	31	Unlimited	43	Day 8-50	Evicted
Seth Cox	California , USA	32	Unlimited	26	Day 25-50	Evicted
Luz McClinton	Muntinlupa	33	Unlimited	71	Day 1-71	Evicted
Anatoly Chua	Surigao	33	Unlimited	64	Day 8-71	Evicted
Kigoy Abarico	Ormoc , Leyte	32	Unlimited	71	Day 1-71	Evicted
Kim de Guzman	Olongapo City	19	Unlimited	71	Day 1-71	Forcibly evicted due to lack of desire to stay
Steph Enage	Leyte	23	Unlimited	71	Day 8-78	Evicted
Jerico Redrico	Pampanga	24	Unlimited	71	Day 8-78	Evicted
Ryan Tomas	Colorado , USA	19	Unlimited	56	Day 23-78	Evicted
Roy Gamboa	Pangasinan	29	Unlimited	78	Day 1-78	Evicted
Unad Hernandez	Batangas	24	Unlimited	71	Day 8-78	Evicted
Naprey Almario	Davao	23	Unlimited	71	Day 8-78	Evicted
Joya Genzola	Negros Occidental	24	Unlimited	85	Day 8-92	Evicted
Jessica Connelly	Taguig	19	Unlimited	86	Day 8-93	Forcibly evicted due to emotional stress
Wendy Tabusalla	Muntinlupa	22	Unlimited	92	Day 8-99	Evicted
Eting Busarang	Cebu	27	Unlimited	106	Day 8-113	Evicted
Deniesse Joaquin	Sampaloc, Manila	22	Unlimited	106	Day 15-120	Forcibly evicted as punishment
Seichang Ushimi	Tokyo , Japan	22	Unlimited	127	Day 1-127	Evicted
Kevin Fowler	California , USA	18	Unlimited	134	Day 1-134	Evicted
Carlo Romero	Chicago , USA	25	Unlimited	141	Day 1-141	Evicted
Tin Patrimonio	Cainta , Rizal	19	Unlimited	148	Day 1-148	Evicted
Divine Maitland-Smith	Cebu City	20	Unlimited	152	Day 1-152	Evicted
Paco Evangelista	General Santos City	26	Unlimited	155	Day 1-155	4th place, evicted initially
Joseph Biggel	Marinduque	19	Unlimited	155	Day 1-155	3rd place
Pamu Pamorada	Lipa City , Batangas	19	Unlimited	155	Day 1-155	2nd place
