Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Winner	1980	San Francisco , U.S.	Carpet	John McEnroe	Gene Mayer Sandy Mayer	6–1, 6–4
Winner	1980	Maui , U.S.	Hard	John McEnroe	Victor Amaya Hank Pfister	7–6, 6–7, 6–2
Winner	1980	Sydney Indoor , Australia	Hard (i)	John McEnroe	Tim Gullikson Johan Kriek	4–6, 6–1, 6–2
Winner	1980	Hong Kong	Hard	Ferdi Taygan	Bruce Manson Brian Teacher	7–5, 6–2
Winner	1980	Wembley , England	Carpet	John McEnroe	Bill Scanlon Eliot Teltscher	7–5, 6–3
Winner	1981	Las Vegas , U.S.	Hard	John McEnroe	Tracy Delatte Trey Waltke	6–3, 7–6
Winner	1981	Forest Hills WCT , U.S.	Clay	John McEnroe	John Fitzgerald Andy Kohlberg	6–4, 6–4
Winner	1981	Wimbledon , London	Grass	John McEnroe	Robert Lutz Stan Smith	6–4, 6–4, 6–4
Runner-up	1981	Montreal , Canada	Hard	John McEnroe	Raúl Ramírez Ferdi Taygan	6–2, 6–7, 4–6
Winner	1981	Atlanta , U.S.	Hard	Fritz Buehning	Sammy Giammalva Jr. Tony Giammalva	6–4, 4–6, 6–3
Winner	1981	US Open , New York	Hard	John McEnroe	Heinz Günthardt Peter McNamara	DEF
Winner	1981	San Francisco , U.S.	Carpet	John McEnroe	Mark Edmondson Sherwood Stewart	7–6, 6–4
Winner	1981	Sydney Indoor , Australia	Hard (i)	John McEnroe	Sherwood Stewart Ferdi Taygan	6–7, 7–6, 6–1
Runner-up	1981	Wembley , England	Carpet	John McEnroe	Sherwood Stewart Ferdi Taygan	5–7, 7–6, 4–6
Winner	1982	Philadelphia , U.S.	Carpet	John McEnroe	Sherwood Stewart Ferdi Taygan	7–6, 6–4
Runner-up	1982	Memphis , U.S.	Carpet	John McEnroe	Kevin Curren Steve Denton	6–7, 6–4, 2–6
Runner-up	1982	Wimbledon , London	Grass	John McEnroe	Paul McNamee Peter McNamara	3–6, 2–6
Runner-up	1982	Toronto , Canada	Hard	John McEnroe	Steve Denton Mark Edmondson	7–6, 5–7, 2–6
Winner	1982	Cincinnati , U.S.	Hard	John McEnroe	Steve Denton Mark Edmondson	6–2, 6–3
Winner	1982	Wembley , England	Carpet	John McEnroe	Heinz Günthardt Tomáš Šmíd	7–6, 6–4
Runner-up	1983	Philadelphia , U.S.	Carpet	John McEnroe	Kevin Curren Steve Denton	4–6, 6–7
Runner-up	1983	Rotterdam , Netherlands	Hard (i)	Pavel Složil	Fritz Buehning Tom Gullikson	6–7, 6–4, 6–7
Runner-up	1983	Milan , Italy	Carpet	Fritz Buehning	Pavel Složil Tomáš Šmíd	2–6, 7–5, 4–6
Winner	1983	Los Angeles , U.S.	Hard	John McEnroe	Sandy Mayer Ferdi Taygan	6–1, 6–2
Winner	1983	Wimbledon , London	Grass	John McEnroe	Tim Gullikson Tom Gullikson	6–4, 6–3, 6–4
Winner	1983	US Open , New York	Hard	John McEnroe	Fritz Buehning Van Winitsky	6–3, 6–4, 6–2
Winner	1983	San Francisco , U.S.	Carpet	John McEnroe	Ivan Lendl Vincent Van Patten	6–1, 6–2
Runner-up	1983	Stockholm , Sweden	Hard (i)	Johan Kriek	Anders Järryd Hans Simonsson	3–6, 4–6
Winner	1983	Wembley , England	Carpet	John McEnroe	Steve Denton Sherwood Stewart	6–3, 6–4
Winner	1984	Philadelphia , U.S.	Carpet	John McEnroe	Henri Leconte Yannick Noah	6–2, 6–3
Winner	1984	Memphis , U.S.	Carpet	Fritz Buehning	Heinz Günthardt Tomáš Šmíd	6–3, 6–0
Winner	1984	Madrid , Spain	Carpet	John McEnroe	Fritz Buehning Ferdi Taygan	6–3, 6–3
Winner	1984	Wimbledon , London	Grass	John McEnroe	Pat Cash Paul McNamee	6–2, 5–7, 6–2, 3–6, 6–3
Winner	1984	Toronto , Canada	Hard	John McEnroe	John Fitzgerald Kim Warwick	6–4, 6–2
Winner	1984	San Francisco , U.S.	Carpet	John McEnroe	Mike De Palmer Sammy Giammalva Jr.	6–3, 6–4
Winner	1984	Masters , New York	Carpet	John McEnroe	Pavel Složil Tomáš Šmíd	6–2, 6–2
Winner	1985	Toronto Indoor , Canada	Carpet	Anders Järryd	Glenn Layendecker Glenn Michibata	7–6, 6–2
Winner	1985	Houston , U.S.	Carpet	John McEnroe	Hank Pfister Ben Testerman	6–3, 6–2
Winner	1985	Dallas , U.S.	Carpet	John McEnroe	Mark Edmondson Sherwood Stewart	6–3, 6–1
Winner	1986	La Quinta , U.S.	Carpet	Guy Forget	Yannick Noah Sherwood Stewart	6–4, 6–3
Runner-up	1986	Wimbledon , London	Grass	Gary Donnelly	Joakim Nyström Mats Wilander	6–7, 3–6, 3–6
Winner	1986	Stratton Mountain , U.S.	Hard	John McEnroe	Paul Annacone Christo van Rensburg	6–3, 3–6, 6–3
Runner-up	1986	Los Angeles , U.S.	Hard	John McEnroe	Stefan Edberg Anders Järryd	6–3, 5–7, 6–7
Winner	1986	San Francisco , U.S.	Carpet	John McEnroe	Mike De Palmer Gary Donnelly	6–4, 7–6
Winner	1986	Paris Indoor , France	Carpet	John McEnroe	Mansour Bahrami Diego Pérez	6–3, 6–2
Winner	1986	Wembley , England	Carpet	John McEnroe	Sherwood Stewart Kim Warwick	3–6, 7–6, 6–2
Runner-up	1987	Forest Hills , U.S.	Clay	Gary Donnelly	Guy Forget Yannick Noah	6–4, 4–6, 1–6
Winner	1987	Washington, D.C. , U.S.	Hard	Gary Donnelly	Laurie Warder Blaine Willenborg	6–2, 7–6
