Outcome	Date	Tournament	Surface	Partner	Score in the final
Winner	23 August 2003	New Haven	Hard	Paola Suárez	7–6(6), 6–3
Winner	7 September 2003	US Open	Hard	Paola Suárez	6–2, 6–3
Runner-up	19 October 2003	Zürich	Hard (i)	Paola Suárez	7–6(3), 6–2
Winner	10 November 2003	Los Angeles	Hard (i)	Paola Suárez	6–4, 3–6, 6–3
Runner-up	5 January 2004	Auckland	Hard	Paola Suárez	7–6(6), 3–6, 6–1
Winner	1 February 2004	Australian Open	Hard	Paola Suárez	6–4, 6–3
Winner	21 March 2004	Indian Wells	Hard	Paola Suárez	6–1, 6–2
Winner	18 April 2004	Charleston	Clay	Paola Suárez	6–4, 6–1
Runner-up	10 May 2004	Rome	Clay	Paola Suárez	2–6, 6–3, 6–3
Winner	3 June 2004	French Open	Clay	Paola Suárez	6–0, 6–3
Runner-up	19 July 2004	Los Angeles	Hard	Conchita Martínez	6–7(2), 6–4, 6–3
Runner-up	26 July 2004	San Diego	Hard	Paola Suárez	4–6, 6–1, 6–4
Runner-up	22 August 2004	Olympic Games	Hard	Conchita Martínez	6–3, 6–3
Winner	11 September 2004	US Open	Hard	Paola Suárez	6–4, 7–5
Runner-up	17 October 2004	Moscow	Carpet	Paola Suárez	6–3, 4–6, 6–2
Runner-up	24 October 2004	Zürich	Hard (i)	Paola Suárez	6–4, 6–4
Winner	31 October 2004	Luxembourg City	Hard (i)	Paola Suárez	6–1, 6–7(1), 6–3
Winner	5 March 2005	Dubai	Hard	Paola Suárez	6–7(7), 6–2, 6–1
Winner	19 March 2005	Indian Wells	Hard	Paola Suárez	7–6(3), 6–1
Winner	17 April 2005	Charleston	Clay	Conchita Martínez	6–1, 6–4
Winner	4 June 2005	French Open	Clay	Paola Suárez	4–6, 6–3, 6–3
Winner	7 August 2005	San Diego	Hard	Conchita Martínez	6–7(7), 6–1, 7–5
Runner-up	15 August 2005	Toronto	Hard	Conchita Martínez	5–7, 6–3, 6–4
Runner-up	9 October 2005	Bangkok	Hard	Conchita Martínez	6–1, 7–5
Runner-up	30 October 2005	Linz	Hard (i)	Conchita Martínez	6–2, 6–3
Runner-up	17 January 2006	Sydney	Hard	Paola Suárez	6–3, 5–7, 6–2
Runner-up	18 March 2006	Indian Wells	Hard	Meghann Shaughnessy	6–2, 7–5
Runner-up	16 April 2006	Charleston	Clay	Meghann Shaughnessy	3–6, 6–1, 6–1
Runner-up	8 July 2006	Wimbledon	Grass	Paola Suárez	6–3, 3–6, 6–2
Winner	13 August 2006	Los Angeles	Hard	Paola Suárez	6–3, 6–4
Winner	24 September 2006	Beijing	Hard	Paola Suárez	6–2, 6–4
Winner	1 October 2006	Seoul	Hard	Paola Suárez	6–2, 6–3
Runner-up	13 January 2007	Hobart	Hard	Anabel Medina Garrigues	6–4, 7–5
Runner-up	9 April 2007	Amelia Island	Clay	Anabel Medina Garrigues	6–3, 7–6(4)
Runner-up	18 June 2007	‘s-Hertogenbosch	Grass	Anabel Medina Garrigues	7–5, 6–2
Winner	5 August 2007	Stockholm	Hard	Anabel Medina Garrigues	6–1, 5–7, [10–6]
Winner	11 January 2008	Hobart	Hard	Anabel Medina Garrigues	6–2, 6–4
Winner	6 June 2008	French Open	Clay	Anabel Medina Garrigues	2–6, 7–5, 6–4
Runner-up	15 June 2008	Birmingham	Grass	Séverine Brémond	6–2, 6–1
Winner	27 July 2008	Portorož	Hard	Anabel Medina Garrigues	6–4, 6–1
Runner-up	17 August 2008	Olympic Games	Hard	Anabel Medina Garrigues	6–2, 6–0
Runner-up	6 April 2009	Marbella	Clay	Anabel Medina Garrigues	6–3, 6–3
Winner	5 June 2009	French Open	Clay	Anabel Medina Garrigues	6–1, 6–1
Winner	22 May 2010	Warsaw	Clay	Meghann Shaughnessy	6–3, 6–4
