Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1987	Andres Ojamaa	Terje Lall	Andres Ojamaa Peeter Lust	Terje Lall Anneli Lambing	Peeter Munitsõn Mare Reinberg
1988	Andres Ojamaa	Anneli Lambing	Andres Ojamaa Peeter Munitsõn	Terje Lall Anneli Lambing	Kalle Kaljurand Marina Kaljurand
1989	Andres Ojamaa	Anneli Lambing	Andres Ojamaa Peeter Munitsõn	Anneli Lambing Maili Karindi	Ain Matvere Anneli Lambing
1990	Ain Matvere	Anneli Lambing	Ain Matvere Kalle Kaljurand	Anneli Lambing Maili Karindi	Ain Matevere Anneli Lambing
1991	Andres Ojamaa	Marina Kaljurand	Ain Matvere Kalle Kaljurand	Liia Dubkovskaja Marju Velga	Ain Matvere Terje Lall
1992	Andres Ojamaa	Kairi Viilup	Einar Veede Raul Tikk	Terje Lall Margit Nahk	Andres Ojamaa Kairi Viilup
1993	Heiki Sorge	Terje Lall	Raul Tikk Einar Veede	Marju Velga Liia Dubkovskaja	Andres Ojamaa Kairi Viilup
1994	Heiki Sorge	Liia Dubkovskaja	Raul Tikk Einar Veede	Mari Toomingas Kairi Viilup	Raul Tikk Anneli Parts
1995	Heiki Sorge	Liia Dubkovskaja	Raul Tikk Einar Veede	Mari Toomingas Liia Dubkovskaja	Raul Tikk Anneli Parts
1996	Heiki Sorge	Kelli Vilu	Raul Tikk Einar Veede	Kelli Vilu Kati Kraaving	Einar Veede Mare Pedanik
1997	Heiki Sorge	Kelli Vilu	Heiki Sorge Meelis Maiste	Piret Kärt Liia Dubkovskaja	Einar Veede Maare Pedanik
1998	Heiki Sorge	Kairi Saks	Meelis Maiste Indrek Kuuts	Kelli Vilu Kati Kraaving	Meelis Maiste Kairi Saks
1999	Heiki Sorge	Piret Hamer	Heiki Sorge Peeter Munitson	Kairi Saks Eve Jugandi	Meelis Maiste Kairi Saks
2000	Heiki Sorge	Kati Tolmoff	Heiki Sorge Peeter Munitson	Ulla Helm Eve Jugandi	Meelis Maiste Kairi Saks
2001	Heiki Sorge	Kati Tolmoff	Meelis Maaiste Indrek Kuuts	Piret Hamer Helen Reino	Heiki Sorge Kati Tolmoff
2002	Heiki Sorge	Kati Tolmoff	Meelis Maaiste Indrek Kuuts	Piret Hamer Helen Reino	Heiki Sorge Kati Tolmoff
2003	Heiki Sorge	Helen Reino	Heike Sorge Andres Aru	Kati Tolmoff Kai-Riin Saluste	Indrek Kyyts Kati Tolmoff
2004	Heiki Sorge	Kati Tolmoff	Indrek Küüts Meelis Maiste	Piret Hamer Helen Reino	Indrek Kyyts Piret Hamer
2005	Heiki Sorge	Kati Tolmoff	Raul Must Ants Mängel	Piret Hamer Helen Reino	Andres Aru Kati Kraaving
2006	Raul Must	Kati Tolmoff	Raul Must Ants Mängel	Kati Tolmoff Sandra Kamilova	Ants Mängel Karoliine Hõim
2007	Raul Must	Kati Tolmoff	Raul Must Ants Mängel	Helen Reino Kai-Riin Saluste	Ants Mängel Karoliine Hõim
2008	Raul Must	Kati Tolmoff	Indrek Küüts Meelis Maiste	Kati Tolmoff Ana Linnamägi	Heiki Sorge Helen Reino
2009	Raul Must	Kati Tolmoff	Raul Must Ants Mängel	Kati Tolmoff Helen Reino	Ants Mängel Karoliine Hõim
2010	Raul Must	Karoliine Hõim	Raul Must Ants Mängel	Karoliine Hõim Laura Vana	Ants Mängel Karoliine Hõim
2011	Raul Must	Karoliine Hõim	Raul Must Ingmar Seidelberg	Karoliine Hõim Laura Vana	Ants Mängel Karoliine Hõim
2012	Raul Must	Kati Tolmoff	Kristjan Kaljurand Robert Kasela	Kati Tolmoff Laura Vana	Raul Must Kati Tolmoff
