Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1959	Erland Kops	Meena Shah	Erland Kops R. D. Vimawala	Cecilia Samuel Tan Gaik Bee	Erland Kops Tan Gaik Bee
1960	Nandu M. Natekar	Meena Shah	Nandu M. Natekar Chandrakant Deoras	Prema Prashar Manda Kelkar	Chandrakant Deoras Prema Prashar
1961	Nandu M. Natekar	Meena Shah	Nandu M. Natekar Chandrakant Deoras	Prema Prashar Manda Kelkar	Nandu M. Natekar Manda Kelkar
1962	Suresh Goel	Meena Shah	A. I. Sheikh P. J. Banphot	Sarojini Apte Sunila Apte	Chandrakant Deoras Manda Kelkar
1963	Suresh Goel	Meena Shah	Nandu M. Natekar Chandrakant Deoras	Sushila Kapadia Manda Kelkar	Satiash Bhatia S. Pannu
1964	Suresh Goel	Meena Shah	Dipu Ghosh Raman Ghosh	Meena Shah Sunila Apte	Chandrakant Deoras Meena Shah
1965	Nandu M. Natekar	Meena Shah	Suresh Goel Chandrakant Deoras	Meena Shah Sarojini Apte	A. I. Sheikh Shobha Moorthy
1966	Dinesh Khanna	Sarojini Apte	Khor Chengehye Lee Guan Choong	Shobha Moorthy Manda Kelkar	Nandu M. Natekar Manda Kelkar
1967	Suresh Goel	Sarojini Gogte	Dipu Ghosh Raman Ghosh	Sarojini Gogte Sunila Apte	Dipu Ghosh Sushila Gogte
1968	Satish Bhatia	Damayanti Tambay	Raman Ghosh Chandrakant Deoras	Damayanti Tambay Joe Phillips	Raman Ghosh Malati Tambe Vaidya
1969	Dipu Ghosh	Damayanti Tambay	Dipu Ghosh Raman Ghosh	Shobha Moorthy Morin Mathias	Asif Parpia Rafia Latif
1970	Suresh Goel	Damayanti Tambay	Dipu Ghosh Raman Ghosh	Shobha Moorthy Morin Mathias	Nandu M. Natekar Shobha Moorthy
1971	Prakash Padukone	Shobha Moorthy	Dipu Ghosh Suresh Goel	Shobha Moorthy Morin Mathias	Asif Parpia Morin Mathias
1972	Prakash Padukone	Rafia Latif	Asif Parpia Anil Pradhan	Shobha Moorthy Morin Mathias	Satish Bhatia Rafia Latif
1973	Prakash Padukone	Ami M. Ghia	Prakash Padukone Leroy D'Sa	Morin Mathias Vatsala Ramamoorthy	Asif Parpia Morin Mathias
1974	Prakash Padukone	Ami M. Ghia	Raman Ghosh Davinder Ahuja	Ami M. Ghia Morin Mathias	Suresh Goel Morin Mathias
1975	Prakash Padukone	Ami M. Ghia	Suresh Goel Leroy D'Sa	Ami M. Ghia Morin Mathias	Suresh Goel Morin Mathias
1976	Prakash Padukone	Ami M. Ghia	Prakash Padukone Leroy D'Sa	Ami M. Ghia Morin D'Souza	Suresh Goel Morin D'Souza
1977	Prakash Padukone	Kanwal Thakur Singh	Prakash Padukone Leroy D'Sa	Latha Kailash Noreen Padua	P. G. Chengappa Uma Moorthy
1978	Prakash Padukone	Kanwal Thakur Singh	Pradeep S. Gandhe Sanjay Sharma	Kanwal Thakur Singh Ami M. Ghia	Satish Bhatia Latha Kailash
1979	Prakash Padukone	Ami M. Ghia	Prakash Padukone Kiran Kaushik	Ami M. Ghia Morin D'Souza	Parthasarathy B. Raman
1980	Syed Modi	Ami M. Ghia	Partho Ganguli P. G. Chengappa	Radhika Bose Ami M. Ghia	Leroy D'sa Ami M. Ghia
1981	Syed Modi	Madhumita Bisht	Partho Ganguli Vikam Singh	Kanwal Thakur Singh Sunita	Sanat Misra Madhumita Goswami
1982	Syed Modi	Radhika Bose	Uday Pawar Pradeep S. Gandhe	Radhika Bose Ami M. Ghia	Partho Ganguli Ami M. Ghia
1983	Syed Modi	Ami M. Ghia	Leroy D'Sa Sanat Misra	Radhika Bose Ami M. Ghia	P. G. Chengappa Radhika Bose
1984	Syed Modi	Madhumita Bisht	Leroy D'Sa Sanat Misra	Ami M. Ghia Deepti Thanekar	Pradeep S. Gandhe Ami M. Ghia
1985	Syed Modi	Madhumita Bisht	Partho Ganguli Vikram Singh	Madhumita Bisht Mallika Barua	Pradeep S. Gandhe Ami M. Ghia
1986	Syed Modi	Madhumita Bisht	Leroy D'Sa Sanat Misra	Madhumita Bisht Ami M. Ghia	Sanat Misra Madhumita Bisht
1987	Syed Modi	Madhumita Bisht	Uday Pawar Ravi Kunte	Madhumita Bisht Ami M. Ghia	Sanat Misra Madhumita Bisht
1988	U. Vimal Kumar	Madhumita Bisht	Prakash Padukone Vinod Kumar	Madhumita Bisht Ami M. Ghia	Sanat Misra Madhumita Bisht
1989	U. Vimal Kumar	Madhumita Bisht	Partho Ganguli Vikam Singh	Madhumita Bisht Ami M. Ghia	Harjeet Singh Madhumita Bisht
1990	George Thomas	Madhumita Bisht	Uday Pawar Vinod Kumar	Madhumita Bisht Sudha Padmanabhan	Harjeet Singh Madhumita Bisht
1991	Rajeev Bagga	Manjusha Pawangadkar	Uday Pawar Vinod Kumar	Manjusha Pawangadkar Archana Deodhar	Harjeet Singh Sindhu Gulati
1992	Rajeev Bagga	Manjusha Pawangadkar	George Thomas Jaseel P. Ismail	Manjusha Pawangadkar Archana Deodhar	Harjeet Singh Sindhu Gulati
1993	Deepankar Bhattacharjee	Manjusha Pawangadkar	Vinod Kumar Bhushan Akut	Nancy Keith Sindhu Gulati	Anil Nair Archana Deodhar
1994	Deepankar Bhattacharjee	P. V. V. Lakshmi	Vinod Kumar Bhushan Akut	Nancy Keith Sindhu Gulati	Vinod Kumar Madhumita Bisht
1995	Deepankar Bhattacharjee	P. V. V. Lakshmi	Jaseel P. Ismail Vijaydeep Singh	P. V. V. Lakshmi P. V. Sharada	Vinod Kumar Madhumita Bisht
1996	Pullela Gopichand	Manjusha Pawangadkar	Jaseel P. Ismail Vijaydeep Singh	Manjusha Kanwar Archana Deodhar	Vinod Kumar Madhumita Bisht
1997	Pullela Gopichand	Aparna Popat	Rajeev Bagga Vinod Kumar	Madhumita Bisht Sindhu Gulati	Vinod Kumar Madhumita Bisht
1998	Pullela Gopichand	Aparna Popat	Jaseel P. Ismail Vincent Lobo	Manjusha Kanwar Archana Deodhar	Vincent Lobo Archana Deodhar
1999	Pullela Gopichand	Aparna Popat	Markose Bristow Vijaydeep Singh	Madhumita Bisht P. V. V. Lakshmi	Jaseel P. Ismail Manjusha Kanwar
2000	Pullela Gopichand	Aparna Popat	Vincent Lobo Jaseel P. Ismail	Jwala Gutta Shruti Kurian	Vincent Lobo Madhumita Bisht
2001	Abhinn Shyam Gupta	Aparna Popat	Sanave Thomas Valiyaveetil Diju	Neelima Chowdary D. Swetha	Markose Bristow Madhumita Bisht
2002	Abhinn Shyam Gupta	Aparna Popat	Markose Bristow Rupesh Kumar	Jwala Gutta Shruti Kurian	Jaseel P. Ismail Manjusha Kanwar
2003	Chetan Anand	Aparna Popat	Markose Bristow Rupesh Kumar	Jwala Gutta Shruti Kurian	Pullela Gopichand Jwala Gutta
2004	Anup Sridhar	Aparna Popat	Rupesh Kumar Sanave Thomas	Jwala Gutta Shruti Kurian	Markose Bristow B. R. Meenakshi
2005	Anup Sridhar	Aparna Popat	Rupesh Kumar Sanave Thomas	Jwala Gutta Shruti Kurian	Valiyaveetil Diju Jwala Gutta
2006	Chetan Anand	Aparna Popat	Rupesh Kumar Sanave Thomas	Jwala Gutta Shruti Kurian	Valiyaveetil Diju Shruti Kurian
2007	Chetan Anand	Saina Nehwal	Rupesh Kumar Sanave Thomas	Jwala Gutta Shruti Kurian	Valiyaveetil Diju Aparna Balan
2008	Arvind Bhat	Sayali Gokhale	Rupesh Kumar Sanave Thomas	Jwala Gutta Shruti Kurian	Valiyaveetil Diju Jwala Gutta
2009	Chetan Anand	Trupti Murgunde	Rupesh Kumar Sanave Thomas	Jwala Gutta Ashwini Ponnappa	Valiyaveetil Diju Jwala Gutta
2010	Arvind Bhat	Aditi Mutatkar	Rupesh Kumar Sanave Thomas	Aparna Balan Prajakta Sawant	Pranav Chopra Prajakta Sawant
2011	Sourabh Varma	P. V. Sindhu	Tarun Kona Arun Vishnu	Prajakta Sawant Pradnya Gadre	Arun Vishnu Aparna Balan
