Season	Wins	Losses	Win%	Games behind	Playoffs	Results
1935	78	75	0.510	16	Did not make playoffs	4th place in American League
1936	74	80	0.481	28½	Did not make playoffs	6th place in American League
1937	80	72	0.526	21	Did not make playoffs	5th place in American League
1938	88	61	0.591	9½	Did not make playoffs	2nd place in American League
1939	89	62	0.589	17	Did not make playoffs	2nd place in American League
1940	82	72	0.532	8	Did not make playoffs	4th place in American League
1941	84	70	0.545	17	Did not make playoffs	2nd place in American League
1942	93	59	0.611	9	Did not make playoffs	2nd place in American League
1943	68	84	0.447	29	Did not make playoffs	7th place in American League
1944	77	77	0.500	12	Did not make playoffs	4th place in American League
1945	71	83	0.461	17½	Did not make playoffs	7th place in American League
1946	104	50	0.675	—	Lost in World Series to St. Louis	1st place in American League
1947	83	71	0.538	14	Did not make playoffs	3rd place in American League
1948	96	59	0.619	1	Did not make playoffs	2nd place in American League
1949	96	58	0.623	1	Did not make playoffs	2nd place in American League
1950	94	60	0.610	4	Did not make playoffs	3rd place in American League
1951	87	67	0.564	11	Did not make playoffs	3rd place in American League
1952	76	78	0.493	19	Did not make playoffs	6th place in American League
1953	84	69	0.549	16	Did not make playoffs	4th place in American League
1954	69	85	0.448	42	Did not make playoffs	4th place in American League
1955	84	70	0.545	12	Did not make playoffs	4th place in American League
1956	84	70	0.545	13	Did not make playoffs	4th place in American League
1957	82	72	0.532	16	Did not make playoffs	3rd place in American League
1958	79	75	0.512	13	Did not make playoffs	3rd place in American League
1959	75	79	0.487	19	Did not make playoffs	5th place in American League
1960	65	89	0.422	32	Did not make playoffs	7th place in American League
1961	76	86	0.469	33	Did not make playoffs	6th place in American League
1962	76	84	0.475	19	Did not make playoffs	8th place in American League
1963	76	85	0.472	28	Did not make playoffs	7th place in American League
1964	72	90	0.444	27	Did not make playoffs	7th place in American League
1965	62	100	0.382	40	Did not make playoffs	9th place in American League
1966	72	90	0.444	26	Did not make playoffs	9th place in American League
1967	92	70	0.567	—	Lost World Series to St. Louis	1st place in American League
1968	86	76	0.530	17	Did not make playoffs	3rd place in American League
1969	87	75	0.537	22	Did not make playoffs	3rd place in American League East
1970	87	75	0.537	21	Did not make playoffs	3rd place in American League East
1971	85	77	0.524	18	Did not make playoffs	3rd place in American League East
1972	85	70	0.548	½	Did not make playoffs	2nd place in American League East
1973	89	73	0.549	8	Did not make playoffs	2nd place in American League East
1974	84	78	0.518	7	Did not make playoffs	3rd place in American League East
1975	95	65	0.593	—	Lost World Series to Cincinnati	1st place in American League East
1976	83	79	0.512	15½	Did not make playoffs	3rd place in American League East
1977	97	64	0.602	2½	Did not make playoffs	Tied for 2nd place in American League East
1978	99	64	0.607	1	Did not make playoffs	2nd place in American League East
1979	91	69	0.568	11½	Did not make playoffs	3rd place in American League East
1980	83	77	0.518	19	Did not make playoffs	5th place in American League East
1981 [c ]	59	49	0.535	2½	Did not make playoffs	5th place in American League East
1982	89	73	0.549	6	Did not make playoffs	3rd place in American League East
1983	78	84	0.481	20	Did not make playoffs	6th place in American League East
1984	86	76	0.530	18	Did not make playoffs	4th place in American League East
1985	81	81	0.500	18½	Did not make playoffs	6th place in American League East
1986	95	66	0.590	—	Lost World Series to New York	1st place in American League East
1987	78	84	0.481	20	Did not make playoffs	5th place in American League East
1988	89	73	0.549	—	Lost ALCS to Oakland	1st place in American League East
1989	83	79	0.512	6	Did not make playoffs	3rd place in American League East
1990	88	74	0.543	—	Lost ALCS to Oakland	1st place in American League East
1991	84	78	0.518	7	Did not make playoffs	2nd place in American League East
1992	73	89	0.450	23	Did not make playoffs	Last place in American League East
1993	80	82	0.493	15	Did not make playoffs	5th place in American League East
1994 [d ]	54	61	0.469	17	Playoffs cancelled .	5th place in American League East
1995	86	58	0.597	—	Lost ALDS to Cleveland	1st place in American League East
1996	85	77	0.524	7	Did not make playoffs	3rd place in American League East
1997	78	84	0.481	20	Did not make playoffs	4th place in American League East
1998	92	70	0.567	22	Lost ALDS to Cleveland	2nd place in American League East ( Wild card )
1999	94	68	0.580	4	Lost ALCS to New York	2nd place in American League East ( Wild card )
2000	85	77	0.524	2½	Did not make playoffs	2nd place in American League East
2001	82	79	0.509	13½	Did not make playoffs	2nd place in American League East
2002	93	69	0.574	10½	Did not make playoffs	2nd place in American League East
2003	95	67	0.586	6	Lost ALCS to New York	2nd place in American League East ( Wild card )
2004	98	64	0.605	3	Won World Series	2nd place in American League East ( Wild card )
2005	95	67	0.586	— [e ]	Lost ALDS to Chicago	2nd place in American League East ( Wild card )
2006	86	76	0.530	11	Did not make playoffs	3rd place in American League East
2007	96	66	0.592	—	Won World Series	1st place in American League East
2008	95	67	0.586	2	Lost ALCS to Tampa Bay	2nd place in American League East ( Wild Card )
2009	95	67	0.586	8	Lost ALDS to Los Angeles	2nd place in American League East ( Wild Card )
2010	89	73	0.549	7	Did not make playoffs	3rd place in American League East
2011	90	72	0.556	7	Did not make playoffs	3rd place in American League East
2012	69	93	0.426	26	Did not make playoffs	5th place in American League East
2013	97	65	0.599	—	Won World Series	1st place in American League East
