Rank (2008)	Federal Subjects	Russian Name	2008 (RUB)	2008 (USD)	2007 (RUB)	2007 (USD)	2005 (RUB)	2005 (USD)
37	Stavropol Krai	Ставропольский край	251726	10129	216059	8446	159579	5642
38	Lipetsk Oblast	Липецкая область	240316	9670	205824	8046	139995	4950
39	Tula Oblast	Тульская область	230606	9279	176866	6914	116221	4109
40	Murmansk Oblast	Мурманская область	219952	8850	189980	7427	131252	4640
41	Udmurt	Удмуртия	215913	8688	192177	7513	132870	4698
42	Dagestan	Дагестан	211260	8500	166721	6517	90443	3198
43	Tver Oblast	Тверская область	196952	7925	158883	6211	96897	3426
44	Ulyanovsk Oblast	Ульяновская область	181716	7312	145921	5704	81838	2893
45	Kaliningrad Oblast	Калининградская область	176257	7092	148294	5797	86927	3073
46	Kursk Oblast	Курская область	167991	6759	132107	5164	86625	3063
47	Chuvash	Чувашия	157620	6342	121904	4765	69392	2453
48	Kaluga Oblast	Калужская область	153253	6166	114449	4474	70954	2509
49	Ulyanovsk Oblast	Ульяновская область	151134	6081	126714	4953	80584	2849
50	Kirov Oblast	Кировская область	150883	6071	120239	4700	79801	2821
51	Ryazan Oblast	Рязанская область	149710	6024	126103	4930	84383	2983
52	Astrakhan Oblast	Астраханская область	147062	5917	105063	4107	70128	2479
53	Penza Oblast	Пензенская область	145127	5839	119905	4687	74363	2629
54	Zabaykalsky Krai	Забайкальский край	140866	5668	113230	4426	69647	2462
55	Amur Oblast	Амурская область	136784	5504	114282	4467	76861	2717
56	Bryansk Oblast	Брянская область	127020	5111	106144	4149	66692	2358
57	Buryatia	Бурятия	126830	5103	109554	4283	74913	2649
58	Tambov Oblast	Тамбовская область	123220	4958	107596	4206	63615	2249
59	Smolensk Oblast	Смоленская область	121564	4891	99141	3876	65526	2317
60	Karelia	Карелия	117217	4716	104623	4090	77125	2727
61	Novgorod Oblast	Новгородская область	115479	4647	87560	3423	63848	2257
62	Kurgan Oblast	Курганская область	106442	4283	82731	3234	50246	1776
63	Oryol Oblast	Орловская область	95434	3840	79791	3119	53182	1880
64	Mordovia	Мордовия	94582	3806	77003	3010	44267	1565
65	Nenets Autonomous Okrug	Ненецкий автономный округ	91523	3683	98374	3846	44718	1581
66	Ivanovo Oblast	Ивановская область	86084	3464	75785	2963	44415	1570
67	Kostroma Oblast	Костромская область	81096	3263	68579	2681	44685	1580
68	Kamchatka Krai	Камчатский край	78248	3148	67918	2655	43974	1555
69	Khakassia	Хакасия	74088	2981	64029	2503	41728	1475
70	Pskov	Псковская область	73448	2955	63108	2467	40583	1435
71	Mari El	Марий Эл	67400	2712	56391	2204	33351	1179
72	Chechnya	Чечня	65624	2640	46782	1829	22899	810
73	Kabardino-Balkaria	Кабардино-Балкария	58629	2359	50385	1970	36833	1302
74	North Ossetia–Alania	Северная Осетия	57868	2328	53668	2098	31182	1102
75	Magadan Oblast	Магаданская область	41949	1688	35424	1385	27168	961
76	Adygea	Адыгея	37236	1498	29158	1140	17029	602
77	Karachay–Cherkessia	Карачаево-Черкесия	35257	1419	28239	1104	16724	591
78	Chukotka	Чукотский автономный округ	30699	1235	21222	830	12355	437
79	Jewish	Еврейская автономная область	26695	1074	24607	962	14204	502
80	Tuva	Тыва	24409	982	19776	773	11663	412
81	Kalmykia	Калмыкия	20792	837	16651	651	9686	342
82	Ingushetia	Ингушетия	19200	773	14835	580	7419	262
