Year	Catcher	First Baseman	Second Baseman	Shortstop	Third Baseman	Rightfielder	Centerfielder	Leftfielder	Starting Pitcher
1972	Duke Sims	Bill Buckner	Jim Lefebvre	Maury Wills	Billy Grabarkewitz	Frank Robinson	Willie Davis	Willie Crawford	Don Sutton
1971	Duke Sims	Wes Parker	Bill Russell	Maury Wills	Steve Garvey	Bill Buckner	Willie Davis	Dick Allen	Bill Singer
1970	Tom Haller	Wes Parker	Ted Sizemore	Maury Wills	Steve Garvey	Willie Crawford	Willie Davis	Bill Buckner	Claude Osteen
1969	Tom Haller	Ron Fairly	Jim Lefebvre	Ted Sizemore	Bill Sudakis	Len Gabrielson	Willie Crawford	Andy Kosco	Don Drysdale
1968	Tom Haller	Wes Parker	Paul Popovich	Zoilo Versalles	Bob Bailey	Ron Fairly	Willie Davis	Al Ferrara	Claude Osteen
1967	Johnny Roseboro	Ron Fairly	Ron Hunt	Gene Michael	Jim Lefebvre	Lou Johnson	Wes Parker	Bob Bailey	Bob Miller
1966	Johnny Roseboro	Wes Parker	Nate Oliver	Maury Wills	Jim Lefebvre	Ron Fairly	Willie Davis	Lou Johnson	Claude Osteen
1965	Johnny Roseboro	Wes Parker	Jim Lefebvre	Maury Wills	John Kennedy	Ron Fairly	Willie Davis	Tommy Davis	Don Drysdale
1964	Johnny Roseboro	Ron Fairly	Jim Gilliam	Maury Wills	Johnny Werhas	Frank Howard	Willie Davis	Tommy Davis	Sandy Koufax
1963	Johnny Roseboro	Bill Skowron	Nate Oliver	Maury Wills	Ken McMullen	Ron Fairly	Willie Davis	Tommy Davis	Don Drysdale
1962	Johnny Roseboro	Ron Fairly	Jim Gilliam	Maury Wills	Daryl Spencer	Duke Snider	Willie Davis	Wally Moon	Johnny Podres
1961	Johnny Roseboro	Norm Larker	Charlie Neal	Maury Wills	Tommy Davis	Duke Snider	Willie Davis	Wally Moon	Don Drysdale
1960	Johnny Roseboro	Gil Hodges	Charlie Neal	Maury Wills	Jim Gilliam	Duke Snider	Don Demeter	Wally Moon	Don Drysdale
1959	Johnny Roseboro	Gil Hodges	Charlie Neal	Don Zimmer	Jim Baxes	Ron Fairly	Duke Snider	Wally Moon	Don Drysdale
1958	Rube Walker	Gil Hodges	Charlie Neal	Pee Wee Reese	Dick Gray	Carl Furillo	Gino Cimoli	Duke Snider	Don Drysdale
