City	Country	IATA	ICAO	Airport
Manchester	United Kingdom	MAN	EGCC	Manchester Airport
Marseille	France	MRS	LFML	Marseille Provence Airport
Milan	Italy	BGY	LIME	Il Caravaggio International Airport
Milan	Italy	LIN	LIML	Linate Airport
Milan	Italy	MXP	LIMC	Malpensa Airport
Montréal	Canada	YMX	CYMX	Montréal-Mirabel International Airport
Munich	Germany	MUC	EDDM	Munich Airport
Naples	Italy	NAP	LIRN	Naples Airport
New York City	United States	JFK	KJFK	John F. Kennedy International Airport
Newark	United States	EWR	KEWR	Newark Liberty International Airport
Newcastle upon Tyne † [begins 2013-10-24]	United Kingdom	NCL	EGNT	Newcastle Airport
Nice	France	NCE	LFMN	Nice Côte d'Azur Airport
Orlando	United States	MCO	KMCO	Orlando International Airport
Palma de Mallorca	Spain	PMI	LEPA	Palma Son Sant Joan Airport
Paris	France	CDG	LFPG	Paris-Charles de Gaulle Airport
Perpignan	France	PGF	LFMP	Rivesaltes Airport
Poznan	Poland	POZ	EPPO	Poznan Airport
Prague	Czech Republic	PRG	LKPR	Prague Václav Havel Airport
Rome	Italy	FCO	LIRC	Fiumicino Airport
Riga	Latvia	RIX	EVRA	Riga Airport
Salzburg	Austria	SZG	LOWS	Salzburg Airport
San Francisco [resumes 2014-4-2]	United States	SFO	KSFO	San Francisco International Airport
Santiago de Compostela	Spain	SCQ	LEST	Santiago de Compostela Airport
Seville	Spain	SVQ	LEZL	San Pablo Airport
Shannon	Ireland	SNN	EINN	Shannon Airport
Sligo	Ireland	SXL	EISG	Sligo Airport
Sofia	Bulgaria	SOF	LBSF	Sofia Airport
Stockholm	Sweden	ARN	ESSA	Arlanda Airport
Stuttgart	Germany	STR	EDDS	Stuttgart Airport
Tenerife	Spain	TFS	GCTS	Tenerife South Airport
Toronto [begins 2014-4-21]	Canada	YYZ	CYYZ	Toronto Pearson International Airport
Toulouse	France	TLS	LFBO	Blagnac Airport
Valencia	Spain	VLC	LEVC	Valencia Airport
Venice	Italy	VCE	LIPZ	Venice Marco Polo Airport
Verona	Italy	VRN	LIPX	Villafranca Airport
Vienna	Austria	VIE	LOWW	Vienna International Airport
Vilnius	Lithuania	VNO	EYVI	Vilnius Airport
Warsaw	Poland	WAW	EPWA	Warsaw Chopin Airport
Washington D.C	United States	IAD	KIAD	Dulles International Airport
Waterford	Ireland	WAT	EIWF	Waterford Airport
Zurich	Switzerland	ZRH	LSZH	Zurich Airport
