Character	Game	Platform	Status	Mystic Arte	Character Voice
Chloe Valens	Tales of Legendia	PlayStation 2	Playable	(Musou Jinretsusen)	Masumi Asano
Norma Biatty (Beatty) 1	Tales of Legendia	PlayStation 2	Playable	Originate Blaze	Kaori Mizuhashi
Jay 1	Tales of Legendia	PlayStation 2	Playable	Flame Serpent Seal 2	: Ryōko Shiraishi
Quppo 1	Tales of Legendia	PlayStation 2	Non-Playable	None	Mikako Takahashi
Pippo 1	Tales of Legendia	PlayStation 2	Non-Playable	None	Sara Nakayama
Poppo 1	Tales of Legendia	PlayStation 2	Non-Playable	None	Wataru Hatano
Mimi Bread (Baker) 1	Tales of Legendia	PlayStation 2	Non-Playable	None	Akemi Kanda
Luke fone (fon) Fabre	Tales of the Abyss	PlayStation 2	Playable	Radiant Howl	Chihiro Suzuki
Tear Grants	Tales of the Abyss	PlayStation 2	Playable	Innocent Shine	Yukana
Guy Cecil	Tales of the Abyss	PlayStation 2	Playable	Razing Phoenix	Yasunori Matsumoto
Jade Curtiss	Tales of the Abyss	PlayStation 2	Playable	Mystic Cage	Takehito Koyasu
Anise Tatlin	Tales of the Abyss	PlayStation 2	Playable	Dying Moon	Haruko Momoi
Asch	Tales of the Abyss	PlayStation 2	Playable	Rending Saber	Chihiro Suzuki
Natalia L.K. Lanvaldear 1	Tales of the Abyss	PlayStation 2	Playable	Astral Rain	Michiko Neya
Van Grants 1	Tales of the Abyss	PlayStation 2	Playable	Imperial Slaughter	George Nakata
Caius Qualls	Tales of the Tempest	Nintendo DS	Playable	Beast Blow	Motoki Takagi
Rubia Natwick	Tales of the Tempest	Nintendo DS	Playable	Sacred Shine	Mai Kadowaki
Ruca (Luca) Milda	Tales of Innocence	Nintendo DS	Playable	Infernal Overlord 2	Akiko Kimura
Iria Animi	Tales of Innocence	Nintendo DS	Playable	Ruined Vain Wish	Yuko Sasamoto
Spada Belforma	Tales of Innocence	Nintendo DS	Playable	Sundering Light 2	Yūji Ueda
Ange Serena 1	Tales of Innocence	Nintendo DS	Playable	Soaring Phoenix 2	Kaori Nazuka
Ricardo Soldato 1	Tales of Innocence	Nintendo DS	Playable	Endless Tragedy	Hiroaki Hirata
Coda 1	Tales of Innocence	Nintendo DS	Non-Playable	None	Etsuko Kozakura
Emil Castagnier 1	Tales of Symphonia: Dawn of the New World	Wii	Playable	Devil's Hellfire	Hiro Shimono
Marta Lualdi 1	Tales of Symphonia: Dawn of the New World	Wii	Playable	Radiant Roar	Rie Kugimiya
Richter Abend 1	Tales of Symphonia: Dawn of the New World	Wii	Playable	Towering Inferno	Kenji Hamada
Yuri Lowell	Tales of Vesperia	Xbox 360	Playable	Savage Wolf Fury	Kosuke Toriumi
Estellise Sidos Heurassein	Tales of Vesperia	Xbox 360	Playable	Sacred Penance	Mai Nakahara
Flynn Scifo 1	Tales of Vesperia	Xbox 360	Playable	Radiant Dragon Fang	Mamoru Miyano
Rita Mordio 1	Tales of Vesperia	Xbox 360	Playable	Ancient Catastrophe	Rika Morinaga
Judith 1	Tales of Vesperia	Xbox 360	Playable	Radiant Moonlight	Aya Hisakawa
Raven 1	Tales of Vesperia	Xbox 360	Playable	Blast Heart	Eiji Takemoto
Shing Meteoryte 1	Tales of Hearts	Nintendo DS	Playable	(Shouou Jin'eizan)	Tetsuya Kakihara
Kohak (Amber) Hearts 1	Tales of Hearts	Nintendo DS	Playable	Final Fury	Marina Inoue
Hisui (Jadeite) Hearts 1	Tales of Hearts	Nintendo DS	Playable	(Tsutsuinuwashi Tsugaikaze)	Masaya Matsukaze
Asbel Lhant 1	Tales of Graces	Wii	Playable	Stampede Strike	Takahiro Sakurai
Sophie 1	Tales of Graces	Wii	Playable	Critical Blade	Kana Hanazawa
