County	Per capita income	Median household income	Median family income	Population	Number of households
Vermilion	$20,218	$39,456	$49,429	81,625	32,655
Massac	$20,216	$41,077	$51,794	15,429	6,362
Pope	$20,134	$39,672	$51,500	4,470	1,829
Warren	$20,047	$41,636	$49,623	17,707	6,918
Pike	$19,996	$40,205	$50,426	16,430	6,639
Randolph	$19,950	$45,020	$55,113	33,476	12,314
Cass	$19,825	$41,544	$51,624	13,642	5,270
Union	$19,512	$39,760	$48,465	17,808	7,167
Lawrence	$19,297	$38,771	$45,565	16,833	6,130
Jackson	$19,294	$32,169	$50,787	60,218	25,538
Hardin	$18,515	$27,578	$38,576	4,320	1,915
Franklin	$18,504	$34,381	$43,170	39,561	16,617
Pulaski	$18,444	$31,173	$39,699	6,161	2,642
McDonough	$18,344	$33,702	$52,390	32,612	13,057
Perry	$17,926	$40,696	$50,130	22,350	8,335
Brown	$17,133	$38,696	$50,341	6,937	2,099
Johnson	$16,402	$41,619	$47,423	12,582	4,584
Alexander	$15,858	$28,833	$44,699	8,238	3,329
