Member	Party	Electorate	State	Term of office
Rt Hon Harold Holt [4 ]	Liberal	Higgins	Vic	1935–1967
Mac Holten	Country	Indi	Vic	1958–1977
Hon Peter Howson	Liberal	Fawkner	Vic	1955–1972
Tom Hughes	Liberal	Parkes	NSW	1963–1972
Hon Alan Hulme	Liberal	Petrie	Qld	1949–1961, 1963–1972
Ralph Hunt [7 ]	Country	Gwydir	NSW	1969–1989
Les Irwin	Liberal	Mitchell	NSW	1961–1972
Bert James	Labor	Hunter	NSW	1960–1980
Alan Jarman	Liberal	Deakin	Vic	1966–1983
John Jess	Liberal	La Trobe	Vic	1960–1972
Don Jessop	Liberal	Grey	SA	1966–1969
Andrew Jones	Liberal	Adelaide	SA	1966–1969
Charles Jones	Labor	Newcastle	NSW	1958–1983
Bob Katter	Country	Kennedy	Qld	1966–1990
Bert Kelly	Liberal	Wakefield	SA	1958–1977
David Kennedy [6 ]	Labor	Bendigo	Vic	1969–1972
Hon Wilfrid Kent Hughes	Liberal	Chisholm	Vic	1949–1970
Jim Killen	Liberal	Moreton	Qld	1955–1983
Bob King	Country	Wimmera	Vic	1958–1977
Mervyn Lee	Liberal	Lalor	Vic	1966–1969
Tony Luchetti	Labor	Macquarie	NSW	1951–1975
Philip Lucock	Country	Lyne	NSW	1953–1980
Phillip Lynch	Liberal	Flinders	Vic	1966–1982
Dr Malcolm Mackay	Liberal	Evans	NSW	1963–1972
Donald Maisey	Country	Moore	WA	1963–1974
Rt Hon John McEwen	Country	Murray	Vic	1934–1971
Hector McIvor	Labor	Gellibrand	Vic	1955–1972
John McLeay	Liberal	Boothby	SA	1966–1981
Rt Hon William McMahon	Liberal	Lowe	NSW	1949–1982
Dan Minogue	Labor	West Sydney	NSW	1949–1969
Dugald Munro	Liberal	Eden-Monaro	NSW	1966–1969
Martin Nicholls	Labor	Bonython	SA	1963–1977
Peter Nixon	Country	Gippsland	Vic	1961–1983
William O'Connor	Labor	Dalley	NSW	1946–1969
Hon Hubert Opperman [2 ]	Liberal	Corio	Vic	1949–1967
Dr Rex Patterson	Labor	Dawson	Qld	1966–1975
Andrew Peacock	Liberal	Kooyong	Vic	1966–1994
Thomas Pearsall	Liberal	Franklin	Tas	1966–1969
Ted Peters	Labor	Scullin	Vic	1949–1969
John Pettitt	Country	Hume	NSW	1963–1972
Ian Robinson	Country	Cowper	NSW	1963–1990
Edward St John	Liberal/Independent	Warringah	NSW	1966–1969
Gordon Scholes [2 ]	Labor	Corio	Vic	1967–1993
Hon Ian Sinclair	Country	New England	NSW	1963–1998
Hon Billy Snedden	Liberal	Bruce	Vic	1955–1983
Frank Stewart	Labor	Lang	NSW	1953–1979
Philip Stokes	Liberal	Maribyrnong	Vic	1955–1969
Tony Street	Liberal	Corangamite	Vic	1966–1984
Hon Reginald Swartz	Liberal	Darling Downs	Qld	1949–1972
Winton Turnbull	Country	Mallee	Vic	1946–1972
Harry Turner	Liberal	Bradfield	NSW	1952–1974
Tom Uren	Labor	Reid	NSW	1958–1990
Harry Webb	Labor	Stirling	WA	1954–1958, 1961–1972
William Wentworth	Liberal	Mackellar	NSW	1949–1977
Gough Whitlam	Labor	Werriwa	NSW	1952–1978
Ray Whittorn	Liberal	Balaclava	Vic	1960–1974
Ian Wilson	Liberal	Sturt	SA	1966–1969, 1972–1993
