Rocket launch	Launch Date	Mission	Institutional authority	Launch Site	Outcomes	Derivatives
Rehnuma-11	December 31, 1969; 13:50 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Judi-Dart 1	January 14, 1970; 13:00 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Judi-Dart 1	January 14, 1970; 15:15 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Judi-Dart 1	January 14, 1970; 14:00 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Judi-Dart 1	February 11, 1970; 13:30 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Judi-Dart 2	March 11, 1970; 14:30 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Judi-Dart 2	March 11, 1970; 14:30 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Rehbar 21	March 27, 1970; 00:00 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Nike-Cajun
Rehbar 22	March 28, 1970; 15:45 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Nike-Cajun
Judi-Dart 2	March 28, 1970; 00:00 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi-Dart
Judi-Dart 1	April 15, 1970; 14:45 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi Dart
Judi-Dart 1	April 15, 1970; 13:45 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi Dart
Judi-Dart 1	June 17, 1970; 14:50 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi Dart
Judi-Dart 1	July 15, 1970; 15:05 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi Dart
Judi-Dart 1	October 21, 1970; 15:45 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi Dart
Judi-Dart 1	November 25, 1970; 13:14 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 2; Success	Judi Dart
Judi-Dart 1	December 30, 1970; 14:50 GMT	Aeronomy	SUPARCO	Sonmiani Terminal	Level 1; Success	Judi Dart
Rehbar-23	April 7, 1972; 14:20 GMT	Ionosphere Mission	SUPARCO	Sonmiani Terminal	Level 1; Success	Centaure
Rehbar-24	April 8, 1972; 14:18 GMT	Ionosphere Mission	SUPARCO	Sonmiani Terminal	Level 1; Success	Centaure
