Year	Film	Role	Leading Man	Director
1953	Jeopardy	Helen Stilwin	Barry Sullivan	John Sturges
1953	Titanic	Julia Sturges	Clifton Webb	Jean Negulesco
1953	Titanic	Julia Sturges	Robert Wagner	Jean Negulesco
1953	All I Desire	Naomi Murdock	Richard Carlson	Douglas Sirk
1953	The Moonlighter	Rela	Fred MacMurray	Roy Rowland
1953	Blowing Wild	Marina Conway	Gary Cooper	Hugo Fregonese
1954	Witness to Murder	Cheryl Draper	George Sanders	Roy Rowland
1954	Witness to Murder	Cheryl Draper	Gary Merrill	Roy Rowland
1954	Executive Suite	Julia O. Tredway	William Holden	Robert Wise
1954	Executive Suite	Julia O. Tredway	Fredric March	Robert Wise
1954	Executive Suite	Julia O. Tredway	Walter Pidgeon	Robert Wise
1954	Cattle Queen of Montana	Sierra Nevada Jones	Ronald Reagan	Allan Dwan
1955	The Violent Men	Martha Wilkison	Glenn Ford	Rudolph Maté
1955	The Violent Men	Martha Wilkison	Edward G. Robinson	Rudolph Maté
1955	The Violent Men	Martha Wilkison	Brian Keith	Rudolph Maté
1955	Escape to Burma	Gwen Moore	Robert Ryan	Alan Dwan
1956	There's Always Tomorrow	Norma Miller Vale	Fred MacMurray	Douglas Sirk
1956	The Maverick Queen	Kit Banion	Barry Sullivan	Joseph Kane
1956	These Wilder Years	Ann Dempster	James Cagney	Roy Rowland
1957	Crime of Passion	Kathy Ferguson Doyle	Sterling Hayden	Gerd Oswald
1957	Crime of Passion	Kathy Ferguson Doyle	Raymond Burr	Gerd Oswald
1957	Trooper Hook	Cora Sutliff	Joel McCrea	Charles Marquis Warren
1957	Forty Guns	Jessica Drummond	Barry Sullivan	Samuel Fuller
1962	Walk on the Wild Side	Jo Courtney	Laurence Harvey	Edward Dmytryk
1964	Roustabout	Maggie Morgan	Elvis Presley	John Rich
1964	The Night Walker	Irene Trent	Robert Taylor	William Castle
