Peak	Location	Height (m)	Prominence (m)	Col (m)	Parent
Ismoil Somoni Peak	Tajikistan	7,495	3,402	4093	K2 1 / Everest ²
Dhaulagiri	Nepal	8,167	3,357	4810	K2
Mercedario	Argentina	6,720	3,353	3367	Aconcagua
Lautaro	Chile	3,623	3,345	278	Aconcagua
Belukha Mountain	Kazakhstan / Russia	4,506	3,343	1163	K2 1 / Everest ²
Mount Etna	Italy	3,323	3,323	0	none — HP Sicily
Monte San Lorenzo	Argentina / Chile	3,706	3,319	387	Aconcagua
Mount Karisimbi	Rwanda / Democratic Republic of the Congo	4,507	3,312	1195	Mount Stanley
Jabal an Nabi Shu'ayb	Yemen	3,666	3,311	355	Mount Ararat 1 / Everest ²
Mount Waddington	Canada	4,019	3,289	730	Mount Fairweather
Mulhacén	Spain	3,479	3,285	194	Mont Blanc
Mount Slamet	Indonesia	3,428	3,284	144	Semeru
Sabalan	Iran	4,811	3,283	1528	Mount Ararat
Mount Marcus Baker	United States ( Alaska )	4,016	3,269	747	Mount Hayes
Sauyr Zhotasy	Kazakhstan / People's Republic of China	3,840	3,252	588	Belukha Mountain 1 / Everest ²
Cerro del Bolsón	Argentina	5,552	3,252	2300	Salado 1 / Aconcagua ²
Tomort	People's Republic of China	4,886	3,243	1643	Bogda Feng
Jade Dragon Snow Mountain	People's Republic of China	5,596	3,202	2394	K2 1 / Everest ²
Mount Meru	Tanzania	4,565	3,170	1395	Mount Kenya
Shiveluch	Russia ( Kamchatka )	3,307	3,168	139	Klyuchevskaya
Nanda Devi	India	7,816	3,139	4677	Dhaulagiri 1 / K2 ²
Ichinsky	Russia ( Kamchatka )	3,607	3,125	482	Klyuchevskaya
Mount Lawu	Indonesia	3,265	3,118	147	Semeru
Batura Sar	Pakistan	7,795	3,118	4677	K2
Mount Siple	Antarctica	3,110	3,110	0	none — HP Siple Island
Pico Duarte	Dominican Republic	3,098	3,098	0	none — HP Hispaniola
Manaslu	Nepal	8,163	3,092	5071	Everest
Mount Whitney	United States ( California )	4,418	3,073	1345	Orizaba
Piton des Neiges	France ( Réunion )	3,069	3,069	0	none — HP Réunion
Raung	Indonesia	3,332	3,069	263	Semeru
Xuelian Feng	People's Republic of China	6,627	3,068	3559	Peak Jengish Chokusu
Haleakalā	United States ( Hawaii )	3,055	3,055	0	none — HP Maui
Mount Lucania	Canada	5,226	3,046	2180	Mount Logan
Mount Agung	Indonesia	3,031	3,031	0	none — HP Bali
Mount Binaiya	Indonesia	3,027	3,027	0	none — HP Ceram
Popocatepetl	Mexico	5,400	3,020	2380	Orizaba
Pico Basilé	Equatorial Guinea	3,011	3,011	0	none — HP Bioco
Koryaksky	Russia ( Kamchatka )	3,456	2,999	457	Klyuchevskaya
Gangkhar Puensum	Bhutan / People's Republic of China	7,570	2,995	4575	Kangchenjunga
Mount Stephenson	Antarctica	2,987	2,987	0	none — HP Alexander Island
Annapurna	Nepal	8,091	2,984	5107	Everest
Pik Talgar	Kazakhstan	4,979	2,982	1997	Peak Jengish Chokusu 1 / Everest ²
Mount Shasta	United States ( California )	4,317	2,977	1340	Whitney 1 / Orizaba ²
Pico do Ramelau or Mount Ramelau	Timor-Leste	2,963	2,963	0	none — HP Timor
Mount Apo	Philippines	2,954	2,954	0	none — HP Mindanao
Gyala Peri	People's Republic of China ( Tibet )	7,294	2,942	4352	Dhaulagiri 1 / K2 ²
Mount Leuser	Indonesia	3,466	2,941	525	Mount Kerinci
Mount Paget	United Kingdom ( South Georgia )	2,934	2,934	0	none — HP South Georgia
Chakragil	People's Republic of China	6,760	2,934	3826	Gongga Shan 1 / Everest ²
Emi Koussi	Chad	3,445	2,934	511	Karisimbi 1 / Kilimanjaro ²
Monarch Mountain	Canada	3,555	2,930	625	Waddington 1 / McKinley ²
Mount Suckling	Papua New Guinea	3,676	2,925	751	Puncak Jaya
Mount Pulag	Philippines	2,922	2,922	0	none — HP Luzon
Mount Wilhelm	Papua New Guinea	4,509	2,922	1587	Puncak Jaya
El Mela	Argentina	4,150	2,907	1243	Salado 1 / Aconcagua ²
Kuh-e Taftan	Iran	3,941	2,901	1040	Sabalan
Jabal Shams	Oman	3,019	2,899	120	Jabal an Nabi Shu'ayb 1 / Everest ²
Shishapangma	People's Republic of China	8,027	2,897	5130	Annapurna I
Pico da Neblina	Brazil	2,994	2,886	108	Ritacuba Blanco 1 / Aconcagua ²
Saramati	India / Burma	3,826	2,885	941	Dhaulagiri 1 / Everest ²
Maromokotro	Madagascar	2,876	2,876	0	none — HP Madagascar
Mount Shishaldin	United States ( Alaska )	2,869	2,869	0	none — HP Unimak
Moncong Lompotabang	Indonesia	2,874	2,857	17	Mount Rantemario
Buni Zom	Pakistan	6,542	2,845	3697	K2 1 / Everest ²
Kuh-e Bandaka	Afghanistan	6,812	2,834	3978	Tirich Mir
Mount Robson	Canada ( British Columbia )	3,959	2,829	1130	Whitney 1 / Orizaba ²
Mount Fogo	Cape Verde	2,829	2,829	0	none — HP Fogo
Kamet	India	7,756	2,825	4931	Nanda Devi
Rakaposhi	Pakistan	7,788	2,818	4970	K2
Aneto	Spain	3,404	2,812	608	Mulhacén
Arjuno-Welirang	Indonesia	3,339	2,812	527	Semeru
Jiuding Shan	People's Republic of China	4,969	2,808	2161	K2 1 / Everest ²
