City	Country	IATA	ICAO	Airport
Bucharest	Romania	OTP	LROP	Otopeni Airport
Budapest	Hungary	BUD	LHBP	Ferihegy Airport
Buenos Aires	Argentina	EZE	SAEZ	Ministro Pistarini Airport
Caen	France	CFR	LFRK	Carpiquet Airport
Cairo	Egypt	CAI	HECA	Cairo Airport
Calvi	France	CLY	LFKC	Sainte-Catherine Airport
Campinas	Brazil	VCP	SBKP	Viracopos International Airport
Cancún	Mexico	CUN	MMUN	Cancún Airport [seasonal]
Casablanca	Morocco	CMN	GMMN	Mohammed V Airport
Cape Town	South Africa	CPT	FACT	Cape Town Airport [seasonal]
Caracas	Venezuela	CCS	SVMI	Simón Bolívar Airport
Cayenne	French Guiana	CAY	SOCA	Félix Eboué Airport
Chicago	United States	ORD	KORD	O'Hare Airport [seasonal]
Clermont Ferrand	France	CFE	LFCL	Auvergne Airport
Cologne	Germany	CGN	EDDK	Konrad Adenauer Airport
Conakry	Guinea	CKY	GUCY	Gbessia Airport
Copenhagen	Denmark	CPH	EKCH	Kastrup Airport
Cotonou	Benin	COO	DBBB	Cadjehoun Airport
Dakar	Senegal	DKR	GOOY	Yoff Airport
Dammam	Saudi Arabia	DMM	OEDF	King Fahd Airport
Deauville	France	DOL	LFRG	Saint-Gatien Airport
Delhi	India	DEL	VIDP	Indira Gandhi Airport
Detroit	United States	DTW	KDTW	Metropolitan Airport
Djerba	Tunisia	DJE	DTTJ	Zarzis Airport
Djibouti City	Djibouti	JIB	HDAM	Ambouli Airport
Douala	Cameroon	DLA	FKKD	Douala Airport
Dubai	United Arab Emirates	DXB	OMDB	Dubai Airport
Dublin	Ireland	DUB	EIDW	Dublin Airport
Dundee	United Kingdom	DND	EGPN	Dundee Airport
Düsseldorf	Germany	DUS	EDDL	Lohausen Airport
Edinburgh	United Kingdom	EDI	EGPH	Turnhouse Airport
Eindhoven	Netherlands	EIN	EHEH	Eindhoven Airport
Figari	France	FSC	LFKF	Sud Corse Airport
Florence	Italy	FLR	LIRQ	Peretola Airport
Fort de France	Martinique	FDF	TFFF	Aimé Césaire Airport
Frankfurt	Germany	FRA	EDDF	Rhein-Main Airport
Freetown	Sierra Leone	FNA	GFLL	Lungi Airport
Geneva	Switzerland	GVA	LSGG	Cointrin Airport
Genoa	Italy	GOA	LIMJ	Cristoforo Colombo Airport
Glasgow	United Kingdom	PIK	EGPK	Prestwick Airport
Gothenburg	Sweden	GOT	ESGG	Landvetter Airport
Guadalajara	Mexico	GDL	MMGL	Don Miguel Hidalgo Airport
Guangzhou	China	CAN	ZGGG	Baiyun Airport
Guernsey	United Kingdom	GCI	EGJB	Guernsey Airport
Hamburg	Germany	HAM	EDDH	Fuhlsbüttel Airport
Hanoi	Vietnam	HAN	VVNB	Noi Bai Airport
Hanover	Germany	HAJ	EDDV	Langenhagen Airport
Havana	Cuba	HAV	MUHA	José Martí Airport
Ho Chi Minh City	Vietnam	SGN	VVTS	Tan Son Nhat Airport
Hong Kong	Hong Kong	HKG	VHHH	Chek Lap Kok Airport
Houston	United States	IAH	KIAH	Intercontinental Airport
Istanbul	Turkey	IST	LTBA	Atatürk Airport
Jakarta ^ (begins 30 March 2014)	Indonesia	CGK	WIII	Soekarno-Hatta Airport
Jersey	United Kingdom	JER	EGJJ	Jersey Airport
Johannesburg	South Africa	JNB	FAJS	OR Tambo Airport
Kiev	Ukraine	KBP	UKBB	Boryspil Airport
Kinshasa	Congo DR	FIH	FZAA	N'djili Airport
Kuala Lumpur	Malaysia	KUL	WMKK	Kuala Lumpur International Airport
Kuwait City	Kuwait	KWI	OKBK	Kuwait Airport
Lagos	Nigeria	LOS	DNMM	Murtala Muhammed Airport
La Rochelle	France	LRH	LFBH	Île de Ré Airport
Libreville	Gabon	LBV	FOOL	Leon M'ba Airport
Lille	France	LIL	LFQQ	Lesquin Airport
Lima	Peru	LIM	SPIM	Jorge Chávez Airport
Limoges	France	LIG	LFBL	Bellegarde Airport
Lisbon	Portugal	LIS	LPPT	Portela Airport
Ljubljana	Slovenia	LJU	LJLJ	Ljubljana Airport
Lomé	Togo	LFW	DXXX	Tokoin Airport
London	United Kingdom	LCY	EGLC	City Airport
London	United Kingdom	LHR	EGGL	Heathrow Airport
Lorient	France	LRT	LFRH	South Brittany Airport
Los Angeles	United States	LAX	KLAX	Los Angeles Airport
Luanda	Angola	LAD	FNLU	Quatro de Fevereiro Airport
Lyon	France	LYS	LFLL	Saint-Exupéry Airport
Madrid	Spain	MAD	LEMD	Barajas Airport
Malabo	Equatorial Guinea	SSG	FGSL	Saint Isabel Airport
Málaga	Spain	AGP	LEMG	Málaga Airport
Malta	Malta	MLA	LMML	Luqa Airport
Manchester	United Kingdom	MAN	EGCC	Ringway Airport
Marrakech	Morocco	RAK	GMMX	Menara Airport
Marseille	France	MRS	LFML	Provence Airport
Metz	France	ETZ	LFJL	Lorraine Airport
Mexico City	Mexico	MEX	MMMX	Benito Juarez Airport
Miami	United States	MIA	KMIA	Miami International Airport
Milan	Italy	LIN	LIML	Linate Airport
Milan	Italy	MXP	LIMC	Malpensa Airport
Minneapolis	United States	MSP	KMSP	Minneapolis-Saint Paul Airport [seasonal]
Monrovia	Liberia	ROB	GLRB	Roberts Airport
Montevideo	Uruguay	MVD	SUMU	Carrasco International Airport
Montreal	Canada	YUL	CYUL	Pierre Elliott Trudeau Airport
Montpellier	France	MPL	LFMT	Méditerranée Airport
Moscow	Russia	SVO	UUEE	Sheremetyevo Airport
Mulhouse-Basel	Switzerland	MLH	LFSB	EuroAirport
Mumbai	India	BOM	VABB	Chhatrapati Shivaji Airport
Munich	Germany	MUC	EDDM	Franz Josef Strauss Airport
N'Djamena	Chad	NDJ	FTTJ	N'Djamena Airport
Nairobi	Kenya	NBO	HKJK	Jomo Kenyatta Airport
Nantes	France	NTE	LFRS	Atlantique Airport
Naples	Italy	NAP	LIRN	Capodichino Airport
Newark	United States	EWR	KEWR	Newark Liberty International Airport
Newcastle upon Tyne	United Kingdom	NCL	EGNT	Newcastle Airport
New York	United States	JFK	KJFK	John F Kennedy Airport
Niamey	Niger	NIM	DRRN	Diori Hamani Airport
Nice	France	NCE	LFMN	Côte d'Azur Airport
Nouakchott	Mauritania	NKC	GQNN	Nouakchott Airport
Nuremberg	Germany	NUE	EDDN	Nuremberg Airport
Osaka	Japan	KIX	RJBB	Kansai Airport
Oslo	Norway	OSL	ENGM	Gardermoen Airport
Ouagadougou	Burkina Faso	OUA	DFFD	Ouagadougou Airport
Panama City ^ [begins 25 November 2013]	Panama	PTY	MPTO	Tocumen International Airport
Papeete	French Polynesia	PPT	NTAA	Faa'a International Airport
Paris	France	CDG	LFPG	Charles de Gaulle Airport
Paris	France	ORY	LFPO	Orly Airport
Pau	France	PUF	LFBP	Pyrénées Airport
Perpignan	France	PGF	LFMP	Rivesaltes Airport
Philadelphia	United States	PHL	KPHL	Philadelphia International Airport
Philipsburg	Sint Maarten	SXM	TNCM	Princess Juliana Airport
Pisa	Italy	PSA	LIRP	Galileo Galilei Airport
Pointe a Pitre	Guadeloupe	PTP	TFFR	Le Raizet Airport
Pointe Noire	Congo	PNR	FCPP	Antonio Agostinho Neto Airport
Port-au-Prince	Haiti	PAP	MTPP	Toussaint Louverture Airport
Port Harcourt	Nigeria	PHC	DNPO	Port Harcourt Airport
Port Louis	Mauritius	MRU	FIMP	Plaisance Airport
Porto	Portugal	OPO	LPPR	Francisco de Sa Carneiro Airport
Prague	Czech Republic	PRG	LKPR	Ruzyně Airport
Punta Cana	Dominican Republic	PUJ	MDPC	Punta Cana Airport
Quimper	France	UIP	LFRQ	Cornouaille Airport
Rabat	Morocco	RBA	GMME	Salé Airport
Recife	Brazil	REC	SBRF	Guararapes International Airport
Rennes	France	RNS	LFRN	Saint-Jacques Airport
Rio de Janeiro	Brazil	GIG	SBGL	Galeão Airport
Rodez	France	RDZ	LFCR	Marcillac Airport
Rome	Italy	FCO	LIRF	Leonardo da Vinci Airport
Rotterdam	Netherlands	RTM	EHRD	Rotterdam Airport
Rouen	France	URO	LFOP	Rouen Airport
Riyadh	Saudi Arabia	RUH	OERK	King Khalid Airport
Saint Denis	Reunion	RUN	FMEE	Roland Garros Airport
Saint Petersburg	Russia	LED	ULLI	Pulkovo Airport
San Francisco	United States	SFO	KSFO	San Francisco International Airport
Santo Domingo	Dominican Republic	SDQ	MDSD	Las Américas Airport
Santiago	Chile	SCL	SCEL	Arturo Merino Benítez Airport
São Paulo	Brazil	GRU	SBGR	Guarulhos Airport
Seattle	United States	SEA	KSEA	Seattle–Tacoma International Airport
Seoul	South Korea	ICN	RKSI	Incheon Airport
Seville	Spain	SVQ	LEZL	San Pablo Airport
Shanghai	China	PVG	ZSPD	Shanghai Pudong International Airport
Singapore	Singapore	SIN	WSSS	Changi International Airport
Stockholm	Sweden	ARN	ESSA	Arlanda Airport
Strasbourg	France	SXB	LFST	Entzheim Airport
Sofia	Bulgaria	SOF	LBSF	Vrazhdebna Airport
Stuttgart	Germany	STR	EDDS	Echterdingen Airport
Tarbes	France	LDE	LFBT	Pyrénées Airport
Tel Aviv	Israel	TLV	LLBG	Ben Gurion Airport
Tokyo	Japan	NRT	RJAA	Narita Airport
Toronto	Canada	YYZ	CYYZ	Pearson Airport
Toulon	France	TLN	LFTH	Hyères Airport
Toulouse	France	TLS	LFBO	Blagnac Airport
Tunis	Tunisia	TUN	DTTA	Carthage Airport
Turin	Italy	TRN	LIMF	Caselle Airport
Venice	Italy	VCE	LIPZ	Marco Polo Airport
Vienna	Austria	VIE	LOWW	Schwechat Airport
Vigo	Spain	VGO	LEVX	Peinador Airport
Warsaw	Poland	WAW	EPWA	Frédéric Chopin Airport
Washington, D.C.	United States	IAD	KIAD	Dulles Airport
Wuhan	China	WUH	ZHHH	Tianhe Airport
Yaoundé	Cameroon	NSI	FKYS	Nsimalen Airport
Yerevan	Armenia	EVN	UDYZ	Zvartnots Airport
Zagreb	Croatia	ZAG	LDZA	Pleso Airport
Zaragoza	Spain	ZAZ	LEZG	Zaragoza Airport
Zürich	Switzerland	ZRH	LSZH	Kloten Airport
