Type	Registration	Design	Construction	Service	Construction date	Conformity to original design	Interest	Number existing in Switzerland	Number existing worldwide	Status
DH 115 MK 55	HB-RVI	Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical and historical	2–5	6–20	Airworthy
DH 100 MK6 Vampire	HB-RVN	Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical and historical	2–5	6–20	Airworthy
Nord 1203 II	HB-DAI	Europe	Others	Switzerland and abroad	After 1945	Unmodified	Historical	Unique	6–20	Airworthy
AERO 45 S	HB-EKC	Europe	Others	Switzerland and abroad	After 1945	Unmodified	Historical	Unique	6–20	Airworthy
NAVION (L-17 A)	HB-EPN	Outside Europe	Others	Switzerland and abroad	1921–1945	Unmodified	Technical and historical	2–5	20+	Airworthy
F 15	HB-EVW	Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical	Unique	6–20	Airworthy
T 6 G	HB-RCN	Outside Europe	Others	Switzerland and abroad	1921–1945	Unmodified	Technical and historical	2–5	20+	Airworthy
Jodel D 11	HB-SAE	Europe	Switzerland under licence	Switzerland and abroad	After 1945	Unmodified	Technical and historical	2–5	20+	Airworthy
Stinson L 5	HB-TRY	Europe	Others	Switzerland and abroad	1921–1945	Unmodified	Technical	Unique	20+	Airworthy
BUE 133	HB-MIZ	Europe	Switzerland under licence	Switzerland and abroad	1921–1945	Unmodified	Technical	6–20	20+	Airworthy
DHC 1	HB-TUM	Outside Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical and historical	Unique	20+	Airworthy
Stampe SV 4 C	HB-UPS	Europe	Others	Switzerland and abroad	After 1945	Unmodified	Historical	2–5	20+	Airworthy
Hunter MK 58	HB-RVQ	Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical and historical	2–5	20+	Airworthy
Hunter T. MK 68	HB-RVR	Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical	2–5	6–20	Airworthy
VARIEZE	HB-YBG	Europe	Switzerland under licence	Switzerland and abroad	1921–1945	Unmodified	Technical and historical	6–20	20+	Airworthy
Luscombe 8 A	HB-DUS	Outside Europe	Others	Switzerland and abroad	1921–1945	Unmodified	Technical	2–5	20+	Airworthy
ERLA 5 A	HB-SEX	Europe	Others	Switzerland and abroad	1921–1945	Minor modifications	Historical	6–20	Unique	Airworthy
BUE 131	HB-AFE	Outside Europe	Others	Switzerland and abroad	1921–1945	Unmodified	Technical and historical	6–20	20+	Airworthy
F 260	HB-EVT	Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical	2–5	20+	Airworthy
JODEL D 112	HB-SOG	Europe	Switzerland under licence	Switzerland and abroad	After 1945	Minor modifications	Technical and historical	2–5	20+	Airworthy
F 8 L	HB-UOH	Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical	2–5	20+	Airworthy
DH 112 MK 1 Venom	HB-RVC	Europe	Switzerland under licence	Switzerland and abroad	After 1945	Unmodified	Technical	2–5	20+	Static exposition
CE 170	HB-CAO	Outside Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical	2–5	20+	Airworthy
MS 505	HB-EJJ	Outside Europe	Others	Switzerland and abroad	After 1945	Modifications importantes	Technical and historical	Unique	6–20	Airworthy
ERCO 415 C	HB-ERH	Outside Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical and historical	2–5	20+	Derelict
CHAMPION 7 AC	HB-ETF	Outside Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical	2–5	20+	Airworthy
Saab 91 D	HB-DBL	Europe	Others	Switzerland and abroad	After 1945	Modifications importantes	Historical	Unique	6–20	Airworthy
J3C-65-L4	HB-OER	Outside Europe	Others	Switzerland and abroad	1921–1945	Unmodified	Technical and historical	20+	20+	Airworthy
PA 18-150	HB-OPU	Outside Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical and historical	6–20	20+	Airworthy
E75 (PT13 D N 255)	HB-RBG	Outside Europe	Others	Switzerland and abroad	1921–1945	Modifications importantes	Technical and historical	2–5	20+	Airworthy
J3C-65-L4	HB-ELO	Outside Europe	Others	Switzerland and abroad	1921–1945	Unmodified	Technical and historical	20+	20+	Airworthy
J3C-65-L4	HB-OBL	Outside Europe	Others	Switzerland and abroad	1921–1945	Unmodified	Technical and historical	20+	20+	Airworthy
MS 880 B	HB-EDE	Europe	Others	Switzerland and abroad	After 1945	Unmodified	Technical and historical	6–20	20+	Derelict
CE 140	HB-CAB	Europe	Others	Switzerland and abroad	After 1945	Minor modifications	Technical	2–5	20+	Airworthy
J3C-65-L4	HB-ODH	Outside Europe	Others	Switzerland and abroad	1921–1945	Minor modifications	Technical and historical	20+	20+	Airworthy
