Tournament	Date	City	Country	Surface	Singles champions
Croatia F3 Futures	March 29	Rovinj	Croatia	Clay	Herbert Wiltschnig
India F3 Futures	March 29	Vijayawada	India	Hard	Rupesh Roy
Italy F3 Futures	March 29	Foggia	Italy	Clay	Alessio di Mauro
Japan F3 Futures	March 29	Kofu	Japan	Hard	Go Soeda
Turkey F5 Futures	March 29	Antalya	Turkey	Clay	Gianni Mina
USA F8 Futures	March 29	Mobile	United States	Hard	Ivo Klec
Brazil F1 Futures	April 5	Santa Maria	Brazil	Clay	Marcel Felder
China F3 Futures	April 5	Chongqing	China	Hard	Wu Di
Japan F4 Futures	April 5	Tsukuba	Japan	Hard	Yasutaka Uchiyama
Korea F1 Futures	April 5	Seogwipo	South Korea	Hard	Harri Heliövaara
Spain F11 Futures	April 5	Madrid	Spain	Hard	Pablo Carreño-Busta
Turkey F6 Futures	April 5	Antalya	Turkey	Clay	Marco Mirnegg
USA F9 Futures	April 5	Little Rock	United States	Hard	Brydan Klein
Brazil F2 Futures	April 12	Bauru	Brazil	Clay	José Pereira
China F4 Futures	April 12	Guiyang	China	Hard	Li Zhe
France F6 Futures	April 12	Angers	France	Clay (i)	Olivier Patience
Italy F4 Futures	April 12	Vercelli	Italy	Clay	Thomas Schoorel
Korea F2 Futures	April 12	Daegu	South Korea	Hard	Milos Raonic
Spain F12 Futures	April 12	Madrid	Spain	Clay	David Souto
Turkey F7 Futures	April 12	Adana	Turkey	Clay	Jürgen Zopp
Brazil F3 Futures	April 19	Brasília	Brazil	Clay	Jonathan Eysseric
France F7 Futures	April 19	Grasse	France	Clay	Olivier Patience
Italy F5 Futures	April 19	Padova	Italy	Clay	Cedrik-Marcel Stebe
Korea F3 Futures	April 19	Changwon	South Korea	Hard	Jordan Cox
Spain F13 Futures	April 19	Reus	Spain	Clay	Laurent Rochette
Turkey F8 Futures	April 19	Tarsus	Turkey	Clay	Jürgen Zopp
Uzbekistan F1 Futures	April 19	Andijan	Uzbekistan	Hard	Michail Elgin
Argentina F4 Futures	April 26	Buenos Aires	Argentina	Clay	Lionel Noviski
Australia F3 Futures	April 26	Ipswich	Australia	Clay	Brydan Klein
Brazil F4 Futures	April 26	Fortaleza	Brazil	Clay	Marcel Felder
Great Britain F5 Futures	April 26	Bournemouth	United Kingdom	Clay	Éric Prodon
Italy F6 Futures	April 26	Vicenza	Italy	Clay	Ilya Belyaev
Korea F4 Futures	April 26	Gimcheon	South Korea	Hard	Milos Raonic
Mexico F2 Futures	April 26	Córdoba	Mexico	Hard	Santiago González
Spain F14 Futures	April 26	Vic	Spain	Clay	Sergio Gutiérrez-Ferrol
USA F10 Futures	April 26	Vero Beach	United States	Clay	Kārlis Lejnieks
Uzbekistan F2 Futures	April 26	Namangan	Uzbekistan	Hard	Alexandre Kudryavtsev
Argentina F5 Futures	May 3	Buenos Aires	Argentina	Clay	Facundo Argüello
Australia F4 Futures	May 3	Bundaberg	Australia	Clay	Brydan Klein
B&H F3 Futures	May 3	Bundaberg	Bosnia	Clay	Michal Schmid
Brazil F5 Futures	May 3	Teresina	Brazil	Clay	Franco Ferreiro
Bulgaria F1 Futures	May 3	Varna	Bulgaria	Clay	Adrian Cruciat
Czech Republic F1 Futures	May 3	Teplice	Czech Republic	Clay	Jürgen Zopp
Great Britain F6 Futures	May 3	Edinburgh	United Kingdom	Clay	Alexander Slabinsky
India F4 Futures	May 3	Kolkata	India	Hard	Murad Inoyatov
Italy F7 Futures	May 3	Viterbo	Italy	Clay	Guillermo Hormazábal
Mexico F3 Futures	May 3	Mexico City	Mexico	Hard	Miguel Gallardo-Valles
Spain F15 Futures	May 3	Balaguer	Spain	Clay	Steven Diez
USA F11 Futures	May 3	Orange Park	United States	Clay	Matteo Viola
Argentina F6 Futures	May 10	Buenos Aires	Argentina	Clay	Andrés Molteni
B&H F4 Futures	May 10	Sarajevo	Bosnia	Clay	Michal Schmid
Brazil F6 Futures	May 10	Caldas Novas	Brazil	Clay	Marcelo Demoliner
Bulgaria F2 Futures	May 10	Varna	Bulgaria	Clay	Javier Martí
Czech Republic F2 Futures	May 10	Most	Czech Republic	Clay	Dennis Blömke
Great Britain F7 Futures	May 10	Newcastle	United Kingdom	Clay	Éric Prodon
India F5 Futures	May 10	New Delhi	India	Hard	Rik de Voest
Italy F8 Futures	May 10	Pozzuoli	Italy	Clay	Alessio di Mauro
Mexico F4 Futures	May 10	Celaya	Mexico	Hard	Víctor Romero
Spain F16 Futures	May 10	Lleida	Spain	Clay	Iñigo Cervantes-Huegun
USA F12 Futures	May 10	Tampa	United States	Clay	Augustin Gensse
B&H F5 Futures	May 17	Brčko	Bosnia	Clay	Goran Tošić
Brazil F7 Futures	May 17	Marilia	Brazil	Clay	Leonardo Kirche
Bulgaria F3 Futures	May 17	Plovdiv	Bulgaria	Clay	Tihomir Grozdanov
Czech Republic F3 Futures	May 17	Jablonec nad Nisou	Czech Republic	Clay	Jaroslav Pospíšil
Italy F9 Futures	May 17	Parma	Italy	Clay	Daniele Giorgini
Poland F1 Futures	May 17	Katowice	Poland	Clay	Alexander Flock
Romania F1 Futures	May 17	Bucharest	Romania	Clay	Florian Reynet
South Africa F1 Futures	May 17	Durban	South Africa	Hard	Andrew Anderson
Spain F17 Futures	May 17	Valldoreix	Spain	Clay	João Sousa
B&H F6 Futures	May 24	Prijedor	Bosnia	Clay	Franko Škugor
Brazil F8 Futures	May 24	Juiz de Fora	Brazil	Clay	Leonardo Kirche
Italy F10 Futures	May 24	Cesena	Italy	Clay	Frederik Nielsen
Poland F2 Futures	May 24	Kraków	Poland	Clay	Dušan Lojda
Romania F2 Futures	May 24	Ploieşti	Romania	Clay	Adrian Cruciat
Slovenia F1 Futures	May 24	Kamnik	Slovenia	Clay	Marcel Zimmermann
South Africa F2 Futures	May 24	Durban	South Africa	Hard	Nikolaus Moser
Spain F18 Futures	May 24	Adeje	Spain	Hard	João Sousa
Argentina F7 Futures	May 31	Neuquén	Argentina	Clay	Andrés Molteni
B&H F7 Futures	May 31	Kiseljak	Bosnia	Clay	Mirza Bašić
Brazil F9 Futures	May 31	Araguari	Brazil	Clay	Daniel Dutra da Silva
China F5 Futures	May 31	Wuhan	China	Hard	Harri Heliövaara
Guam F1 Futures	May 31	Tumon	Guam	Hard	Tatsuma Ito
Indonesia F1 Futures	May 31	Bandung	Indonesia	Hard	Kim Young-jun
Italy F11 Futures	May 31	Bergamo	Italy	Clay	Pedro Clar-Rosselló
Poland F3 Futures	May 31	Koszalin	Poland	Clay	Jerzy Janowicz
Romania F3 Futures	May 31	Bacău	Romania	Clay	Florian Reynet
Slovenia F2 Futures	May 31	Rogaška Slatina	Slovenia	Clay	Nikola Mektić
Spain F19 Futures	May 31	Lanzarote	Spain	Hard	João Sousa
Tunisia F1 Futures	May 31	Tunis	Tunisia	Clay	Sergio Gutiérrez-Ferrol
Argentina F8 Futures	June 7	Córdoba	Argentina	Clay	Marco Trungelliti
China F6 Futures	June 7	Jiaxing	China	Hard	Wu Di
Indonesia F2 Futures	June 7	Tarakan	Indonesia	Hard (i)	Christopher Rungkat
Italy F12 Futures	June 7	Mestre	Italy	Clay	Matteo Viola
Japan F5 Futures	June 7	Karuizawa	Japan	Clay	Mark Verryth
Netherlands F1 Futures	June 7	Apeldoorn	Netherlands	Clay	Matwé Middelkoop
Poland F4 Futures	June 7	Gliwice	Poland	Clay	Dušan Lojda
Romania F4 Futures	June 7	Braşov	Romania	Clay	Victor Anagnastopol
Slovenia F3 Futures	June 7	Maribor	Slovenia	Clay	Blaž Rola
Spain F20 Futures	June 7	Puerto de la Cruz	Spain	Carpet	Ludovic Walter
Tunisia F2 Futures	June 7	Sfax	Tunisia	Hard	Malek Jaziri
USA F13 Futures	June 7	Loomis	United States	Hard	Michael Venus
Venezuela F1 Futures	June 7	Maracaibo	Venezuela	Hard	Robert Farah
Argentina F9 Futures	June 14	Posadas	Argentina	Clay	Guillermo Rivera-Aranguiz
France F8 Futures	June 14	Blois	France	Clay	Jonathan Eysseric
Germany F5 Futures	June 14	Cologne	Germany	Clay	Jan-Lennard Struff
Indonesia F3 Futures	June 14	Tegal	Indonesia	Hard	Kim Young-jun
Italy F13 Futures	June 14	Padova	Italy	Clay	Nikola Ćirić
Japan F6 Futures	June 14	Kusatsu	Japan	Carpet	Tasuku Iwami
Morocco F3 Futures	June 14	Rabat	Morocco	Clay	Augustin Gensse
Netherlands F2 Futures	June 14	Alkmaar	Netherlands	Clay	Timo Nieminen
Serbia F1 Futures	June 14	Belgrade	Serbia	Clay	Oleksandr Nedovyesov
Spain F21 Futures	June 14	La Palma	Spain	Hard	Agustín Boje-Ordóñez
Tunisia F3 Futures	June 14	Kelibia	Tunisia	Hard	Laurent Rochette
USA F14 Futures	June 14	Davis	United States	Hard	Fritz Wolmarans
Venezuela F2 Futures	June 14	Coro	Venezuela	Hard	Juan Sebastián Cabal
Argentina F10 Futures	June 21	Posadas	Argentina	Clay	Andrés Molteni
France F9 Futures	June 21	Toulon	France	Clay	Augustin Gensse
Germany F6 Futures	June 21	Wolfsburg	Germany	Clay	James Lemke
Italy F14 Futures	June 21	Aosta	Italy	Clay	Matteo Marrai
Japan F7 Futures	June 21	Tokyo	Japan	Carpet	Hiroki Kondo
Malaysia F1 Futures	June 21	Kuala Lumpur	Malaysia	Hard	Yang Tsung-hua
Morocco F4 Futures	June 21	Kenitra	Morocco	Clay	Florian Reynet
Netherlands F3 Futures	June 21	Rotterdam	Netherlands	Clay	Thomas Schoorel
Norway F1 Futures	June 21	Gausdal	Norway	Hard	Igor Sijsling
Serbia F2 Futures	June 21	Belgrade	Serbia	Clay	Nikola Ćirić
Spain F22 Futures	June 21	Melilla	Spain	Hard	Miguel Ángel López Jaén
USA F15 Futures	June 21	Chico	United States	Hard	Daniel Yoo
Venezuela F3 Futures	June 21	Barquisimeto	Venezuela	Hard	Robert Farah
Argentina F11 Futures	June 28	Oberá	Argentina	Clay	Pablo Galdón
Brazil F13 Futures	June 28	Araçatuba	Brazil	Clay	Eládio Ribeiro Neto
France F10 Futures	June 28	Montauban	France	Clay	Laurent Rochette
Germany F7 Futures	June 28	Kassel	Germany	Clay	Farrukh Dustov
Great Britain F8 Futures	June 28	Manchester	United Kingdom	Grass	James Ward
Italy F15 Futures	June 28	Bologna	Italy	Clay	Andrea Stoppini
Japan F8 Futures	June 28	Sapporo	Japan	Clay	Hiroki Moriya
Malaysia F2 Futures	June 28	Kuala Lumpur	Malaysia	Hard	Rohan Gajjar
Morocco F5 Futures	June 28	Khemisset	Morocco	Clay	Augustin Gensse
Netherlands F4 Futures	June 28	Breda	Netherlands	Clay	Thomas Schoorel
Norway F2 Futures	June 28	Gausdal	Norway	Hard	Alexander Sadecky
Romania F5 Futures	June 28	Medias	Romania	Clay	Victor Anagnastopol
Serbia F3 Futures	June 28	Belgrade	Serbia	Clay	Aldin Šetkić
Spain F23 Futures	June 28	Palma del Río	Spain	Hard	Ruben Bemelmans
USA F16 Futures	June 28	Rochester	United States	Clay	Daniel Yoo
Argentina F12 Futures	July 5	Resistencia	Argentina	Clay	Pablo Galdón
Austria F1 Futures	July 5	Telfs	Austria	Clay	Nikola Ćirić
Brazil F12 Futures	July 5	Sorocaba	Brazil	Clay	Caio Zampieri
France F11 Futures	July 5	Bourg-en-Bresse	France	Clay	Romain Jouan
Germany F8 Futures	July 5	Römerberg	Germany	Clay	David Goffin
Great Britain F9 Futures	July 5	Ilkley	United Kingdom	Grass	Joshua Goodall
Italy F16 Futures	July 5	Desenzano	Italy	Clay	Mikhail Vasiliev
Romania F6 Futures	July 5	Cluj	Romania	Clay	Javier Martí
Spain F24 Futures	July 5	Bakio	Spain	Hard	Fabrice Martin
USA F17 Futures	July 5	Pittsburgh	United States	Clay	Adam El Mihdawy
Argentina F13 Futures	July 12	Corrientes	Argentina	Clay	Pablo Galdón
Austria F2 Futures	July 12	Kramsach	Austria	Clay	Johannes Ager
Brazil F15 Futures	July 12	Guarulhos	Brazil	Clay	Marcelo Demoliner
Estonia F1 Futures	July 12	Kuressaare	Estonia	Clay	Pablo Santos
France F12 Futures	July 12	Saint Gervais	France	Clay	Philip Bester
Germany F9 Futures	July 12	Trier	Germany	Clay	Grigor Dimitrov
Great Britain F10 Futures	July 12	Frinton-on-Sea	United Kingdom	Grass	Daniel Cox
Iran F1 Futures	July 12	Tehran	Iran	Clay	Attila Bálazs
Italy F17 Futures	July 12	Fano	Italy	Clay	Nikola Mektić
Romania F7 Futures	July 12	Iași	Romania	Clay	Maxime Teixeira
Spain F25 Futures	July 12	Elche	Spain	Clay	Marcelo Palacios-Siegenthale
USA F18 Futures	July 12	Peoria	United States	Clay	Greg Ouellette
Argentina F14 Futures	July 19	Rafaela	Argentina	Clay	Andrés Molteni
Brazil F16 Futures	July 19	Jundiaí	Brazil	Clay	Rogério Dutra da Silva
Estonia F2 Futures	July 19	Tallinn	Estonia	Clay	Jürgen Zopp
Iran F2 Futures	July 19	Tehran	Iran	Clay	Attila Balázs
Ireland F1 Futures	July 19	Dublin	Ireland	Carpet	Daniel Cox
Italy F18 Futures	July 19	Modena	Italy	Clay	Matteo Viola
Romania F8 Futures	July 19	Craiova	Romania	Clay	Kristijan Mesaroš
Spain F26 Futures	July 19	Gandia	Spain	Clay	Marc Fornell-Mestres
USA F19 Futures	July 19	Joplin	United States	Hard	Robbye Poole
Brazil F17 Futures	July 26	Uberlândia	Brazil	Clay	Rafael Camilo
Germany F10 Futures	July 26	Dortmund	Germany	Clay	Grigor Dimitrov
Great Britain F11 Futures	July 26	Chiswick	United Kingdom	Hard	Miloslav Mečíř, Jr.
Italy F19 Futures	July 26	La Spezia	Italy	Clay	Thomas Fabbiano
Romania F9 Futures	July 26	Arad	Romania	Clay	Maxime Teixeira
Spain F27 Futures	July 26	Dénia	Spain	Clay	Miguel Ángel López Jaén
USA F20 Futures	July 26	Godfrey	United States	Hard	Robbye Poole
Argentina F15 Futures	August 2	Buenos Aires	Argentina	Clay	Facundo Argüello
Germany F11 Futures	August 2	Wetzlar	Germany	Clay	Alexander Flock
Great Britain F12 Futures	August 2	Roehampton	United Kingdom	Hard	Joshua Milton
Italy F20 Futures	August 2	Avezzano	Italy	Clay	Francesco Piccari
Lithuania F1 Futures	August 2	Vilnius	Lithuania	Clay	Timo Nieminen
Romania F10 Futures	August 2	Bucharest	Romania	Clay	Andrei Mlendea
Russia F3 Futures	August 2	Moscow	Russia	Clay	Ilya Belyaev
Serbia F4 Futures	August 2	Novi Sad	Serbia	Clay	Dušan Lajović
Slovakia F1 Futures	August 2	Piešťany	Slovakia	Clay	Florian Reynet
Spain F28 Futures	August 2	Xàtiva	Spain	Clay	Marc Fornell-Mestres
Thailand F1 Futures	August 2	Nonthaburi	Thailand	Hard	Mohamed Safwat
USA F21 Futures	August 2	Decatur	United States	Hard	Ryler DeHeart
Argentina F16 Futures	August 9	Santiago del Estero	Argentina	Clay	Pablo Galdón
Austria F3 Futures	August 9	Bad Waltersdorf	Austria	Clay	Blaž Rola
Belarus F1 Futures	August 9	Minsk	Belarus	Clay	Guillermo Olaso
Belgium F1 Futures	August 9	Eupen	Belgium	Clay	David Goffin
Finland F1 Futures	August 9	Vierumäki	Finland	Clay	Juho Paukku
Germany F12 Futures	August 9	Friedberg	Germany	Clay	Augustin Gensse
Italy F21 Futures	August 9	Appiano	Italy	Clay	Marco Crugnola
Russia F4 Futures	August 9	Moscow	Russia	Clay	Mikhail Vasiliev
Serbia F5 Futures	August 9	Novi Sad	Serbia	Clay	Aldin Šetkić
Slovakia F2 Futures	August 9	Piešťany	Slovakia	Clay	Marcin Gawron
Spain F29 Futures	August 9	Irún	Spain	Clay	Grigor Dimitrov
Thailand F2 Futures	August 9	Phitsanulok	Thailand	Hard	Sebastian Rieschick
Argentina F17 Futures	August 16	Salta	Argentina	Clay	Joaquín-Jésus Monteferrario
Austria F4 Futures	August 16	Sankt Pölten	Austria	Clay	Daniel Lustig
Belgium F2 Futures	August 16	Koksijde	Belgium	Clay	Jonathan Eysseric
Brazil F19 Futures	August 16	São José dos Campos	Brazil	Clay	André Miele
Bulgaria F4 Futures	August 16	Sofia	Bulgaria	Clay	Diego Álvarez
Colombia F1 Futures	August 16	Bogotá	Colombia	Clay	Sebastián Decoud
Croatia F4 Futures	August 16	Čakovec	Croatia	Clay	Kristijan Mesaroš
Italy F22 Futures	August 16	Padova	Italy	Clay	Matteo Viola
Latvia F1 Futures	August 16	Jūrmala	Latvia	Clay	Augustin Gensse
Poland F5 Futures	August 16	Olsztyn	Poland	Clay	Alexander Flock
Russia F5 Futures	August 16	Moscow	Russia	Clay	Alexander Lobkov
Serbia F6 Futures	August 16	Sombor	Serbia	Clay	Ivan Bjelica
Slovakia F3 Futures	August 16	Michalovce	Slovakia	Clay	Michal Pažický
Spain F30 Futures	August 16	Vigo	Spain	Clay	Pablo Santos
Thailand F3 Futures	August 16	Nakhorn Ratchasima	Thailand	Hard	Sebastian Rieschick
Austria F5 Futures	August 23	Pörtschach	Austria	Clay	Axel Michon
Belgium F3 Futures	August 23	Huy	Belgium	Clay	Julien Obry
Brazil F21 Futures	August 23	Campo Grande	Brazil	Clay	Rogério Dutra da Silva
Bulgaria F5 Futures	August 23	Bourgas	Bulgaria	Clay	Ádám Kellner
Colombia F2 Futures	August 23	Medellín	Colombia	Clay	Sebastián Decoud
Croatia F5 Futures	August 23	Vinkovci	Croatia	Clay	Kristijan Mesaroš
Germany F13 Futures	August 23	Überlingen	Germany	Clay	Dennis Blömke
Italy F23 Futures	August 23	Piombino	Italy	Hard	Claudio Grassi
Mexico F5 Futures	August 23	Zacatecas	Mexico	Hard	David Rice
Netherlands F5 Futures	August 23	Enschede	Netherlands	Clay	Alexander Flock
Poland F6 Futures	August 23	Poznań	Poland	Clay	Marcin Gawron
Russia F6 Futures	August 23	Sochi	Russia	Clay	Alexander Rumyantsev
Austria F6 Futures	August 30	Wels	Austria	Clay	Axel Michon
Brazil F22 Futures	August 30	São José do Rio Preto	Brazil	Clay	André Miele
Bulgaria F6 Futures	August 30	Dobrich	Austria	Clay	Philipp Oswald
Colombia F3 Futures	August 30	Manizales	Colombia	Clay	Víctor Estrella
Croatia F6 Futures	August 30	Osijek	Croatia	Clay	Kristijan Mesaroš
Germany F14 Futures	August 30	Kempten	Germany	Clay	Marcel Zimmermann
Italy F24 Futures	August 30	Trieste	Italy	Clay	Luca Vanni
Mexico F6 Futures	August 30	León	Mexico	Hard	Vasek Pospisil
Netherlands F6 Futures	August 30	Middelburg	Netherlands	Clay	Matwé Middelkoop
Poland F7 Futures	August 30	Bydgoszcz	Poland	Clay	Siarhei Betau
Russia F7 Futures	August 30	Moscow	Russia	Clay	Michail Elgin
Spain F31 Futures	August 30	Santander	Spain	Clay	James Ward
Australia F5 Futures	September 6	Cairns	Australia	Hard	Dayne Kelly
Brazil F23 Futures	September 6	Fortaleza	Brazil	Clay	Júlio Silva
Burundi F1 Futures	September 6	Bujumbura	Burundi	Clay	Gerald Melzer
Ecuador F1 Futures	September 6	Guayaquil	Ecuador	Hard	Júlio César Campozano
France F13 Futures	September 6	Bagnères-de-Bigorre	France	Hard	Grégoire Burquier
Germany F15 Futures	September 6	Kenn	Germany	Clay	Antony Dupuis
Great Britain F13 Futures	September 6	Cumberland	United Kingdom	Clay	Daniel Cox
Italy F25 Futures	September 6	Siena	Italy	Clay	Luca Vanni
Mexico F7 Futures	September 6	Guadalajara	Mexico	Hard	Vasek Pospisil
Russia F8 Futures	September 6	Vsevolozhsk	Russia	Clay	Michail Elgin
Spain F32 Futures	September 6	Oviedo	Spain	Hard	Roberto Carballes
Australia F6 Futures	September 13	Darwin	Australia	Hard	John Millman
Bolivia F1 Futures	September 13	Tarija	Bolivia	Clay	Adam El Mihdawy
Brazil F24 Futures	September 13	Recife	Brazil	Clay (i)	Daniel Dutra da Silva
Ecuador F2 Futures	September 13	Guayaquil	Ecuador	Hard	Júlio César Campozano
France F14 Futures	September 13	Mulhouse	France	Hard (i)	Clément Reix
Great Britain F14 Futures	September 13	Nottingham	United Kingdom	Hard	Joshua Milton
Italy F26 Futures	September 13	Porto Torres	Italy	Clay	Claudio Grassi
Morocco F6 Futures	September 13	Casablanca	Morocco	Clay	Maxime Teixeira
Rwanda F1 Futures	September 13	Kigali	Rwanda	Clay	Gerald Melzer
Spain F33 Futures	September 13	Móstoles	Spain	Hard	Roberto Bautista-Agut
Sweden F1 Futures	September 13	Danderyd	Sweden	Hard (i)	Henri Kontinen
USA F23 Futures	September 13	Claremont	United States	Hard	Gary Sacks
Australia F7 Futures	September 20	Alice Springs	Australia	Hard	Colin Ebelthite
Bolivia F2 Futures	September 20	La Paz	Bolivia	Clay	Guillermo Carry
Canada F4 Futures	September 20	Toronto	Canada	Hard	Nicholas Monroe
China F7 Futures	September 20	Hangzhou	China	Hard	Bai Yan
France F15 Futures	September 20	Plaisir	France	Hard (i)	Clément Reix
Great Britain F15 Futures	September 20	Wrexham	United Kingdom	Hard	Daniel Cox
Iran F3 Futures	September 20	Tehran	Iran	Clay	Alexander Rumyantsev
Italy F27 Futures	September 20	Brusaporto	Italy	Hard (i)	Filip Prpic
Morocco F7 Futures	September 20	Tanger	Morocco	Clay	Sergio Gutiérrez-Ferrol
Spain F34 Futures	September 20	Madrid	Spain	Hard	Morgan Phillips
Sweden F2 Futures	September 20	Falun	Sweden	Hard (i)	Henri Kontinen
USA F24 Futures	September 20	Costa Mesa	United States	Hard	Fritz Wolmarans
Uganda F1 Futures	September 20	Kampala	Uganda	Clay	Gerald Melzer
Bolivia F3 Futures	September 27	Cochabamba	Bolivia	Clay	Diego Sebastián Schwartzman
