Province	Registered voters	People voted	Valid votes	Invalid votes	Yes	Yes (%)	No	No (%)	Turnout (%)
Iğdır	105349	53822	51941	1881	28023	53.95	23918	46.05	51.09
Isparta	298726	251725	245664	6061	141226	57.49	104438	42.51	84.27
Istanbul	9206124	6743672	6641160	102512	3643666	54.86	2997494	45.14	73.25
İzmir	2870888	2283928	2246593	37335	815943	36.32	1430650	63.68	79.55
Kahramanmaraş	653042	547100	539219	7881	428103	79.39	111116	20.61	83.78
Karabük	163081	136555	133024	3531	84821	63.76	48203	36.24	83.73
Karaman	158392	136818	133482	3336	88019	65.94	45463	34.06	86.38
Kars	183800	125998	122490	3508	80243	65.51	42247	34.49	68.55
Kastamonu	269272	228815	223044	5771	140006	62.77	83038	37.23	84.98
Kayseri	812554	692502	680984	11518	498812	73.25	182172	26.75	85.23
Kilis	75649	63243	61936	1307	41411	66.86	20525	33.14	83.6
Kırıkkale	195333	159578	156827	2751	108586	69.24	48241	30.76	81.7
Kırklareli	251751	220111	216797	3314	55542	25.62	161255	74.38	87.43
Kırşehir	156339	125002	122527	2475	71258	58.16	51269	41.84	79.96
Kocaeli	1071556	864871	848323	16548	516533	60.89	331790	39.11	80.71
Konya	1327534	1117186	1096922	20264	857167	78.14	239755	21.86	84.15
Kütahya	418071	372393	364178	8215	272217	74.75	91961	25.25	89.07
Malatya	497796	413038	408425	4613	307133	75.20	101292	24.80	82.97
Manisa	960069	829573	810917	18656	402626	49.65	408291	50.35	86.41
Mardin	385674	165856	157664	8192	147344	93.45	10320	6.55	43.0
Mersin	1123115	818141	804397	13744	299004	37.17	505393	62.83	72.85
Muğla	593187	492611	483363	9248	149763	30.98	333600	69.02	83.04
Muş	208405	112730	107806	4924	99403	92.21	8403	7.79	54.09
Nevşehir	196436	167489	164404	3085	111049	67.55	53355	32.45	85.26
Niğde	219841	180549	176310	4239	107474	60.96	68836	39.04	82.13
Ordu	508677	400122	391422	8700	248557	63.50	142865	36.50	78.66
Osmaniye	308075	255251	250480	4771	133827	53.43	116653	46.57	82.85
Rize	229426	180309	177369	2940	134961	76.09	42408	23.91	78.59
Sakarya	612621	505267	496127	9140	333871	67.30	162256	32.70	82.48
Samsun	874952	722865	709959	12906	476774	67.16	233185	32.84	82.62
Şanlıurfa	827755	566395	556434	9961	523882	94.15	32552	5.85	68.43
Siirt	150645	76648	72342	4306	68845	95.17	3497	4.83	50.88
Sinop	149452	124319	121213	3106	73262	60.44	47951	39.56	83.18
Şırnak	197046	44326	37749	6577	33626	89.08	4123	10.92	22.5
Sivas	429921	355596	350504	5092	268472	76.60	82032	23.40	82.71
Tekirdağ	567415	465412	458124	7288	158825	34.67	299299	65.33	82.02
Tokat	423544	359680	353708	5972	228442	64.58	125266	35.42	84.92
Trabzon	543650	428766	421131	7635	288911	68.60	132220	31.40	78.87
Tunceli	56409	37918	37260	658	7072	18.98	30188	81.02	67.22
Uşak	245586	216999	211620	5379	105355	49.78	106265	50.22	88.36
Van	530745	231449	220748	10701	208501	94.45	12247	5.55	43.61
Yalova	148306	115990	113885	2105	58304	51.20	55581	48.80	78.21
Yozgat	319155	257444	253675	3769	196153	77.32	57522	22.68	80.66
Zonguldak	455043	380435	369517	10918	184931	50.05	184586	49.95	83.6
Customs	2556335	196299	194737	1562	119817	61.53	74920	38.47	7.68
