Entered [A ]	Weeks in top 12	Single	Artist	Peak	Peak reached [A ]	Weeks at number 1
12 Cannot handle non-empty timestamp argument!	6 [C ]	" Seven Lonely Days "	Gisele MacKenzie Category:Articles with hCards	6	Cannot handle non-empty timestamp argument!	0
9 Cannot handle non-empty timestamp argument!	8	" Can't I? "	Nat King Cole Category:Articles with hCards	6	20 Cannot handle non-empty timestamp argument!	0
16 Cannot handle non-empty timestamp argument!	9	" Eternally "	Jimmy Young Category:Articles with hCards	8	30 Cannot handle non-empty timestamp argument!	0
23 Cannot handle non-empty timestamp argument!	14	" Look at That Girl "	Guy Mitchell Category:Articles with hCards	1	6 Cannot handle non-empty timestamp argument!	6
30 Cannot handle non-empty timestamp argument!	12	" Where the Winds Blow "	Frankie Laine Category:Articles with hCards	2	27 Cannot handle non-empty timestamp argument!	0
13 Cannot handle non-empty timestamp argument!	7	" Mother Nature and Father Time "	Nat King Cole Category:Articles with hCards	7	11 Cannot handle non-empty timestamp argument!	0
13 Cannot handle non-empty timestamp argument!	8 [D ]	" Kiss "	Dean Martin Category:Articles with hCards	5	18 Cannot handle non-empty timestamp argument!	0
20 Cannot handle non-empty timestamp argument!	3 [C ]	" Flirtation Waltz "	Winifred Atwell Category:Articles with hCards	10	27 Cannot handle non-empty timestamp argument!	0
27 Cannot handle non-empty timestamp argument!	1	" The Bridge of Sighs "	David Whitfield Category:Articles with hCards	9	27 Cannot handle non-empty timestamp argument!	0
11 Cannot handle non-empty timestamp argument!	8	" Hey Joe "	Frankie Laine Category:Articles with hCards	1	18 Cannot handle non-empty timestamp argument!	2
11 Cannot handle non-empty timestamp argument!	14 [D ]	" Answer Me "	David Whitfield Category:Articles with hCards	1	27 Cannot handle non-empty timestamp argument!	2
18 Cannot handle non-empty timestamp argument!	18 [D ]	" Swedish Rhapsody "	Mantovani	2	29 Cannot handle non-empty timestamp argument!	0
18 Cannot handle non-empty timestamp argument!	10 [D ]	" Poppa Piccolino "	Diana Decker Category:Articles with hCards	2	6 Cannot handle non-empty timestamp argument!	0
25 Cannot handle non-empty timestamp argument!	17	" Answer Me "	Frankie Laine Category:Articles with hCards	1	8 Cannot handle non-empty timestamp argument!	0
1 Cannot handle non-empty timestamp argument!	15 [D ]	" Chicka Boom "♦	Guy Mitchell Category:Articles with hCards	4	24 Cannot handle non-empty timestamp argument!	0
1 Cannot handle non-empty timestamp argument!	9	" Wish You Were Here "	Eddie Fisher Category:Articles with hCards	8	15 Cannot handle non-empty timestamp argument!	0
15 Cannot handle non-empty timestamp argument!	6 [D ]	" Crying in the Chapel "	Lee Lawrence Category:Articles with hCards	7	6 Cannot handle non-empty timestamp argument!	0
22 Cannot handle non-empty timestamp argument!	6	" I Saw Mommy Kissing Santa Claus "	Jimmy Boyd Category:Articles with hCards	3	29 Cannot handle non-empty timestamp argument!	0
22 Cannot handle non-empty timestamp argument!	5	" I Saw Mommy Kissing Santa Claus "	Beverley Sisters	6	6 Cannot handle non-empty timestamp argument!	0
29 Cannot handle non-empty timestamp argument!	15 [D ]	" Let's Have a Party "♦	Winifred Atwell Category:Articles with hCards	2	10 Cannot handle non-empty timestamp argument!	0
29 Cannot handle non-empty timestamp argument!	4 [D ]	" Swedish Rhapsody "	Ray Martin Category:Articles with hCards	4	13 Cannot handle non-empty timestamp argument!	0
6 Cannot handle non-empty timestamp argument!	11 [D ]	" Rags to Riches "♦	David Whitfield Category:Articles with hCards	3	3 Cannot handle non-empty timestamp argument!	0
13 Cannot handle non-empty timestamp argument!	3	" I Saw Mommy Kissing Santa Claus "	Billy Cotton Category:Articles with hCards	11	13 Cannot handle non-empty timestamp argument!	0
13 Cannot handle non-empty timestamp argument!	16	" Cloud Lucky Seven "♦	Guy Mitchell Category:Articles with hCards	2	7 Cannot handle non-empty timestamp argument!	0
