Rnd.	Pick #	NFL team	Pos.	College	Conf.
2	63	Philadelphia Eagles	LB	San Diego State	MWC
2	64	Baltimore Ravens	OT	Syracuse	Big East
3	65	San Francisco 49ers	RB	Miami (FL)	ACC
3	66	St. Louis Rams	S	Stanford	Pac-10
3	67	Cleveland Browns	QB	Akron	MAC
3	68	Tennessee Titans	WR	Indiana	Big Ten
3	69	Oakland Raiders	QB	Arizona State	Pac-10
3	70	Miami Dolphins	LB	Florida	SEC
3	71	Tampa Bay Buccaneers	TE	Stanford	Pac-10
3	72	Detroit Lions	CB	Stanford	Pac-10
3	73	Houston Texans	RB	Oklahoma State	Big 12
3	74	New York Giants	DE	Notre Dame	Ind.
3	75	Arizona Cardinals	CB	Virginia Tech	ACC
3	76	Denver Broncos	CB	Washington State	Pac-10
3	77	Philadelphia Eagles	RB	Louisiana Tech	WAC
3	78	Oakland Raiders	LB	San Diego State	MWC
3	79	Carolina Panthers	G	Alabama	SEC
3	80	Minnesota Vikings	CB	Ohio State	Big Ten
3	81	St. Louis Rams	C	Nebraska	Big 12
3	82	New Orleans Saints	LB	Connecticut	Big East
3	83	Cincinnati Bengals	WR	West Virginia	Big East
3	84	New England Patriots	CB	Iowa State	Big 12
3	85	Seattle Seahawks	QB	Georgia	SEC
3	86	Buffalo Bills	TE	Miami (FL)	ACC
3	87	Jacksonville Jaguars	CB	Wisconsin	Big Ten
3	88	New York Jets	DT	Utah	MWC
3	89	Carolina Panthers	DT	Missouri	Big 12
3	–	Denver Broncos	selection forfeited due to salary-cap violations.	selection forfeited due to salary-cap violations.	selection forfeited due to salary-cap violations.
3	90	Atlanta Falcons	LB	Cal Poly	Great West
3	91	Tampa Bay Buccaneers	OT	NC State	ACC
3	92	Indianapolis Colts	DE	Kentucky	SEC
3	93	Pittsburgh Steelers	G	Northwestern	Big Ten
3	94	San Francisco 49ers	G	Oregon	Pac-10
3	95	Arizona Cardinals	LB	Virginia	ACC
3	96	Tennessee Titans	WR	Oklahoma	Big 12
3	97	Denver Broncos	CB	Maryland	ACC
3	98	Seattle Seahawks	LB	Clemson	ACC
3	99	Kansas City Chiefs	P	Tennessee	SEC
3	100	New England Patriots	G	Toledo	MAC
3	101	Denver Broncos	RB	Ohio State	Big Ten
4	102	Philadelphia Eagles	S	Iowa	Big Ten
4	103	Cleveland Browns	CB	Oklahoma	Big 12
4	104	Miami Dolphins	CB	LSU	SEC
4	105	Seattle Seahawks	OT	Florida State	ACC
4	106	Chicago Bears	QB	Purdue	Big Ten
4	107	Tampa Bay Buccaneers	G	Wisconsin	Big Ten
4	108	Tennessee Titans	S	Virginia Tech	ACC
4	109	Dallas Cowboys	RB	Minnesota	Big Ten
4	110	New York Giants	RB	Southern Illinois	Gateway
4	111	Arizona Cardinals	G	Virginia	ACC
4	112	Minnesota Vikings	RB	Florida	SEC
4	113	Tennessee Titans	OT	Mississippi State	SEC
4	114	Houston Texans	WR	Hampton	MEAC
4	115	Green Bay Packers	S	San Diego State	MWC
4	116	Kansas City Chiefs	WR	Florida State	ACC
4	117	St. Louis Rams	S	Florida State	ACC
4	118	New Orleans Saints	WR	California	Pac-10
4	119	Cincinnati Bengals	C	Central Michigan	MAC
4	120	Washington Redskins	FB	UCLA	Pac-10
4	121	Carolina Panthers	QB	Louisville	C-USA
4	122	Buffalo Bills	C	Illinois	Big Ten
4	123	New York Jets	S	Louisville	C-USA
4	124	Baltimore Ravens	C	North Carolina	ACC
4	125	Green Bay Packers	LB	BYU	MWC
4	126	Philadelphia Eagles	OT	Saginaw Valley State	GLIAC
4	127	Jacksonville Jaguars	RB	Virginia	ACC
4	128	Atlanta Falcons	DE	Florida State	ACC
4	129	Indianapolis Colts	G	Texas Tech	Big 12
4	130	San Diego Chargers	RB	Kansas State	Big 12
4	131	Pittsburgh Steelers	WR	Georgia	SEC
4	132	Dallas Cowboys	DE	Virginia	ACC
4	133	New England Patriots	S	Fresno State	WAC
4	134	St. Louis Rams	G	New Mexico	MWC
4	135	Indianapolis Colts	S	California	Pac-10
4	136	Tennessee Titans	WR	Tulane	C-USA
5	137	San Francisco 49ers	DT	Mississippi State	SEC
5	138	Kansas City Chiefs	LB	Illinois State	Gateway
5	139	Cleveland Browns	DE	Kansas	Big 12
5	140	Chicago Bears	WR	Clemson	ACC
5	141	Tampa Bay Buccaneers	S	Oklahoma	Big 12
5	142	Tennessee Titans	RB	Missouri	Big 12
5	143	Green Bay Packers	C	North Carolina A&T	MEAC
5	144	St. Louis Rams	TE	Notre Dame	Ind.
5	145	Detroit Lions	QB	Connecticut	Big East
5	146	Philadelphia Eagles	DE	Cincinnati	C-USA
5	147	Kansas City Chiefs	CB	Miami (OH)	MAC
5	148	Indianapolis Colts	DE	Wisconsin	Big Ten
5	149	Carolina Panthers	LB	UNLV	MWC
5	150	Tennessee Titans	OT	Texas Tech	Big 12
5	151	Houston Texans	C	Arizona State	Pac-10
5	152	New Orleans Saints	QB	Florida State	ACC
5	153	Cincinnati Bengals	OT	Central Michigan	MAC
5	154	Washington Redskins	LB	Louisville	C-USA
5	155	Tampa Bay Buccaneers	WR	Pearl River CC	MACJC
5	156	Buffalo Bills	CB	Wake Forest	ACC
5	157	Jacksonville Jaguars	S	North Carolina	ACC
5	158	Baltimore Ravens	FB	Montana	Big Sky
5	159	Seattle Seahawks	DE	Arkansas	SEC
5	160	Atlanta Falcons	LB	Southern Miss	C-USA
5	161	New York Jets	S	NC State	ACC
5	162	Miami Dolphins	OT	TCU	C-USA
5	163	Atlanta Falcons	OT	Tennessee Tech	OVC
5	164	San Diego Chargers	OT	Alabama	SEC
5	165	Indianapolis Colts	C	North Dakota State	Great West
5	166	Pittsburgh Steelers	LB	Temple	Big East
5	167	Green Bay Packers	CB	Oklahoma	Big 12
5	168	Arizona Cardinals	LB	Oklahoma	Big 12
5	169	Carolina Panthers	C	Texas A&M	Big 12
5	170	New England Patriots	LB	UNLV	MWC
5	171	Carolina Panthers	S	UCLA	Pac-10
5	172	Philadelphia Eagles	OT	BYU	MWC
5	173	Indianapolis Colts	LB	Cincinnati	C-USA
5	174	San Francisco 49ers	WR	West Virginia	Big East
6	175	Oakland Raiders	DT	Wisconsin	Big Ten
6	176	Cleveland Browns	LB	New Mexico	MWC
6	177	San Diego Chargers	OT	Oklahoma	Big 12
6	178	Tampa Bay Buccaneers	DT	Alabama	SEC
6	179	Tennessee Titans	TE	Texas	Big 12
6	180	Green Bay Packers	DE	Texas A&M	Big 12
6	181	Chicago Bears	S	Louisiana-Monroe	Sun Belt
6	182	New York Jets	RB	Tennessee	SEC
6	183	Washington Redskins	LB	Stanford	Pac-10
6	184	Detroit Lions	DE	Oregon State	Pac-10
6	185	Jacksonville Jaguars	WR	Hawai ʻ i	WAC
6	186	New York Giants	DE	Florida State	ACC
6	187	Kansas City Chiefs	G	Stanford	Pac-10
6	188	Houston Texans	S	Louisiana–Lafayette	Sun Belt
6	189	Carolina Panthers	DE	Vanderbilt	SEC
6	190	Cincinnati Bengals	WR	UCLA	Pac-10
6	191	Minnesota Vikings	DT	Missouri	Big 12
6	192	St. Louis Rams	WR	Ball State	MAC
6	193	New Orleans Saints	DT	Wisconsin	Big Ten
6	194	Jacksonville Jaguars	LB	NC State	ACC
6	195	Green Bay Packers	WR	UCLA	Pac-10
6	196	Seattle Seahawks	TE	Iowa	Big Ten
6	197	Buffalo Bills	G	Vanderbilt	SEC
6	198	New York Jets	TE	Colorado State	MWC
6	199	Kansas City Chiefs	DE	Baylor	Big 12
6	200	Denver Broncos	G	Miami (FL)	ACC
6	201	Atlanta Falcons	RB	Michigan State	Big Ten
6	202	Indianapolis Colts	K	Michigan State	Big Ten
6	203	Cleveland Browns	DT	Virginia	ACC
6	204	Pittsburgh Steelers	G	Utah	MWC
6	205	San Francisco 49ers	CB	Washington	Pac-10
6	206	Detroit Lions	LB	Marshall	MAC
6	207	Carolina Panthers	G	Michigan Tech	GLIAC
6	208	Dallas Cowboys	S	Ball State	MAC
6	209	Dallas Cowboys	OT	Pittsburgh	Big East
6	210	St. Louis Rams	P	Ball State	MAC
6	211	Philadelphia Eagles	OT	Washington State	Pac-10
6	212	Oakland Raiders	DE	California	Pac-10
6	213	Baltimore Ravens	QB	Oregon State	Pac-10
6	214	Oakland Raiders	OT	Iowa	Big Ten
7	215	San Francisco 49ers	CB	Cincinnati	C-USA
7	216	Miami Dolphins	DT	Michigan State	Big Ten
7	217	Cleveland Browns	OT	Virginia Tech	ACC
7	218	Tennessee Titans	CB	Florida	SEC
7	219	Minnesota Vikings	CB	UTEP	WAC
7	220	Chicago Bears	LB	South Carolina	SEC
7	221	Tampa Bay Buccaneers	FB	Ole Miss	SEC
7	222	Washington Redskins	FB	The Citadel	SoCon
7	223	San Francisco 49ers	WR	Oregon	Pac-10
7	224	Dallas Cowboys	DT	Auburn	SEC
7	225	Tampa Bay Buccaneers	WR	Utah	MWC
7	226	Arizona Cardinals	WR	Indiana (PA)	PSAC
7	227	Houston Texans	LB	Grambling State	SWAC
7	228	Pittsburgh Steelers	DE	BYU	MWC
7	229	Kansas City Chiefs	QB	Tulsa	WAC
7	230	New England Patriots	QB	USC	Pac-10
7	231	Tampa Bay Buccaneers	S	Washington State	Pac-10
7	232	New Orleans Saints	DE	Arizona State	Pac-10
7	233	Cincinnati Bengals	DE	Utah	MWC
7	234	Baltimore Ravens	LB	Texas Tech	Big 12
7	235	Seattle Seahawks	LB	Alabama	SEC
7	236	Buffalo Bills	RB	Louisville	C-USA
7	237	Jacksonville Jaguars	CB	Eastern Michigan	MAC
7	238	Kansas City Chiefs	OT	Southern Miss	C-USA
7	239	Denver Broncos	K	Northern Arizona	Big Sky
7	240	New York Jets	WR	Tuskegee	SIAC
7	241	Atlanta Falcons	DT	South Carolina	SEC
7	242	San Diego Chargers	C	Bowling Green	MAC
7	243	Indianapolis Colts	RB	Wisconsin	Big Ten
7	244	Pittsburgh Steelers	RB	Northwestern	Big Ten
7	245	Green Bay Packers	S	Albany	NEC
7	246	Green Bay Packers	G	Michigan State	Big Ten
7	247	Philadelphia Eagles	DT	Grand Valley State	GLIAC
7	248	San Francisco 49ers	TE	Virginia	ACC
7	249	San Francisco 49ers	TE	Oklahoma State	Big 12
7	250	St. Louis Rams	QB	Harvard	Ivy
7	251	St. Louis Rams	FB	North Carolina	ACC
7	252	Philadelphia Eagles	LB	Stanford	Pac-10
7	253	Tampa Bay Buccaneers	WR	Louisville	C-USA
7	254	Seattle Seahawks	OT	Oregon State	Pac-10
7	255	New England Patriots	TE	William Penn	MSFA
