Rank	Place	County	Per Capita Income	Median House- hold Income	Population	Number of Households
86	Peninsula	Summit County	$29,031	$64,205	602	240
87	Covedale	Hamilton County	$28,845	$57,016	6360	2432
88	North Bend	Hamilton County	$28,792	$51,979	603	253
89	Hilliard	Franklin County	$28,496	$69,015	24230	8577
90	Avon	Lorain County	$28,334	$66,747	11446	4088
91	Mack North	Hamilton County	$28,214	$71,797	3529	1141
92	Lyndhurst	Cuyahoga County	$28,206	$52,272	15279	6642
93	Sylvania	Lucas County	$28,163	$57,358	18670	7151
94	Fruit Hill	Hamilton County	$28,145	$61,397	3945	1428
95	Sherwood	Hamilton County	$27,965	$71,127	3907	1348
96	White Oak East	Hamilton County	$27,883	$54,643	3508	1439
97	Ostrander	Delaware County	$27,751	$49,583	405	148
98	Macedonia	Summit County	$27,739	$68,908	9224	3276
99	Twinsburg	Summit County	$27,708	$61,638	17006	6641
