Season	Competition	Round	Against	Played	Drew	Lost	Goals for	Goals against
2001-02	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
2002-03	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
2003-04	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
2004-05	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
2005-06	UEFA Cup	Last 32	FC Schalke 04	8	3	2	8	8
2006-07	UEFA Cup	Final	Sevilla FC	15	4	0	34	11
2007-08	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
2008-09	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
2009-10	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
2010-11	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
