Year	City	Rider 1	Rider 2	Horse 1	Horse 2	Association
1994	Rancagua	Juan Carlos Loaiza	Eduardo Tamayo	Esbelta	Escandaloza	Valdivia
1995	Rancagua	René Guzmán	José Manuel Rey	Pretal	Canteado	Melipilla
1996	Rancagua	René Guzmán	José Manuel Rey	Pretal	Canteado	Bío-Bío
1997	Rancagua	Alejandro Alvariño	Héctor Navarro	Amuleto	Morenita	Osorno
1998	Rancagua	José Manuel Pozo	Alejandro Pozo	Campo II	Peumo	Talca
1999	Rancagua	Mario Valencia	Cristián Ramírez	Bochinchero	Huachaco	Valparaíso
2000	Rancagua	Juan Carlos Loaiza	Eduardo Tamayo	Escorpión	Talento	Valdivia
2001	Rancagua	Juan Carlos Loaiza	Luis Eduardo Cortés	Banquero	Batuco	Valdivia
2002	Rancagua	Juan Carlos Loaiza	Eduardo Tamayo	Talento	Almendra	Valdivia
2003	Rancagua	Sebastián Walker	Camilo Padilla	Lucero	Destape	Valdivia
2004	Rancagua	Gabriel Orphanopoulos	Mariano Torres	Ahí No Mas	Guapetón	Linares
2005	Rancagua	Claudio Hernández	Rufino Hernández	Morenita	Inventada	Talca
2006	Rancagua	Claudio Hernández	Rufino Hernández	Malulo	Estruendo	Bío-Bío
2007	Rancagua	Juan Carlos Loaiza	Eduardo Tamayo	Talento	Fiestera	Valdivia
2008	Rancagua	Jesús Rodríguez	Christian Pooley	Rangoso	Canalla	Cautín
2009	Rancagua	Emiliano Ruiz	José Meza	Distinguido	Espinudo	Cordillera
2010	Rancagua	Cristóbal Cortina	Víctor Vergara	Cumpa	Tio Pedro	Cordillera
2011	Rancagua	Germán Varela	Pedro Vergara	Fogoso	Puntilla	O'Higgins
2012	Rancagua	Juan Carlos Loaiza	Eduardo Tamayo	Cantora	Alabanza	Valdivia
2013	Rancagua	Gustavo Valdebenito	Luis Corvalán	Compadre	Quiltralco	Malleco
